AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS,20111,4
AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS,20112,4
BANCO DE DADOS II,20111,4
BANCO DE DADOS II,20112,4
BANCO DE DADOS II,20121,4
BANCO DE DADOS II,20122,4
ENGENHARIA DE SOFTWARE I,20121,4
ESTAGIO INTEGRADO,20111,4
ESTRUTURA DE DADOS E ALGORITMOS,20112,4
ESTRUTURA DE DADOS E ALGORITMOS,20121,4
ESTRUTURA DE DADOS E ALGORITMOS,20122,4
INTRODUCAO A COMPUTACAO,20112,6
INTRODUCAO A COMPUTACAO,20121,5
INTRODUCAO A COMPUTACAO,20122,8
LAB.DE ESTRUTURA DE DADOS E ALGORITMOS,20112,4
LAB.DE ESTRUTURA DE DADOS E ALGORITMOS,20121,4
LAB.DE ORG.E ARQUITETURA DE COMPUTADORES,20111,7
LABORATORIO DE PROGRAMACAO I,20112,6
LABORATORIO DE PROGRAMACAO I,20121,7
LABORATORIO DE PROGRAMACAO II,20111,4
LABORATORIO DE PROGRAMACAO II,20112,4
LABORATORIO DE PROGRAMACAO II,20121,5
LABORATORIO DE PROGRAMACAO II,20122,4
METODOS E SOFTWARE NUMERICOS,20112,4
PROBABILIDADE E ESTATISTICA,20122,4
PROGRAMACAO I,20112,6
PROGRAMACAO I,20121,7
PROGRAMACAO II,20122,4
PROJETO EM COMPUTACAO I,20111,6
PROJETO EM COMPUTACAO II,20112,6
SISTEMAS DE INFORMACAO I,20111,4
SISTEMAS DE INFORMACAO II,20111,4
SISTEMAS DE INFORMACAO II,20112,4
SISTEMAS DE INFORMACAO II,20121,4
SISTEMAS DE INFORMACAO II,20122,4
TEC(PRINCIPIOS DE ADMIN FINANCEIRA),20121,4
TECC(ADMINISTRACAO DE SISTEMAS),20112,4
TECC(ECONOMIA DE TECNOLOGIA DA INFORMACA,20111,5
TECC(ECONOMIA DE TECNOLOGIA DA INFORMACA,20112,4
TECC(EMPREENDEDORISMO EM SOFTWARE),20121,4
TECC(FUNDAMENTOS DE PROG CONCORRENTE),20112,4
TECC(FUNDAMENTOS DE PROG CONCORRENTE),20121,4
TECC(FUNDAMENTOS DE PROG CONCORRENTE),20122,4
TEORIA DA COMPUTACAO,20122,4
