"disciplina","periodo"
"Álgebra Vetorial e Geometria Analítica",1
"Cálculo Diferencial e Integral 1",1
"Programação 1",1
"Introdução a Computação",1
"Laboratório de Programação 1",1
"Álgebra Linear",2
"Matemática Discreta",2
"Leitura e Produção de Textos",2
"Programação 2",2
"Teoria dos Grafos",2
"Laboratório de Programação 2",2
"Física Clássica",3
"Física Moderna",3
"Cálculo Diferencial e Integral 2",3
"Informática e Sociedade",3
"Teoria da Computação",3
"Sistemas de Informação 1",3
"Sistemas de Informação 2",3
"Gerência da Informação",4
