"disciplina","periodo","cluster","coddisciplina"
"Álgebra Vetorial e Geometria Analítica",1,1,1109035
"Cálculo Diferencial e Integral 1",1,1,1109103
"Programação 1",1,1,1411167
"Introdução a Computação",1,1,1411174
"Laboratório de Programação 1",1,1,1411180
"Álgebra Linear",2,1,1109049
"Matemática Discreta",2,1,1109113
"Informática e Sociedade",2,1,1305220
"Leitura e Produção de Textos",2,1,1307151
"Direito e Cidadania",3,1,1305219
"Teoria dos Grafos",3,1,1411170
"Álgebra Vetorial e Geometria Analítica",1,2,1109035
"Cálculo Diferencial e Integral 1",1,2,1109103
"Programação 1",1,2,1411167
"Introdução a Computação",1,2,1411174
"Laboratório de Programação 1",1,2,1411180
"Física Clássica",2,2,1108089
"Cálculo Diferencial e Integral 2",2,2,1109053
"Matemática Discreta",2,2,1109113
"Leitura e Produção de Textos",2,2,1307151
"Programação 2",2,2,1411168
"Teoria dos Grafos",2,2,1411170
"Laboratório de Programação 2",2,2,1411181
"Física Moderna",3,2,1108090
"Álgebra Linear",3,2,1109049
"Probabilidade e Estatística",3,2,1114107
"Teoria da Computação",3,2,1411171
"Estrutura de Dados",3,2,1411172
"Gerência da Informação",3,2,1411176
"Laboratório de Estrutura de Dados",3,2,1411179
"Direito e Cidadania",4,2,1305219
"Informática e Sociedade",4,2,1305220
"Paradigmas de Linguagens de Programação",4,2,1411169
"Lógica Matemática",4,2,1411173
"Organização e Arquitetura de Computadores",4,2,1411175
"Engenharia de Software 1",4,2,1411177
"Sistemas de Informação 1",4,2,1411178
"Laboratório de Organização e Arquitetura de Computadores",4,2,1411182
"Sistemas de Informação 2",4,2,1411195
"Física Moderna",1,3,1108090
"Cálculo Diferencial e Integral 2",1,3,1109053
"Matemática Discreta",1,3,1109113
"Probabilidade e Estatística",1,3,1114107
"Direito e Cidadania",1,3,1305219
"Paradigmas de Linguagens de Programação",1,3,1411169
"Teoria da Computação",1,3,1411171
"Estrutura de Dados",1,3,1411172
"Gerência da Informação",1,3,1411176
"Projeto em Computação 1",1,3,1411185
"Avaliação de Desempenho de Sistemas Discretos",1,3,1411197
"Física Clássica",2,3,1108089
"Álgebra Linear",2,3,1109049
"Métodos Estatísticos",2,3,1114114
"Lógica Matemática",2,3,1411173
"Organização e Arquitetura de Computadores",2,3,1411175
"Laboratório de Estrutura de Dados",2,3,1411179
"Laboratório de Organização e Arquitetura de Computadores",2,3,1411182
"Projeto em Computação 2",2,3,1411186
"Compiladores",2,3,1411189
"Banco de Dados 1",2,3,1411193
"Inteligência Artificial",2,3,1411196
"Engenharia de Software 1",3,3,1411177
"Sistemas de Informação 1",3,3,1411178
"Análise e Técnica de Algorítimos",3,3,1411187
"Redes de Computadores",3,3,1411190
"Sistemas de Informação 2",3,3,1411195
"Metodologia Científica",4,3,1305218
"Informática e Sociedade",4,3,1305220
"Laboratório de Engenharia de Software",4,3,1411183
"Laboratório de Interconexão de Redes de Computadores",4,3,1411184
"Métodos e Software Numéricos",4,3,1411188
"Interconexão de Redes de Computadores",4,3,1411191
"Sistemas Operacionais",4,3,1411192
"Banco de Dados 2",4,3,1411194
"Álgebra Vetorial e Geometria Analítica",1,4,1109035
"Cálculo Diferencial e Integral 1",1,4,1109103
"Programação 1",1,4,1411167
"Introdução a Computação",1,4,1411174
"Laboratório de Programação 1",1,4,1411180
"Álgebra Linear",2,4,1109049
"Matemática Discreta",2,4,1109113
"Leitura e Produção de Textos",2,4,1307151
"Programação 2",2,4,1411168
"Teoria dos Grafos",2,4,1411170
"Laboratório de Programação 2",2,4,1411181
"Física Clássica",3,4,1108089
"Física Moderna",3,4,1108090
"Cálculo Diferencial e Integral 2",3,4,1109053
"Informática e Sociedade",3,4,1305220
"Teoria da Computação",3,4,1411171
"Sistemas de Informação 1",3,4,1411178
"Sistemas de Informação 2",3,4,1411195
"Gerência da Informação",4,4,1411176
