"cod1","cod2","cor","disc1","disc2"
"1411191","1411184",0.997074675652275,"Laboratório de Interconexão de Redes de Computadores","Interconexão de Redes de Computadores"
"1411180","1411167",0.947151603949244,"Programação 1","Laboratório de Programação 1"
"1109103","1109035",0.823407949713299,"Álgebra Vetorial e Geometria Analítica","Cálculo Diferencial e Integral 1"
"1411179","1411172",0.762747139087715,"Estrutura de Dados","Laboratório de Estrutura de Dados"
"1411181","1411168",0.735149272895501,"Programação 2","Laboratório de Programação 2"
"1411180","1411174",0.706423836453942,"Introdução a Computação","Laboratório de Programação 1"
"1411174","1411167",0.702381104708867,"Programação 1","Introdução a Computação"
"1411174","1109035",0.695021526044425,"Álgebra Vetorial e Geometria Analítica","Introdução a Computação"
"1411174","1109103",0.694529134026491,"Cálculo Diferencial e Integral 1","Introdução a Computação"
"1109103","1109049",0.628710630749167,"Álgebra Linear","Cálculo Diferencial e Integral 1"
"1411173","1114107",0.628369569866922,"Probabilidade e Estatística","Lógica Matemática"
"1411172","1411171",0.625890801716537,"Teoria da Computação","Estrutura de Dados"
"1411174","1109113",0.622416111296854,"Matemática Discreta","Introdução a Computação"
"1411179","1411178",0.616256916292096,"Sistemas de Informação 1","Laboratório de Estrutura de Dados"
"1411172","1114107",0.614136826295141,"Probabilidade e Estatística","Estrutura de Dados"
"1411179","1411168",0.602815247642127,"Programação 2","Laboratório de Estrutura de Dados"
"1114107","1109049",0.602679699901067,"Álgebra Linear","Probabilidade e Estatística"
"1109053","1109049",0.600667955363307,"Álgebra Linear","Cálculo Diferencial e Integral 2"
"1109113","1109053",0.599446745761183,"Cálculo Diferencial e Integral 2","Matemática Discreta"
"1411173","1114114",0.597922708481818,"Métodos Estatísticos","Lógica Matemática"
"1411179","1114107",0.59652781307719,"Probabilidade e Estatística","Laboratório de Estrutura de Dados"
"1109113","1109103",0.594845248171206,"Cálculo Diferencial e Integral 1","Matemática Discreta"
"1411171","1109113",0.593723963725905,"Matemática Discreta","Teoria da Computação"
"1411173","1411171",0.591655754931118,"Teoria da Computação","Lógica Matemática"
"1411174","1411168",0.589135533380669,"Programação 2","Introdução a Computação"
"1411173","1109049",0.587678341982854,"Álgebra Linear","Lógica Matemática"
"1109113","1109049",0.585027402926198,"Álgebra Linear","Matemática Discreta"
"1411180","1109103",0.584727190402815,"Cálculo Diferencial e Integral 1","Laboratório de Programação 1"
"1411172","1109113",0.580386173829201,"Matemática Discreta","Estrutura de Dados"
"1411170","1411168",0.579627214436673,"Programação 2","Teoria dos Grafos"
"1411171","1114107",0.5795717411598,"Probabilidade e Estatística","Teoria da Computação"
"1411167","1109103",0.579549066429734,"Cálculo Diferencial e Integral 1","Programação 1"
"1411181","1411176",0.575624163436496,"Gerência da Informação","Laboratório de Programação 2"
"1109113","1109035",0.573304803043239,"Álgebra Vetorial e Geometria Analítica","Matemática Discreta"
"1411180","1109035",0.571999768124118,"Álgebra Vetorial e Geometria Analítica","Laboratório de Programação 1"
"1411181","1411179",0.571165032658945,"Laboratório de Estrutura de Dados","Laboratório de Programação 2"
"1411179","1109049",0.569882393505659,"Álgebra Linear","Laboratório de Estrutura de Dados"
"1411173","1109053",0.568984593474402,"Cálculo Diferencial e Integral 2","Lógica Matemática"
"1109049","1109035",0.567440650909483,"Álgebra Vetorial e Geometria Analítica","Álgebra Linear"
"1411180","1411172",0.565641969179624,"Estrutura de Dados","Laboratório de Programação 1"
"1411167","1109035",0.565101899844545,"Álgebra Vetorial e Geometria Analítica","Programação 1"
"1411181","1109103",0.563886712040434,"Cálculo Diferencial e Integral 1","Laboratório de Programação 2"
"1109103","1109053",0.558220252197885,"Cálculo Diferencial e Integral 2","Cálculo Diferencial e Integral 1"
"1411175","1411173",0.557079337261194,"Lógica Matemática","Organização e Arquitetura de Computadores"
"1411168","1109113",0.555515405441953,"Matemática Discreta","Programação 2"
"1411168","1109103",0.552817297677863,"Cálculo Diferencial e Integral 1","Programação 2"
"1411172","1109049",0.552333980225468,"Álgebra Linear","Estrutura de Dados"
"1411194","1411173",0.551379554909683,"Lógica Matemática","Banco de Dados 2"
"1114114","1109049",0.550700276506942,"Álgebra Linear","Métodos Estatísticos"
"1411173","1109113",0.548358409589871,"Matemática Discreta","Lógica Matemática"
"1411193","1411175",0.547325766771936,"Organização e Arquitetura de Computadores","Banco de Dados 1"
