"cod1","cod2","cor","disc1","disc2"
"1411167","1411180",0.985175526721607,"Laboratório de Programação 1","Programação 1"
"1411180","1411167",0.985175526721607,"Programação 1","Laboratório de Programação 1"
"1108090","1307151",0.950950768721762,"Leitura e Produção de Textos","Física Moderna"
"1307151","1108090",0.950950768721762,"Física Moderna","Leitura e Produção de Textos"
"1411168","1411187",0.939259904564539,"Análise e Técnica de Algorítimos","Programação 2"
"1411187","1411168",0.939259904564539,"Programação 2","Análise e Técnica de Algorítimos"
"1109113","1411189",0.925953559485714,"Compiladores","Matemática Discreta"
"1411189","1109113",0.925953559485714,"Matemática Discreta","Compiladores"
"1411168","1411181",0.900752799888976,"Laboratório de Programação 2","Programação 2"
"1411181","1411168",0.900752799888976,"Programação 2","Laboratório de Programação 2"
"1411173","1411188",0.895221578059701,"Métodos e Software Numéricos","Lógica Matemática"
"1411188","1411173",0.895221578059701,"Lógica Matemática","Métodos e Software Numéricos"
"1411173","1411196",0.884036835635577,"Inteligência Artificial","Lógica Matemática"
"1411196","1411173",0.884036835635577,"Lógica Matemática","Inteligência Artificial"
"1114114","1411168",0.876095217465655,"Programação 2","Métodos Estatísticos"
"1411168","1114114",0.876095217465655,"Métodos Estatísticos","Programação 2"
"1411172","1411179",0.868871885077406,"Laboratório de Estrutura de Dados","Estrutura de Dados"
"1411179","1411172",0.868871885077406,"Estrutura de Dados","Laboratório de Estrutura de Dados"
"1109035","1114114",0.848778973858485,"Métodos Estatísticos","Álgebra Vetorial e Geometria Analítica"
"1114114","1109035",0.848778973858485,"Álgebra Vetorial e Geometria Analítica","Métodos Estatísticos"
"1305220","1411197",0.833056287506233,"Avaliação de Desempenho de Sistemas Discretos","Informática e Sociedade"
"1411197","1305220",0.833056287506233,"Informática e Sociedade","Avaliação de Desempenho de Sistemas Discretos"
"1109113","1411187",0.82433887222111,"Análise e Técnica de Algorítimos","Matemática Discreta"
"1411187","1109113",0.82433887222111,"Matemática Discreta","Análise e Técnica de Algorítimos"
"1411179","1411184",0.821994936526786,"Laboratório de Interconexão de Redes de Computadores","Laboratório de Estrutura de Dados"
"1411179","1411191",0.821994936526786,"Interconexão de Redes de Computadores","Laboratório de Estrutura de Dados"
"1411184","1411179",0.821994936526786,"Laboratório de Estrutura de Dados","Laboratório de Interconexão de Redes de Computadores"
