CodigoDisciplina,Periodo,Cluster
1108090,1,1
1304025,1,1
1411183,1,1
1411169,1,1
1109106,1,1
1411186,2,1
1411184,2,1
1411283,2,1
1307151,2,1
1109053,3,1
1411173,3,1
1108090,1,2
1304025,1,2
1411190,1,2
1411192,1,2
1411180,1,2
1307151,2,2
1109053,2,2
1411238,2,2
1411242,2,2
1109105,2,2
1411178,2,2
1411170,2,2
1411184,3,2
1411186,3,2
1305220,3,2
1411281,3,2
1109106,3,2
1411183,3,2
1411197,3,2
1411283,4,2
1411173,4,2
1411193,4,2
1411243,4,2
1307150,4,2
1411169,4,2
1411195,4,2
1411249,4,2
1108089,4,2
1411192,1,3
1411169,1,3
1305220,1,3
1411178,1,3
1307151,1,3
1411281,1,3
1411181,1,3
1411183,1,3
1411197,1,3
1411279,1,3
1304025,1,3
1411173,2,3
1411186,2,3
1411195,2,3
1411193,2,3
1411249,2,3
1411243,2,3
1307150,2,3
1411168,2,3
1109106,2,3
1109053,2,3
1411180,2,3
1411184,3,3
1109049,3,3
1411188,3,3
1108090,3,3
1109049,3,3
1411190,4,3
1108089,4,3
1411242,4,3
1411238,4,3
1109105,4,3
1411170,4,3
1411167,4,3
1411283,4,3
1108090,1,4
1304025,1,4
1108089,1,4
1411184,1,4
1411183,1,4
1411186,2,4
1411197,2,4
1411192,2,4
1411180,2,4
1411238,2,4
1411173,2,4
1411283,3,4
1411169,3,4
1109053,3,4
1307151,3,4
1411243,3,4
1411170,3,4
1411242,3,4
1109106,4,4
