"disciplinas"|"codigo"|"periodo"|"matriculados"|"aprovados"|"reprovados"|"falta"|"R_F"
"Economia"|1303021|"2011.2"|70|87.14|12.86|NA|12.86
"BASQUETEBOL - MASC"|1304013|"2011.2"|18|100|NA|NA|0
"Futsal"|1304055|"2011.2"|24|100|NA|NA|0
"BASQUETE   MASC/FEM"|1304122|"2011.2"|4|100|NA|NA|0
"Relações Humanas"|1305020|"2011.2"|90|76.67|NA|23.33|23.33
"Sociologia Industrial I"|1305033|"2011.2"|32|100|NA|NA|0
"Metodologia Científica"|1305218|"2011.2"|37|100|NA|NA|0
"Direito e Cidadania"|1305219|"2011.2"|147|95.92|4.08|NA|4.08
"Informática e Sociedade"|1305220|"2011.2"|75|93.33|1.33|5.33|6.67
"Inglês"|1307150|"2011.2"|132|100|NA|NA|0
"Leitura e Produção de Textos"|1307151|"2011.2"|245|96.73|2.04|1.22|3.27
"Programação I"|1411167|"2011.2"|574|73.17|25.09|1.74|26.83
"Programação II"|1411168|"2011.2"|288|56.6|32.99|10.42|43.4
"Paradigmas de Linguagem de Programação"|1411169|"2011.2"|108|100|NA|NA|0
"Teoria dos Grafos"|1411170|"2011.2"|166|82.53|17.47|NA|17.47
"Teoria da Computação"|1411171|"2011.2"|200|89|9.5|1.5|11
"Estruturas de Dados e Algoritmos"|1411172|"2011.2"|282|81.21|18.79|NA|18.79
"Lógica Matemática"|1411173|"2011.2"|104|78.85|21.15|NA|21.15
"Introdução à Computação"|1411174|"2011.2"|342|90.64|6.14|3.22|9.36
"Organização e Arquitetura de Computadores"|1411175|"2011.2"|165|90.3|9.7|NA|9.7
"Gerência da Informação"|1411176|"2011.2"|200|79|12|9|21
"Engenharia de Software I"|1411177|"2011.2"|85|96.47|NA|3.53|3.53
"Sistemas de Informação I"|1411178|"2011.2"|166|91.57|6.63|1.81|8.43
"Lab. de Estruturas de Dados e Algoritmos"|1411179|"2011.2"|273|79.49|17.95|2.56|20.51
"Lab. de Programação I"|1411180|"2011.2"|570|73.68|21.75|4.56|26.32
"Lab. de Programação II"|1411181|"2011.2"|346|45.38|41.33|13.29|54.62
"Lab. de Organização e Arquitetura de Computadores"|1411182|"2011.2"|161|72.05|27.95|NA|27.95
"Lab. de Engenharia de Software"|1411183|"2011.2"|135|100|NA|NA|0
"Lab. de Interconexão de Redes de Computadores"|1411184|"2011.2"|123|99.19|NA|0.81|0.81
"Projeto em Computação I"|1411185|"2011.2"|93|100|NA|NA|0
"Projeto em Computação II"|1411186|"2011.2"|248|95.16|4.84|NA|4.84
"Análise e Técnicas de Algoritmos"|1411187|"2011.2"|50|100|NA|NA|0
"Métodos e Software Numéricos"|1411188|"2011.2"|140|100|NA|NA|0
"Compiladores"|1411189|"2011.2"|87|72.41|11.49|16.09|27.59
"Redes de Computadores"|1411190|"2011.2"|111|100|NA|NA|0
"Interconexão de Redes de Computadores"|1411191|"2011.2"|123|99.19|NA|0.81|0.81
"Sistemas Operacionais"|1411192|"2011.2"|67|95.52|4.48|NA|4.48
"Banco de Dados I"|1411193|"2011.2"|118|80.51|19.49|NA|19.49
"Banco de Dados II"|1411194|"2011.2"|120|94.17|5.83|NA|5.83
"Sistemas de Informação II"|1411195|"2011.2"|158|89.87|7.59|2.53|10.13
"Inteligência Artificial I"|1411196|"2011.2"|93|100|NA|NA|0
"Avaliação de Desempenho de Sistemas Discretos"|1411197|"2011.2"|152|97.37|NA|2.63|2.63
"Estágio Integrado"|1411203|"2011.2"|18|100|NA|NA|0
"Seminários (Educação Ambiental)"|1411238|"2011.2"|45|100|NA|NA|0
"TECC (Segurança em Redes de Computadores)"|1411242|"2011.2"|62|100|NA|NA|0
"TECC (Algoritmos Avançados I)"|1411243|"2011.2"|28|89.29|10.71|NA|10.71
"TECC (Economia de Tecnologia da Informação)"|1411244|"2011.2"|91|95.6|4.4|NA|4.4
"TECC (Modelagem de Ambientes Virtuais)"|1411268|"2011.2"|55|100|NA|NA|0
"TECC (Visão Computacional)"|1411276|"2011.2"|77|98.7|NA|1.3|1.3
"TECC (Estágio Integrado II)"|1411279|"2011.2"|3|100|NA|NA|0
"TECC(Empreendedorismo em Software)   "|1411281|"2011.2"|81|100|NA|NA|0
"TECC (Administração de Sistemas)"|1411282|"2011.2"|76|100|NA|NA|0
"TECC(Fundamentos de Prog. Concorrente)"|1411283|"2011.2"|70|94.29|1.43|4.29|5.71
"Fundamentos de Física Clássica"|1108089|"2012.1"|226|8.41|91.59|NA|91.59
"Fundamentos de Física Moderna"|1108090|"2012.1"|133|95.49|4.51|NA|4.51
"Álgebra Vetorial e Geometria Analítica"|1109035|"2012.1"|301|64.45|31.23|4.32|35.55
"Álgebra Linear"|1109049|"2012.1"|166|51.81|43.37|4.82|48.19
"Cálculo Diferencial e Integral II"|1109053|"2012.1"|201|22.89|71.64|5.47|77.11
"Cálculo Diferencial e Integral I"|1109103|"2012.1"|368|52.72|46.2|1.09|47.28
"Matemática Discreta"|1109113|"2012.1"|266|57.14|26.69|16.17|42.86
"Probabilidade e Estatística"|1114107|"2012.1"|171|35.09|64.33|0.58|64.91
"Métodos Estatísticos"|1114114|"2012.1"|107|85.05|14.95|NA|14.95
"Administração"|1301014|"2012.1"|33|87.88|12.12|NA|12.12
"Economia"|1303021|"2012.1"|64|56.25|26.56|17.19|43.75
"BASQUETEBOL - MASC"|1304013|"2012.1"|10|100|NA|NA|0
"BASQUETEBOL - FEM"|1304025|"2012.1"|6|100|NA|NA|0
"Futsal"|1304055|"2012.1"|16|100|NA|NA|0
"Sociologia Industrial I"|1305033|"2012.1"|44|95.45|NA|4.55|4.55
"Metodologia Científica"|1305218|"2012.1"|53|100|NA|NA|0
"Direito e Cidadania"|1305219|"2012.1"|108|100|NA|NA|0
"Informática e Sociedade"|1305220|"2012.1"|122|100|NA|NA|0
"Inglês"|1307150|"2012.1"|119|89.92|NA|10.08|10.08
"Leitura e Produção de Textos"|1307151|"2012.1"|258|87.6|0.78|11.63|12.4
"Programação I"|1411167|"2012.1"|529|71.27|20.79|7.94|28.73
"Programação II"|1411168|"2012.1"|257|70.82|29.18|NA|29.18
"Paradigmas de Linguagem de Programação"|1411169|"2012.1"|71|92.96|7.04|NA|7.04
"Teoria dos Grafos"|1411170|"2012.1"|182|81.87|18.13|NA|18.13
"Teoria da Computação"|1411171|"2012.1"|203|74.88|19.21|5.91|25.12
"Estruturas de Dados e Algoritmos"|1411172|"2012.1"|229|74.24|25.76|NA|25.76
"Lógica Matemática"|1411173|"2012.1"|185|84.32|7.57|8.11|15.68
"Introdução à Computação"|1411174|"2012.1"|358|93.02|3.91|3.07|6.98
"Organização e Arquitetura de Computadores"|1411175|"2012.1"|105|91.43|8.57|NA|8.57
"Gerência da Informação"|1411176|"2012.1"|199|77.89|16.58|5.53|22.11
"Engenharia de Software I"|1411177|"2012.1"|139|85.61|14.39|NA|14.39
"Sistemas de Informação I"|1411178|"2012.1"|119|94.96|5.04|NA|5.04
"Lab. de Estruturas de Dados e Algoritmos"|1411179|"2012.1"|220|72.73|25.45|1.82|27.27
"Lab. de Programação I"|1411180|"2012.1"|525|71.05|20.38|8.57|28.95
"Lab. de Programação II"|1411181|"2012.1"|531|58.57|29.19|12.24|41.43
"Lab. de Organização e Arquitetura de Computadores"|1411182|"2012.1"|126|88.89|8.73|2.38|11.11
"Lab. de Engenharia de Software"|1411183|"2012.1"|75|96|NA|4|4
"Lab. de Interconexão de Redes de Computadores"|1411184|"2012.1"|78|88.46|11.54|NA|11.54
"Projeto em Computação I"|1411185|"2012.1"|42|92.86|7.14|NA|7.14
"Projeto em Computação II"|1411186|"2012.1"|99|100|NA|NA|0
"Análise e Técnicas de Algoritmos"|1411187|"2012.1"|124|100|NA|NA|0
"Métodos e Software Numéricos"|1411188|"2012.1"|126|100|NA|NA|0
"Compiladores"|1411189|"2012.1"|107|88.79|11.21|NA|11.21
"Redes de Computadores"|1411190|"2012.1"|110|93.64|6.36|NA|6.36
"Interconexão de Redes de Computadores"|1411191|"2012.1"|78|88.46|11.54|NA|11.54
"Sistemas Operacionais"|1411192|"2012.1"|87|100|NA|NA|0
"Banco de Dados I"|1411193|"2012.1"|156|79.49|20.51|NA|20.51
"Banco de Dados II"|1411194|"2012.1"|126|82.54|17.46|NA|17.46
"Sistemas de Informação II"|1411195|"2012.1"|185|95.68|4.32|NA|4.32
"Inteligência Artificial I"|1411196|"2012.1"|79|100|NA|NA|0
"Avaliação de Desempenho de Sistemas Discretos"|1411197|"2012.1"|69|100|NA|NA|0
"Empreendedorismo"|1411201|"2012.1"|21|100|NA|NA|0
"Estágio Integrado"|1411203|"2012.1"|30|100|NA|NA|0
"GERENCIA DE Redes de Computadores"|1411204|"2012.1"|48|100|NA|NA|0
"Sistemas de Informações Geográficas"|1411221|"2012.1"|45|86.67|6.67|6.67|13.33
"Seminários (Educação Ambiental)"|1411238|"2012.1"|69|100|NA|NA|0
"TECC (Economia de Tecnologia da Informação)"|1411244|"2012.1"|56|100|NA|NA|0
"TECC (Algoritmos Avançados III)"|1411250|"2012.1"|44|93.18|6.82|NA|6.82
"TEC (Princípios de Administração Financeira)"|1411256|"2012.1"|163|90.8|5.52|3.68|9.2
"TECC (Fundamentos e Aplicações de Realidade Virtual)"|1411266|"2012.1"|60|100|NA|NA|0
"TECC (Estágio Integrado II)"|1411279|"2012.1"|3|100|NA|NA|0
"TECC(Empreendedorismo em Software)   "|1411281|"2012.1"|176|100|NA|NA|0
"TECC(Fundamentos de Prog. Concorrente)"|1411283|"2012.1"|72|94.44|NA|5.56|5.56
"TECC(DIDATICA EM CIENCIA DA COMPUTACAO)"|1411285|"2012.1"|58|100|NA|NA|0
"TECC(METODOS E P T G M DADOS HISTORICOS)"|1411286|"2012.1"|70|100|NA|NA|0
"Introdução à Arquitetura"|1503121|"2012.1"|3|NA|NA|100|NA
"Fundamentos de Física Clássica"|1108089|"2012.2"|303|69.97|29.37|0.66|30.03
"Fundamentos de Física Moderna"|1108090|"2012.2"|45|100|NA|NA|0
"Álgebra Vetorial e Geometria Analítica"|1109035|"2012.2"|300|55|41.67|3.33|45
"Álgebra Linear"|1109049|"2012.2"|193|48.7|37.31|13.99|51.3
"Cálculo Diferencial e Integral II"|1109053|"2012.2"|312|50.64|46.47|2.88|49.36
"Cálculo Diferencial e Integral I"|1109103|"2012.2"|288|39.24|54.86|5.9|60.76
"Cálculo Diferencial e Integral III"|1109105|"2012.2"|3|100|NA|NA|0
"EQUACOES DIFERENCIAIS"|1109106|"2012.2"|3|100|NA|NA|0
"Matemática Discreta"|1109113|"2012.2"|344|56.4|43.6|NA|43.6
"Probabilidade e Estatística"|1114107|"2012.2"|222|42.34|53.6|4.05|57.66
"Métodos Estatísticos"|1114114|"2012.2"|95|95.79|4.21|NA|4.21
"Administração"|1301014|"2012.2"|60|93.33|6.67|NA|6.67
"Economia"|1303021|"2012.2"|86|61.63|38.37|NA|38.37
"BASQUETEBOL - MASC"|1304013|"2012.2"|10|100|NA|NA|0
"BASQUETEBOL - FEM"|1304025|"2012.2"|4|100|NA|NA|0
"Futsal"|1304055|"2012.2"|8|100|NA|NA|0
"Sociologia Industrial I"|1305033|"2012.2"|81|100|NA|NA|0
"Metodologia Científica"|1305218|"2012.2"|57|100|NA|NA|0
"Direito e Cidadania"|1305219|"2012.2"|114|100|NA|NA|0
"Informática e Sociedade"|1305220|"2012.2"|132|92.42|NA|7.58|7.58
"Inglês"|1307150|"2012.2"|21|100|NA|NA|0
"Leitura e Produção de Textos"|1307151|"2012.2"|237|94.51|1.27|4.22|5.49
"Programação I"|1411167|"2012.2"|322|58.39|24.22|17.39|41.61
"Programação II"|1411168|"2012.2"|292|88.01|11.99|NA|11.99
"Paradigmas de Linguagem de Programação"|1411169|"2012.2"|54|96.3|3.7|NA|3.7
"Teoria dos Grafos"|1411170|"2012.2"|142|88.03|11.97|NA|11.97
"Teoria da Computação"|1411171|"2012.2"|100|59|30|11|41
"Estruturas de Dados e Algoritmos"|1411172|"2012.2"|232|78.45|21.55|NA|21.55
"Lógica Matemática"|1411173|"2012.2"|136|92.65|7.35|NA|7.35
"Introdução à Computação"|1411174|"2012.2"|422|86.97|12.8|0.24|13.03
"Organização e Arquitetura de Computadores"|1411175|"2012.2"|111|96.4|3.6|NA|3.6
"Gerência da Informação"|1411176|"2012.2"|217|62.67|35.48|1.84|37.33
"Engenharia de Software I"|1411177|"2012.2"|59|100|NA|NA|0
"Sistemas de Informação I"|1411178|"2012.2"|84|92.86|7.14|NA|7.14
"Lab. de Estruturas de Dados e Algoritmos"|1411179|"2012.2"|181|80.11|17.68|2.21|19.89
"Lab. de Programação I"|1411180|"2012.2"|318|59.12|28.93|11.95|40.88
"Lab. de Programação II"|1411181|"2012.2"|341|78.3|15.84|5.87|21.7
"Lab. de Organização e Arquitetura de Computadores"|1411182|"2012.2"|103|97.09|2.91|NA|2.91
"Lab. de Engenharia de Software"|1411183|"2012.2"|90|93.33|6.67|NA|6.67
"Lab. de Interconexão de Redes de Computadores"|1411184|"2012.2"|103|94.17|5.83|NA|5.83
"Projeto em Computação I"|1411185|"2012.2"|99|100|NA|NA|0
"Projeto em Computação II"|1411186|"2012.2"|33|100|NA|NA|0
"Análise e Técnicas de Algoritmos"|1411187|"2012.2"|110|100|NA|NA|0
"Métodos e Software Numéricos"|1411188|"2012.2"|131|100|NA|NA|0
"Compiladores"|1411189|"2012.2"|127|94.49|2.36|3.15|5.51
"Redes de Computadores"|1411190|"2012.2"|78|83.33|16.67|NA|16.67
"Interconexão de Redes de Computadores"|1411191|"2012.2"|103|94.17|5.83|NA|5.83
"Sistemas Operacionais"|1411192|"2012.2"|75|90.67|NA|9.33|9.33
"Banco de Dados I"|1411193|"2012.2"|141|92.2|7.8|NA|7.8
"Banco de Dados II"|1411194|"2012.2"|148|86.49|13.51|NA|13.51
"Sistemas de Informação II"|1411195|"2012.2"|143|97.2|1.4|1.4|2.8
"Inteligência Artificial I"|1411196|"2012.2"|50|100|NA|NA|0
"Avaliação de Desempenho de Sistemas Discretos"|1411197|"2012.2"|70|91.43|NA|8.57|8.57
"Estágio Integrado"|1411203|"2012.2"|24|100|NA|NA|0
"Projeto de Redes de Computadores"|1411217|"2012.2"|15|100|NA|NA|0
"Redes Neurais"|1411226|"2012.2"|30|100|NA|NA|0
"Seminários (Educação Ambiental)"|1411238|"2012.2"|33|100|NA|NA|0
"TECC (Economia de Tecnologia da Informação)"|1411244|"2012.2"|27|100|NA|NA|0
"TECC (Algoritmos Avançados II)"|1411247|"2012.2"|42|85.71|14.29|NA|14.29
"TECC (Métodos Formais)"|1411249|"2012.2"|35|80|20|NA|20
"TECC (Modelagem de Ambientes Virtuais)"|1411268|"2012.2"|42|100|NA|NA|0
"TECC(Empreendedorismo em Software)   "|1411281|"2012.2"|72|100|NA|NA|0
"TECC(Fundamentos de Prog. Concorrente)"|1411283|"2012.2"|32|96.88|3.12|NA|3.12
"TECC(DIDATICA EM CIENCIA DA COMPUTACAO)"|1411285|"2012.2"|38|100|NA|NA|0
"TECC(METODOS E P T G M DADOS HISTORICOS)"|1411287|"2012.2"|32|100|NA|NA|0
"TECC(DIDATICA EM CIENCIA DA COMPUTACAO II)"|1411288|"2012.2"|26|100|NA|NA|0
