"disciplinas"|"codigo"|"periodo"|"matriculados"|"aprovados"|"reprovados"|"falta"|"R_F"
"Fundamentos de Física Clássica"|1108089|"2011.1"|203|83.74|16.26|NA|16.26
"Fundamentos de Física Moderna"|1108090|"2011.1"|180|100|NA|NA|0
"Álgebra Vetorial e Geometria Analítica"|1109035|"2011.1"|325|48|46.15|5.85|52
"Álgebra Linear"|1109049|"2011.1"|171|66.08|30.41|3.51|33.92
"Cálculo Diferencial e Integral II"|1109053|"2011.1"|205|38.05|58.54|3.41|61.95
"Cálculo Diferencial e Integral I"|1109103|"2011.1"|390|45.9|51.03|3.08|54.1
"Matemática Discreta"|1109113|"2011.1"|229|60.26|35.37|4.37|39.74
"Probabilidade e Estatística"|1114107|"2011.1"|217|62.67|36.87|0.46|37.33
"Métodos Estatísticos"|1114114|"2011.1"|157|63.06|36.31|0.64|36.94
"Administração"|1301014|"2011.1"|73|90.41|9.59|NA|9.59
"Economia"|1303021|"2011.1"|70|85.71|14.29|NA|14.29
"BASQUETEBOL - MASC"|1304013|"2011.1"|20|100|NA|NA|0
"Futsal"|1304055|"2011.1"|12|100|NA|NA|0
"Relações Humanas"|1305020|"2011.1"|69|82.61|17.39|NA|17.39
"Sociologia Industrial I"|1305033|"2011.1"|20|100|NA|NA|0
"Direito e Cidadania"|1305219|"2011.1"|187|99.47|0.53|NA|0.53
"Informática e Sociedade"|1305220|"2011.1"|110|100|NA|NA|0
"Programação I"|1411167|"2011.1"|371|71.97|23.18|4.85|28.03
"Programação II"|1411168|"2011.1"|233|78.97|18.45|2.58|21.03
"Paradigmas de Linguagem de Programação"|1411169|"2011.1"|42|100|NA|NA|0
"Teoria dos Grafos"|1411170|"2011.1"|179|92.74|7.26|NA|7.26
"Teoria da Computação"|1411171|"2011.1"|191|88.48|7.33|4.19|11.52
"Estruturas de Dados e Algoritmos"|1411172|"2011.1"|205|82.93|16.59|0.49|17.07
"Lógica Matemática"|1411173|"2011.1"|64|85.94|9.38|4.69|14.06
"Introdução à Computação"|1411174|"2011.1"|252|87.7|11.9|0.4|12.3
"Organização e Arquitetura de Computadores"|1411175|"2011.1"|80|100|NA|NA|0
"Gerência da Informação"|1411176|"2011.1"|262|57.63|29.77|12.6|42.37
"Engenharia de Software I"|1411177|"2011.1"|136|97.79|2.21|NA|2.21
"Sistemas de Informação I"|1411178|"2011.1"|100|100|NA|NA|0
"Lab. de Estruturas de Dados e Algoritmos"|1411179|"2011.1"|175|89.71|9.71|0.57|10.29
"Lab. de Programação I"|1411180|"2011.1"|352|75|21.59|3.41|25
"Lab. de Programação II"|1411181|"2011.1"|282|75.53|22.7|1.77|24.47
"Lab. de Organização e Arquitetura de Computadores"|1411182|"2011.1"|176|95.45|4.55|NA|4.55
"Lab. de Engenharia de Software"|1411183|"2011.1"|64|90.62|NA|9.38|9.38
"Lab. de Interconexão de Redes de Computadores"|1411184|"2011.1"|95|100|NA|NA|0
"Projeto em Computação I"|1411185|"2011.1"|246|100|NA|NA|0
"Projeto em Computação II"|1411186|"2011.1"|61|90.16|9.84|NA|9.84
"Análise e Técnicas de Algoritmos"|1411187|"2011.1"|119|71.43|26.05|2.52|28.57
"Métodos e Software Numéricos"|1411188|"2011.1"|61|95.08|4.92|NA|4.92
"Compiladores"|1411189|"2011.1"|122|85.25|11.48|3.28|14.75
"Redes de Computadores"|1411190|"2011.1"|126|88.89|11.11|NA|11.11
"Interconexão de Redes de Computadores"|1411191|"2011.1"|95|100|NA|NA|0
"Sistemas Operacionais"|1411192|"2011.1"|102|97.06|NA|2.94|2.94
"Banco de Dados I"|1411193|"2011.1"|137|97.81|2.19|NA|2.19
"Banco de Dados II"|1411194|"2011.1"|141|94.33|NA|5.67|5.67
"Sistemas de Informação II"|1411195|"2011.1"|203|77.34|20.2|2.46|22.66
"Inteligência Artificial I"|1411196|"2011.1"|68|100|NA|NA|0
"Avaliação de Desempenho de Sistemas Discretos"|1411197|"2011.1"|136|94.12|2.94|2.94|5.88
"Empreendedorismo"|1411201|"2011.1"|33|100|NA|NA|0
"Estágio Integrado"|1411203|"2011.1"|36|88.89|NA|11.11|11.11
"Sistemas de Informações Geográficas"|1411221|"2011.1"|105|94.29|5.71|NA|5.71
"Redes Neurais"|1411226|"2011.1"|33|100|NA|NA|0
"Seminários (Educação Ambiental)"|1411238|"2011.1"|96|100|NA|NA|0
"TECC (Economia de Tecnologia da Informação)"|1411244|"2011.1"|156|100|NA|NA|0
"TECC (Redes Ad Hoc Sem Fio)"|1411265|"2011.1"|9|100|NA|NA|0
"TECC (Fundamentos e Aplicações de Realidade Virtual)"|1411266|"2011.1"|30|100|NA|NA|0
"TECC (Sistemas de Recuperação da Informação)"|1411267|"2011.1"|77|100|NA|NA|0
"TECC (Estágio Integrado II)"|1411279|"2011.1"|6|100|NA|NA|0
"Química Geral"|1107232|"2011.2"|3|100|NA|NA|0
"Fundamentos de Física Clássica"|1108089|"2011.2"|189|61.38|38.62|NA|38.62
"Fundamentos de Física Moderna"|1108090|"2011.2"|69|100|NA|NA|0
"Álgebra Vetorial e Geometria Analítica"|1109035|"2011.2"|374|57.22|39.84|2.94|42.78
"Álgebra Linear"|1109049|"2011.2"|194|53.61|43.81|2.58|46.39
"Cálculo Diferencial e Integral II"|1109053|"2011.2"|267|60.3|36.33|3.37|39.7
"Cálculo Diferencial e Integral I"|1109103|"2011.2"|347|44.96|51.59|3.46|55.04
"Cálculo Diferencial e Integral III"|1109105|"2011.2"|3|100|NA|NA|0
"Matemática Discreta"|1109113|"2011.2"|336|63.69|25|11.31|36.31
"EXPRESSAO GRAFICA"|1113019|"2011.2"|3|100|NA|NA|0
"Probabilidade e Estatística"|1114107|"2011.2"|179|70.39|29.61|NA|29.61
"Métodos Estatísticos"|1114114|"2011.2"|151|90.07|7.95|1.99|9.93
"Administração"|1301014|"2011.2"|21|100|NA|NA|0
