nota1,nota2,nota3,final,media,disciplina,matricula
9.0,8.5,7.2,-1.0,8.2,Projeto em Computação II,107110610
9.5,9.5,7.8,-1.0,8.9,Projeto em Computação II,107110012
9.0,9.0,7.5,-1.0,8.5,Projeto em Computação II,106210601
9.0,5.5,9.0,-1.0,7.8,Projeto em Computação II,106210600
9.0,8.5,7.0,-1.0,8.2,Projeto em Computação II,107110031
0.0,0.0,0.0,-1.0,0.0,Projeto em Computação II,111110902
9.0,9.0,7.5,-1.0,8.5,Projeto em Computação II,106210596
0.0,0.0,0.0,-1.0,0.0,Projeto em Computação II,106110120
9.5,6.5,3.0,6.3,6.3,Projeto em Computação II,107110563
6.0,7.0,9.3,-1.0,7.4,Projeto em Computação II,106110125
9.5,8.0,8.3,-1.0,8.6,Projeto em Computação II,107110017
8.0,7.5,8.5,-1.0,8.0,Projeto em Computação II,107110001
8.3,7.5,8.2,-1.0,8.0,Projeto em Computação II,107110021
9.0,5.5,9.0,-1.0,7.8,Projeto em Computação II,110110100
9.5,9.5,7.7,-1.0,8.9,Projeto em Computação II,107110028
9.0,9.0,7.5,-1.0,8.5,Projeto em Computação II,106210157
9.5,8.0,8.3,-1.0,8.6,Projeto em Computação II,107110005
9.0,5.7,9.0,-1.0,7.9,Projeto em Computação II,106210167
9.0,7.5,7.5,-1.0,8.0,Projeto em Computação II,107110014
9.5,9.5,7.7,-1.0,8.9,Projeto em Computação II,107110035
8.5,9.0,8.5,-1.0,8.6,Projeto em Computação II,107210004
9.5,10.0,8.5,-1.0,9.0,Projeto em Computação II,107210007
8.5,9.0,8.5,-1.0,8.6,Projeto em Computação II,104210032
9.0,9.5,9.5,-1.0,9.4,Projeto em Computação II,108110031
9.0,9.0,8.0,-1.0,8.4,Projeto em Computação II,108110018
9.0,9.0,8.0,-1.0,8.4,Projeto em Computação II,108110034
8.5,9.0,9.0,-1.0,8.9,Projeto em Computação II,108110015
9.0,9.0,8.0,-1.0,8.4,Projeto em Computação II,108210200
8.5,8.5,8.5,-1.0,8.5,Projeto em Computação II,108110016
9.5,10.0,9.5,-1.0,9.6,Projeto em Computação II,109110076
9.0,9.0,8.0,-1.0,8.4,Projeto em Computação II,108210204
8.5,9.0,9.0,-1.0,8.9,Projeto em Computação II,108110013
9.5,10.0,9.5,-1.0,9.6,Projeto em Computação II,111210419
9.5,10.0,9.5,-1.0,9.6,Projeto em Computação II,112110919
9.0,9.5,9.5,-1.0,9.4,Projeto em Computação II,108110032
7.0,8.0,9.0,-1.0,8.4,Projeto em Computação II,110110978
6.2,10.0,6.2,-1.0,7.0,Projeto em Computação II,107110434
6.0,7.0,8.5,-1.0,7.7,Projeto em Computação II,107110437
9.5,10.0,8.5,-1.0,9.0,Projeto em Computação II,107210016
9.5,10.0,9.5,-1.0,9.6,Projeto em Computação II,107210013
8.5,8.0,8.5,-1.0,8.4,Projeto em Computação II,107210010
9.0,9.5,9.5,-1.0,9.4,Projeto em Computação II,108110020
8.0,9.0,8.5,-1.0,8.5,Projeto em Computação II,108110009
8.5,8.5,8.5,-1.0,8.5,Projeto em Computação II,108110004
8.0,8.0,8.5,-1.0,8.3,Projeto em Computação II,108110028
8.5,9.0,9.0,-1.0,8.9,Projeto em Computação II,108110003
