nota1,nota2,nota3,final,media,periodo,coddisciplina,disciplina,matricula,situacao,erro
7.5,8.8,6.0,-1.0,7.4,20122,1411186,Projeto em Computação II,110110069,A,0.0333333333333
8.5,8.05,8.45,-1.0,8.3,20112,1411186,Projeto em Computação II,108110604,A,0.0333333333333
8.0,8.2,8.8,-1.0,8.3,20112,1411186,Projeto em Computação II,107210001,A,0.0333333333333
9.5,8.5,8.7,-1.0,8.9,20112,1411186,Projeto em Computação II,109110112,A,0.0
8.5,7.8,8.1,-1.0,8.1,20112,1411186,Projeto em Computação II,108210284,A,0.0333333333333
5.0,6.15,6.7,5.0,5.6,20112,1411186,Projeto em Computação II,105210141,A,
1.5,0.0,3.4,-1.0,1.6,20112,1411186,Projeto em Computação II,111110902,R,
10.0,9.5,8.9,-1.0,9.5,20112,1411186,Projeto em Computação II,106110138,A,0.0333333333333
7.0,7.75,8.6,-1.0,7.8,20112,1411186,Projeto em Computação II,111210057,A,0.0166666666667
10.0,10.0,9.9,-1.0,10.0,20112,1411186,Projeto em Computação II,108110035,A,0.0333333333333
7.5,7.5,8.6,-1.0,7.9,20112,1411186,Projeto em Computação II,110210045,A,0.0333333333333
8.5,8.4,9.2,-1.0,8.7,20112,1411186,Projeto em Computação II,108110010,A,0.0
10.0,10.0,9.9,-1.0,10.0,20112,1411186,Projeto em Computação II,108110502,A,0.0333333333333
8.25,7.55,8.1,-1.0,8.0,20112,1411186,Projeto em Computação II,108110501,A,0.0333333333333
9.0,8.3,8.45,-1.0,8.6,20112,1411186,Projeto em Computação II,108110500,A,0.0166666666667
9.25,9.25,8.8,-1.0,9.1,20112,1411186,Projeto em Computação II,106210162,A,0.0
9.0,7.65,6.6,-1.0,7.8,20112,1411186,Projeto em Computação II,107110003,A,0.05
9.25,9.0,8.9,-1.0,9.1,20112,1411186,Projeto em Computação II,106210166,A,0.05
8.25,8.1,8.7,-1.0,8.4,20112,1411186,Projeto em Computação II,106210165,A,0.05
8.25,8.1,8.7,-1.0,8.4,20112,1411186,Projeto em Computação II,106210598,A,0.05
7.0,7.0,8.6,-1.0,7.5,20112,1411186,Projeto em Computação II,111110122,A,0.0333333333333
8.5,8.1,8.7,-1.0,8.4,20112,1411186,Projeto em Computação II,106210158,A,0.0333333333333
4.5,3.5,0.0,-1.0,2.7,20112,1411186,Projeto em Computação II,110110978,R,
6.75,7.15,7.45,-1.0,7.1,20112,1411186,Projeto em Computação II,111110916,A,0.0166666666667
9.75,9.0,8.9,-1.0,9.2,20112,1411186,Projeto em Computação II,107110436,A,0.0166666666667
8.0,8.7,8.8,-1.0,8.5,20112,1411186,Projeto em Computação II,107210017,A,0.0
8.75,8.05,8.1,-1.0,8.3,20112,1411186,Projeto em Computação II,108110019,A,1.7763568394e-15
8.5,8.5,8.7,-1.0,8.6,20112,1411186,Projeto em Computação II,107210015,A,0.0333333333333
8.0,8.7,8.8,-1.0,8.5,20112,1411186,Projeto em Computação II,107210032,A,0.0
9.25,9.25,8.8,-1.0,9.1,20112,1411186,Projeto em Computação II,107210012,A,0.0
9.25,9.25,8.8,-1.0,9.1,20112,1411186,Projeto em Computação II,107210011,A,0.0
10.0,10.0,9.9,-1.0,10.0,20112,1411186,Projeto em Computação II,108110024,A,0.0333333333333
9.5,8.5,8.7,-1.0,8.9,20112,1411186,Projeto em Computação II,109210282,A,0.0
8.5,8.4,9.2,-1.0,8.7,20112,1411186,Projeto em Computação II,108110021,A,0.0
5.0,6.15,6.7,5.0,5.6,20112,1411186,Projeto em Computação II,105210160,A,
9.2,9.2,9.7,-1.0,9.4,20112,1411186,Projeto em Computação II,109210015,A,0.0333333333333
9.2,9.2,9.7,-1.0,9.4,20112,1411186,Projeto em Computação II,108110007,A,0.0333333333333
8.5,8.4,9.2,-1.0,8.7,20112,1411186,Projeto em Computação II,108110005,A,0.0
9.2,9.45,9.7,-1.0,9.5,20112,1411186,Projeto em Computação II,108110002,A,0.05
7.75,7.9,7.45,-1.0,7.7,20112,1411186,Projeto em Computação II,111110914,A,0.0
8.0,8.7,8.8,-1.0,8.5,20112,1411186,Projeto em Computação II,105110107,A,0.0
8.25,8.1,8.7,-1.0,8.4,20112,1411186,Projeto em Computação II,106210151,A,0.05
10.0,10.0,6.0,-1.0,8.7,20111,1108090,Fundamentos de Física Moderna,111110923,A,0.0333333333333
8.0,10.0,3.0,-1.0,7.0,20111,1108090,Fundamentos de Física Moderna,111110124,A,0.0
10.0,10.0,3.0,-1.0,7.7,20111,1108090,Fundamentos de Física Moderna,110110848,A,0.0333333333333
10.0,10.0,6.0,-1.0,8.7,20111,1108090,Fundamentos de Física Moderna,110110108,A,0.0333333333333
10.0,10.0,3.0,-1.0,7.7,20111,1108090,Fundamentos de Física Moderna,107210223,A,0.0333333333333
9.0,10.0,6.5,-1.0,8.5,20111,1108090,Fundamentos de Física Moderna,110110124,A,0.0
10.0,10.0,6.0,-1.0,8.7,20111,1108090,Fundamentos de Física Moderna,110110049,A,0.0333333333333
10.0,9.0,7.5,-1.0,8.8,20111,1108090,Fundamentos de Física Moderna,108210207,A,0.0333333333333
10.0,10.0,7.5,-1.0,9.2,20111,1108090,Fundamentos de Física Moderna,110110065,A,0.0333333333333
10.0,10.0,3.0,-1.0,7.7,20111,1108090,Fundamentos de Física Moderna,110110044,A,0.0333333333333
10.0,10.0,6.5,-1.0,8.8,20111,1108090,Fundamentos de Física Moderna,109110118,A,0.0333333333333
10.0,10.0,10.0,-1.0,10.0,20111,1108090,Fundamentos de Física Moderna,110110047,A,0.0
10.0,10.0,3.0,-1.0,7.7,20111,1108090,Fundamentos de Física Moderna,110110043,A,0.0333333333333
10.0,10.0,9.0,-1.0,9.7,20111,1108090,Fundamentos de Física Moderna,109210285,A,0.0333333333333
10.0,10.0,5.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,109110079,A,0.0333333333333
10.0,10.0,8.0,-1.0,9.3,20111,1108090,Fundamentos de Física Moderna,111110088,A,0.0333333333333
10.0,10.0,2.5,-1.0,7.5,20111,1108090,Fundamentos de Física Moderna,110110127,A,0.0
10.0,9.0,5.0,-1.0,8.0,20111,1108090,Fundamentos de Física Moderna,109110056,A,0.0
10.0,10.0,4.0,-1.0,8.0,20111,1108090,Fundamentos de Física Moderna,110110088,A,0.0
10.0,10.0,9.5,-1.0,9.8,20111,1108090,Fundamentos de Física Moderna,109210060,A,0.0333333333333
10.0,10.0,5.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,111110112,A,0.0333333333333
10.0,10.0,5.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,111110086,A,0.0333333333333
10.0,10.0,5.0,-1.0,8.3,20111,1108090,Fundamentos de Física Moderna,109210063,A,0.0333333333333
10.0,9.0,7.5,-1.0,8.8,20111,1108090,Fundamentos de Física Moderna,109110074,A,0.0333333333333
