NomeDisciplina,CodigoDisciplina,Departamento,Optativa
Projeto em Computação II,1411186,dsc,FALSE
Fundamentos de Física Moderna,1108090,dme,FALSE
BASQUETEBOL - FEM,1304025,esportes,TRUE
Cálculo Diferencial e Integral II,1109053,dme,FALSE
TECC(Fundamentos de Prog. Concorrente),1411283,dsc,TRUE
Paradigmas de Linguagem de Programação,1411169,dsc,FALSE
EQUACOES DIFERENCIAIS,1109106,dme,TRUE
Leitura e Produção de Textos,1307151,humanas,FALSE
Lab. de Interconexão de Redes de Computadores,1411184,dsc,FALSE
Lab. de Engenharia de Software,1411183,dsc,FALSE
Lógica Matemática,1411173,dsc,FALSE
Sistemas Operacionais,1411192,dsc,FALSE
Avaliação de Desempenho de Sistemas Discretos,1411197,dsc,FALSE
Fundamentos de Física Clássica,1108089,dme,FALSE
Lab. de Programação I,1411180,dsc,FALSE
Teoria dos Grafos,1411170,dsc,FALSE
TECC (Segurança em Redes de Computadores),1411242,dsc,TRUE
TECC (Algoritmos Avançados I),1411243,dsc,TRUE
Seminários (Educação Ambiental),1411238,humanas,TRUE
Inglês,1307150,humanas,TRUE
Banco de Dados I,1411193,dsc,FALSE
Informática e Sociedade,1305220,humanas,FALSE
Redes de Computadores,1411190,dsc,FALSE
Cálculo Diferencial e Integral III,1109105,dme,TRUE
Sistemas de Informação II,1411195,dsc,FALSE
TECC (Métodos Formais),1411249,dsc,TRUE
TECC(Empreendedorismo em Software)   ,1411281,dsc,TRUE
Sistemas de Informação I,1411178,dsc,FALSE
TECC (Estágio Integrado II),1411279,dsc,TRUE
Programação II,1411168,dsc,FALSE
Álgebra Linear,1109049,dsc,FALSE
Álgebra Linear,1109049,dme,FALSE
Métodos e Software Numéricos,1411188,dsc,FALSE
Programação I,1411167,dsc,FALSE
Lab. de Programação II,1411181,dsc,FALSE
Futsal,1304055,esportes,TRUE
TECC(DIDATICA EM CIENCIA DA COMPUTACAO),1411285,dsc,TRUE
TECC (Visão Computacional),1411276,dsc,TRUE
Lab. de Estruturas de Dados e Algoritmos,1411179,dsc,FALSE
Sociologia Industrial I,1305033,humanas,TRUE
GERENCIA DE Redes de Computadores,1411204,dsc,TRUE
BASQUETE   MASC/FEM,1304122,esportes,TRUE
TECC (Fundamentos e Aplicações de Realidade Virtual),1411266,dsc,TRUE
TECC (Economia de Tecnologia da Informação),1411244,dsc,TRUE
Organização e Arquitetura de Computadores,1411175,dsc,FALSE
Lab. de Organização e Arquitetura de Computadores,1411182,dsc,FALSE
Probabilidade e Estatística,1114107,dme,FALSE
Estágio Integrado,1411203,dsc,TRUE
Banco de Dados II,1411194,dsc,FALSE
TEC (Princípios de Administração Financeira),1411256,dsc,TRUE
BASQUETEBOL - MASC,1304013,esportes,TRUE
TECC (Sistemas de Recuperação da Informação),1411267,dsc,TRUE
EXPRESSAO GRAFICA,1113019,dme,TRUE
TECC (Modelagem de Ambientes Virtuais),1411268,dsc,TRUE
Empreendedorismo,1411201,dsc,TRUE
Metodologia Científica,1305218,dsc,FALSE
Cálculo Diferencial e Integral I,1109103,dme,FALSE
Interconexão de Redes de Computadores,1411191,dsc,FALSE
Introdução à Computação,1411174,dsc,FALSE
TECC (Redes Ad Hoc Sem Fio),1411265,dsc,TRUE
TECC (Administração de Sistemas),1411282,dsc,TRUE
Análise e Técnicas de Algoritmos,1411187,dsc,FALSE
Sistemas de Informações Geográficas,1411221,dsc,TRUE
Álgebra Vetorial e Geometria Analítica,1109035,dme,FALSE
TECC(METODOS E P T G M DADOS HISTORICOS),1411287,dsc,TRUE
Engenharia de Software I,1411177,dsc,FALSE
Projeto de Redes de Computadores,1411217,dsc,TRUE
Gerência da Informação,1411176,dsc,FALSE
Direito e Cidadania,1305219,humanas,FALSE
Inteligência Artificial I,1411196,dsc,FALSE
TECC(DIDATICA EM CIENCIA DA COMPUTACAO II),1411288,dsc,TRUE
Economia,1303021,humanas,TRUE
Teoria da Computação,1411171,dsc,FALSE
Redes Neurais,1411226,dsc,TRUE
Projeto em Computação I,1411185,dsc,FALSE
Matemática Discreta,1109113,dsc,FALSE
TECC (Algoritmos Avançados III),1411250,dsc,TRUE
Administração,1301014,humanas,TRUE
Métodos Estatísticos,1114114,dme,FALSE
Química Geral,1107232,humanas,TRUE
Estruturas de Dados e Algoritmos,1411172,dsc,FALSE
Relações Humanas,1305020,humanas,TRUE
Compiladores,1411189,dsc,FALSE
TECC (Algoritmos Avançados II),1411247,dsc,TRUE
