"aluno","periodo","cre"
616,20111,7.40
921,20111,7.57
921,20112,7.88
921,20121,7.76
921,20122,7.95
929,20111,5.18
929,20112,5.20
929,20121,4.89
1012,20111,6.59
1012,20112,6.32
1015,20111,8.45
1015,20112,7.89
1015,20121,8.00
1017,20111,6.59
1018,20111,5.32
1018,20112,5.97
1123,20112,8.15
1224,20122,3.62
5275,20111,7.23
5275,20112,6.94
5275,20121,7.37
5275,20122,7.59
6218,20111,5.89
6218,20112,7.00
6218,20121,6.82
6218,20122,6.82
6283,20111,8.42
7123,20111,8.96
7180,20111,8.43
7258,20111,9.03
7258,20112,8.74
7262,20111,7.89
7262,20112,8.34
7262,20121,8.49
7262,20122,8.57
7268,20111,4.18
7268,20112,5.62
7268,20121,5.37
7268,20122,5.78
7293,20111,6.65
7293,20112,7.14
7293,20121,6.81
7293,20122,6.90
8149,20111,8.14
8149,20112,7.92
8179,20111,5.46
8179,20112,6.37
8179,20121,5.74
8196,20111,8.14
8196,20112,8.42
8196,20122,8.41
9111,20111,7.26
9111,20112,7.34
9111,20121,7.41
9111,20122,7.27
9131,20111,4.45
9131,20112,5.16
9131,20121,5.14
9147,20111,7.80
9147,20112,7.31
9147,20121,7.50
9147,20122,7.30
9151,20111,6.97
9151,20112,7.94
9151,20121,7.42
9151,20122,8.03
9165,20111,5.10
9165,20112,5.67
9188,20111,6.99
9188,20112,7.09
9188,20121,6.92
9188,20122,6.88
9230,20111,6.00
9241,20111,5.62
9241,20112,4.79
9284,20111,2.13
9289,20111,8.43
9289,20112,8.44
9289,20121,8.24
10115,20111,4.80
10115,20112,4.27
10135,20111,7.45
10135,20112,5.66
10135,20121,5.13
10135,20122,4.74
10144,20111,5.57
10144,20112,6.36
10144,20121,6.00
10144,20122,6.04
10190,20111,4.00
10190,20112,5.90
10190,20121,5.55
10190,20122,6.14
10195,20111,7.25
10195,20112,7.46
10195,20121,7.77
10197,20111,8.07
10197,20112,6.57
10197,20121,6.53
10197,20122,6.79
10199,20111,4.55
10199,20112,5.28
10199,20121,5.14
10199,20122,5.29
10212,20111,6.77
10212,20112,6.52
10212,20121,6.85
10212,20122,6.53
10238,20111,8.07
10238,20112,8.43
10238,20121,8.43
10238,20122,8.59
10242,20111,6.48
10242,20112,6.13
10242,20121,6.62
10242,20122,6.39
10243,20111,4.74
10243,20112,4.97
10243,20121,5.61
10243,20122,5.95
10250,20111,7.55
10250,20112,4.84
10250,20121,4.73
10250,20122,4.83
10252,20111,3.75
10252,20112,3.68
10257,20111,4.77
10257,20112,6.24
10257,20121,6.11
10257,20122,6.57
10259,20111,1.30
10259,20112,4.17
10271,20111,6.63
10271,20112,5.71
10274,20111,1.99
10274,20112,2.72
11134,20111,8.68
11134,20112,8.00
