"aluno","periodo","cre"
11134,20121,8.19
11134,20122,8.10
11137,20111,7.76
11137,20112,6.74
11137,20121,6.51
11137,20122,6.76
11146,20111,3.22
11146,20112,4.27
11146,20121,3.79
11155,20111,5.88
11155,20112,5.44
11155,20121,5.30
11155,20122,4.94
11161,20111,4.50
11161,20112,3.99
11167,20111,7.48
11167,20112,6.28
11167,20121,5.68
11167,20122,6.03
11191,20111,8.92
11191,20112,6.83
11191,20121,7.31
11191,20122,7.33
11192,20111,2.00
11192,20112,4.03
11192,20121,5.77
11192,20122,4.20
11210,20112,5.94
11210,20121,6.40
11210,20122,5.82
11225,20112,6.91
11225,20121,6.33
11225,20122,6.69
11233,20112,8.21
11240,20112,5.55
11240,20121,3.95
11240,20122,5.25
11254,20112,5.91
11254,20121,6.73
11254,20122,6.03
11266,20112,4.16
11266,20121,7.43
11282,20112,4.33
11282,20121,4.31
11285,20112,6.92
11285,20121,7.43
11285,20122,7.01
12113,20121,3.98
12113,20122,4.90
12124,20121,5.97
12124,20122,5.96
12126,20121,6.74
12126,20122,6.78
12136,20121,4.97
12136,20122,5.86
12139,20121,6.68
12139,20122,5.63
12145,20121,5.40
12145,20122,2.70
12164,20121,7.67
12164,20122,7.20
12169,20121,6.98
12169,20122,5.86
12173,20121,6.75
12173,20122,6.71
12177,20121,6.20
12177,20122,6.53
12178,20121,1.90
12181,20121,6.66
12181,20122,6.65
12194,20121,2.62
12194,20122,2.95
12214,20122,5.34
12216,20122,2.00
12219,20122,1.80
12220,20122,6.30
12221,20122,3.17
12222,20122,2.12
12227,20122,6.58
12228,20122,4.90
12229,20122,7.93
12232,20122,5.15
12248,20122,6.70
12253,20122,5.70
12256,20122,4.85
12260,20122,5.54
12270,20122,9.10
12272,20122,4.16
12276,20122,6.20
12286,20122,6.28
12287,20122,3.94
12298,20122,3.47
41511,20111,7.45
42451,20111,5.80
42451,20112,6.62
42451,20121,6.56
51188,20111,7.36
51188,20112,7.73
52297,20111,6.08
52307,20111,6.74
52307,20112,6.17
52307,20121,6.54
52307,20122,6.37
52788,20111,5.74
61104,20111,6.05
61104,20112,6.58
61471,20111,7.20
61471,20112,7.74
61742,20111,0.00
62140,20111,6.27
62140,20112,6.48
62140,20121,6.60
62210,20111,8.10
62210,20112,8.33
62211,20111,7.19
62211,20112,7.26
62211,20121,7.28
62239,20111,7.93
62336,20111,9.25
62414,20111,7.50
62496,20111,7.92
62496,20112,7.81
62496,20121,7.73
62523,20111,7.68
62523,20112,7.87
62541,20111,8.10
62541,20112,8.14
62557,20111,7.70
62557,20112,7.44
62557,20121,7.53
62634,20111,8.50
62646,20111,6.48
62778,20111,7.39
71128,20111,8.09
71128,20112,8.28
71136,20112,3.50
71154,20111,7.84
71154,20112,8.00
71174,20112,7.43
71174,20121,8.61
71229,20111,7.97
71229,20112,7.87
71369,20111,6.38
71369,20112,6.96
71383,20111,8.29
71383,20112,8.42
71418,20111,8.44
71488,20111,8.45
71488,20112,8.65
71498,20112,6.67
71498,20121,6.25
71521,20111,8.00
71521,20112,8.19
71526,20111,8.64
71581,20111,6.45
71581,20112,7.34
71581,20121,7.25
71632,20111,7.71
71632,20112,7.52
71643,20111,8.50
71694,20111,8.20
71696,20111,7.06
71696,20112,6.85
71696,20121,7.25
71728,20111,9.16
72108,20111,7.73
72108,20112,7.84
72158,20111,8.74
72158,20112,8.68
72196,20111,6.71
72196,20112,7.22
72196,20121,7.08
72196,20122,7.51
72247,20111,6.82
72247,20112,8.07
72247,20121,7.82
72247,20122,7.88
72340,20111,3.67
72405,20111,8.60
72405,20112,8.45
72457,20111,7.78
72567,20111,7.06
72567,20112,6.70
72662,20111,7.98
72662,20112,8.41
72662,20121,8.53
72681,20111,7.53
72681,20112,8.10
72681,20121,8.17
72681,20122,8.14
72724,20111,4.26
72724,20112,4.98
72724,20121,4.57
72727,20111,8.58
72727,20112,8.55
72727,20121,8.69
72745,20111,8.02
72745,20112,7.73
72756,20111,6.15
72756,20112,7.31
72756,20121,6.91
72756,20122,7.20
81125,20111,9.40
81125,20112,9.44
81125,20121,9.37
81161,20111,8.72
81161,20112,8.49
81161,20121,8.78
81165,20111,8.50
81165,20112,8.24
81165,20121,8.44
81169,20111,0.00
81203,20111,8.22
81203,20112,8.15
81203,20121,8.24
81205,20111,9.37
81205,20112,9.24
81205,20121,8.99
81217,20111,8.70
81217,20112,8.88
81217,20121,8.76
81298,20111,7.72
81298,20112,8.16
81298,20121,8.20
81367,20111,8.41
81367,20122,8.11
81375,20111,9.08
81375,20112,8.90
81375,20121,9.00
81401,20111,8.83
81401,20112,8.61
81401,20121,8.65
81425,20111,8.28
81425,20112,8.57
81425,20121,8.62
81503,20111,8.42
81503,20112,8.56
81503,20121,8.67
81506,20111,7.85
81506,20112,8.11
81506,20121,7.70
81506,20122,8.09
81507,20111,8.68
81507,20112,8.62
81507,20121,8.78
81524,20111,8.47
81524,20112,8.62
81524,20121,8.73
81552,20111,8.90
81552,20112,8.61
81552,20121,8.62
81565,20112,8.16
81565,20121,8.35
81565,20122,8.25
81575,20111,7.53
81575,20112,7.62
81575,20121,7.82
81575,20122,7.70
81589,20111,7.06
81589,20112,7.61
81589,20121,7.38
81589,20122,7.70
81599,20111,8.00
81599,20112,8.42
81599,20121,8.24
81618,20111,8.70
81618,20112,8.97
81618,20121,9.12
81622,20111,5.04
81622,20112,5.29
81622,20121,4.89
81622,20122,5.21
81625,20111,7.58
81625,20112,8.11
81625,20121,8.28
81698,20111,8.47
81698,20112,8.25
81698,20121,8.49
81704,20111,7.92
81704,20112,7.96
81704,20121,8.27
82121,20111,7.45
82121,20112,7.57
82121,20121,7.37
82126,20111,7.42
82322,20111,8.40
82322,20112,8.63
82322,20121,8.57
82322,20122,8.65
82339,20111,5.85
82339,20121,5.96
82339,20122,5.67
82373,20111,4.22
82373,20112,4.64
82393,20111,7.43
82393,20112,7.55
82393,20121,7.38
82393,20122,7.41
82419,20111,6.23
82419,20112,6.86
82419,20121,6.81
82420,20111,6.43
82420,20112,6.86
82420,20121,6.63
82482,20111,7.87
82482,20112,7.89
82482,20121,7.72
82510,20111,7.21
82510,20112,7.45
82510,20122,7.42
82539,20111,8.14
82539,20112,8.33
82539,20121,8.27
82545,20111,8.63
82545,20112,8.47
82547,20111,7.50
82547,20112,7.75
82547,20121,7.63
82547,20122,7.47
82556,20111,7.60
82556,20112,7.76
82556,20121,7.75
82563,20111,7.86
82563,20112,8.19
82563,20121,8.04
82563,20122,8.26
82605,20111,7.02
82605,20112,7.27
82605,20121,7.39
82605,20122,7.53
82640,20111,7.28
82640,20112,7.41
82640,20121,7.36
82722,20111,7.53
82722,20112,7.62
82722,20121,7.83
82722,20122,7.77
82752,20111,7.43
82752,20112,5.88
82752,20121,7.16
82752,20122,6.23
82786,20111,7.96
82786,20112,8.45
82786,20121,8.53
82789,20111,7.55
82789,20112,7.83
82789,20121,7.83
82789,20122,7.86
91109,20111,5.11
91110,20111,9.25
91110,20112,8.51
91110,20121,8.64
91110,20122,8.67
91120,20111,5.82
91120,20112,6.31
91131,20111,7.24
91183,20111,7.01
91183,20112,6.95
91183,20121,6.99
91183,20122,7.12
91184,20111,6.45
91184,20112,6.65
91184,20121,6.94
91223,20111,7.73
91223,20112,7.80
91223,20121,7.70
91223,20122,7.76
91236,20111,6.86
91236,20112,7.11
91236,20121,7.10
91236,20122,7.19
91244,20111,7.05
91244,20112,6.89
91244,20121,6.97
91244,20122,6.79
91272,20111,6.32
91272,20112,6.26
91272,20121,6.39
91325,20111,8.39
91325,20112,8.59
91325,20121,8.43
91325,20122,8.63
91358,20111,6.51
91372,20111,3.93
91372,20112,4.68
91390,20111,4.17
91417,20111,6.75
91417,20112,7.61
91417,20121,7.31
91417,20122,7.74
91445,20111,4.78
91470,20111,6.69
91470,20112,7.59
91470,20121,7.31
91470,20122,7.66
91472,20111,3.88
91472,20112,4.57
91484,20111,7.34
91484,20112,7.82
91484,20121,7.54
91484,20122,7.98
91495,20111,5.24
91495,20112,5.58
91517,20111,6.47
91517,20112,6.50
91528,20111,7.10
91528,20112,7.26
91528,20121,7.13
91534,20111,8.70
91534,20112,8.65
91534,20121,8.46
91534,20122,8.65
91558,20111,3.35
91587,20111,6.90
91587,20112,7.56
91587,20121,7.33
91587,20122,7.54
91593,20111,6.59
91593,20112,7.38
91593,20121,7.03
91593,20122,7.68
91623,20111,5.70
91623,20112,5.51
91623,20121,4.99
91623,20122,5.51
91674,20111,8.96
91674,20112,8.64
91674,20121,8.74
91674,20122,8.71
91684,20111,7.44
91684,20112,7.73
91684,20121,7.60
91684,20122,7.66
91701,20111,7.47
91710,20111,6.62
91710,20112,7.10
91710,20121,6.84
91710,20122,7.37
91730,20111,4.40
91730,20112,4.55
91730,20121,3.99
91730,20122,4.15
91732,20111,8.68
91732,20112,8.66
91732,20121,8.64
91732,20122,8.68
91749,20111,5.60
91749,20112,6.48
91749,20121,6.11
91749,20122,6.41
91771,20111,7.87
91771,20112,7.77
91771,20121,7.92
91771,20122,7.92
91772,20111,7.29
91772,20112,7.53
91772,20121,7.46
91783,20111,4.01
91783,20112,5.78
91783,20121,5.48
91783,20122,5.93
91790,20111,6.95
91790,20112,7.18
91790,20121,7.05
91790,20122,7.12
92160,20111,5.70
92160,20112,5.69
92160,20121,3.67
92160,20122,4.80
92163,20111,3.18
92173,20111,3.88
92177,20111,4.98
92177,20112,5.82
92187,20111,0.73
92202,20111,8.64
92202,20112,8.69
92209,20111,6.80
92226,20111,5.00
92238,20111,5.34
92238,20112,6.10
92238,20121,5.93
92242,20111,2.96
92242,20112,3.45
92245,20111,6.75
92249,20111,4.02
92252,20111,4.86
92252,20112,4.90
92252,20121,4.89
92281,20111,8.68
92281,20112,8.33
92281,20122,8.38
92282,20111,7.88
92282,20112,7.91
92282,20121,7.83
92285,20111,6.86
92285,20112,7.00
92294,20111,9.39
92294,20112,8.75
92294,20121,8.93
92331,20111,4.75
92331,20112,5.20
92331,20121,4.67
92331,20122,5.11
92337,20111,2.23
92341,20111,7.28
92341,20112,7.90
92341,20121,7.77
92341,20122,7.86
92364,20111,4.81
92398,20111,8.65
92398,20112,8.72
92398,20121,8.56
92398,20122,8.71
92436,20111,4.31
92436,20112,5.19
92436,20121,4.58
92466,20111,4.83
92474,20111,4.28
92474,20112,6.86
92474,20121,5.97
92474,20122,6.76
92480,20111,3.60
92536,20111,4.37
92569,20111,6.78
92584,20111,5.80
92584,20112,5.70
92584,20121,5.13
92584,20122,5.99
92607,20111,6.24
92607,20112,6.82
92607,20121,6.46
92607,20122,6.69
92637,20111,8.36
92637,20112,8.46
92658,20111,3.18
92658,20112,3.42
92670,20111,6.58
92670,20112,6.06
92675,20111,3.14
92675,20112,4.67
92675,20121,2.57
92686,20111,3.80
92686,20112,4.19
92686,20121,3.93
92715,20111,7.85
92715,20112,7.70
92715,20121,7.68
92715,20122,7.68
92754,20111,8.34
92754,20112,8.53
92754,20121,8.43
92754,20122,8.58
101142,20111,7.49
101142,20112,7.24
101142,20121,7.18
101142,20122,7.18
101146,20111,9.41
101146,20112,8.98
101146,20121,9.29
101146,20122,8.93
101148,20111,6.96
101148,20112,7.46
101148,20121,7.29
101148,20122,7.51
101164,20111,4.77
101164,20112,4.95
101166,20111,6.87
101166,20112,7.21
101166,20121,7.11
101166,20122,7.24
101178,20111,3.94
101190,20111,4.70
101190,20112,3.99
101190,20121,3.60
101207,20111,7.66
101207,20112,7.97
101207,20121,7.72
101216,20111,6.56
101216,20112,6.11
101216,20121,5.95
101216,20122,6.62
101227,20111,5.67
101227,20112,4.81
101234,20111,7.36
101234,20112,7.71
101234,20121,7.63
101260,20111,4.56
101260,20112,4.80
101280,20111,7.22
101280,20112,6.41
101280,20121,6.00
101288,20111,6.53
101288,20112,7.51
101288,20121,7.48
101288,20122,7.81
101304,20111,4.75
101329,20111,8.44
101329,20112,7.87
101329,20121,8.07
101329,20122,8.16
101330,20111,5.74
101330,20112,5.70
101330,20121,5.61
101330,20122,5.72
101333,20111,6.60
101333,20112,6.40
101350,20111,6.68
101350,20112,6.71
101350,20121,6.80
101350,20122,6.63
101356,20111,5.60
101356,20112,6.28
101356,20121,6.46
101356,20122,6.43
101360,20111,5.20
101360,20112,5.86
101374,20111,5.86
101374,20112,5.65
101387,20111,7.53
101387,20112,8.06
101387,20121,7.72
101387,20122,7.89
101408,20111,6.21
101408,20112,6.96
101408,20121,6.28
101410,20111,6.65
101410,20112,6.32
101421,20111,6.41
101421,20112,4.62
101421,20121,5.37
101421,20122,4.44
101427,20111,8.92
101427,20112,8.82
101432,20111,6.53
101432,20112,6.60
101432,20121,6.29
101439,20111,5.53
101439,20112,4.59
101448,20111,6.18
101448,20112,5.71
101448,20121,6.03
101448,20122,5.59
101453,20111,6.63
101453,20112,6.93
101453,20121,6.94
101453,20122,6.93
101461,20111,8.39
101461,20112,8.54
101461,20121,8.71
101461,20122,8.54
101492,20111,5.66
101492,20112,5.68
101499,20111,8.03
101505,20111,5.66
101508,20111,3.80
101514,20111,5.64
101514,20112,6.36
101514,20121,6.56
101518,20111,6.46
101518,20112,6.62
101518,20121,6.15
101518,20122,6.33
101519,20111,4.28
101519,20112,3.68
101519,20121,2.76
101519,20122,2.58
101520,20111,9.10
101520,20112,9.34
101520,20122,9.24
101522,20111,6.70
101522,20112,6.45
101522,20121,6.05
101522,20122,6.19
101546,20111,7.30
101546,20112,7.58
101546,20121,7.50
101546,20122,7.57
101559,20111,7.26
101559,20112,7.82
101559,20121,7.59
101559,20122,7.77
101591,20111,5.76
101591,20112,7.04
101591,20121,6.78
101591,20122,6.90
101602,20111,8.50
101602,20112,7.86
101602,20121,8.11
101602,20122,7.85
101611,20111,4.83
101611,20112,7.02
101611,20121,6.43
101611,20122,6.93
101615,20111,9.36
101615,20112,8.82
101615,20121,9.21
101615,20122,8.94
101617,20111,6.76
101617,20112,6.79
101617,20121,6.83
101617,20122,6.92
101627,20111,6.36
101627,20112,4.99
101641,20111,8.31
101641,20112,8.20
101641,20121,8.02
101644,20111,5.64
101644,20112,5.41
101644,20121,4.69
101644,20122,5.09
101673,20111,7.10
101673,20112,7.72
101673,20121,7.81
101673,20122,7.73
101678,20111,7.56
101678,20112,7.92
101678,20121,7.85
101678,20122,7.89
101703,20111,5.66
101703,20112,6.82
101703,20121,6.46
101703,20122,6.57
101705,20111,7.87
101705,20112,8.05
101705,20121,8.14
101709,20111,5.68
101709,20112,5.02
101709,20121,5.26
101709,20122,5.82
101714,20111,2.10
101714,20112,1.25
101731,20111,7.62
101731,20112,7.17
101731,20121,6.69
101736,20111,5.82
101736,20112,4.62
101753,20111,4.58
101753,20112,3.64
101753,20121,3.25
101753,20122,3.24
101757,20111,5.24
101757,20112,6.12
101757,20121,6.23
101757,20122,6.34
101758,20111,4.06
101758,20112,3.57
101769,20111,9.80
101794,20111,6.25
102102,20111,8.70
102102,20112,8.34
102102,20121,8.49
102102,20122,8.49
102113,20111,2.79
102113,20112,2.84
102124,20111,2.73
102124,20112,3.45
102124,20121,2.40
102141,20111,0.65
102141,20112,1.00
102151,20111,6.06
102151,20112,5.07
102151,20121,4.84
102151,20122,5.51
102157,20111,5.95
102157,20112,4.91
102157,20121,5.48
102157,20122,5.04
102170,20111,7.93
102170,20112,6.88
102170,20121,7.06
102170,20122,6.88
102181,20111,7.18
102181,20112,6.86
102181,20121,7.29
102181,20122,7.06
102182,20111,3.97
102182,20112,5.28
102189,20111,4.83
102189,20121,4.34
102189,20122,5.02
102208,20111,5.61
102208,20112,3.90
102208,20121,3.94
102208,20122,4.07
102220,20111,4.17
102220,20112,4.39
102220,20121,3.82
102224,20111,6.59
102224,20112,7.39
102224,20121,7.20
102224,20122,7.40
102235,20111,6.83
102235,20112,6.50
102235,20121,6.57
102235,20122,6.65
102267,20111,2.90
102268,20111,5.95
102268,20112,6.53
102268,20121,6.55
102268,20122,6.55
102269,20111,7.69
102269,20112,7.96
102269,20121,8.11
102276,20111,6.86
102276,20112,4.67
102276,20121,4.96
102284,20111,4.07
102284,20112,4.56
102301,20111,3.96
102301,20112,3.95
102308,20111,5.84
102308,20112,5.47
102308,20121,6.31
102308,20122,6.04
102309,20111,3.88
102309,20112,4.50
102309,20121,3.59
102309,20122,3.63
102318,20111,4.89
102318,20112,4.65
102318,20121,5.04
102320,20111,5.82
102320,20112,6.51
102320,20121,6.85
102320,20122,6.76
102321,20111,7.06
102321,20112,6.25
102321,20121,6.71
102326,20111,4.49
102326,20112,4.21
102326,20121,4.98
102326,20122,4.65
102351,20111,7.60
102351,20112,7.08
102351,20121,7.64
102351,20122,7.15
102352,20111,5.13
102352,20112,5.64
102357,20111,7.82
102357,20112,7.24
102357,20121,7.28
102376,20111,3.70
102376,20112,4.12
102392,20111,4.59
102392,20112,5.39
102392,20121,5.50
102392,20122,5.85
102403,20111,4.80
102403,20112,5.52
102403,20121,5.27
102403,20122,5.84
102409,20111,7.92
102409,20112,4.67
102409,20121,6.37
102409,20122,5.26
102422,20111,7.40
102422,20112,4.99
102422,20121,5.86
102422,20122,5.33
102429,20111,6.05
102429,20112,5.95
102429,20121,5.90
102429,20122,5.75
102430,20111,5.54
102430,20112,5.58
102430,20121,5.49
102446,20111,6.31
102446,20112,5.02
102446,20121,5.89
102459,20111,7.16
102469,20111,5.28
102469,20112,5.57
102469,20121,5.27
102469,20122,5.41
102476,20111,5.73
102476,20112,6.20
102476,20121,6.01
102476,20122,6.58
102483,20111,5.70
102483,20112,4.67
102483,20121,4.91
102483,20122,4.77
102489,20111,5.30
102489,20112,5.70
102489,20121,5.46
102493,20111,6.94
102493,20112,7.17
102493,20121,7.18
102493,20122,7.28
102531,20111,6.30
102531,20112,4.44
102531,20121,4.41
102531,20122,4.12
102533,20111,4.74
102570,20111,6.18
102570,20112,5.79
102577,20111,5.78
102577,20112,4.11
102577,20121,4.66
102577,20122,4.08
102586,20111,3.49
102586,20112,3.92
102586,20121,3.73
102586,20122,3.72
102595,20111,5.32
102595,20112,6.09
102595,20121,6.30
102595,20122,6.55
102596,20111,2.62
102596,20112,3.55
102596,20121,1.87
102598,20111,3.40
102598,20112,5.00
102598,20121,3.31
102609,20111,6.12
102609,20112,4.25
102609,20121,4.17
102609,20122,4.30
102610,20111,7.58
102610,20112,6.19
102620,20111,6.48
102620,20112,6.44
102620,20121,6.63
102620,20122,6.64
102621,20111,5.30
102621,20112,5.52
102621,20121,5.80
102629,20111,6.51
102629,20112,7.24
102629,20121,7.32
102629,20122,7.22
102635,20111,6.35
102635,20112,5.15
102635,20121,5.50
102651,20111,7.12
102651,20112,7.77
102651,20121,7.45
102654,20111,7.02
102654,20112,5.57
102654,20121,5.67
102654,20122,6.04
102655,20111,6.30
102655,20112,6.01
102655,20121,6.39
102655,20122,6.14
102664,20111,4.68
102664,20112,5.78
102664,20121,6.36
102664,20122,6.07
102666,20111,4.15
102666,20112,4.92
102666,20121,4.43
102672,20111,5.48
102672,20112,6.07
102672,20121,6.28
102699,20111,5.46
102699,20112,4.48
102699,20121,4.51
102699,20122,4.59
102707,20111,4.28
102707,20112,3.43
102723,20111,3.61
102723,20112,3.24
102723,20121,3.10
102723,20122,3.30
102726,20111,4.90
102726,20112,4.25
102726,20121,5.26
102740,20111,3.38
102740,20112,4.89
102744,20111,3.68
102744,20112,2.45
102747,20111,2.90
102747,20112,2.75
102750,20111,5.00
102750,20112,4.72
102763,20111,6.55
102763,20112,6.47
102763,20121,6.30
102763,20122,6.44
102765,20111,5.83
102765,20112,4.75
102775,20111,7.11
102775,20112,6.74
102775,20121,7.32
102775,20122,7.12
102781,20111,4.13
102781,20112,4.20
102781,20122,3.65
102792,20111,4.78
102792,20112,4.49
102792,20121,5.70
102792,20122,5.19
102793,20111,4.50
102795,20111,6.78
102795,20112,3.95
102795,20121,5.04
102795,20122,5.06
111100,20111,5.24
111100,20112,6.56
111100,20121,6.12
111100,20122,6.43
111105,20111,7.38
111105,20112,6.82
111117,20111,5.04
111123,20111,7.40
111123,20112,6.08
111123,20121,5.66
111123,20122,5.51
111129,20111,5.14
111129,20112,4.78
111138,20111,7.03
111138,20112,5.27
111138,20121,6.62
111138,20122,5.79
111147,20111,7.20
111147,20112,6.14
111147,20121,6.18
111147,20122,6.29
111150,20111,4.38
111150,20112,3.71
111150,20121,3.96
111150,20122,4.73
111156,20111,7.58
111156,20112,5.93
111156,20121,6.93
111186,20111,4.68
111186,20112,4.29
111186,20121,3.97
111186,20122,4.09
111194,20111,4.14
111194,20112,4.34
111194,20121,4.61
111194,20122,4.39
111197,20111,6.56
111197,20112,5.89
111197,20121,5.79
111197,20122,5.97
111198,20111,2.74
111198,20112,4.18
111198,20121,3.32
111204,20111,6.62
111204,20112,7.20
111204,20121,6.82
111204,20122,6.86
111212,20111,7.20
111212,20112,6.44
111212,20121,6.78
111213,20111,3.94
111213,20112,4.59
111213,20121,3.74
111213,20122,4.64
111218,20111,4.73
111218,20112,6.09
111218,20121,4.92
111233,20111,3.91
111233,20112,3.92
111233,20121,3.50
111241,20111,7.06
111241,20112,6.39
111241,20121,6.23
111241,20122,6.53
111243,20111,9.36
111243,20112,9.00
111243,20121,9.18
111243,20122,8.98
111255,20111,5.54
111255,20112,5.91
111255,20121,5.47
111255,20122,5.85
111256,20111,7.14
111258,20111,5.52
111258,20112,5.76
111258,20121,5.12
111258,20122,5.77
111263,20111,1.92
111263,20112,4.07
111292,20111,5.26
111292,20112,5.25
111292,20121,6.01
111306,20111,4.74
111306,20112,4.53
111312,20111,6.14
111312,20112,6.18
111312,20121,6.07
111312,20122,6.36
111324,20111,7.38
111324,20112,7.81
111324,20121,7.56
111324,20122,7.73
111334,20111,8.52
111334,20112,8.44
111334,20121,8.29
111334,20122,8.56
111343,20111,6.59
111343,20112,6.74
111353,20111,4.10
111353,20112,3.07
111353,20121,4.33
111355,20111,2.06
111355,20112,3.94
111355,20121,3.33
111355,20122,3.52
111359,20111,5.90
111359,20112,5.68
111359,20121,5.71
111359,20122,5.69
111361,20111,7.00
111361,20112,7.88
111361,20121,7.58
111361,20122,7.56
111370,20111,8.28
111370,20112,8.48
111370,20121,8.42
111379,20111,5.90
111379,20112,3.88
111379,20121,4.17
111382,20111,6.20
111382,20112,5.39
111382,20121,5.15
111382,20122,5.56
111384,20111,7.26
111384,20112,6.45
111384,20121,6.43
111384,20122,6.23
111386,20111,5.30
111386,20112,5.15
111386,20121,4.22
111386,20122,4.56
111395,20111,1.47
111395,20112,4.37
111395,20121,4.33
111397,20111,1.90
111404,20111,6.26
111404,20112,6.72
111404,20121,6.70
111412,20111,6.50
111412,20112,5.85
111412,20121,6.53
111413,20111,5.48
111413,20112,4.40
111413,20121,5.00
111413,20122,4.31
111415,20111,4.60
111415,20112,5.08
111415,20121,3.83
111431,20111,3.96
111431,20112,4.45
111431,20121,3.81
111433,20111,7.74
111433,20112,7.42
111433,20121,7.41
111433,20122,7.46
111435,20111,4.52
111435,20112,4.28
111435,20121,5.05
111435,20122,5.00
111442,20111,6.88
111442,20112,6.97
111442,20121,6.97
111442,20122,7.26
111458,20111,6.17
111458,20112,6.76
111458,20121,6.24
111458,20122,7.21
111463,20111,8.68
111463,20112,7.11
111463,20121,7.52
111463,20122,6.87
111473,20121,2.75
111477,20111,5.92
111477,20112,5.78
111477,20121,5.50
111477,20122,5.29
111491,20111,5.99
111491,20112,6.53
111491,20121,6.46
111491,20122,6.45
111509,20111,7.00
111509,20112,6.99
111509,20121,6.66
111509,20122,7.19
111513,20111,2.10
111532,20111,5.74
111532,20112,5.27
111532,20121,5.07
111532,20122,5.15
111542,20111,9.12
111542,20112,8.43
111542,20121,8.49
111542,20122,8.54
111553,20111,6.27
111553,20112,6.76
111554,20111,6.06
111554,20112,6.27
111554,20121,5.35
111554,20122,5.74
111555,20111,5.46
111555,20112,4.45
111555,20121,5.96
111555,20122,5.36
111562,20111,9.10
111562,20112,8.77
111562,20121,8.84
111562,20122,8.94
111572,20111,2.80
111572,20112,3.59
111582,20111,2.26
111582,20112,3.71
111582,20121,2.49
111585,20111,7.58
111585,20112,6.67
111585,20121,6.68
111585,20122,6.96
111588,20111,8.10
111588,20112,8.17
111588,20121,8.22
111588,20122,8.28
111590,20111,8.08
111590,20112,7.51
111590,20121,7.77
111592,20111,3.95
111592,20112,3.48
111597,20111,6.55
111597,20112,6.72
111597,20121,6.38
111597,20122,6.76
111606,20111,6.12
111606,20112,6.48
111606,20121,6.18
111606,20122,6.47
111628,20111,4.25
111630,20111,3.82
111630,20112,4.69
111630,20121,5.15
111630,20122,4.32
111653,20111,6.54
111653,20112,6.03
111653,20121,5.96
111653,20122,6.14
111663,20111,2.43
111671,20111,8.38
111671,20112,6.92
111671,20121,7.33
111671,20122,7.16
111682,20111,6.12
111682,20112,7.27
111682,20121,7.18
111689,20111,3.06
111689,20112,4.31
111713,20111,9.83
111713,20112,9.16
111713,20121,9.15
111713,20122,9.10
111716,20111,7.42
111716,20112,7.38
111716,20121,7.09
111716,20122,7.41
111729,20112,4.34
111729,20121,3.96
