CodigoDisciplina,NomeDisciplina,CodigoDepto,Obrigatoria,Nome
1411198,ADM.DE SIST.GERENC.DE BANCO DE DADOS,1,FALSE,NA
1301014,ADMINISTRAÇÃO,3,FALSE,NA
1109049,ÁLGEBRA LINEAR,2,TRUE,Álgebra Linear
1109035,ÁLGEBRA VETORIAL E GEOMETRIA ANALÍTICA,2,TRUE,Álgebra Vetorial e Geometria Analítica
1411187,ANÁLISE E TÉCNICA DE ALGORITMOS,1,TRUE,Análise e Técnica de Algorítimos
1411197,AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS,1,TRUE,Avaliação de Desempenho de Sistemas Discretos
1411193,BANCO DE DADOS I,1,TRUE,Banco de Dados 1
1411194,BANCO DE DADOS II,1,TRUE,Banco de Dados 2
1304122,BASQUETE   MASC/FEM,6,FALSE,NA
1304025,BASQUETEBOL - FEM,6,FALSE,NA
1304013,BASQUETEBOL - MASC,6,FALSE,NA
1109103,CALCULO DIFERENCIAL E INTEGRAL I,2,TRUE,Cálculo Diferencial e Integral 1
1109053,CALCULO DIFERENCIAL E INTEGRAL II,2,TRUE,Cálculo Diferencial e Integral 2
1109105,CALCULO DIFERENCIAL E INTEGRAL III,2,FALSE,NA
1411189,COMPILADORES,1,TRUE,Compiladores
1302123,COMPUTAÇÃO E MÚSICA,4,FALSE,NA
1113002,DESENHO BASICO,9,FALSE,NA
1305219,DIREITO E CIDADANIA,16,TRUE,Direito e Cidadania
1303021,ECONOMIA,5,FALSE,NA
1411201,EMPREENDEDORISMO,1,FALSE,NA
1411177,ENGENHARIA DE SOFTWARE I,1,TRUE,Engenharia de Software 1
1411202,ENGENHARIA DE SOFTWARE II,1,FALSE,NA
1109106,EQUACOES DIFERENCIAIS,2,FALSE,NA
1109010,EQUACOES DIFERENCIAIS LINEARES,2,FALSE,NA
1411203,ESTÁGIO INTEGRADO,1,FALSE,NA
1411172,ESTRUTURA DE DADOS E ALGORITMOS,1,TRUE,Estrutura de Dados
1113019,EXPRESSAO GRAFICA,9,FALSE,NA
1108030,FÍSICA GERAL I,14,FALSE,NA
1108089,FUNDAMENTOS DE FÍSICA CLÁSSICA,14,TRUE,Física Clássica
1108090,FUNDAMENTOS DE FÍSICA MODERNA,14,TRUE,Física Moderna
1304059,FUTEBOL DE CAMPO,6,FALSE,NA
1304055,FUTSAL,6,FALSE,NA
1304123,FUTSAL - FEM,6,FALSE,NA
1105365,GEOLOGIA DO PETRÓLEO,11,FALSE,NA
1411176,GERÊNCIA DA INFORMAÇÃO,1,TRUE,Gerência da Informação
1411204,GERENCIA DE REDES DE COMPUTADORES,1,FALSE,NA
1301078,GESTAO DA QUALIDADE,3,FALSE,NA
1304117,GINASTICA MASC/FEM,6,FALSE,NA
1305220,INFORMÁTICA E SOCIEDADE,16,TRUE,Informática e Sociedade
1411207,INFORMÁTICA NA EDUCAÇÃO,1,FALSE,NA
1307150,INGLÊS,15,FALSE,NA
1502046,INT A ENGENHARIA AGRICOLA,7,FALSE,NA
1411196,INTELIGENCIA ARTIFICIAL I,1,TRUE,Inteligência Artificial
1411208,INTELIGÊNCIA ARTIFICIAL II,1,FALSE,NA
