"CodigoDisciplina","ResultadoAbsoluto","ResultadoRelativo","TotalAlunos"
1105365,0,0,1
1107131,0,0,2
1107197,0,0,1
1107224,1,0.166666666666667,6
1107225,0,0,4
1107227,1,0.111111111111111,9
1107232,0,0,1
1107233,0,0,4
1107252,0,0,1
1108030,0,0,1
1108089,341,0.348314606741573,979
1108090,55,0.0932203389830508,590
1109010,0,0,1
1109035,646,0.468455402465555,1379
1109049,376,0.433679354094579,867
1109053,620,0.534943917169974,1159
1109103,959,0.601631116687578,1594
1109105,0,0,7
1109106,0,0,6
1109113,392,0.377649325626204,1038
1113002,0,0,3
1113019,0,0,2
1114107,412,0.460335195530726,895
1114114,161,0.263934426229508,610
1301014,48,0.129032258064516,372
1301061,2,0.166666666666667,12
1301078,8,0.150943396226415,53
1302123,1,0.0454545454545455,22
1303021,83,0.222520107238606,373
1304012,0,0,2
1304013,7,0.162790697674419,43
1304025,2,0.153846153846154,13
1304055,2,0.0185185185185185,108
1304059,2,0.166666666666667,12
1304117,2,0.0606060606060606,33
1304122,1,0.0476190476190476,21
1304123,0,0,1
1305020,62,0.270742358078603,229
1305033,53,0.18213058419244,291
1305147,1,1,1
1305218,88,0.186046511627907,473
1305219,69,0.0969101123595506,712
1305220,78,0.104417670682731,747
1307045,0,0,1
1307150,38,0.111764705882353,340
1307151,111,0.112462006079027,987
1404132,1,1,1
1411167,480,0.350620891161432,1369
1411168,255,0.25940996948118,983
1411169,73,0.128747795414462,567
1411170,162,0.182022471910112,890
1411171,234,0.286764705882353,816
1411172,231,0.268292682926829,861
1411173,89,0.154513888888889,576
1411174,216,0.191319751992914,1129
1411175,55,0.10377358490566,530
1411176,144,0.175182481751825,822
1411177,19,0.040084388185654,474
1411178,38,0.0676156583629893,562
1411179,154,0.194444444444444,792
1411180,490,0.354302241503977,1383
1411181,256,0.261491317671093,979
1411182,80,0.143884892086331,556
1411183,22,0.0473118279569892,465
1411184,18,0.0407239819004525,442
1411185,6,0.0141176470588235,425
1411186,12,0.0278422273781903,431
1411187,149,0.238019169329073,626
1411188,14,0.0297872340425532,470
1411189,72,0.144,500
1411190,50,0.102249488752556,489
1411191,18,0.0407239819004525,442
1411192,44,0.0894308943089431,492
1411193,103,0.173109243697479,595
1411194,63,0.12625250501002,499
1411195,82,0.144620811287478,567
1411196,12,0.028436018957346,422
1411197,28,0.0620842572062084,451
1411198,3,0.0434782608695652,69
1411201,11,0.0480349344978166,229
1411202,2,0.0181818181818182,110
1411203,8,0.0372093023255814,215
1411204,3,0.0294117647058824,102
1411207,1,0.125,8
1411208,0,0,2
1411209,1,0.125,8
1411210,17,0.130769230769231,130
1411212,0,0,8
1411216,0,0,4
1411217,1,0.0136986301369863,73
1411218,3,0.0666666666666667,45
1411220,0,0,2
1411221,14,0.0869565217391304,161
1411222,1,0.0256410256410256,39
1411224,0,0,13
1411226,6,0.101694915254237,59
1411235,9,0.0620689655172414,145
1411236,5,0.0641025641025641,78
1411238,32,0.0590405904059041,542
1411242,5,0.0641025641025641,78
1411243,2,0.0714285714285714,28
1411244,3,0.01875,160
1411247,5,0.131578947368421,38
1411248,0,0,3
1411249,3,0.107142857142857,28
1411250,1,0.0217391304347826,46
1411251,0,0,48
1411252,0,0,3
1411253,0,0,2
1411254,11,0.366666666666667,30
1411255,2,0.285714285714286,7
1411256,22,0.0932203389830508,236
1411257,0,0,5
1411258,4,0.142857142857143,28
1411259,2,0.0645161290322581,31
1411260,0,0,1
1411261,6,0.24,25
1411262,0,0,20
1411263,2,0.125,16
1411264,2,0.0408163265306122,49
1411265,4,0.0689655172413793,58
1411266,7,0.0472972972972973,148
1411267,1,0.0277777777777778,36
1411268,2,0.0217391304347826,92
1411269,1,0.0833333333333333,12
1411270,1,0.0384615384615385,26
1411271,0,0,60
1411272,5,0.108695652173913,46
1411273,0,0,41
1411274,2,0.0769230769230769,26
1411275,0,0,19
1411276,2,0.0571428571428571,35
1411279,1,0.2,5
1411281,3,0.0252100840336134,119
1411282,2,0.0952380952380952,21
1411283,7,0.152173913043478,46
1411285,1,0.0131578947368421,76
1411286,1,0.0434782608695652,23
1411287,0,0,10
1411288,0,0,25
1411289,3,0.103448275862069,29
1502046,1,1,1
1502178,1,1,1
1502183,1,1,1
1503121,1,1,1
