"CODIGO","DISCIPLINA.y","size","Mode","media"
1109035,"Álgebra Vetorial e Geometria Analítica",94,1,2.51063829787234
1109103,"Cálculo Diferencial e Integral 1",111,1,2.58558558558559
1307151,"Leitura e Produção de Textos",45,1,1.24444444444444
1411167,"Programação 1",90,1,1.97777777777778
1411174,"Introdução a Computação",57,1,1.50877192982456
1411180,"Laboratório de Programação 1",94,1,2.04255319148936
1108089,"Física Clássica",38,2,4.47368421052632
1109053,"Cálculo Diferencial e Integral 2",35,2,5.14285714285714
1305218,"Metodologia Científica",60,2,3.61666666666667
1411176,"Gerência da Informação",27,2,3.7037037037037
1411181,"Laboratório de Programação 2",41,2,3.80487804878049
1109049,"Álgebra Linear",25,3,3.88
1109113,"Matemática Discreta",64,3,4.265625
1114107,"Probabilidade e Estatística",6,3,3
1305219,"Direito e Cidadania",19,3,5.42105263157895
1411168,"Programação 2",48,3,4.125
1411170,"Teoria dos Grafos",45,3,3.66666666666667
1305220,"Informática e Sociedade",11,4,4.27272727272727
1411178,"Sistemas de Informação 1",5,5,5.8
1411171,"Teoria da Computação",12,7,7.08333333333333
1411172,"Estrutura de Dados",13,8,7.92307692307692
1411179,"Laboratório de Estrutura de Dados",12,8,7.66666666666667
