media,CODIGO,matricula,PeriodoRelativo
8.2,1411186,1071580,9
8.9,1411186,1071252,9
8.5,1411186,1062290,10
7.8,1411186,1062236,10
8.2,1411186,1071573,9
0,1411186,1111293,1
8.5,1411186,1062158,10
0,1411186,1061462,11
6.3,1411186,107163,9
7.4,1411186,1061195,11
8.6,1411186,1071209,9
8,1411186,1071424,9
8,1411186,1071625,9
7.8,1411186,11015,3
8.9,1411186,1071343,9
8.5,1411186,1062526,10
8.6,1411186,1071436,9
7.9,1411186,1062152,10
8,1411186,107156,9
8.9,1411186,1071686,9
8.6,1411186,107296,10
9,1411186,1072460,10
8.6,1411186,1042694,16
9.4,1411186,108186,9
8.4,1411186,1081765,9
8.4,1411186,1081521,9
8.9,1411186,1081609,9
8.4,1411186,1082192,8
8.5,1411186,1081510,9
9.6,1411186,1091553,7
8.4,1411186,1082789,8
8.9,1411186,1081539,9
9.6,1411186,111224,2
9.6,1411186,112175,1
9.4,1411186,1081709,9
8.4,1411186,1101591,5
7,1411186,1071374,11
7.7,1411186,1071421,11
9,1411186,1072229,10
9.6,1411186,107246,10
8.4,1411186,1072211,10
9.4,1411186,1081282,9
8.5,1411186,1081332,9
8.5,1411186,1081763,9
8.3,1411186,1081178,9
8.9,1411186,1081141,9
8.5,1411186,1081645,9
7,1411186,1071551,11
8.6,1411186,1101788,5
8.6,1411186,1112603,2
8.5,1411186,1112345,2
9,1411186,1072703,10
8.4,1411186,1062626,12
8.2,1411186,108138,10
8.5,1411186,1081164,10
7.4,1411186,110185,6
7.4,1411186,1111234,4
7.8,1411186,1101750,6
8.2,1411186,1082100,9
8.2,1411186,1082216,9
8.2,1411186,1082156,9
7.3,1411186,1101220,6
7.8,1411186,1072624,11
7.4,1411186,1101143,6
8.3,1411186,1081311,8
8.3,1411186,107217,9
8.9,1411186,1091569,6
8.1,1411186,1082310,7
5.6,1411186,1052181,13
1.6,1411186,1111293,2
9.5,1411186,1061601,12
7.8,1411186,1112622,1
10,1411186,1081241,8
7.9,1411186,1102772,3
8.7,1411186,1081149,8
10,1411186,1081578,8
8,1411186,1081467,8
8.6,1411186,1081406,8
9.1,1411186,106244,11
7.8,1411186,1071309,10
9.1,1411186,106219,11
8.4,1411186,1062531,11
8.4,1411186,1062762,11
7.5,1411186,1111101,2
8.4,1411186,1062704,11
2.7,1411186,1101591,4
7.1,1411186,111115,2
9.2,1411186,1071268,10
8.5,1411186,1072641,9
8.3,1411186,1081672,8
8.6,1411186,1072508,9
8.5,1411186,1072404,9
9.1,1411186,1072550,9
9.1,1411186,1072274,9
10,1411186,1081683,8
8.9,1411186,1092322,5
8.7,1411186,1081400,8
5.6,1411186,1052523,13
9.4,1411186,1092251,5
9.4,1411186,1081700,8
8.7,1411186,1081190,8
9.5,1411186,1081186,8
7.7,1411186,1111292,2
8.5,1411186,1051259,14
8.4,1411186,106261,11
8.7,1108090,1111210,1
7,1108090,1111396,1
7.7,1108090,1101503,3
8.7,1108090,1101697,3
7.7,1108090,107220,8
8.5,1108090,1101750,3
8.7,1108090,1101335,3
8.8,1108090,108218,6
9.2,1108090,1101301,3
7.7,1108090,1101219,3
8.8,1108090,1091530,5
10,1108090,1101782,3
7.7,1108090,1101167,3
9.7,1108090,1092355,4
8.3,1108090,1091203,5
9.3,1108090,1111146,1
7.5,1108090,1101689,3
8,1108090,1091623,5
8,1108090,1101628,3
9.8,1108090,1092352,4
8.3,1108090,1111316,1
8.3,1108090,1111532,1
8.3,1108090,1092294,4
8.8,1108090,109173,5
8.3,1108090,1092375,4
7.7,1108090,1081191,7
8.8,1108090,1101281,3
8.3,1108090,1092742,4
9.7,1108090,1101295,3
8.3,1108090,1101722,3
9.7,1108090,1101379,3
8.3,1108090,1101737,3
8,1108090,1091116,5
10,1108090,1101514,3
8.3,1108090,1101179,3
8.3,1108090,1101108,3
8,1108090,1082497,6
10,1108090,1101607,3
10,1108090,1101247,3
9,1108090,110137,3
8.3,1108090,1101333,3
8.3,1108090,1101370,3
9.2,1108090,1101297,3
9.2,1108090,1092212,4
8.7,1108090,1092380,4
9.2,1108090,109245,4
10,1108090,1101669,3
8.7,1108090,1111304,1
9.3,1108090,110142,3
9.7,1108090,109187,5
10,1108090,1101771,3
8.3,1108090,1092103,4
9.5,1108090,1092513,4
8.3,1108090,1092483,4
8.3,1108090,1111359,1
8.3,1108090,1091744,5
7.7,1108090,1072244,8
8.3,1108090,1101408,3
8.2,1108090,1101682,3
8,1108090,1101610,3
3.2,1108090,1091368,7
8,1108090,1111384,3
5,1108090,1121174,1
9.2,1108090,111160,3
8.3,1108090,111198,3
7.1,1108090,111180,3
8.8,1108090,1111412,3
7.9,1108090,1111145,3
9.2,1108090,1111533,3
8.6,1108090,111177,3
8.5,1108090,1111442,3
8.9,1108090,1101793,5
5.8,1108090,1092277,6
7.5,1108090,1101478,5
9.1,1108090,1111632,3
9,1108090,1111684,3
8.8,1108090,11027,4
7,1108090,1101318,5
7.2,1108090,1111134,3
8.3,1108090,1102605,4
8.3,1108090,1102262,4
7.6,1108090,1101450,5
8,1108090,1112757,2
8.1,1108090,1111588,3
5,1108090,1101104,5
10,1108090,1121471,1
7,1108090,1121127,1
1.3,1108090,1121740,1
5,1108090,1101128,5
9.1,1108090,1111519,3
8.2,1108090,1102583,4
8.8,1108090,1111394,3
5.6,1108090,1121484,1
7.6,1108090,1111540,3
9.5,1108090,1111745,3
6.9,1108090,1121264,1
9.2,1108090,1092398,6
6,1108090,1121451,1
7.4,1108090,1112485,2
8.3,1108090,1111736,3
7.2,1108090,1101254,5
7.8,1108090,1102351,4
9.7,1108090,1091368,8
9.3,1108090,1102779,5
8.7,1108090,1111434,4
8.7,1108090,1112589,3
9.3,1108090,1102640,5
9,1108090,1111615,4
9.3,1108090,1102518,5
9,1108090,1092559,7
9.7,1108090,1121740,2
8.7,1108090,1112102,3
9.8,1108090,1121161,2
9.8,1108090,1111472,4
9,1108090,1111777,4
9,1108090,1111265,4
9.7,1108090,1112418,3
8.5,1108090,1102475,3
8.3,1108090,1102596,3
8.1,1108090,109112,6
7.8,1108090,1102547,3
7,1108090,1112627,1
8.2,1108090,1091131,6
7.1,1108090,1111653,2
8.2,1108090,109250,5
7.9,1108090,110251,3
9,1108090,1101651,4
7.4,1108090,1101447,4
8,1108090,1102454,3
8.7,1108090,1102498,3
8.3,1108090,1102606,3
8.2,1108090,1102334,3
7.6,1108090,1101502,4
8.3,1108090,110133,4
7.7,1108090,1101278,4
8.5,1108090,1102342,3
8.3,1108090,1102416,3
8,1108090,1102410,3
7.2,1108090,1101687,4
8.2,1108090,1102635,3
9.5,1304025,1101151,5
9.5,1304025,1102772,4
9,1304025,1111101,3
9,1304025,1111579,4
8.5,1304025,1112622,3
2,1109053,1091368,5
5.1,1109053,1102475,2
2.8,1109053,1102640,2
1.3,1109053,1102147,2
5.3,1109053,1102596,2
2.7,1109053,1102741,2
2.3,1109053,1102518,2
5.1,1109053,109112,5
2.5,1109053,1101312,3
7,1109053,110251,2
5.2,1109053,1101732,3
2,1109053,1111134,1
0.8,1109053,1111434,1
5.4,1109053,1102547,2
1,1109053,110147,3
3,1109053,1102583,2
1.3,1109053,1102775,2
6.2,1109053,1111225,1
1.7,1109053,1101104,3
2,1109053,1092277,4
1.8,1109053,1101478,3
4.2,1109053,1101207,3
0.3,1109053,1102118,2
3.3,1109053,1092249,4
4.4,1109053,11027,2
7.2,1109053,1111588,1
3.2,1109053,1102605,2
3.6,1109053,1102262,2
3.5,1109053,1101450,3
0.5,1109053,1102341,2
5.3,1109053,1101651,3
5.9,1109053,1101447,3
2.2,1109053,1101383,3
0,1109053,1102315,2
1.8,1109053,1102393,2
2.5,1109053,1102678,2
5.4,1109053,1102454,2
1,1109053,1102695,2
5,1109053,1102606,2
2.3,1109053,1101128,3
1.3,1109053,1101377,3
6.9,1109053,1102334,2
2.2,1109053,1101420,3
5.5,1109053,1111653,1
2.7,1109053,1092675,4
0.8,1109053,1092714,4
0.2,1109053,1092213,4
2.3,1109053,1101774,3
0.3,1109053,1092574,4
0.3,1109053,1092739,4
6.3,1109053,1092749,4
1.7,1109053,1102392,2
7.4,1109053,1102635,2
0,1109053,1092258,4
5.6,1109053,1102342,2
4.2,1109053,1091479,5
2.8,1109053,1091457,5
6.7,1109053,1102416,2
0.2,1109053,1091598,5
5.7,1109053,1102410,2
5.3,1109053,1101708,3
3.3,1109053,1102351,2
1.7,1109053,1101437,3
2.5,1109053,1101254,3
3.8,1109053,110230,4
1.3,1109053,112140,1
0.7,1109053,1112646,2
6.4,1109053,1102640,4
0.7,1109053,1111724,3
5,1109053,1111777,3
3.7,1109053,1102718,4
4.1,1109053,1102227,4
1.3,1109053,1111376,3
2.9,1109053,1112256,2
1.5,1109053,1111504,3
2.9,1109053,1111776,3
1.5,1109053,1111715,3
5.1,1109053,1102572,4
4,1109053,1102775,4
2,1109053,1112543,2
3,1109053,1101681,5
1.3,1109053,111193,3
6.7,1109053,1112500,2
0.3,1109053,1102612,4
5,1109053,1112549,2
0.3,1109053,111188,3
0.8,1109053,1121188,1
3.3,1109053,1111122,3
4.2,1109053,1101207,5
2.5,1109053,1121469,1
0.3,1109053,1102734,4
3.3,1109053,1112680,2
2.6,1109053,1102453,4
6.4,1109053,1111472,3
1.6,1109053,111243,2
5,1109053,111225,2
0.2,1109053,1112388,2
0.6,1109053,111283,2
7,1109053,1102779,4
4,1109053,1102341,4
3,1109053,1102711,4
4,1109053,1102393,4
3.8,1109053,1111395,3
3,1109053,1102678,4
3,1109053,1102695,4
1,1109053,1112783,2
3.4,1109053,1101535,5
0.8,1109053,1102719,4
1.3,1109053,1111344,3
2.5,1109053,1111663,3
6.1,1109053,1111656,3
2.7,1109053,1112248,2
4,1109053,111159,3
7,1109053,1112589,2
4.4,1109053,1112448,2
4.3,1109053,1102639,4
5,1109053,1092559,6
3.3,1109053,110265,4
1,1109053,112171,1
0.7,1109053,1112494,2
2.8,1109053,1111198,3
1.7,1109053,1111440,3
0.5,1109053,1102727,4
3.4,1109053,1102113,4
0.5,1109053,1121506,1
6.6,1109053,1112239,2
1.7,1109053,1112660,2
5.6,1109053,1102741,5
5,1109053,1102718,5
5,1109053,1102227,5
5.7,1109053,1102775,5
2.2,1109053,1112726,3
2.5,1109053,1121361,2
6.4,1109053,1112680,3
5,1109053,1122255,1
0.5,1109053,1122137,1
3.2,1109053,1112286,3
1.7,1109053,1121232,2
5.3,1109053,1102695,5
5.1,1109053,1101535,6
1,1109053,1121243,2
6,1109053,1121674,2
5.4,1109053,1121581,2
1.3,1109053,1121524,2
2.5,1109053,1111376,4
3.4,1109053,1112337,3
6.2,1109053,1121644,2
6,1109053,1121568,2
3,1109053,1111776,4
7.8,1109053,112194,2
6.5,1109053,112221,1
5,1109053,1121760,2
1.7,1109053,1121469,2
1.9,1109053,1121567,2
0,1109053,1112235,3
6.4,1109053,112111,2
3,1109053,1121773,2
6.1,1109053,1102341,5
4.2,1109053,1102711,5
5,1109053,1111397,4
3.4,1109053,1121455,2
2.1,1109053,1121562,2
0,1109053,1112125,3
2.3,1109053,1111579,4
0.9,1109053,1112585,3
0.3,1109053,1122382,1
7.5,1109053,110265,5
3.3,1109053,1112783,3
5.8,1109053,1112248,3
1.2,1109053,1121791,2
6.7,1109053,1121269,2
5.1,1109053,110230,5
1.8,1109053,1111724,4
7.3,1109053,1102173,5
2.5,1109053,1121405,2
0.2,1109053,1111504,4
7.2,1109053,1121633,2
6,1109053,1121140,2
5,1109053,1111122,4
2.8,1109053,1101207,6
2.3,1109053,1112206,3
2.8,1109053,111283,3
3,1109053,1112690,3
1.7,1109053,1112468,3
1.3,1109053,1112388,3
5,1109053,1111395,4
7,1109053,1102678,5
1.8,1109053,1102354,5
3.1,1109053,1121698,2
7.3,1109053,1102639,5
0,1109053,1112494,3
3.3,1109053,1112543,3
0.7,1109053,1102727,5
0.3,1109053,1121506,2
2.7,1109053,112176,2
2.5,1109053,1121233,2
0.7,1109053,112172,2
0.8,1109053,1112180,3
7.4,1109053,1112256,3
1.6,1109053,1111715,4
5,1109053,111113,4
0.2,1109053,111193,4
5,1109053,111159,4
0.5,1109053,111188,4
0.3,1109053,1121188,2
0,1109053,1111721,4
8.1,1109053,1121106,2
5,1109053,1102734,5
1.8,1109053,1102453,5
7.3,1109053,1121429,2
1.1,1109053,1112456,3
5.1,1109053,1121570,2
3,1109053,1101545,6
5.1,1109053,1102393,5
1.7,1109053,1102538,5
2,1109053,1111344,4
1.8,1109053,1111663,4
7,1109053,1121787,2
1.4,1109053,1121298,2
0.9,1109053,1122330,1
0.6,1109053,1111440,4
7,1109053,112182,2
2.9,1109053,1121584,2
5.2,1109053,1112660,3
5.9,1109053,1112448,3
5,1109053,1102621,5
7,1109053,1101377,4
0.8,1109053,1102147,3
0.3,1109053,1102657,3
2,1109053,1102718,3
0.3,1109053,1102227,3
5.1,1109053,1102518,3
6.9,1109053,1101692,4
7,1109053,1111412,2
5.9,1109053,1102554,3
3.6,1109053,1102522,3
7,1109053,1111145,2
3.8,1109053,110147,4
5.4,1109053,1102583,3
3.4,1109053,1102775,3
5,1109053,1092277,5
3.3,1109053,1111472,2
5.5,1109053,1111265,2
8.3,1109053,111160,2
6.6,1109053,1101450,4
8,1109053,1111126,2
5.2,1109053,1111629,2
4,1109053,1101535,4
5.1,1109053,1111736,2
7.8,1109053,1111519,2
2.5,1109053,1112589,1
6.5,1109053,1111189,2
1.7,1109053,1102541,3
1.8,1109053,1102572,3
5,1109053,1111134,2
3,1109053,1102341,3
0.5,1109053,1102711,3
0,1109053,1102315,3
5.1,1109053,1111684,2
3.3,1109053,1111777,2
7,1109053,1092675,5
8,1109053,1111745,2
1.3,1109053,1101437,4
7.7,1109053,1111615,2
2.3,1109053,1102392,3
1,1109053,1092559,5
1.3,1109053,110265,3
2.8,1109053,1111198,2
1.7,1109053,1102561,3
4.6,1109053,1102351,3
5.3,1109053,1111384,2
4.2,1109053,1102640,3
1.2,1109053,1102173,3
7,1109053,111198,2
5,1109053,1101793,4
2.5,1109053,1101207,4
8.7,1109053,1111632,2
5.2,1109053,1092249,5
6.4,1109053,11027,3
5.4,1109053,1102605,3
5,1109053,1102262,3
5,1109053,1111434,2
9.7,1109053,1111394,2
7,1109053,1101383,4
9.7,1109053,1111540,2
0.3,1109053,1102639,3
5.1,1109053,1091479,6
0.7,1109053,1091598,6
0,1109053,1102727,3
6.1,1109053,1091368,6
0.2,1109053,1111533,2
7,1109053,111177,2
5.4,1109053,1111442,2
5.5,1109053,1101478,4
6,1109053,1102120,3
1.3,1109053,1102453,3
2,1109053,1102779,3
5.1,1109053,1101104,4
3,1109053,1102393,3
3,1109053,1111656,2
5.4,1109053,1101420,4
2.3,1109053,1102695,3
5,1109053,1101774,4
5.1,1109053,1101128,4
7,1109053,1101254,4
7.2,1411283,1121511,1
8.1,1411283,1101297,5
5,1411283,112175,1
7.6,1411283,1101750,5
7,1411283,1082738,8
7.8,1411283,1082100,8
7.8,1411283,1111304,3
7.5,1411283,1091364,7
7.7,1411283,1082216,8
7.4,1411283,1082658,8
7,1411283,1071551,11
7,1411283,1082751,8
6.6,1411283,1101281,5
5.2,1411283,107220,10
7.2,1411283,107246,10
6,1411283,1112345,2
6.2,1411283,1091368,8
9,1411283,1091733,8
8.5,1411283,1091671,8
5.9,1411283,109170,8
5,1411283,1121266,2
7.6,1411283,1091300,8
1.5,1411283,1101502,6
7,1411283,1101782,6
8.1,1411283,1081683,8
5,1411283,109164,6
7,1411283,1112425,1
7.6,1411283,1082587,7
9.9,1411283,1081578,8
5.2,1411283,1091476,6
9.1,1411283,1091150,6
7.7,1411283,1081645,8
8.2,1411283,1072641,9
7,1411283,107217,9
8,1411283,1091648,6
7,1411283,1071421,10
7.8,1411283,1072703,9
5.7,1411283,1062526,11
7.3,1411283,1072404,9
1.7,1411283,106261,11
8.1,1411283,1082310,7
7,1411169,10928,4
8.6,1411169,1091768,5
9.5,1411169,1092275,4
7.3,1411169,1091133,5
7.3,1411169,111169,1
8.5,1411169,109187,5
7.1,1411169,1082346,6
7.2,1411169,1082796,6
7,1411169,1091490,5
9.4,1411169,1091577,5
8.4,1411169,1111105,1
8.5,1411169,1052523,12
7.3,1411169,1071664,9
7,1411169,1091457,5
7.6,1411169,1091461,5
7,1411169,108267,6
8.5,1411169,1072347,8
8.1,1411169,1091668,5
7.1,1411169,1101143,3
8.4,1411169,1091565,5
8.8,1411169,1111434,1
7.9,1411169,1102475,4
7.4,1411169,1121174,1
7,1411169,1102640,4
8.2,1411169,1102741,4
6.4,1411169,1102718,4
9.5,1411169,1101782,5
7,1411169,1102775,4
7.5,1411169,1092107,6
7.9,1411169,1121390,1
7,1411169,1092277,6
7.5,1411169,1101478,5
7.2,1411169,1101207,5
3.6,1411169,108218,8
8.9,1411169,1102120,4
7.1,1411169,11027,4
7.6,1411169,1101722,5
7.4,1411169,1102262,4
6.9,1411169,1101450,5
7,1411169,1102341,4
9.5,1411169,1101651,5
6.1,1411169,1101447,5
7.7,1411169,1101104,5
7.4,1411169,1102695,4
8.3,1411169,1101128,5
7.3,1411169,110133,5
6.4,1411169,1101278,5
9.7,1411169,1112418,2
5,1411169,1112261,2
7,1411169,1112589,2
8.8,1411169,1092427,6
2.5,1411169,1111304,3
7,1411169,1102410,4
5,1411169,1102596,5
7,1411169,1111189,4
3,1411169,1112102,3
8.8,1411169,1111412,4
5,1411169,1101219,6
7,1411169,1112485,3
5,1411169,1112627,3
7,1411169,1111442,4
8.8,1411169,1111145,4
7.3,1411169,108218,9
7,1411169,1111632,4
7.2,1411169,1111472,4
7,1411169,1102779,5
7.6,1411169,1112757,3
8.3,1411169,1111588,4
8.3,1411169,1102678,5
5.1,1411169,1102606,5
7,1411169,1111684,4
9.4,1411169,1102334,5
7,1411169,1111656,4
8.6,1411169,1111540,4
7.5,1411169,1111615,4
8.6,1411169,1092398,7
7.4,1411169,1102416,5
8.1,1411169,1102351,5
7.8,1411169,1091368,6
7.7,1411169,1101377,4
7.3,1411169,1101687,4
7.6,1411169,1111210,2
7,1411169,1101503,4
7.3,1411169,109112,6
5.6,1411169,1082593,7
5.5,1411169,1101151,4
7.2,1411169,1092355,5
7,1411169,1091203,6
7,1411169,1101689,4
8.2,1411169,1092352,5
6.4,1411169,1111532,2
9.3,1411169,1092288,5
5.4,1411169,1092249,5
5,1411169,1112200,1
7.9,1411169,1101281,4
7.1,1411169,1092742,5
7.8,1411169,1101295,4
7.2,1411169,1101737,4
6.2,1411169,109250,5
7.5,1411169,1091364,6
9.3,1411169,1101179,4
7,1411169,1101108,4
6.3,1411169,1082497,7
9,1411169,1101607,4
7.8,1411169,1111653,2
7,1411169,11012,4
5,1411169,1092675,5
7.5,1411169,1101297,4
8.4,1411169,1092212,5
7,1411169,1092380,5
7.5,1411169,109245,5
9.1,1411169,1101669,4
7.1,1411169,1101379,4
8.3,1411169,1092103,5
5.8,1411169,1102520,3
6.5,1411169,109131,6
7.3,1411169,1092513,5
7.8,1411169,1101335,4
5.6,1411169,107220,9
5.9,1411169,110142,4
8.3,1411169,1101408,4
7.8,1411169,1101682,4
7.3,1411169,1101254,4
7,1109106,1102518,5
7.2,1307151,1121786,1
7.2,1307151,1121111,1
7.2,1307151,1121699,1
9.2,1307151,1121232,1
8.8,1307151,1111652,3
8.3,1307151,1121361,1
8.8,1307151,1121505,1
7.7,1307151,1121267,1
8,1307151,1121592,1
8,1307151,1121409,1
8,1307151,1121542,1
7,1307151,1121594,1
7,1307151,1121319,1
7.7,1307151,1121153,1
8,1307151,1121159,1
7.7,1307151,1121673,1
9.5,1307151,1121161,1
7.5,1307151,1121243,1
9,1307151,1121674,1
8.8,1307151,1121581,1
8,1307151,1121524,1
7.5,1307151,1121184,1
8.2,1307151,1121698,1
9,1307151,1121644,1
9.5,1307151,1121568,1
8.2,1307151,1121233,1
2.2,1307151,1121432,1
9.7,1307151,112194,1
8.3,1307151,1121350,1
9,1307151,1121760,1
8.3,1307151,1121226,1
9,1307151,1121713,1
7.8,1307151,1121567,1
9.2,1307151,112111,1
8.5,1307151,1121324,1
8.8,1307151,1121428,1
8.2,1307151,1121599,1
8.7,1307151,1121455,1
8.2,1307151,1121562,1
7.2,1307151,1121405,1
7.8,1307151,1121564,1
8.2,1307151,1121194,1
2.7,1307151,1121662,1
8.3,1307151,1121791,1
8,1307151,1121269,1
8.5,1307151,1121529,1
9.7,1307151,1121633,1
