CODIGO,DISCIPLINA,V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V1.11,V1.12,V1.13,V1.14,V1.15,V1.16
1411171,TEORIA DA COMPUTAÇÃO,41,26,377,207,86,48,20,18,8,6,4,1,0,0,0,0
1411172,ESTRUTURA DE DADOS E ALGORITMOS,40,25,483,175,81,35,20,10,8,4,3,0,0,0,0,0
1411173,LÓGICA MATEMÁTICA,17,20,13,258,143,58,32,13,16,14,7,4,1,0,0,0
1411174,INTRODUÇÃO A COMPUTAÇÃO,1049,79,14,6,4,0,0,0,0,0,0,0,0,0,0,0
1411175,ORG.E ARQUITETURA DE COMPUTADORES I,22,22,7,190,133,69,31,26,17,8,8,5,4,1,0,0
1411176,GERÊNCIA DA INFORMAÇÃO,24,107,506,130,38,14,8,5,3,2,1,0,0,0,0,0
1411177,ENGENHARIA DE SOFTWARE I,14,16,15,108,173,79,28,18,10,10,7,4,1,1,0,0
1411178,SISTEMAS DE INFORMAÇÃO I,19,13,13,353,127,36,13,8,2,0,2,1,1,0,0,0
1411179,LAB.DE ESTRUTURA DE DADOS E ALGORITMOS,33,20,478,155,65,30,16,7,7,2,1,0,0,0,0,0
1411180,LABORATÓRIO DE PROGRAMAÇÃO I,1070,252,61,10,11,3,2,3,1,0,0,0,0,0,0,0
1411181,LABORATÓRIO DE PROGRAMAÇÃO II,24,648,194,86,25,11,5,2,2,0,0,0,0,0,0,0
1411182,LAB.DE ORG.E ARQUITETURA DE COMPUTADORES,23,22,10,191,138,76,31,26,19,8,10,7,7,0,0,0
1411183,LABORATÓRIO DE ENGENHARIA DE SOFTWARE,11,10,12,9,45,176,118,35,21,15,8,6,2,1,1,0
1411184,LAB.DE INTERCON.DE REDES DE COMPUTADORES,14,12,5,11,5,60,121,101,48,29,19,8,5,4,3,1
1411185,PROJETO EM COMPUTAÇÃO I,12,8,4,8,9,10,75,197,54,25,12,11,5,0,1,1
1411186,PROJETO EM COMPUTAÇÃO II,7,15,8,5,8,7,11,84,177,56,28,11,9,4,0,1
1411187,ANÁLISE E TÉCNICA DE ALGORITMOS,23,14,22,16,111,198,93,67,40,31,17,15,8,3,2,0
1411188,MÉTODOS E SOFTWARE NUMÉRICOS,15,14,14,12,7,15,61,124,124,46,18,12,6,6,1,2
1411189,COMPILADORES,17,19,11,14,21,53,125,118,57,38,14,5,10,7,4,2
1411190,REDES DE COMPUTADORES,12,14,24,6,100,148,94,38,26,20,7,5,3,1,1,1
1411191,INTERCONEXÃO DE REDES DE COMPUTADORES,14,12,5,11,5,61,120,101,48,29,19,8,5,4,3,1
1411192,SISTEMAS OPERACIONAIS,7,16,19,8,21,117,146,81,42,21,17,6,5,3,1,1
1411193,BANCO DE DADOS I,24,23,15,11,266,139,70,26,19,11,3,3,0,1,0,0
1411194,BANCO DE DADOS II,11,20,14,7,7,113,152,88,56,25,11,9,1,0,1,0
1411195,SISTEMAS DE INFORMAÇÃO II,33,22,12,7,227,150,67,27,14,10,2,1,3,3,1,0
1411196,INTELIGENCIA ARTIFICIAL I,7,8,10,12,3,25,72,92,99,37,23,19,6,6,3,2
1411197,AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS,6,6,8,19,18,16,70,134,95,55,16,18,5,2,2,0
1411201,EMPREENDEDORISMO,6,6,4,11,8,28,46,42,46,19,11,3,4,2,1,0
1411203,ESTÁGIO INTEGRADO,2,1,7,3,1,12,24,44,73,30,11,4,2,1,1,0
1411204,GERENCIA DE REDES DE COMPUTADORES,1,0,2,0,2,1,6,37,23,16,8,5,1,1,1,0
1411210,MARKETING PARA INFORMÁTICA,7,3,9,5,7,23,16,21,26,9,4,2,4,0,0,0
1411217,PROJETO DE REDES DE COMPUTADORES,1,0,0,0,0,0,17,13,28,8,5,1,0,0,1,0
1411218,REDES DE PETRI,1,1,1,0,6,10,1,7,7,9,1,1,0,0,0,0
1411221,SISTEMAS DE INFORMAÇÕES GEOGRÁFICAS,7,6,4,1,2,35,39,17,32,8,8,4,4,0,0,0
1411226,REDES NEURAIS,1,0,0,1,0,2,6,19,17,8,5,1,0,1,1,0
1411236,TECC (SISTEMAS DE APOIO A DECISÃO),1,3,1,0,1,2,5,33,15,8,4,4,1,0,0,0
1411238,SEMINÁRIOS (EDUCAÇÃO AMBIENTAL),22,24,23,48,53,66,95,96,77,30,8,7,2,3,3,0
1411242,TECC(SEGURANCA EM REDES DE COMPUTADORES),1,2,1,2,3,0,4,16,23,16,5,4,3,1,0,0
1411244,TECC(ECONOMIA DE TECNOLOGIA DA INFORMAÇÃ,3,5,3,5,5,21,24,30,41,12,11,4,2,4,0,0
1411247,TECC(ALGORITMOS AVANÇADOS II),1,6,1,8,6,9,2,6,0,1,0,0,0,1,0,0
1411249,TECC (METODOS FORMAIS),3,2,0,4,2,1,2,11,2,0,0,1,1,0,0,0
1411250,TECC(ALGORITMOS  AVANÇADOS III ),3,0,2,1,13,10,6,5,5,0,1,0,0,0,1,0
1411256,TEC(PRINCIPIOS DE ADMIN FINANCEIRA),7,14,7,21,33,20,30,30,44,25,5,8,2,1,0,0
1411265,TECC(REDES AD HOC SEM FIO),1,1,0,0,0,3,17,4,22,4,4,0,1,1,0,0
1411266,TECC(FUND E APLIC. DE REALIDADE VIRTUAL,5,2,6,1,27,16,30,20,22,9,1,4,5,2,0,0
1411268,TECC(MODELAGEM DE AMBIENTES VIRTUAIS),5,2,2,2,2,14,18,14,11,8,8,3,6,1,1,0
1411271,TECC(INT.AO DES.DE SOFT.P/DISP.MOVEIS),2,0,5,14,4,10,9,4,2,6,1,2,0,1,0,0
1411272,TECC(FLUXO DE TRABALHO INFORMATIZADO),1,1,3,3,2,2,8,5,8,5,3,2,2,0,1,0
1411273,TECC (ARQUITETURA DE SOFTWARE),2,0,0,0,0,12,5,9,4,5,2,1,1,0,0,0
1411281,TECC(EMPREENDEDORISMO EM SOFTWARE),2,11,11,9,10,18,40,7,4,6,2,2,0,0,0,0
1411283,TECC(FUNDAMENTOS DE PROG CONCORRENTE),6,3,1,0,3,6,3,13,4,3,3,0,1,0,0,0
1411285,TECC (DIDÁTICA EM CIÊNCIA DA COMPUTAÇÃO),7,9,1,14,18,8,5,8,6,3,0,0,0,0,0,0
1411288,TECC (DIDÁT. CIÊNCIA DA COMPUTAÇÃO II),3,1,3,0,4,3,4,3,4,0,0,0,0,0,0,0
1411289,TECC (ANÁLISE DE DADOS I),1,2,3,3,3,1,7,1,6,2,0,1,0,0,0,0
1113002,DESENHO BASICO,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1302123,COMPUTAÇÃO E MÚSICA,0,1,3,1,1,3,3,4,7,0,0,0,0,0,0,0
1304025,BASQUETEBOL - FEM,0,2,2,2,2,1,1,2,0,0,1,0,0,0,0,0
1304117,GINASTICA MASC/FEM,0,1,0,0,1,5,0,10,6,7,2,1,0,0,0,0
1304122,BASQUETE   MASC/FEM,0,8,7,0,0,2,0,3,1,0,1,0,0,0,0,0
1411202,ENGENHARIA DE SOFTWARE II,0,2,3,3,9,34,18,13,14,8,6,1,1,0,1,0
1411222,SISTEMAS DISTRIBUIDOS,0,1,0,1,2,1,9,9,13,4,1,1,0,0,0,0
1411235,TECC(DESENV.DE APLIC.CORPORAT.AVANÇADAS),0,1,0,0,0,24,44,29,29,15,4,3,0,0,0,0
1411243,TECC(ALGORITMOS AVANÇADOS I ),0,3,1,8,4,7,2,0,2,1,0,0,1,0,0,0
1411254,TECC(PROCESSAMENTO DIGITAL DE IMAGEM),0,2,0,2,6,13,8,10,3,0,1,1,1,0,0,0
1411258,TECC(ALGORITMOS AVANÇADOS V),0,1,0,3,9,2,6,5,1,1,0,0,0,0,0,0
1411259,TECC (GRADES COMPUTACIONAIS),0,7,6,10,1,9,6,0,0,1,0,0,0,0,0,0
1411263,TECC(ALGORITMOS AVANÇADOS VI),0,1,1,7,1,1,2,4,0,0,0,0,0,0,0,0
1411264,TECC(DESENVOLVIMENTO DIRIGIDO A MODELOS),0,1,1,0,6,0,18,5,10,6,1,1,0,0,1,0
1411279,TECC(ESTAGIO INTEGRADO II),0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0
1411282,TECC(ADMINISTRACAO DE SISTEMAS),0,2,3,3,2,2,5,1,1,2,0,0,0,1,0,0
1411286,TECC(METODOS E P T G M DADOS HISTORICOS),0,3,2,0,2,3,8,3,2,0,1,0,0,0,0,0
1107131,QUÍMICA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1107232,QUÍMICA GERAL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1109010,EQUACOES DIFERENCIAIS LINEARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1109105,CALCULO DIFERENCIAL E INTEGRAL III,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0
1113019,EXPRESSAO GRAFICA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1304012,VOLEIBOL - MASC/FEM,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1411261,TECC (REDAÇÃO TÉCNICO-CIENTÍFICA),0,0,1,1,0,4,2,3,5,5,1,0,1,2,0,0
1411270,TECC (PROGRAMAÇÃO III),0,0,3,2,4,1,6,3,4,1,2,0,0,0,0,0
1411274,TECC(MET CIENT P/ PESQ EM C. DA COMPUT),0,0,3,0,0,4,4,7,4,1,0,0,1,1,1,0
1411287,TECC(M E E DE P DE T EM G M DE D HIST II,0,0,2,1,0,1,1,5,0,1,0,0,0,0,0,0
1108030,FÍSICA GERAL I,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1109106,EQUACOES DIFERENCIAIS,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0
1404132,INTRODUCAO A ENGENHARIA ELETRICA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1411212,ORGAN. E ARQUITETURA DE COMPUTADORES II,0,0,0,1,0,2,2,3,0,1,0,0,0,0,0,0
1411251,TECC(ALGORITMOS  AVANÇADOS IV),0,0,0,14,4,15,6,4,2,2,0,0,1,0,0,0
1411262,TECC (ARQUITETURA DE SIST. EMBUTIDOS),0,0,0,2,2,2,6,6,2,0,0,0,0,0,0,0
1411267,TECC(SISTEMAS DE RECUP DA INFORMAÇÃO),0,0,0,1,0,3,14,4,6,4,2,0,1,1,0,0
1411275,TECC(SISTEMAS COOPERATIVOS),0,0,0,1,0,3,3,5,2,1,2,2,1,0,0,0
1107225,TE (INTRODUÇÃO À ENGENHARIA DO PETRÓLEO),0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
1107233,TE (TECNOLOGIA DE GAS NATURAL),0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
1304123,FUTSAL - FEM,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
1411209,INTERFACE HOMEM-MÁQUINA,0,0,0,0,1,0,4,1,4,1,0,0,0,0,0,0
1411257,TECC (INTRODUÇÃO À MECÂNICA QUÂNTICA),0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0
1411276,TECC(VISAO COMPUTACIONAL),0,0,0,0,1,3,3,14,3,4,4,1,1,1,1,0
1503121,INTRODUCAO A ARQUITETURA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1107224,TE(INTRODUÇÃO A ENG DE RESERVATORIOS),0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0
1107227,TE (ENGENHARIA DE POÇO),0,0,0,0,0,4,3,1,0,1,0,0,0,0,0,0
1411198,ADM.DE SIST.GERENC.DE BANCO DE DADOS,0,0,0,0,0,2,14,13,25,5,3,5,1,2,1,0
1411224,SISTEMAS MULTIMÍDIA,0,0,0,0,0,3,4,2,3,2,1,0,0,0,0,0
1411255,TECC(LAB DE SISTEMAS OPERACIONAIS),0,0,0,0,0,1,4,2,0,1,1,0,0,0,0,0
1502046,INT A ENGENHARIA AGRICOLA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1502178,QUÍMICA ANALÍTICA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1502183,METODOLOGIA E TÉCNICAS DE PESQUISA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1107197,TEEQ (ZEOLITAS),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1411208,INTELIGÊNCIA ARTIFICIAL II,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1411216,PROGRAMAÇÃO FUNCIONAL,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
1411252,TE (R. NEURAIS APL. À IND. DO PETRÓLEO),0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
1411253,TE(SIST INF GEOG APLIC SETOR PETR E GAS},0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
1411260,TECC (INTRODUÇÃO À COMPUTAÇÃO QUÂNTICA),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1105365,GEOLOGIA DO PETRÓLEO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1107252,TE (INT. À COM. E EL. F. P. DE PETRÓLEO),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1411207,INFORMÁTICA NA EDUCAÇÃO,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0
1411248,TECC (SISTEMAS DE APOIO A DECISÃO II),0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1411269,TECC(MINERAÇÃO DE DADOS),0,0,0,0,0,0,0,2,6,1,2,0,1,0,0,0
1307045,LINGUA PORTUGUESA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1305147,INTRODUÇÃO À FILOSOFIA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1411220,SISTEMAS BASEADOS EM CONHECIMENTO,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
