CODIGO,DISCIPLINA,V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V1.11,V1.12,V1.13,V1.14,V1.15,V1.16
1108089,FUNDAMENTOS DE FÍSICA CLÁSSICA,40,434,235,166,63,45,23,18,14,7,3,3,1,1,0,0
1108090,FUNDAMENTOS DE FÍSICA MODERNA,26,17,235,137,73,43,29,18,7,7,5,4,0,0,0,0
1109035,ÁLGEBRA VETORIAL E GEOMETRIA ANALÍTICA,1013,252,83,30,13,7,5,2,2,0,0,0,0,0,0,0
1109049,ÁLGEBRA LINEAR,42,125,269,221,116,48,24,17,13,11,6,4,4,1,1,0
1109053,CALCULO DIFERENCIAL E INTEGRAL II,43,440,291,196,95,56,22,9,12,6,5,2,1,1,0,0
1109103,CALCULO DIFERENCIAL E INTEGRAL I,1013,393,126,52,18,8,3,6,3,1,0,0,0,0,0,0
1109113,MATEMÁTICA DISCRETA,33,606,236,104,40,20,8,7,5,0,0,0,0,0,0,0
1114107,PROBABILIDADE E ESTATISTICA,56,47,278,211,127,78,48,33,26,17,7,3,4,1,0,0
1114114,METODOS ESTATISTICOS,25,33,13,75,203,109,59,36,31,27,18,7,5,4,2,0
1301014,ADMINISTRAÇÃO,10,45,47,69,47,33,21,39,36,23,12,6,1,1,0,0
1301061,PROCESSO DECISORIO,1,1,0,0,0,2,1,4,1,3,0,0,0,0,0,0
1301078,GESTAO DA QUALIDADE,2,2,1,1,2,3,3,8,9,14,5,2,3,0,0,0
1303021,ECONOMIA,14,38,48,36,32,41,34,58,47,21,14,8,3,1,0,0
1304013,BASQUETEBOL - MASC,4,5,6,8,4,1,2,5,5,2,0,0,0,2,0,0
1304055,FUTSAL,3,12,9,12,14,7,10,16,19,6,1,1,0,1,0,0
1304059,FUTEBOL DE CAMPO,1,1,2,2,2,2,0,1,2,2,0,0,0,0,0,0
1305020,RELACOES HUMANAS,10,20,30,19,14,16,23,23,34,19,14,8,2,0,2,0
1305033,SOCIOLOGIA INDUSTRIAL I,17,28,41,37,24,23,18,23,46,29,12,4,3,2,1,0
1305218,METODOLOGIA CIENTÍFICA,13,314,38,22,20,37,34,17,9,3,1,1,1,1,0,0
1305219,DIREITO E CIDADANIA,30,67,100,93,88,110,119,58,36,17,7,3,0,2,1,1
1305220,INFORMÁTICA E SOCIEDADE,30,140,106,104,143,120,41,29,23,10,11,6,1,1,0,0
1307150,INGLÊS,14,74,35,49,45,27,24,27,21,15,7,2,6,0,0,0
1307151,LEITURA E PRODUCAO DE TEXTOS,959,25,12,9,1,1,0,1,0,1,1,0,1,0,0,0
1411167,PROGRAMAÇÃO I,1068,246,56,9,11,2,1,2,1,0,0,0,0,0,0,0
1411168,PROGRAMAÇÃO II,22,645,196,83,23,16,8,6,2,1,0,0,0,0,0,0
1411169,PARADIGMAS DE LING. DE PROGRAMAÇÃO,16,19,15,217,162,53,33,16,17,9,6,9,6,1,0,0
1411170,TEORIA DOS GRAFOS,16,615,176,61,17,12,4,2,0,0,0,0,0,0,0,0
