cod1,cod2,cor
1411191,1411184,0.997074675652275
1411180,1411167,0.947151603949244
1109103,1109035,0.823407949713299
1411179,1411172,0.762747139087715
1411181,1411168,0.735149272895501
1411180,1411174,0.706423836453942
1411174,1411167,0.702381104708867
1411174,1109035,0.695021526044425
1411174,1109103,0.694529134026491
1109103,1109049,0.628710630749167
1411173,1114107,0.628369569866922
1411172,1411171,0.625890801716537
1411174,1109113,0.622416111296854
1411179,1411178,0.616256916292096
1411172,1114107,0.614136826295141
1411179,1411168,0.602815247642127
1114107,1109049,0.602679699901067
1109053,1109049,0.600667955363307
1109113,1109053,0.599446745761183
1411173,1114114,0.597922708481818
1411179,1114107,0.59652781307719
1109113,1109103,0.594845248171206
1411171,1109113,0.593723963725905
1411173,1411171,0.591655754931118
1411174,1411168,0.589135533380669
1411173,1109049,0.587678341982854
1109113,1109049,0.585027402926198
1411180,1109103,0.584727190402815
1411172,1109113,0.580386173829201
1411170,1411168,0.579627214436673
1411171,1114107,0.5795717411598
1411167,1109103,0.579549066429734
1411181,1411176,0.575624163436496
1109113,1109035,0.573304803043239
1411180,1109035,0.571999768124118
1411181,1411179,0.571165032658945
1411179,1109049,0.569882393505659
1411173,1109053,0.568984593474402
1109049,1109035,0.567440650909483
1411180,1411172,0.565641969179624
1411167,1109035,0.565101899844545
1411181,1109103,0.563886712040434
1109103,1109053,0.558220252197885
1411175,1411173,0.557079337261194
1411168,1109113,0.555515405441953
1411168,1109103,0.552817297677863
1411172,1109049,0.552333980225468
1411194,1411173,0.551379554909683
1114114,1109049,0.550700276506942
1411173,1109113,0.548358409589871
1411193,1411175,0.547325766771936
1411179,1411171,0.546962830170302
1411193,1411173,0.546087913040636
1411171,1109053,0.545407163954153
1411179,1109113,0.545375709035579
1411173,1411172,0.543927104451123
1411172,1411167,0.543640899515786
1411195,1411173,0.542854980452075
1411190,1411175,0.542466647070665
1411172,1109053,0.5414324285944
1411195,1411171,0.541414644476944
1411180,1411168,0.540484032894402
1411168,1411167,0.538828093898604
1411167,1109113,0.538631382789553
1411179,1109053,0.53743562218608
1411178,1114107,0.536859178913139
1411179,1411173,0.534890265864664
1411180,1109113,0.534812544352685
1411192,1411190,0.534465051533934
1411194,1411192,0.534456540229953
1411174,1307151,0.533774910536272
1411187,1411179,0.533413388208875
1411192,1411173,0.530685022560156
1411171,1109049,0.530338156961704
1411182,1411175,0.5294436129922
1411179,1109103,0.527781788531901
1109053,1109035,0.525672075158555
1411189,1114114,0.525040090492681
1411180,1411179,0.523128215205066
1411187,1411168,0.522130228417289
1411178,1109049,0.520478706337246
1411192,1114114,0.519707458709454
1411170,1109113,0.51948195747912
1411193,1411190,0.519132240214998
1411193,1114114,0.517599877455501
1411175,1114114,0.517350707949385
1114107,1109053,0.5157554687695
1109103,1108089,0.515230161474149
1114107,1109113,0.515005562553947
1411194,1114107,0.513355703366898
1411178,1411172,0.512146098974896
1411178,1411173,0.511771854309494
1411174,1411172,0.510492972736361
1411172,1411168,0.509769561264331
1411181,1109035,0.507198517775093
1411174,1109049,0.507052272709026
1411194,1411193,0.505880426572479
1411172,1109103,0.504421933004525
1411179,1411174,0.504299906423624
1411181,1411174,0.503610375720423
1411193,1411178,0.503567756059964
1411195,1411194,0.502692928772635
1411174,1109053,0.502018634873866
1411187,1411175,0.501734863352327
1307151,1109035,0.501007125493648
1411192,1411187,0.500548748936097
1411194,1411189,0.500412963237142
