"","MEDIA.1108089","MEDIA.1108090","MEDIA.1109035","MEDIA.1109049","MEDIA.1109053","MEDIA.1109103","MEDIA.1109113","MEDIA.1114107","MEDIA.1114114","MEDIA.1305218","MEDIA.1305219","MEDIA.1305220","MEDIA.1307151","MEDIA.1411167","MEDIA.1411168","MEDIA.1411169","MEDIA.1411170","MEDIA.1411171","MEDIA.1411172","MEDIA.1411173","MEDIA.1411174","MEDIA.1411175","MEDIA.1411176","MEDIA.1411177","MEDIA.1411178","MEDIA.1411179","MEDIA.1411180","MEDIA.1411181","MEDIA.1411182","MEDIA.1411183","MEDIA.1411184","MEDIA.1411185","MEDIA.1411186","MEDIA.1411187","MEDIA.1411188","MEDIA.1411189","MEDIA.1411190","MEDIA.1411191","MEDIA.1411192","MEDIA.1411193","MEDIA.1411194","MEDIA.1411195","MEDIA.1411196","MEDIA.1411197"
"MEDIA.1108089",1,0.271554260332321,0.27286305831413,0.333739094592842,0.303254321835923,0.366165041413123,0.296247090780111,0.248469592899036,0.311027476351518,0.1338050346332,0.015372312384442,0.101725728379268,0.133832341109388,0.16091822453388,0.31498176697491,0.112549876335542,0.239167848867413,0.229270494976142,0.237195805918002,0.241247789091582,0.304612896622017,0.203577769500157,0.26381754401636,0.137632762910235,0.262006994767928,0.284686039108605,0.16521889421834,0.294668454928657,0.150656793680558,0.155731041077124,0.177055450262824,0.133569249721024,0.0898706877644536,0.265650123319373,0.0969255829872871,0.152271040180757,0.171584438555977,0.177020766662496,0.19630569871893,0.226544062397412,0.229891864459426,0.0808286672631369,0.234884188838998,0.225433214916764
"MEDIA.1108090",0.271554260332321,1,0.138326843214343,0.26420640565805,0.225746441382265,0.162233267650054,0.207582999478507,0.259300028536561,0.24889760343485,0.10033880337668,0.175254780060376,0.0750598790633007,0.0371465389413158,0.093440691682887,0.215608920523532,0.208427813745113,0.21370494906501,0.255930240293025,0.21301690390359,0.258349947198568,0.215522250703887,0.218866094847705,0.120353813755905,0.189904458015075,0.215328238204602,0.253395322596047,0.109264870381033,0.131406620315858,0.140646332856686,0.12438591455832,0.127717124442231,0.129989580046392,0.0536624329703668,0.332985171721604,0.156915045383583,0.0982814617973763,0.139637735341051,0.127696543227647,0.151371100041601,0.232649470266023,0.138264868434683,0.0897780612698742,0.246443689938717,0.258569873264796
"MEDIA.1109035",0.27286305831413,0.138326843214343,1,0.406414600129542,0.378774518896619,0.642582965178749,0.411729498107004,0.294081288485855,0.245262291846583,0.217650348194295,0.040583499383236,0.11364098931637,0.360692380621767,0.412590565996076,0.350447576794653,0.139738372781188,0.288909234755981,0.298858549890915,0.314005588453289,0.348537814587541,0.519291713178962,0.201487758407723,0.293630296321458,0.102198889434489,0.262638241645084,0.328852994909201,0.416695344549089,0.357959018770735,0.130592943332692,0.137462070878317,0.160328249012294,0.147259528015823,0.120706450361165,0.120398103130365,0.296743371526102,0.225103326641921,0.14988636107383,0.160031952050902,0.164703686824993,0.245396228187062,0.226569519616933,0.304962200338715,0.202943086480479,0.28019216491031
"MEDIA.1109049",0.333739094592842,0.26420640565805,0.406414600129542,1,0.43514290706092,0.44818074003145,0.419520636221283,0.435042938965631,0.39675725112849,0.179641703089237,0.0606235192002422,0.062760000004866,0.157323501020389,0.25310714927756,0.326399499641356,0.278895496438264,0.25990094599729,0.37637969998807,0.394131322975904,0.429680281118333,0.360797571358151,0.339984394633311,0.306150794929597,0.167974320937977,0.368162783008068,0.405058427807013,0.26573817968172,0.335198960175111,0.221805392206541,0.184489991254215,0.206961047003716,0.156594286756974,0.103821800688684,0.242084470226319,0.203542859999064,0.242442657457707,0.270092153877081,0.207093445433043,0.237023593511184,0.316378145400524,0.310457840428709,0.347165017365578,0.215508131446333,0.296357737438894
"MEDIA.1109053",0.303254321835923,0.225746441382265,0.378774518896619,0.43514290706092,1,0.405733185603654,0.440016051583546,0.369010436249599,0.309629254970229,0.205408039420609,0.0445299335610897,0.0442770036397536,0.167661290897158,0.273085995611217,0.341613114273383,0.194959957362053,0.26950175224538,0.39384797655187,0.38952507262777,0.409915907113393,0.361622135977082,0.24190874056288,0.248578025148356,0.155462297922042,0.288992614324277,0.383103689600151,0.28714851460244,0.329993465091575,0.190543200850888,0.135930188785941,0.140126677552988,0.0890309386217359,0.0950884976463859,0.220324167800758,0.184780450693394,0.214098653270588,0.155508163455078,0.140031002265855,0.188180348859039,0.255032543374538,0.231155791349629,0.299946238195299,0.150315367179745,0.146044125430523
"MEDIA.1109103",0.366165041413123,0.162233267650054,0.642582965178749,0.44818074003145,0.405733185603654,1,0.433255672722389,0.338650138711756,0.27815428435628,0.179267416443773,0.0201785182194973,0.115883808678387,0.323877154120767,0.421433415576713,0.396701667557541,0.11535653574889,0.308718384708842,0.341636065988225,0.3592516288627,0.342379182454559,0.521489944893542,0.230297361403999,0.340185890169862,0.0657093070501559,0.293793087606469,0.375549974293759,0.425894631652893,0.403988505883907,0.180110343524717,0.123558951296955,0.2096423052154,0.107849931910322,0.0857601595390516,0.208623535855489,0.228955216566599,0.217832111052984,0.168144822947582,0.209602348629193,0.170792607716614,0.259581069051396,0.262916995509522,0.25833606474182,0.155046128777087,0.21910527565545
"MEDIA.1109113",0.296247090780111,0.207582999478507,0.411729498107004,0.419520636221283,0.440016051583546,0.433255672722389,1,0.372291845745317,0.343798890953682,0.236485464149017,0.11819358284371,0.127375628388267,0.199724184587648,0.386217284712435,0.401711812035666,0.296680441595915,0.377249911250918,0.431165219432222,0.428021708467491,0.394357747711961,0.455426369922593,0.277472528677097,0.216145606740186,0.190303289773465,0.307054581251382,0.39431669232965,0.38338444976531,0.316692167746535,0.239631692026637,0.227397735506988,0.17848396466478,0.172065530157177,0.129295825813867,0.29144468158597,0.222033261059708,0.237384668964603,0.24341545446466,0.178452249223684,0.233243784761783,0.30390729629771,0.308646356722693,0.348953551080951,0.213674844935899,0.243890335688007
"MEDIA.1114107",0.248469592899036,0.259300028536561,0.294081288485855,0.435042938965631,0.369010436249599,0.338650138711756,0.372291845745317,1,0.349022348996874,0.141720770170581,0.0788017609644181,0.0746920473850759,0.195235494363824,0.255677544354481,0.291309635059261,0.24921053657435,0.227667272587699,0.425434144597159,0.449929820313134,0.456675140650469,0.301482036764895,0.349047603932244,0.219066573386067,0.198651205246038,0.384092866826514,0.433085226002634,0.267396754908304,0.21396413007835,0.257911531037662,0.201028704460693,0.241467419727867,0.115229530062589,0.127213840293046,0.292618566808921,0.230586939095841,0.342456037927367,0.256345684448167,0.241309581964467,0.338127608538876,0.353844897110109,0.365107782204203,0.326391270682154,0.280318498498452,0.168946003488971
"MEDIA.1114114",0.311027476351518,0.24889760343485,0.245262291846583,0.39675725112849,0.309629254970229,0.27815428435628,0.343798890953682,0.349022348996874,1,0.197668617267267,0.116439943836367,0.12918769819002,0.212313921244743,0.22799457475025,0.261999110783734,0.262849200054037,0.343858502298084,0.321188741379885,0.298412688129172,0.432246247807781,0.262537418636251,0.366296748431872,0.185304313766777,0.280474212514324,0.2944138599065,0.305918113729284,0.196167754904368,0.186527970893762,0.291930881209253,0.232686189124556,0.264624827713184,0.177644736266022,0.20498280949075,0.331023082025211,0.25426419914106,0.375269364967053,0.341523994871624,0.26483708200207,0.371495821476746,0.373459970672383,0.352286861026546,0.318238045357193,0.345773372948168,0.257335720063013
"MEDIA.1305218",0.1338050346332,0.10033880337668,0.217650348194295,0.179641703089237,0.205408039420609,0.179267416443773,0.236485464149017,0.141720770170581,0.197668617267267,1,0.0982935093720941,0.159520170786281,0.294795040059167,0.2137681661008,0.225059710768815,0.071273063054724,0.213709322672119,0.151805506780516,0.152851453479153,0.217576455298218,0.286835612512028,0.155530631319086,0.284120965404041,0.214782429263968,0.197938230735177,0.1895016345101,0.213427384495729,0.196551879207719,0.0594846266921692,0.151970136472227,0.102638818427983,0.123120183980338,0.18645175191338,0.0650987705779104,0.159381209813277,0.128273376200087,0.140732896159668,0.102638818427983,0.237272800000012,0.147098078812022,0.234014983126651,0.185239207877243,0.180972727923589,0.176032085214047
