coddisciplina,disciplina,PerMaisFreq1st,FreqRelativa1st,PerMaisFreq2nd,FreqRelativa2nd,PerMaisFreq3rd,FreqRelativa3rd,TotalDeAlunosPorDisciplina,TipoDeDisciplina
1108089,Fundamentos de Física Clássica,2,0.488038277511962,3,0.301435406698565,4,0.100478468899522,209,OBG
1108090,Fundamentos de Física Moderna,3,0.456521739130435,4,0.195652173913043,5,0.130434782608696,138,OBG
1109035,Álgebra Vetorial e Geometria Analítica,1,0.855345911949686,2,0.0911949685534591,3,0.0345911949685535,318,OBG
1109049,Álgebra Linear,3,0.384615384615385,2,0.21301775147929,4,0.195266272189349,169,OBG
1109053,Cálculo Diferencial e Integral II,2,0.485294117647059,3,0.279411764705882,4,0.102941176470588,204,OBG
1109103,Cálculo Diferencial e Integral I,1,0.794561933534743,2,0.157099697885196,3,0.027190332326284,331,OBG
1109113,Matemática Discreta,2,0.632352941176471,3,0.209558823529412,4,0.0808823529411765,272,OBG
1114107,Probabilidade e Estatística,3,0.408805031446541,4,0.213836477987421,1,0.163522012578616,159,OBG
1114114,Métodos Estatísticos,5,0.385826771653543,1,0.118110236220472,6,0.118110236220472,127,OBG
1301014,Administração,3,0.254237288135593,4,0.169491525423729,2,0.152542372881356,59,OPT
1303021,Economia,4,0.226190476190476,2,0.214285714285714,3,0.119047619047619,84,OPT
1304013,BASQUETEBOL - MASC,4,0.206896551724138,3,0.172413793103448,8,0.137931034482759,29,OPT
1304055,Futsal,4,0.266666666666667,9,0.2,2,0.166666666666667,30,OPT
1305020,Relações Humanas,3,0.2,1,0.155555555555556,2,0.133333333333333,45,OPT
1305033,Sociologia Industrial I,2,0.162162162162162,3,0.148648648648649,5,0.121621621621622,74,OPT
1305218,Metodologia Científica,6,0.382978723404255,7,0.361702127659574,2,0.0851063829787234,47,OBG
1305219,Direito e Cidadania,4,0.19047619047619,3,0.153439153439153,2,0.148148148148148,189,OBG
1305220,Informática e Sociedade,2,0.394366197183099,3,0.140845070422535,5,0.140845070422535,213,OBG
1307150,Inglês,4,0.197674418604651,2,0.186046511627907,1,0.104651162790698,86,OPT
1307151,Leitura e Produção de Textos,1,0.939655172413793,2,0.0301724137931034,4,0.0172413793103448,232,OBG
1411167,Programação I,1,0.860681114551084,2,0.126934984520124,3,0.0123839009287926,323,OBG
1411168,Programação II,2,0.748031496062992,3,0.137795275590551,4,0.0669291338582677,254,OBG
1411169,Paradigmas de Linguagem de Programação,4,0.360655737704918,5,0.319672131147541,6,0.0983606557377049,122,OBG
1411170,Teoria dos Grafos,2,0.701818181818182,3,0.203636363636364,4,0.0727272727272727,275,OBG
1411171,Teoria da Computação,3,0.433333333333333,4,0.327777777777778,1,0.116666666666667,180,OBG
1411172,Estruturas de Dados e Algoritmos,3,0.60093896713615,4,0.211267605633803,1,0.07981220657277,213,OBG
