"coddisciplina","disciplina","departamento","TipoDeDisciplina","media_de_reprovacoes"
1107232,"Química Geral","humanas","OPT",0
1108089,"Física Clássica","dme","OBG",0.465454545454545
1108090,"Física Moderna","dme","OBG",0.0142857142857143
1109035,"Álgebra Vetorial e Geometria Analítica","dme","OBG",0.470886075949367
1109049,"Álgebra Linear","dme","OBG",0.493023255813954
1109053,"Cálculo Diferencial e Integral 2","dme","OBG",0.613114754098361
1109103,"Cálculo Diferencial e Integral 1","dme","OBG",0.611111111111111
1109105,"Cálculo Diferencial e Integral 3","dme","OPT",0
1109106,"EQUACOES DIFERENCIAIS","dme","OPT",0
1109113,"Matemática Discreta","dsc","OBG",0.365695792880259
1113019,"EXPRESSAO GRAFICA","dme","OPT",0
1114107,"Probabilidade e Estatística","dme","OBG",0.524017467248908
1114114,"Métodos Estatísticos","dme","OBG",0.187919463087248
1301014,"Administração","humanas","OPT",0.0847457627118644
1303021,"Economia","humanas","OPT",0.258823529411765
1304013,"BASQUETEBOL - MASC","esportes","OPT",0
1304025,"BASQUETEBOL - FEM","esportes","OPT",0
1304055,"Futsal","esportes","OPT",0
1304122,"BASQUETE   MASC/FEM","esportes","OPT",0
1305020,"Relações Humanas","humanas","OPT",0.0869565217391304
1305033,"Sociologia Industrial I","humanas","OPT",0
1305218,"Metodologia Científica","dsc","OBG",0
1305219,"Direito e Cidadania","humanas","OBG",0.0368421052631579
1305220,"Informática e Sociedade","humanas","OBG",0.00469483568075117
1307150,"Inglês","humanas","OPT",0
1307151,"Leitura e Produção de Textos","humanas","OBG",0.0258620689655172
1411167,"Programação 1","dsc","OBG",0.257372654155496
1411168,"Programação 2","dsc","OBG",0.251700680272109
1411169,"Paradigmas de Linguagens de Programação","dsc","OBG",0.024390243902439
1411170,"Teoria dos Grafos","dsc","OBG",0.135416666666667
1411171,"Teoria da Computação","dsc","OBG",0.174603174603175
1411172,"Estrutura de Dados","dsc","OBG",0.234782608695652
1411173,"Lógica Matemática","dsc","OBG",0.114093959731544
1411174,"Introdução a Computação","dsc","OBG",0.10223642172524
1411175,"Organização e Arquitetura de Computadores","dsc","OBG",0.0579710144927536
1411176,"Gerência da Informação","dsc","OBG",0.245614035087719
1411177,"Engenharia de Software 1","dsc","OBG",0.0504201680672269
1411178,"Sistemas de Informação 1","dsc","OBG",0.05
1411179,"Laboratório de Estrutura de Dados","dsc","OBG",0.190697674418605
1411180,"Laboratório de Programação 1","dsc","OBG",0.259358288770053
1411181,"Laboratório de Programação 2","dsc","OBG",0.318327974276527
1411182,"Laboratório de Organização e Arquitetura de Computadores","dsc","OBG",0.114093959731544
1411183,"Laboratório de Engenharia de Software","dsc","OBG",0.0170940170940171
1411184,"Laboratório de Interconexão de Redes de Computadores","dsc","OBG",0.040650406504065
1411185,"Projeto em Computação 1","dsc","OBG",0.00840336134453781
1411186,"Projeto em Computação 2","dsc","OBG",0.0380952380952381
1411187,"Análise e Técnica de Algorítimos","dsc","OBG",0.075
1411188,"Métodos e Software Numéricos","dsc","OBG",0.00775193798449612
1411189,"Compiladores","dsc","OBG",0.121951219512195
1411190,"Redes de Computadores","dsc","OBG",0.0793650793650794
1411191,"Interconexão de Redes de Computadores","dsc","OBG",0.040650406504065
1411192,"Sistemas Operacionais","dsc","OBG",0.0104166666666667
1411193,"Banco de Dados 1","dsc","OBG",0.140127388535032
1411194,"Banco de Dados 2","dsc","OBG",0.103448275862069
1411195,"Sistemas de Informação 2","dsc","OBG",0.10738255033557
1411196,"Inteligência Artificial","dsc","OBG",0
1411197,"Avaliação de Desempenho de Sistemas Discretos","dsc","OBG",0.00917431192660551
1411201,"Empreendedorismo","dsc","OPT",0
1411203,"Estágio Integrado","dsc","OPT",0
1411204,"GERENCIA DE Redes de Computadores","dsc","OPT",0
1411217,"Projeto de Redes de Computadores","dsc","OPT",0
1411221,"Sistemas de Informações Geográficas","dsc","OPT",0.0625
1411226,"Redes Neurais","dsc","OPT",0
1411238,"Seminários (Educação Ambiental)","humanas","OPT",0
1411242,"TECC (Segurança em Redes de Computadores)","dsc","OPT",0
1411243,"TECC (Algoritmos Avançados I)","dsc","OPT",0.111111111111111
1411244,"TECC (Economia de Tecnologia da Informação)","dsc","OPT",0.0131578947368421
1411247,"TECC (Algoritmos Avançados II)","dsc","OPT",0.153846153846154
1411249,"TECC (Métodos Formais)","dsc","OPT",0.181818181818182
1411250,"TECC (Algoritmos Avançados III)","dsc","OPT",0.0714285714285714
1411256,"TEC (Princípios de Administração Financeira)","dsc","OPT",0.0512820512820513
1411265,"TECC (Redes Ad Hoc Sem Fio)","dsc","OPT",0
1411266,"TECC (Fundamentos e Aplicações de Realidade Virtual)","dsc","OPT",0
1411267,"TECC (Sistemas de Recuperação da Informação)","dsc","OPT",0
1411268,"TECC (Modelagem de Ambientes Virtuais)","dsc","OPT",0
1411276,"TECC (Visão Computacional)","dsc","OPT",0
1411279,"TECC (Estágio Integrado II)","dsc","OPT",0
1411281,"TECC(Empreendedorismo em Software)   ","dsc","OPT",0
1411282,"TECC (Administração de Sistemas)","dsc","OPT",0
1411283,"TECC(Fundamentos de Prog. Concorrente)","dsc","OPT",0.0487804878048781
1411285,"TECC(DIDATICA EM CIENCIA DA COMPUTACAO)","dsc","OPT",0
1411287,"TECC(METODOS E P T G M DADOS HISTORICOS)","dsc","OPT",0
1411288,"TECC(DIDATICA EM CIENCIA DA COMPUTACAO II)","dsc","OPT",0
