nota1,nota2,nota3,final,media,periodo,coddisciplina,disciplina,matricula,situacao,departamento,grupo
9,8.5,7.2,-1,8.2,20111,1411186,Projeto em Computação II,107110610,A,dsc,1
9.5,9.5,7.8,-1,8.9,20111,1411186,Projeto em Computação II,107110012,A,dsc,1
9,9,7.5,-1,8.5,20111,1411186,Projeto em Computação II,106210601,A,dsc,1
9,5.5,9,-1,7.8,20111,1411186,Projeto em Computação II,106210600,A,dsc,0
9,8.5,7,-1,8.2,20111,1411186,Projeto em Computação II,107110031,A,dsc,1
0,0,0,-1,0,20111,1411186,Projeto em Computação II,111110902,R,dsc,1
9,9,7.5,-1,8.5,20111,1411186,Projeto em Computação II,106210596,A,dsc,1
0,0,0,-1,0,20111,1411186,Projeto em Computação II,106110120,R,dsc,1
9.5,6.5,3,6.3,6.3,20111,1411186,Projeto em Computação II,107110563,A,dsc,0
6,7,9.3,-1,7.4,20111,1411186,Projeto em Computação II,106110125,A,dsc,1
9.5,8,8.3,-1,8.6,20111,1411186,Projeto em Computação II,107110017,A,dsc,1
8,7.5,8.5,-1,8,20111,1411186,Projeto em Computação II,107110001,A,dsc,1
8.3,7.5,8.2,-1,8,20111,1411186,Projeto em Computação II,107110021,A,dsc,1
9,5.5,9,-1,7.8,20111,1411186,Projeto em Computação II,110110100,A,dsc,0
9.5,9.5,7.7,-1,8.9,20111,1411186,Projeto em Computação II,107110028,A,dsc,1
9,9,7.5,-1,8.5,20111,1411186,Projeto em Computação II,106210157,A,dsc,1
9.5,8,8.3,-1,8.6,20111,1411186,Projeto em Computação II,107110005,A,dsc,1
9,5.7,9,-1,7.9,20111,1411186,Projeto em Computação II,106210167,A,dsc,0
9,7.5,7.5,-1,8,20111,1411186,Projeto em Computação II,107110014,A,dsc,1
9.5,9.5,7.7,-1,8.9,20111,1411186,Projeto em Computação II,107110035,A,dsc,1
8.5,9,8.5,-1,8.6,20121,1411186,Projeto em Computação II,107210004,A,dsc,1
9.5,10,8.5,-1,9,20121,1411186,Projeto em Computação II,107210007,A,dsc,1
8.5,9,8.5,-1,8.6,20121,1411186,Projeto em Computação II,104210032,A,dsc,1
9,9.5,9.5,-1,9.4,20121,1411186,Projeto em Computação II,108110031,A,dsc,1
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,108110018,A,dsc,1
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,108110034,A,dsc,1
8.5,9,9,-1,8.9,20121,1411186,Projeto em Computação II,108110015,A,dsc,1
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,108210200,A,dsc,1
8.5,8.5,8.5,-1,8.5,20121,1411186,Projeto em Computação II,108110016,A,dsc,1
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,109110076,A,dsc,1
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,108210204,A,dsc,1
8.5,9,9,-1,8.9,20121,1411186,Projeto em Computação II,108110013,A,dsc,1
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,111210419,A,dsc,1
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,112110919,A,dsc,1
9,9.5,9.5,-1,9.4,20121,1411186,Projeto em Computação II,108110032,A,dsc,1
7,8,9,-1,8.4,20121,1411186,Projeto em Computação II,110110978,A,dsc,1
6.2,10,6.2,-1,7,20121,1411186,Projeto em Computação II,107110434,A,dsc,0
6,7,8.5,-1,7.7,20121,1411186,Projeto em Computação II,107110437,A,dsc,1
9.5,10,8.5,-1,9,20121,1411186,Projeto em Computação II,107210016,A,dsc,1
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,107210013,A,dsc,1
8.5,8,8.5,-1,8.4,20121,1411186,Projeto em Computação II,107210010,A,dsc,1
9,9.5,9.5,-1,9.4,20121,1411186,Projeto em Computação II,108110020,A,dsc,1
8,9,8.5,-1,8.5,20121,1411186,Projeto em Computação II,108110009,A,dsc,1
8.5,8.5,8.5,-1,8.5,20121,1411186,Projeto em Computação II,108110004,A,dsc,1
8,8,8.5,-1,8.3,20121,1411186,Projeto em Computação II,108110028,A,dsc,1
8.5,9,9,-1,8.9,20121,1411186,Projeto em Computação II,108110003,A,dsc,1
8.5,8.5,8.5,-1,8.5,20121,1411186,Projeto em Computação II,108110001,A,dsc,1
6.2,10,6.2,-1,7,20121,1411186,Projeto em Computação II,107110030,A,dsc,0
8.5,9,8.5,-1,8.6,20121,1411186,Projeto em Computação II,110110093,A,dsc,1
8.5,9,8.5,-1,8.6,20121,1411186,Projeto em Computação II,111210662,A,dsc,1
8.5,8.5,8.5,-1,8.5,20121,1411186,Projeto em Computação II,111210404,A,dsc,1
9.5,10,8.5,-1,9,20121,1411186,Projeto em Computação II,107210226,A,dsc,1
8.5,8,8.5,-1,8.4,20121,1411186,Projeto em Computação II,106210176,A,dsc,1
8,8.5,8,-1,8.2,20122,1411186,Projeto em Computação II,108110025,A,dsc,1
9,8,8.5,-1,8.5,20122,1411186,Projeto em Computação II,108110023,A,dsc,1
7.5,8.8,6,-1,7.4,20122,1411186,Projeto em Computação II,110110123,A,dsc,4
7.5,8.8,6,-1,7.4,20122,1411186,Projeto em Computação II,111110074,A,dsc,4
8.5,8.8,6,-1,7.8,20122,1411186,Projeto em Computação II,110110124,A,dsc,1
8,8.5,8,-1,8.2,20122,1411186,Projeto em Computação II,108210022,A,dsc,1
8,8.5,8,-1,8.2,20122,1411186,Projeto em Computação II,108210202,A,dsc,1
8,8.5,8,-1,8.2,20122,1411186,Projeto em Computação II,108210334,A,dsc,1
7,8.8,6,-1,7.3,20122,1411186,Projeto em Computação II,110110118,A,dsc,4
8.5,8.8,6,-1,7.8,20122,1411186,Projeto em Computação II,107210030,A,dsc,1
7.5,8.8,6,-1,7.4,20122,1411186,Projeto em Computação II,110110069,A,dsc,4
8.5,8.05,8.45,-1,8.3,20112,1411186,Projeto em Computação II,108110604,A,dsc,1
8,8.2,8.8,-1,8.3,20112,1411186,Projeto em Computação II,107210001,A,dsc,1
9.5,8.5,8.7,-1,8.9,20112,1411186,Projeto em Computação II,109110112,A,dsc,1
8.5,7.8,8.1,-1,8.1,20112,1411186,Projeto em Computação II,108210284,A,dsc,1
5,6.15,6.7,5,5.6,20112,1411186,Projeto em Computação II,105210141,A,dsc,1
1.5,0,3.4,-1,1.6,20112,1411186,Projeto em Computação II,111110902,R,dsc,1
10,9.5,8.9,-1,9.5,20112,1411186,Projeto em Computação II,106110138,A,dsc,1
7,7.75,8.6,-1,7.8,20112,1411186,Projeto em Computação II,111210057,A,dsc,1
10,10,9.9,-1,10,20112,1411186,Projeto em Computação II,108110035,A,dsc,1
7.5,7.5,8.6,-1,7.9,20112,1411186,Projeto em Computação II,110210045,A,dsc,1
8.5,8.4,9.2,-1,8.7,20112,1411186,Projeto em Computação II,108110010,A,dsc,1
10,10,9.9,-1,10,20112,1411186,Projeto em Computação II,108110502,A,dsc,1
8.25,7.55,8.1,-1,8,20112,1411186,Projeto em Computação II,108110501,A,dsc,1
9,8.3,8.45,-1,8.6,20112,1411186,Projeto em Computação II,108110500,A,dsc,1
9.25,9.25,8.8,-1,9.1,20112,1411186,Projeto em Computação II,106210162,A,dsc,1
9,7.65,6.6,-1,7.8,20112,1411186,Projeto em Computação II,107110003,A,dsc,1
9.25,9,8.9,-1,9.1,20112,1411186,Projeto em Computação II,106210166,A,dsc,1
8.25,8.1,8.7,-1,8.4,20112,1411186,Projeto em Computação II,106210165,A,dsc,1
8.25,8.1,8.7,-1,8.4,20112,1411186,Projeto em Computação II,106210598,A,dsc,1
7,7,8.6,-1,7.5,20112,1411186,Projeto em Computação II,111110122,A,dsc,1
8.5,8.1,8.7,-1,8.4,20112,1411186,Projeto em Computação II,106210158,A,dsc,1
4.5,3.5,0,-1,2.7,20112,1411186,Projeto em Computação II,110110978,R,dsc,0
6.75,7.15,7.45,-1,7.1,20112,1411186,Projeto em Computação II,111110916,A,dsc,1
9.75,9,8.9,-1,9.2,20112,1411186,Projeto em Computação II,107110436,A,dsc,1
8,8.7,8.8,-1,8.5,20112,1411186,Projeto em Computação II,107210017,A,dsc,1
8.75,8.05,8.1,-1,8.3,20112,1411186,Projeto em Computação II,108110019,A,dsc,1
8.5,8.5,8.7,-1,8.6,20112,1411186,Projeto em Computação II,107210015,A,dsc,1
8,8.7,8.8,-1,8.5,20112,1411186,Projeto em Computação II,107210032,A,dsc,1
9.25,9.25,8.8,-1,9.1,20112,1411186,Projeto em Computação II,107210012,A,dsc,1
9.25,9.25,8.8,-1,9.1,20112,1411186,Projeto em Computação II,107210011,A,dsc,1
10,10,9.9,-1,10,20112,1411186,Projeto em Computação II,108110024,A,dsc,1
9.5,8.5,8.7,-1,8.9,20112,1411186,Projeto em Computação II,109210282,A,dsc,1
8.5,8.4,9.2,-1,8.7,20112,1411186,Projeto em Computação II,108110021,A,dsc,1
5,6.15,6.7,5,5.6,20112,1411186,Projeto em Computação II,105210160,A,dsc,1
9.2,9.2,9.7,-1,9.4,20112,1411186,Projeto em Computação II,109210015,A,dsc,1
9.2,9.2,9.7,-1,9.4,20112,1411186,Projeto em Computação II,108110007,A,dsc,1
8.5,8.4,9.2,-1,8.7,20112,1411186,Projeto em Computação II,108110005,A,dsc,1
9.2,9.45,9.7,-1,9.5,20112,1411186,Projeto em Computação II,108110002,A,dsc,1
7.75,7.9,7.45,-1,7.7,20112,1411186,Projeto em Computação II,111110914,A,dsc,1
8,8.7,8.8,-1,8.5,20112,1411186,Projeto em Computação II,105110107,A,dsc,1
8.25,8.1,8.7,-1,8.4,20112,1411186,Projeto em Computação II,106210151,A,dsc,1
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,111110923,A,dme,1
8,10,3,-1,7,20111,1108090,Fundamentos de Física Moderna,111110124,A,dme,0
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,110110848,A,dme,0
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,110110108,A,dme,1
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,107210223,A,dme,0
9,10,6.5,-1,8.5,20111,1108090,Fundamentos de Física Moderna,110110124,A,dme,0
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,110110049,A,dme,1
10,9,7.5,-1,8.8,20111,1108090,Fundamentos de Física Moderna,108210207,A,dme,1
10,10,7.5,-1,9.2,20111,1108090,Fundamentos de Física Moderna,110110065,A,dme,1
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,110110044,A,dme,0
10,10,6.5,-1,8.8,20111,1108090,Fundamentos de Física Moderna,109110118,A,dme,1
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,110110047,A,dme,1
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,110110043,A,dme,0
10,10,9,-1,9.7,20111,1108090,Fundamentos de Física Moderna,109210285,A,dme,1
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,109110079,A,dme,2
10,10,8,-1,9.3,20111,1108090,Fundamentos de Física Moderna,111110088,A,dme,1
10,10,2.5,-1,7.5,20111,1108090,Fundamentos de Física Moderna,110110127,A,dme,0
10,9,5,-1,8,20111,1108090,Fundamentos de Física Moderna,109110056,A,dme,0
10,10,4,-1,8,20111,1108090,Fundamentos de Física Moderna,110110088,A,dme,0
10,10,9.5,-1,9.8,20111,1108090,Fundamentos de Física Moderna,109210060,A,dme,1
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,111110112,A,dme,2
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,111110086,A,dme,2
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,109210063,A,dme,2
10,9,7.5,-1,8.8,20111,1108090,Fundamentos de Física Moderna,109110074,A,dme,1
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,109210043,A,dme,2
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,108110496,A,dme,0
10,10,6.5,-1,8.8,20111,1108090,Fundamentos de Física Moderna,110110081,A,dme,1
9,10,6,-1,8.3,20111,1108090,Fundamentos de Física Moderna,109210049,A,dme,0
9,10,10,-1,9.7,20111,1108090,Fundamentos de Física Moderna,110110085,A,dme,1
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,110110087,A,dme,2
9,10,10,-1,9.7,20111,1108090,Fundamentos de Física Moderna,110110132,A,dme,1
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,110110857,A,dme,2
10,9,5,-1,8,20111,1108090,Fundamentos de Física Moderna,109110805,A,dme,0
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,110110074,A,dme,1
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,110110076,A,dme,2
9,10,6,-1,8.3,20111,1108090,Fundamentos de Física Moderna,110110114,A,dme,0
10,9,5,-1,8,20111,1108090,Fundamentos de Física Moderna,108210019,A,dme,0
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,110110058,A,dme,1
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,110110073,A,dme,1
10,10,7,-1,9,20111,1108090,Fundamentos de Física Moderna,110110078,A,dme,1
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,110110079,A,dme,2
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,110110117,A,dme,2
9,10,8.5,-1,9.2,20111,1108090,Fundamentos de Física Moderna,110110116,A,dme,1
10,10,7.5,-1,9.2,20111,1108090,Fundamentos de Física Moderna,109210030,A,dme,1
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,109210019,A,dme,1
10,10,7.5,-1,9.2,20111,1108090,Fundamentos de Física Moderna,109210036,A,dme,1
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,110110110,A,dme,1
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,111110079,A,dme,1
9,10,9,-1,9.3,20111,1108090,Fundamentos de Física Moderna,110110096,A,dme,1
10,10,9,-1,9.7,20111,1108090,Fundamentos de Física Moderna,109110063,A,dme,1
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,110110125,A,dme,1
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,109210011,A,dme,2
9,10,9.5,-1,9.5,20111,1108090,Fundamentos de Física Moderna,109210057,A,dme,1
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,109210059,A,dme,2
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,111110109,A,dme,2
9,10,6,-1,8.3,20111,1108090,Fundamentos de Física Moderna,109110808,A,dme,0
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,107210224,A,dme,0
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,110110121,A,dme,2
10,10,4.5,-1,8.2,20111,1108090,Fundamentos de Física Moderna,110110094,A,dme,0
9,10,5,-1,8,20111,1108090,Fundamentos de Física Moderna,110110066,A,dme,0
5,5,6,0,3.2,20121,1108090,Fundamentos de Física Moderna,109110095,R,dme,1
8.3,7.3,8.5,-1,8,20121,1108090,Fundamentos de Física Moderna,111110929,A,dme,1
5,6.8,6,3.6,5,20121,1108090,Fundamentos de Física Moderna,112150440,A,dme,1
