"disciplina","creditos"
"Administração",4
"Álgebra Linear",4
"Álgebra Vetorial e Geometria Analítica",4
"Análise e Técnicas de Algoritmos",4
"Avaliação de Desempenho de Sistemas Discretos",4
"Banco de Dados I",4
"Banco de Dados II",4
"BASQUETE   MASC/FEM",4
"BASQUETEBOL - FEM",4
"BASQUETEBOL - MASC",4
"Cálculo Diferencial e Integral I",4
"Cálculo Diferencial e Integral II",4
"Cálculo Diferencial e Integral III",5
"Compiladores",4
"Direito e Cidadania",4
"disciplina",4
"Economia",4
"Empreendedorismo",4
"Engenharia de Software I",4
"EQUACOES DIFERENCIAIS",4
"Estágio Integrado",10
"Estruturas de Dados e Algoritmos",4
"EXPRESSAO GRAFICA",4
"Fundamentos de Física Clássica",4
"Fundamentos de Física Moderna",4
"Futsal",4
"Gerência da Informação",4
"GERENCIA DE Redes de Computadores",4
"Informática e Sociedade",2
"Inglês",4
"Inteligência Artificial I",4
"Interconexão de Redes de Computadores",2
"Introdução à Computação",4
"Lab. de Engenharia de Software",2
"Lab. de Estruturas de Dados e Algoritmos",4
"Lab. de Interconexão de Redes de Computadores",2
"Lab. de Organização e Arquitetura de Computadores",4
"Lab. de Programação I",4
"Lab. de Programação II",4
"Leitura e Produção de Textos",4
"Lógica Matemática",4
"Matemática Discreta",4
"Metodologia Científica",4
"Métodos e Software Numéricos",4
"Métodos Estatísticos",4
"Organização e Arquitetura de Computadores",4
"Paradigmas de Linguagem de Programação",2
"Probabilidade e Estatística",4
"Programação I",4
"Programação II",4
"Projeto de Redes de Computadores",4
"Projeto em Computação I",4
"Projeto em Computação II",6
"Química Geral",4
"Redes de Computadores",4
"Redes Neurais",4
"Relações Humanas",3
"Seminários (Educação Ambiental)",0
"Sistemas de Informação I",4
"Sistemas de Informação II",4
"Sistemas de Informações Geográficas",4
"Sistemas Operacionais",4
"Sociologia Industrial I",3
"TEC (Princípios de Administração Financeira)",4
"TECC (Administração de Sistemas)",4
"TECC (Algoritmos Avançados I)",2
"TECC (Algoritmos Avançados II)",2
"TECC (Algoritmos Avançados III)",4
"TECC (Economia de Tecnologia da Informação)",4
"TECC (Estágio Integrado II)",4
"TECC (Fundamentos e Aplicações de Realidade Virtual)",4
"TECC (Métodos Formais)",4
"TECC (Modelagem de Ambientes Virtuais)",4
"TECC (Redes Ad Hoc Sem Fio)",4
"TECC (Segurança em Redes de Computadores)",4
"TECC (Sistemas de Recuperação da Informação)",4
"TECC (Visão Computacional)",4
"TECC(DIDATICA EM CIENCIA DA COMPUTACAO II)",2
"TECC(DIDATICA EM CIENCIA DA COMPUTACAO)",2
"TECC(Empreendedorismo em Software)   ",4
"TECC(Fundamentos de Prog. Concorrente)",4
"TECC(METODOS E P T G M DADOS HISTORICOS)",6
"Teoria da Computação",4
"Teoria dos Grafos",2
