"matricula" "media" "periodo" "posicao"
"104110023" "7.45" "041" "1"
"104210032" "6.65" "042" "1"
"105110107" "7.65" "051" "1"
"105210141" "7.05" "052" "1"
"105210138" "6.68" "052" "2"
"105210131" "6.08" "052" "3"
"105210160" "6.08" "052" "4"
"106110138" "7.6" "061" "1"
"106110125" "7.4" "061" "2"
"106110145" "6.58" "061" "3"
"106110120" "0" "061" "4"
"106210599" "9.25" "062" "1"
"106210167" "8.55" "062" "2"
"106210147" "8.5" "062" "3"
"106210166" "8.27" "062" "4"
"106210598" "8.04" "062" "5"
"106210601" "7.88" "062" "6"
"106210158" "7.7" "062" "7"
"106210162" "7.69" "062" "8"
"106210165" "7.42" "062" "9"
"106210600" "7.41" "062" "10"
"106210596" "7.28" "062" "11"
"106210157" "7.19" "062" "12"
"106210176" "6.89" "062" "13"
"106210159" "6.8" "062" "14"
"106210151" "6.43" "062" "15"
"107110028" "8.88" "071" "1"
"107110012" "8.74" "071" "2"
"107110436" "8.56" "071" "3"
"107110031" "8.5" "071" "4"
"107110016" "8.45" "071" "5"
"107110035" "8.4" "071" "6"
"107110005" "8.25" "071" "7"
"107110014" "8.22" "071" "8"
"107110021" "8.21" "071" "9"
"107110025" "8.15" "071" "10"
"107110001" "8" "071" "11"
"107110610" "7.99" "071" "12"
"107110003" "7.88" "071" "13"
"107110017" "7.56" "071" "14"
"107110437" "7.42" "071" "15"
"107110563" "7.07" "071" "16"
"107110032" "7.03" "071" "17"
"107110434" "7.01" "071" "18"
"107110030" "6.57" "071" "19"
"107110006" "3.5" "071" "20"
"107210015" "8.65" "072" "1"
"107210226" "8.58" "072" "2"
"107210011" "8.53" "072" "3"
"107210017" "8.45" "072" "4"
"107210016" "8.41" "072" "5"
"107210004" "8.33" "072" "6"
"107210007" "8.12" "072" "7"
"107210012" "7.95" "072" "8"
"107210009" "7.88" "072" "9"
"107210032" "7.82" "072" "10"
"107210001" "7.71" "072" "11"
"107210030" "7.25" "072" "12"
"107210010" "7.21" "072" "13"
"107210013" "6.87" "072" "14"
"107210333" "6.68" "072" "15"
"107210224" "5.65" "072" "16"
"107210223" "5" "072" "17"
"107210037" "3.67" "072" "18"
"108110502" "9.39" "081" "1"
"108110035" "9.14" "081" "2"
"108110007" "8.85" "081" "3"
"108110024" "8.8" "081" "4"
"108110002" "8.77" "081" "5"
"108110005" "8.58" "081" "6"
"108110018" "8.55" "081" "7"
"108110604" "8.55" "081" "8"
"108110032" "8.53" "081" "9"
"108110031" "8.5" "081" "10"
"108110021" "8.48" "081" "11"
"108110003" "8.46" "081" "12"
"108110028" "8.32" "081" "13"
"108110010" "8.26" "081" "14"
"108110500" "8.21" "081" "15"
"108110034" "8.16" "081" "16"
"108110013" "8.15" "081" "17"
"108110025" "8.12" "081" "18"
"108110020" "8.1" "081" "19"
"108110023" "8.05" "081" "20"
"108110001" "8.03" "081" "21"
"108110009" "7.96" "081" "22"
"108110015" "7.92" "081" "23"
"108110501" "7.72" "081" "24"
"108110016" "7.6" "081" "25"
"108110004" "7.55" "081" "26"
"108110019" "6.27" "081" "27"
"108110496" "5.36" "081" "28"
"108110498" "0" "081" "29"
"108210200" "8.62" "082" "1"
"108210284" "8.51" "082" "2"
"108210204" "8.4" "082" "3"
"108210206" "8.39" "082" "4"
"108210202" "8.02" "082" "5"
"108210334" "8" "082" "6"
"108210282" "7.89" "082" "7"
"108210351" "7.77" "082" "8"
"108210003" "7.68" "082" "9"
"108210004" "7.68" "082" "10"
"108210354" "7.65" "082" "11"
"108210211" "7.56" "082" "12"
"108210022" "7.54" "082" "13"
"108210205" "7.4" "082" "14"
"108210039" "7.37" "082" "15"
"108210312" "7.26" "082" "16"
"108210353" "7.07" "082" "17"
"108210030" "7.03" "082" "18"
"108210019" "5.81" "082" "19"
"108210207" "5.76" "082" "20"
"108210348" "4.76" "082" "21"
"109110122" "8.66" "091" "1"
"109110085" "8.64" "091" "2"
"109110084" "8.62" "091" "3"
"109110100" "8.57" "091" "4"
"109110063" "8.5" "091" "5"
"109110075" "8.03" "091" "6"
"109110119" "7.9" "091" "7"
"109110065" "7.8" "091" "8"
"109150001" "7.77" "091" "9"
"109110029" "7.69" "091" "10"
"109110068" "7.67" "091" "11"
"109110115" "7.65" "091" "12"
"109110808" "7.65" "091" "13"
"109110032" "7.61" "091" "14"
"109150038" "7.51" "091" "15"
"109110073" "7.42" "091" "16"
"109110120" "7.42" "091" "17"
"109110070" "7.34" "091" "18"
"109110089" "7.32" "091" "19"
"109110118" "7.29" "091" "20"
"109150027" "7.29" "091" "21"
"109110116" "7.24" "091" "22"
"109110108" "7.15" "091" "23"
"109110112" "6.96" "091" "24"
"109110092" "6.93" "091" "25"
"109110066" "6.89" "091" "26"
"109110111" "6.68" "091" "27"
"109110061" "6.66" "091" "28"
"109110074" "6.66" "091" "29"
"109110079" "6.61" "091" "30"
"109110054" "6.57" "091" "31"
"109110805" "6.33" "091" "32"
"109110807" "5.92" "091" "33"
"109110076" "5.74" "091" "34"
"109110095" "5.74" "091" "35"
"109110057" "5.64" "091" "36"
"109110800" "5.3" "091" "37"
"109110056" "5.24" "091" "38"
"109110062" "5.22" "091" "39"
"109110806" "5.17" "091" "40"
"109110801" "4.79" "091" "41"
"109150028" "4.55" "091" "42"
"109110080" "4.17" "091" "43"
"109110030" "3.35" "091" "44"
"109210300" "8.72" "092" "1"
"109210286" "8.68" "092" "2"
"109210034" "8.53" "092" "3"
"109210065" "8.45" "092" "4"
"109210060" "8.44" "092" "5"
"109210015" "8.4" "092" "6"
"109210282" "8.32" "092" "7"
"109210019" "7.99" "092" "8"
"109210030" "7.95" "092" "9"
"109210036" "7.87" "092" "10"
"109210285" "7.77" "092" "11"
"109210011" "7.14" "092" "12"
"109210493" "7.06" "092" "13"
"109210029" "6.92" "092" "14"
"109210288" "6.88" "092" "15"
"109210043" "6.8" "092" "16"
"109210299" "6.78" "092" "17"
"109210046" "6.14" "092" "18"
"109210293" "6.12" "092" "19"
"109210059" "6.05" "092" "20"
"109210001" "6.03" "092" "21"
"109210013" "5.82" "092" "22"
"109210050" "5.81" "092" "23"
"109210009" "5.61" "092" "24"
"109210057" "5.47" "092" "25"
"109210422" "5.31" "092" "26"
"109210049" "5.21" "092" "27"
