CodigoDisciplina,MatriculaAluno,Periodo,Media,PeriodoRelativo,CodigoSituacao
1411198,10110812,20041,7.7,7,1
1411198,10110274,20041,9.5,7,1
1411198,10110486,20041,7.6,7,1
1411198,10111207,20041,9,7,1
1411198,10020298,20041,7.5,8,1
1411198,10020454,20041,8.8,8,1
1411198,10010191,20041,8,9,1
1411198,10011134,20041,8.5,9,1
1411198,10020333,20041,7.9,8,1
1411198,10020436,20041,7,8,1
1411198,10010241,20041,9,9,1
1411198,10020932,20041,7.8,8,1
1411198,10110096,20041,8.6,7,1
1411198,10020094,20041,7.5,8,1
1411198,10121085,20041,-1,6,4
1411198,10111084,20051,7.5,9,1
1411198,10110951,20051,7.8,9,1
1411198,10211432,20051,8.4,7,1
1411198,10211316,20051,8.8,7,1
1411198,10211241,20051,8.8,7,1
1411198,10310996,20061,8.1,7,1
1411198,10310018,20061,8.3,7,1
1411198,10110589,20061,8.3,11,1
1411198,10221304,20061,9.1,8,1
1411198,10210649,20061,9.1,9,1
1411198,10210777,20061,8.4,9,1
1411198,10220615,20061,8.1,8,1
1411198,10221224,20061,9.1,8,1
1411198,10020918,20061,8.1,12,1
1411198,10111182,20061,8.1,11,1
1411198,10310058,20061,8.4,7,1
1411198,10110693,20061,8.4,11,1
1411198,10311058,20061,8.3,7,1
1411198,10310140,20061,8.3,7,1
1411198,10211065,20061,8.4,9,1
1411198,10211303,20061,9.1,9,1
1411198,10420389,20081,8.8,8,1
1411198,10410535,20081,9.3,9,1
1411198,10120928,20081,9.4,14,1
1411198,10120622,20081,8.5,14,1
1411198,10320416,20081,8.3,10,1
1411198,10510617,20081,9.4,7,1
1411198,10411186,20081,9.3,9,1
1411198,10410998,20081,8.8,9,1
1411198,10220029,20081,5.7,12,1
1411198,10220331,20081,8,12,1
1411198,10321391,20081,8.7,10,1
1411198,10320120,20081,8,10,1
1411198,10321251,20081,8.5,10,1
1411198,10210243,20081,8.5,13,1
1411198,10220568,20081,8.5,12,1
1411198,10111019,20081,0,15,3
1411198,10221245,20081,0,12,3
1411198,10520964,20081,0,6,3
1411198,10521362,20101,7.3,10,1
1411198,10611160,20101,7,9,1
1411198,10611122,20101,5.9,9,1
1411198,10610845,20101,8.2,9,1
1411198,10620378,20101,7.5,8,1
1411198,10611423,20101,7,9,1
1411198,10611403,20101,7.7,9,1
1411198,10610409,20101,8.6,9,1
1411198,10610337,20101,7.3,9,1
1411198,10610747,20101,8.1,9,1
1411198,10610872,20101,8.7,9,1
1411198,10610985,20101,7.8,9,1
1411198,10611404,20101,8.6,9,1
1411198,10611373,20101,7.5,9,1
1411198,10620269,20101,7.1,8,1
1411198,10621420,20101,7.9,8,1
1411198,10610613,20101,-1,9,4
1301014,10410793,20041,9.5,1,1
1301014,10011415,20041,9.7,9,1
1301014,10020702,20041,9.2,8,1
1301014,10020333,20041,8.5,8,1
1301014,10010376,20041,8.7,9,1
1301014,10020696,20041,8.2,8,1
1301014,10221149,20041,8.8,4,1
1301014,10110100,20041,9,7,1
1301014,10120398,20041,8.6,6,1
1301014,10020094,20041,9.3,8,1
1301014,10020918,20041,9,8,1
1301014,10120369,20041,8.6,6,1
1301014,10010272,20041,0,9,3
1301014,10021484,20041,0,8,3
1301014,10210348,20041,0,5,3
