CodigoDisciplina,NomeDisciplina,CodigoDepto,Obrigatoria
1411282,TECC(ADMINISTRACAO DE SISTEMAS),1,FALSE
1411250,TECC(ALGORITMOS  AVANÇADOS III ),1,FALSE
1411251,TECC(ALGORITMOS  AVANÇADOS IV),1,FALSE
1411243,TECC(ALGORITMOS AVANÇADOS I ),1,FALSE
1411247,TECC(ALGORITMOS AVANÇADOS II),1,FALSE
1411258,TECC(ALGORITMOS AVANÇADOS V),1,FALSE
1411263,TECC(ALGORITMOS AVANÇADOS VI),1,FALSE
1411235,TECC(DESENV.DE APLIC.CORPORAT.AVANÇADAS),1,FALSE
1411264,TECC(DESENVOLVIMENTO DIRIGIDO A MODELOS),1,FALSE
1411244,TECC(ECONOMIA DE TECNOLOGIA DA INFORMAÇÃ,1,FALSE
1411281,TECC(EMPREENDEDORISMO EM SOFTWARE),1,FALSE
1411279,TECC(ESTAGIO INTEGRADO II),1,FALSE
1411272,TECC(FLUXO DE TRABALHO INFORMATIZADO),1,FALSE
1411266,TECC(FUND E APLIC. DE REALIDADE VIRTUAL,1,FALSE
1411283,TECC(FUNDAMENTOS DE PROG CONCORRENTE),1,FALSE
1411271,TECC(INT.AO DES.DE SOFT.P/DISP.MOVEIS),1,FALSE
1411255,TECC(LAB DE SISTEMAS OPERACIONAIS),1,FALSE
1411287,TECC(M E E DE P DE T EM G M DE D HIST II,1,FALSE
1411274,TECC(MET CIENT P/ PESQ EM C. DA COMPUT),1,FALSE
1411286,TECC(METODOS E P T G M DADOS HISTORICOS),1,FALSE
1411269,TECC(MINERAÇÃO DE DADOS),1,FALSE
1411268,TECC(MODELAGEM DE AMBIENTES VIRTUAIS),1,FALSE
1411254,TECC(PROCESSAMENTO DIGITAL DE IMAGEM),1,FALSE
1411265,TECC(REDES AD HOC SEM FIO),1,FALSE
1411242,TECC(SEGURANCA EM REDES DE COMPUTADORES),1,FALSE
1411275,TECC(SISTEMAS COOPERATIVOS),1,FALSE
1411267,TECC(SISTEMAS DE RECUP DA INFORMAÇÃO),1,FALSE
1411276,TECC(VISAO COMPUTACIONAL),1,FALSE
1411256,TEC(PRINCIPIOS DE ADMIN FINANCEIRA),1,FALSE
1107197,TEEQ (ZEOLITAS),12,FALSE
1107224,TE(INTRODUÇÃO A ENG DE RESERVATORIOS),12,FALSE
1411171,TEORIA DA COMPUTAÇÃO,1,FALSE
1411170,TEORIA DOS GRAFOS,1,FALSE
1411253,TE(SIST INF GEOG APLIC SETOR PETR E GAS},1,FALSE
1304012,VOLEIBOL - MASC/FEM,6,FALSE
