CodigoUA, NomeUA, CentroUA, Area
1, UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO, CEEI, DSC
2, UNID. ACAD. DE MATEMÁTICA, CCT, Exatas
3, UNID. ACAD. DE ADMINISTRAÇÃO E CONTABILIDADE, CH, Humanas
4, UNID. ACAD. DE ARTES, CH, Humanas
5, UNID. ACAD. DE ECONOMIA E FINANCAS, CH, Humanas
6, UNID. ACAD. DE EDUCAÇÃO, CH, Humanas
7, UNID. ACAD. DE ENGENHARIA AGRÍCOLA, CTRN, Exatas
8, UNID. ACAD. DE ENGENHARIA CIVIL, CTRN, Exatas
9, UNID. ACAD. DE ENGENHARIA DE PRODUÇÃO, CCT, Exatas
10, UNID. ACAD. DE ENGENHARIA ELÉTRICA, CEEI, Exatas
11, UNID. ACAD. DE ENGENHARIA MECÂNICA, CCT, Exatas
12, UNID. ACAD. DE ENGENHARIA QUÍMICA, CCT, Exatas
13, UNID. ACAD. DE ESTATÍSTICA, CCT, Exatas
14, UNID. ACAD. DE FÍSICA, CCT, Exatas
15, UNID. ACAD. DE LETRAS, CH, Exatas
16, UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA, CH, Humanas
