CODIGO,REPROVACAOABSOLUTA,REPROVACAORELATIVA
1105365,0,0
1107131,0,0
1107197,0,0
1107225,0,0
1107232,0,0
1107233,0,0
1107252,0,0
1108030,0,0
1109010,0,0
1109105,0,0
1109106,0,0
1113002,0,0
1113019,0,0
1304012,0,0
1304123,0,0
1307045,0,0
1411208,0,0
1411212,0,0
1411216,0,0
1411220,0,0
1411224,0,0
1411248,0,0
1411251,0,0
1411252,0,0
1411253,0,0
1411257,0,0
1411260,0,0
1411262,0,0
1411271,0,0
1411273,0,0
1411275,0,0
1411287,0,0
1411288,0,0
1411285,1,0.0131578947368421
1411217,1,0.0136986301369863
1411185,6,0.0141176470588235
1411202,2,0.0181818181818182
1304055,2,0.0185185185185185
1411244,3,0.01875
1411250,1,0.0217391304347826
1411268,2,0.0217391304347826
1411281,3,0.0252100840336134
1411222,1,0.0256410256410256
1411267,1,0.0277777777777778
1411186,12,0.0278422273781903
1411196,12,0.028436018957346
1411204,3,0.0294117647058824
1411188,14,0.0297872340425532
1411203,8,0.0372093023255814
1411270,1,0.0384615384615385
1411177,19,0.040084388185654
1411184,18,0.0407239819004525
1411191,18,0.0407239819004525
1411264,2,0.0408163265306122
1411198,3,0.0434782608695652
1411286,1,0.0434782608695652
1302123,1,0.0454545454545455
1411266,7,0.0472972972972973
1411183,22,0.0473118279569892
1304122,1,0.0476190476190476
1411201,11,0.0480349344978166
1411276,2,0.0571428571428571
1411238,32,0.0590405904059041
1304117,2,0.0606060606060606
1411235,9,0.0620689655172414
1411197,28,0.0620842572062084
1411236,5,0.0641025641025641
1411242,5,0.0641025641025641
1411259,2,0.0645161290322581
1411218,3,0.0666666666666667
1411178,38,0.0676156583629893
1411265,4,0.0689655172413793
1411243,2,0.0714285714285714
1411274,2,0.0769230769230769
1411269,1,0.0833333333333333
1411221,14,0.0869565217391304
1411192,44,0.0894308943089431
1108090,55,0.0932203389830508
1411256,22,0.0932203389830508
1411282,2,0.0952380952380952
1305219,69,0.0969101123595506
1411226,6,0.101694915254237
1411190,50,0.102249488752556
1411289,3,0.103448275862069
1411175,55,0.10377358490566
1305220,78,0.104417670682731
1411249,3,0.107142857142857
1411272,5,0.108695652173913
1107227,1,0.111111111111111
1307150,38,0.111764705882353
1307151,111,0.112462006079027
1411207,1,0.125
1411209,1,0.125
1411263,2,0.125
1411194,63,0.12625250501002
1411169,73,0.128747795414462
1301014,48,0.129032258064516
1411210,17,0.130769230769231
1411247,5,0.131578947368421
1411258,4,0.142857142857143
1411182,80,0.143884892086331
1411189,72,0.144
1411195,82,0.144620811287478
1301078,8,0.150943396226415
1411283,7,0.152173913043478
1304025,2,0.153846153846154
1411173,89,0.154513888888889
1304013,7,0.162790697674419
1107224,1,0.166666666666667
1301061,2,0.166666666666667
1304059,2,0.166666666666667
1411193,103,0.173109243697479
1411176,144,0.175182481751825
1411170,162,0.182022471910112
1305033,53,0.18213058419244
1305218,88,0.186046511627907
1411174,216,0.191319751992914
1411179,154,0.194444444444444
1411279,1,0.2
1303021,83,0.222520107238606
1411187,149,0.238019169329073
1411261,6,0.24
1411168,255,0.25940996948118
1411181,256,0.261491317671093
1114114,161,0.263934426229508
1411172,231,0.268292682926829
1305020,62,0.270742358078603
1411255,2,0.285714285714286
1411171,234,0.286764705882353
1108089,341,0.348314606741573
1411167,480,0.350620891161432
1411180,490,0.354302241503977
1411254,11,0.366666666666667
1109113,392,0.377649325626204
1109049,376,0.433679354094579
1114107,412,0.460335195530726
1109035,646,0.468455402465555
1109053,620,0.534943917169974
1109103,959,0.601631116687578
1305147,1,1
1404132,1,1
1502046,1,1
1502178,1,1
1502183,1,1
1503121,1,1
