"disciplina","periodo"
"Física Moderna",1
"Cálculo Diferencial e Integral 2",1
"Matemática Discreta",1
"Probabilidade e Estatística",1
"Direito e Cidadania",1
"Paradigmas de Linguagens de Programação",1
"Teoria da Computação",1
"Estrutura de Dados",1
"Gerência da Informação",1
"Projeto em Computação 1",1
"Avaliação de Desempenho de Sistemas Discretos",1
"Física Clássica",2
"Álgebra Linear",2
"Métodos Estatísticos",2
"Lógica Matemática",2
"Organização e Arquitetura de Computadores",2
"Laboratório de Estrutura de Dados",2
"Laboratório de Organização e Arquitetura de Computadores",2
"Projeto em Computação 2",2
"Compiladores",2
"Banco de Dados 1",2
"Inteligência Artificial",2
"Engenharia de Software 1",3
"Sistemas de Informação 1",3
"Sistemas de Informação 2",3
"Análise e Técnica de Algorítimos",3
"Redes de Computadores",3
"Metodologia Científica",4
"Informática e Sociedade",4
"Laboratório de Engenharia de Software",4
"Laboratório de Interconexão de Redes de Computadores",4
"Métodos e Software Numéricos",4
"Interconexão de Redes de Computadores",4
"Sistemas Operacionais",4
"Banco de Dados 2",4
