"disciplina","periodo"
"Álgebra Vetorial e Geometria Analítica",1
"Cálculo Diferencial e Integral 1",1
"Programação 1",1
"Introdução a Computação",1
"Laboratório de Programação 1",1
"Física Clássica",2
"Cálculo Diferencial e Integral 2",2
"Matemática Discreta",2
"Leitura e Produção de Textos",2
"Programação 2",2
"Teoria dos Grafos",2
"Laboratório de Programação 2",2
"Física Moderna",3
"Álgebra Linear",3
"Probabilidade e Estatística",3
"Teoria da Computação",3
"Estrutura de Dados",3
"Gerência da Informação",3
"Laboratório de Estrutura de Dados",3
"Direito e Cidadania",4
"Informática e Sociedade",4
"Paradigmas de Linguagens de Programação",4
"Lógica Matemática",4
"Organização e Arquitetura de Computadores",4
"Engenharia de Software 1",4
"Sistemas de Informação 1",4
"Sistemas de Informação 2",4
"Laboratório de Organização e Arquitetura de Computadores",4
