10812,8.68,8.62,8.78,x
10815,8.72,8.49,8.78,x
10818,9.37,9.24,8.99,x
10914,6.32,6.26,6.39,x
11016,5.82,4.62,x,x
11113,5.74,5.27,5.07,5.15
11211,x,x,8.64,8.84
11217,x,x,6.27,6.46
106137,0.00,x,x,x
106259,8.42,x,x,x
107162,x,6.67,6.25,x
107185,6.38,6.96,x,x
107219,8.74,8.68,x,x
108129,7.53,7.62,7.82,7.70
108172,8.47,8.25,8.49,x
108180,9.40,9.44,9.37,x
108181,8.42,8.56,8.67,x
108212,7.53,7.62,7.83,7.77
108217,4.22,4.64,x,x
108225,6.43,6.86,6.63,x
108278,7.43,7.55,7.38,7.41
109115,6.69,7.59,7.31,7.66
109151,7.73,7.80,7.70,7.76
109157,4.01,5.78,5.48,5.93
109160,7.80,7.31,7.50,7.30
109174,5.24,5.58,x,x
109187,7.29,7.53,7.46,x
109195,4.45,5.16,5.14,x
109210,5.18,5.20,4.89,x
110120,8.45,7.89,8.00,x
110140,5.32,5.97,x,x
110143,5.53,4.59,x,x
110148,7.36,7.71,7.63,x
110152,5.60,6.28,6.46,6.43
110156,6.41,4.62,5.37,4.44
110158,7.49,7.24,7.18,7.18
110166,6.65,6.32,x,x
110167,9.41,8.98,9.29,8.93
110177,5.86,5.65,x,x
110192,4.06,3.57,x,x
110213,4.13,4.20,x,3.65
110214,5.30,5.70,5.46,x
110218,7.69,7.96,8.11,x
110222,4.80,5.52,5.27,5.84
110227,7.16,x,x,x
110245,4.77,6.24,6.11,6.57
110249,1.99,2.72,x,x
110261,4.15,4.92,4.43,x
110265,3.70,4.12,x,x
110273,7.40,4.99,5.86,5.33
110288,6.31,5.02,5.89,x
110296,7.12,7.77,7.45,x
110298,7.55,4.84,4.73,4.83
110299,5.32,6.09,6.30,6.55
111121,4.14,4.34,4.61,4.39
111130,4.73,6.09,4.92,x
111153,4.68,4.29,3.97,4.09
111164,6.12,7.27,7.18,x
111236,x,4.52,3.57,x
111239,x,5.01,5.20,4.84
111241,x,5.72,4.52,4.61
111247,x,6.91,6.33,6.69
111254,x,4.63,3.60,4.36
111255,x,4.85,4.26,5.48
111268,x,4.67,3.08,x
111269,x,5.78,5.08,x
111270,x,5.48,6.03,5.14
111271,x,4.08,5.20,4.42
111275,x,6.00,5.57,x
111279,x,5.91,6.73,6.03
111282,x,8.50,x,x
111286,x,6.55,5.43,6.14
111291,x,2.85,1.07,1.48
112111,x,x,7.22,x
112124,x,x,8.13,7.62
112128,x,x,5.38,x
112131,x,x,2.60,x
112133,x,x,3.98,4.90
112138,x,x,8.53,8.16
112163,x,x,6.02,5.34
112176,x,x,3.93,5.52
112190,x,x,1.90,x
112194,x,x,3.18,3.55
112216,x,x,x,2.50
112223,x,x,x,6.58
112226,x,x,x,8.27
112232,x,x,x,7.48
112234,x,x,x,5.53
112235,x,x,x,4.90
112242,x,x,x,3.65
112244,x,x,x,8.10
112246,x,x,x,3.42
112250,x,x,x,2.00
112284,x,x,x,5.82
112289,x,x,x,8.32
112293,x,x,x,3.35
112297,x,x,x,8.32
1041319,7.45,x,x,x
1042443,5.80,6.62,6.56,x
1051730,7.36,7.73,x,x
1052306,6.74,6.17,6.54,6.37
1052388,6.08,x,x,x
1052409,7.23,6.94,7.37,7.59
1052499,5.74,x,x,x
1061245,7.40,x,x,x
1061651,6.05,6.58,x,x
1061710,7.20,7.74,x,x
1062138,7.39,x,x,x
1062179,6.48,x,x,x
1062185,7.92,7.81,7.73,x
1062205,7.70,7.44,7.53,x
1062231,7.50,x,x,x
1062277,9.25,x,x,x
