matricula,media,periodo,posicao
09230,6.03,092,21
092160,5.82,092,22
092584,5.81,092,23
092436,5.61,092,24
0929,5.47,092,25
092331,5.31,092,26
092252,5.21,092,27
092226,5,092,28
092364,4.97,092,29
092675,4.85,092,30
092466,4.83,092,31
09241,4.79,092,32
092536,4.66,092,33
092686,4.36,092,34
092658,4.04,092,35
092249,4.02,092,36
092173,3.88,092,37
092480,3.6,092,38
092242,3.54,092,39
092163,3.18,092,40
092187,2.25,092,41
09284,2.23,092,42
092337,2.23,092,43
101769,9.8,101,1
101520,9.32,101,2
101146,9.03,101,3
101615,8.86,101,4
101427,8.84,101,5
101461,8.57,101,6
101641,8.23,101,7
101207,8.12,101,8
101387,8.09,101,9
101499,8.03,101,10
101329,7.98,101,11
1015,7.96,101,12
101678,7.95,101,13
101705,7.94,101,14
101673,7.89,101,15
101602,7.83,101,16
101234,7.81,101,17
101559,7.81,101,18
101546,7.67,101,19
101288,7.58,101,20
10195,7.53,101,21
101148,7.5,101,22
101142,7.28,101,23
101166,7.26,101,24
101731,7.13,101,25
101611,7.1,101,26
101408,7.02,101,27
101453,7.01,101,28
101617,6.97,101,29
101591,6.94,101,30
1017,6.88,101,31
101703,6.85,101,32
101432,6.72,101,33
101350,6.71,101,34
101518,6.68,101,35
10197,6.63,101,36
10144,6.53,101,37
1012,6.51,101,38
101410,6.46,101,39
101522,6.46,101,40
101280,6.41,101,41
101514,6.34,101,42
101356,6.26,101,43
101794,6.25,101,44
101216,6.23,101,45
101757,6.19,101,46
101333,6.14,101,47
1018,6.11,101,48
10190,5.98,101,49
101360,5.95,101,50
101505,5.93,101,51
10135,5.83,101,52
101330,5.8,101,53
101448,5.8,101,54
101374,5.78,101,55
101492,5.68,101,56
101644,5.57,101,57
10199,5.35,101,58
101709,5.11,101,59
101164,5.1,101,60
101627,5.08,101,61
101227,4.9,101,62
101260,4.83,101,63
101736,4.81,101,64
101304,4.75,101,65
101421,4.68,101,66
101190,4.67,101,67
101439,4.54,101,68
10115,4.51,101,69
101178,4.17,101,70
101519,3.86,101,71
101758,3.81,101,72
101508,3.8,101,73
101753,3.74,101,74
101714,1.25,101,75
10238,8.48,102,1
102102,8.35,102,2
102269,7.99,102,3
102651,7.75,102,4
102224,7.38,102,5
102629,7.27,102,6
102357,7.26,102,7
102493,7.22,102,8
102181,7.19,102,9
102351,7.1,102,10
102170,7,102,11
102775,6.85,102,12
10212,6.72,102,13
102320,6.63,102,14
102268,6.58,102,15
102235,6.55,102,16
102620,6.54,102,17
102459,6.53,102,18
102763,6.5,102,19
102321,6.39,102,20
102610,6.39,102,21
102476,6.39,102,22
102595,6.3,102,23
10257,6.26,102,24
102672,6.21,102,25
10242,6.19,102,26
102655,6.09,102,27
102429,6.05,102,28
102664,5.98,102,29
102352,5.91,102,30
102570,5.91,102,31
10271,5.85,102,32
102489,5.83,102,33
102392,5.68,102,34
102308,5.67,102,35
102621,5.62,102,36
102654,5.61,102,37
102182,5.61,102,38
102430,5.57,102,39
102403,5.55,102,40
102469,5.53,102,41
102189,5.29,102,42
102635,5.27,102,43
102151,5.22,102,44
102422,5.22,102,45
102446,5.2,102,46
102666,5.09,102,47
10243,5.09,102,48
102533,5.08,102,49
102740,5.02,102,50
102598,5.02,102,51
102157,5,102,52
10250,4.98,102,53
102750,4.94,102,54
102318,4.92,102,55
102276,4.83,102,56
102409,4.81,102,57
102483,4.79,102,58
102765,4.75,102,59
102792,4.66,102,60
102309,4.62,102,61
102220,4.59,102,62
102531,4.57,102,63
102284,4.56,102,64
102699,4.54,102,65
102793,4.5,102,66
102326,4.43,102,67
102726,4.41,102,68
102577,4.36,102,69
102376,4.28,102,70
102609,4.27,102,71
102781,4.26,102,72
102301,4.23,102,73
10259,4.17,102,74
102795,4.16,102,75
102208,4.14,102,76
102586,4.08,102,77
102124,3.94,102,78
10252,3.93,102,79
102707,3.88,102,80
102596,3.72,102,81
102723,3.69,102,82
102113,3.39,102,83
102267,2.9,102,84
10274,2.84,102,85
102747,2.74,102,86
102744,2.47,102,87
102141,1,102,88
111713,9.19,111,1
111243,9.03,111,2
111562,8.8,111,3
111370,8.5,111,4
111334,8.47,111,5
111542,8.43,111,6
111588,8.2,111,7
11134,8.06,111,8
111361,8,111,9
111770,7.87,111,10
111787,7.82,111,11
111324,7.78,111,12
111590,7.53,111,13
111433,7.45,111,14
111716,7.45,111,15
111768,7.33,111,16
111256,7.33,111,17
111204,7.3,111,18
111463,7.27,111,19
111682,7.13,111,20
111735,7.12,111,21
111671,7.02,111,22
111509,7.01,111,23
111458,7,111,24
111442,6.94,111,25
11191,6.87,111,26
111105,6.82,111,27
11137,6.79,111,28
111404,6.77,111,29
111553,6.76,111,30
111597,6.71,111,31
111585,6.68,111,32
111343,6.66,111,33
111491,6.63,111,34
111100,6.62,111,35
111606,6.56,111,36
111212,6.47,111,37
111384,6.47,111,38
111241,6.46,111,39
111554,6.4,111,40
11167,6.31,111,41
111218,6.27,111,42
111312,6.22,111,43
111147,6.11,111,44
111123,6.1,111,45
111653,6.09,111,46
111255,6.02,111,47
111738,6.01,111,48
111197,5.98,111,49
111412,5.91,111,50
111258,5.9,111,51
111477,5.83,111,52
111359,5.76,111,53
111117,5.62,111,54
111156,5.58,111,55
111382,5.45,111,56
11155,5.38,111,57
111292,5.35,111,58
111138,5.34,111,59
111532,5.32,111,60
111386,5.26,111,61
111415,5.25,111,62
111762,4.88,111,63
111630,4.8,111,64
111129,4.78,111,65
111213,4.7,111,66
111737,4.69,111,67
111555,4.6,111,68
111395,4.55,111,69
111435,4.51,111,70
111306,4.42,111,71
111413,4.41,111,72
111729,4.39,111,73
111186,4.36,111,74
111194,4.35,111,75
111431,4.33,111,76
111198,4.32,111,77
111689,4.31,111,78
11146,4.27,111,79
111263,4.25,111,80
111628,4.25,111,81
111572,4.17,111,82
11192,4.08,111,83
111355,4.05,111,84
111233,4.01,111,85
11161,3.99,111,86
111150,3.96,111,87
111379,3.95,111,88
111582,3.81,111,89
111592,3.81,111,90
111782,3.27,111,91
111353,2.95,111,92
111473,2.75,111,93
111663,2.43,111,94
111513,2.1,111,95
111397,1.9,111,96
112603,8.5,112,1
112639,8.38,112,2
1123,8.15,112,3
11233,8.1,112,4
112111,8.03,112,5
112633,7.56,112,6
112222,7.53,112,7
112679,7.42,112,8
112657,7.3,112,9
112645,7.28,112,10
112438,7.24,112,11
112576,7.23,112,12
112760,7.22,112,13
112381,7.22,112,14
112774,7.19,112,15
11285,7.04,112,16
112791,7.02,112,17
11225,7.01,112,18
112690,6.98,112,19
112529,6.98,112,20
112122,6.89,112,21
112363,6.86,112,22
112497,6.86,112,23
112175,6.78,112,24
112604,6.73,112,25
112697,6.68,112,26
112515,6.66,112,27
112573,6.61,112,28
112103,6.58,112,29
112773,6.57,112,30
112467,6.37,112,31
112613,6.35,112,32
112167,6.26,112,33
112171,6.24,112,34
112751,6.16,112,35
112346,6.08,112,36
11254,6.06,112,37
112624,5.98,112,38
11210,5.97,112,39
112230,5.94,112,40
112354,5.94,112,41
112378,5.92,112,42
112486,5.89,112,43
112479,5.87,112,44
112135,5.8,112,45
112564,5.79,112,46
112464,5.77,112,47
112278,5.73,112,48
112287,5.66,112,49
11240,5.59,112,50
112389,5.58,112,51
112580,5.58,112,52
112626,5.51,112,53
112659,5.49,112,54
112527,5.45,112,55
112317,5.42,112,56
112388,5.41,112,57
112441,5.3,112,58
112785,5.3,112,59
112784,5.19,112,60
112566,5.19,112,61
112434,5.19,112,62
112500,5.17,112,63
112273,5.12,112,64
112303,5.1,112,65
112501,5.03,112,66
112279,5,112,67
112578,4.99,112,68
112116,4.95,112,69
112366,4.88,112,70
112460,4.85,112,71
112702,4.78,112,72
112399,4.76,112,73
112290,4.72,112,74
112665,4.7,112,75
11266,4.67,112,76
112616,4.67,112,77
112733,4.65,112,78
112283,4.62,112,79
112347,4.58,112,80
112721,4.57,112,81
112468,4.55,112,82
112293,4.54,112,83
112734,4.53,112,84
11282,4.5,112,85
112201,4.48,112,86
112720,4.36,112,87
112426,4.3,112,88
112411,4.23,112,89
112130,4.23,112,90
112200,4.19,112,91
112191,4.19,112,92
112490,4.12,112,93
112465,4.12,112,94
112232,4.08,112,95
112638,3.87,112,96
112683,3.85,112,97
112485,3.17,112,98
112725,3.07,112,99
112718,2.85,112,100
112717,2.81,112,101
112195,2.44,112,102
112424,1.03,112,103
121114,9.53,121,1
121286,9.44,121,2
121264,8.99,121,3
121289,8.87,121,4
121371,8.82,121,5
121711,8.78,121,6
121253,8.64,121,7
121162,8.47,121,8
121299,8.45,121,9
121764,8.25,121,10
121612,8.11,121,11
121271,7.75,121,12
121677,7.71,121,13
121685,7.68,121,14
121706,7.63,121,15
121631,7.55,121,16
121423,7.52,121,17
121385,7.48,121,18
121172,7.45,121,19
121314,7.41,121,20
121319,7.34,121,21
121139,7.33,121,22
121444,7.33,121,23
12164,7.3,121,24
121708,7.28,121,25
121478,7.22,121,26
121133,7.22,121,27
121739,7.17,121,28
121455,7.08,121,29
121648,7.08,121,30
121594,7.07,121,31
121214,7.05,121,32
121362,7.02,121,33
121132,7.02,121,34
121345,7,121,35
121365,6.98,121,36
12126,6.94,121,37
121315,6.73,121,38
12177,6.65,121,39
12181,6.65,121,40
12173,6.64,121,41
121600,6.6,121,42
121443,6.58,121,43
121310,6.58,121,44
121348,6.53,121,45
121440,6.48,121,46
121452,6.46,121,47
121748,6.46,121,48
121550,6.4,121,49
121396,6.4,121,50
121377,6.35,121,51
121155,6.25,121,52
121342,6.18,121,53
121335,6.15,121,54
121338,6.13,121,55
121538,6.11,121,56
121400,6.08,121,57
12124,6.01,121,58
121668,5.92,121,59
121168,5.89,121,60
121316,5.89,121,61
121145,5.87,121,62
12136,5.86,121,63
121475,5.82,121,64
121525,5.77,121,65
12169,5.75,121,66
121656,5.75,121,67
121669,5.75,121,68
121601,5.72,121,69
121481,5.69,121,70
121692,5.69,121,71
12139,5.63,121,72
121149,5.57,121,73
121712,5.52,121,74
121394,5.47,121,75
121153,5.45,121,76
121277,5.41,121,77
121759,5.38,121,78
121543,5.38,121,79
121305,5.33,121,80
121693,5.18,121,81
121549,5.02,121,82
12113,4.9,121,83
121777,4.78,121,84
121248,4.74,121,85
121250,4.69,121,86
121743,4.51,121,87
121302,4.45,121,88
121237,4.44,121,89
121428,4.41,121,90
121262,4.33,121,91
121454,4.14,121,92
121115,4.1,121,93
121261,4.02,121,94
121561,4.01,121,95
121407,3.82,121,96
121516,3.59,121,97
121296,3.34,121,98
12194,3.09,121,99
121642,2.73,121,100
12145,2.7,121,101
121544,2.67,121,102
121391,2.6,121,103
121259,2.29,121,104
121456,2.07,121,105
12178,1.9,121,106
121636,1.9,121,107
121647,0,121,108
12270,9.1,122,1
122537,9.04,122,2
122660,9.03,122,3
122185,8.96,122,4
122619,8.73,122,5
122107,8.43,122,6
122449,8.36,122,7
122344,8.32,122,8
122295,8.32,122,9
122776,8.27,122,10
122192,8.15,122,11
122680,8.1,122,12
122313,8.03,122,13
12229,7.93,122,14
122327,7.92,122,15
122159,7.9,122,16
122254,7.83,122,17
122761,7.82,122,18
122502,7.77,122,19
122661,7.7,122,20
122380,7.63,122,21
122766,7.6,122,22
122332,7.58,122,23
122450,7.52,122,24
122504,7.48,122,25
122416,7.38,122,26
122687,7.22,122,27
122144,7.2,122,28
122101,7.13,122,29
122246,7.12,122,30
122447,7.1,122,31
122462,7.02,122,32
122614,7.02,122,33
122206,6.83,122,34
12220,6.75,122,35
122700,6.74,122,36
122215,6.73,122,37
122780,6.71,122,38
12248,6.7,122,39
122300,6.58,122,40
12227,6.58,122,41
122257,6.55,122,42
122219,6.55,122,43
122137,6.3,122,44
12286,6.28,122,45
122540,6.27,122,46
122323,6.24,122,47
12276,6.2,122,48
122221,6.1,122,49
122608,6.08,122,50
122349,5.9,122,51
122402,5.82,122,52
12253,5.7,122,53
122225,5.66,122,54
12214,5.64,122,55
122667,5.62,122,56
12260,5.54,122,57
122176,5.53,122,58
122199,5.46,122,59
122650,5.43,122,60
122571,5.42,122,61
122134,5.27,122,62
122487,5.2,122,63
12232,5.15,122,64
122676,5.1,122,65
12228,4.9,122,66
12256,4.85,122,67
122274,4.75,122,68
122767,4.72,122,69
122152,4.7,122,70
122231,4.47,122,71
12287,4.45,122,72
122652,4.43,122,73
122796,4.34,122,74
122695,4.32,122,75
12272,4.1,122,76
122179,3.95,122,77
122568,3.73,122,78
122512,3.66,122,79
122548,3.65,122,80
1224,3.62,122,81
122112,3.62,122,82
122579,3.62,122,83
12298,3.48,122,84
122368,3.42,122,85
122551,3.36,122,86
122328,3.35,122,87
122494,3.33,122,88
122270,3.32,122,89
122406,3.3,122,90
122251,3.22,122,91
12221,3.17,122,92
122106,3.03,122,93
122741,2.97,122,94
122311,2.85,122,95
122180,2.6,122,96
122530,2.5,122,97
122265,2.2,122,98
12222,2.12,122,99
12216,2,122,100
122755,1.8,122,101
12219,1.8,122,102
122118,1.5,122,103
