matricula,media,periodo,posicao
041511,7.45,041,1
042451,6.65,042,1
051188,7.65,051,1
05275,7.05,052,1
052788,6.68,052,2
052297,6.08,052,3
052307,6.08,052,4
061471,7.6,061,1
0616,7.4,061,2
061104,6.58,061,3
061742,0,061,4
062336,9.25,062,1
06283,8.55,062,2
062634,8.5,062,3
062210,8.27,062,4
062541,8.04,062,5
062239,7.88,062,6
062496,7.7,062,7
062523,7.69,062,8
062557,7.42,062,9
062414,7.41,062,10
062778,7.28,062,11
062211,7.19,062,12
06218,6.89,062,13
062646,6.8,062,14
062140,6.43,062,15
071728,8.88,071,1
07123,8.74,071,2
071488,8.56,071,3
071418,8.5,071,4
071526,8.45,071,5
07180,8.4,071,6
071128,8.25,071,7
071694,8.22,071,8
071383,8.21,071,9
071643,8.15,071,10
071521,8,071,11
071154,7.99,071,12
071229,7.88,071,13
071632,7.56,071,14
071581,7.42,071,15
071369,7.07,071,16
071696,7.03,071,17
071174,7.01,071,18
071498,6.57,071,19
071136,3.5,071,20
072158,8.65,072,1
072727,8.58,072,2
07258,8.53,072,3
072405,8.45,072,4
072662,8.41,072,5
07262,8.33,072,6
072681,8.12,072,7
072247,7.95,072,8
072457,7.88,072,9
072108,7.82,072,10
072745,7.71,072,11
072756,7.25,072,12
072196,7.21,072,13
07293,6.87,072,14
072567,6.68,072,15
07268,5.65,072,16
072724,5,072,17
072340,3.67,072,18
081125,9.39,081,1
081205,9.14,081,2
081618,8.85,081,3
081375,8.8,081,4
081217,8.77,081,5
081552,8.58,081,6
081425,8.55,081,7
081524,8.55,081,8
081401,8.53,081,9
081507,8.5,081,10
081503,8.48,081,11
081161,8.46,081,12
081165,8.32,081,13
08196,8.26,081,14
081599,8.21,081,15
081298,8.16,081,16
081565,8.15,081,17
081506,8.12,081,18
081698,8.1,081,19
081367,8.05,081,20
081625,8.03,081,21
081203,7.96,081,22
081704,7.92,081,23
08149,7.72,081,24
081575,7.6,081,25
081589,7.55,081,26
08179,6.27,081,27
081622,5.36,081,28
081169,0,081,29
082322,8.62,082,1
082545,8.51,082,2
082786,8.4,082,3
082539,8.39,082,4
082563,8.02,082,5
082789,8,082,6
082482,7.89,082,7
082556,7.77,082,8
082121,7.68,082,9
082547,7.68,082,10
082722,7.65,082,11
082510,7.56,082,12
082393,7.54,082,13
082126,7.4,082,14
082640,7.37,082,15
082605,7.26,082,16
082419,7.07,082,17
082420,7.03,082,18
082752,5.81,082,19
082339,5.76,082,20
082373,4.76,082,21
091674,8.66,091,1
091325,8.64,091,2
091732,8.62,091,3
091534,8.57,091,4
091110,8.5,091,5
09151,8.03,091,6
091484,7.9,091,7
091771,7.8,091,8
091223,7.77,091,9
091417,7.69,091,10
091772,7.67,091,11
091587,7.65,091,12
091684,7.65,091,13
091701,7.61,091,14
091470,7.51,091,15
09111,7.42,091,16
091593,7.42,091,17
09147,7.34,091,18
091528,7.32,091,19
091710,7.29,091,20
091790,7.29,091,21
091131,7.24,091,22
091236,7.15,091,23
09188,6.96,091,24
091183,6.93,091,25
091244,6.89,091,26
091517,6.68,091,27
091358,6.66,091,28
091184,6.66,091,29
091120,6.61,091,30
091749,6.57,091,31
091272,6.33,091,32
09165,5.92,091,33
091783,5.74,091,34
091623,5.74,091,35
091495,5.64,091,36
091109,5.3,091,37
091445,5.24,091,38
09131,5.22,091,39
091372,5.17,091,40
091472,4.79,091,41
091730,4.55,091,42
091390,4.17,091,43
091558,3.35,091,44
092294,8.72,092,1
092398,8.68,092,2
092754,8.53,092,3
092281,8.45,092,4
09289,8.44,092,5
092202,8.4,092,6
092637,8.32,092,7
092341,7.99,092,8
092282,7.95,092,9
0921,7.87,092,10
092715,7.77,092,11
092285,7.14,092,12
092474,7.06,092,13
092607,6.92,092,14
092245,6.88,092,15
092209,6.8,092,16
092569,6.78,092,17
092670,6.14,092,18
092177,6.12,092,19
092238,6.05,092,20
