"disciplina" "matricula" "periodo" "competencia" "media"
"Administracao" "1052409" "2012.1" "20" "7.9"
"Administracao" "1071213" "2011.2" "50" "8.2"
"Administracao" "1072745" "2012.2" "30" "8.5"
"Administracao" "1072552" "2012.2" "50" "8"
"Administracao" "1072562" "2012.1" "0" "8.7"
"Administracao" "1072256" "2011.1" "40" "7.3"
"Administracao" "1081312" "2012.2" "10" "9.7"
"Administracao" "1081362" "2011.1" "60" "6.3"
"Administracao" "1081347" "2012.2" "0" "10"
"Administracao" "1081634" "2011.2" "80" "7.5"
"Administracao" "1082624" "2011.1" "10" "8.5"
"Administracao" "1082176" "2012.1" "10" "8.2"
"Administracao" "1082522" "2011.1" "40" "7.3"
"Administracao" "1091346" "2011.1" "10" "8.3"
"Administracao" "1091395" "2011.1" "70" "5.4"
"Administracao" "109174" "2011.1" "80" "5"
"Administracao" "1091758" "2011.1" "20" "8"
"Administracao" "1091476" "2011.1" "10" "8.5"
"Administracao" "1091451" "2011.1" "50" "6.4"
"Administracao" "1091317" "2011.1" "30" "7.8"
"Administracao" "1091169" "2011.1" "90" "4.3"
"Administracao" "1092119" "2011.1" "20" "8.1"
"Administracao" "1092235" "2011.1" "30" "7.8"
"Administracao" "1092752" "2011.1" "50" "7.2"
"Administracao" "1092427" "2011.1" "0" "9.7"
"Administracao" "1092369" "2011.1" "30" "7.8"
"Administracao" "1092405" "2011.1" "10" "8.5"
"Administracao" "1092257" "2011.1" "80" "5.1"
"Administracao" "1101512" "2011.1" "40" "7.5"
"Administracao" "1101771" "2012.2" "60" "7.7"
"Administracao" "1101296" "2011.1" "90" "3.8"
"Administracao" "110218" "2011.2" "70" "8"
"Administracao" "1102705" "2011.2" "70" "8"
"Administracao" "1102340" "2011.2" "30" "8.3"
"Administracao" "1102259" "2012.1" "70" "5.3"
"Administracao" "1102465" "2012.1" "60" "6.2"
"Administracao" "1111137" "2012.1" "40" "7"
"Administracao" "1111406" "2012.2" "50" "8"
"Administracao" "1111429" "2012.1" "40" "7"
"Administracao" "1111493" "2012.1" "30" "7.3"
"Administracao" "1111258" "2011.1" "60" "5.5"
"Administracao" "1111234" "2011.2" "0" "9.3"
"Administracao" "1111536" "2012.1" "90" "2.4"
"Administracao" "1112733" "2011.2" "20" "9"
"Administracao" "1112172" "2012.2" "60" "7.9"
"Administracao" "1112413" "2012.1" "80" "2.7"
"Administracao" "1112250" "2012.1" "40" "7"
"Administracao" "1112646" "2012.2" "70" "7"
"Administracao" "111286" "2012.2" "40" "8.1"
"Administracao" "1112201" "2012.2" "70" "7"
"Administracao" "1112207" "2012.2" "60" "7.7"
"Administracao" "1112203" "2012.2" "90" "4.4"
"Administracao" "11211" "2012.2" "20" "9"
"Administracao" "112176" "2012.2" "50" "8"
"Administracao" "1121117" "2012.2" "20" "9"
"Administracao" "1121509" "2012.2" "90" "5"
"Administracao" "1121545" "2012.2" "10" "9.3"
"Administracao" "1121715" "2012.2" "80" "5.7"
"Administracao" "1122468" "2012.2" "40" "8.3"
"Algebra Linear" "1091169" "2012.1" "80" "2.3"
"Algebra Linear" "1091169" "2012.2" "70" "3"
"Algebra Linear" "1092369" "2011.2" "80" "0.9"
"Algebra Linear" "1092369" "2012.1" "30" "5.5"
"Algebra Linear" "1102705" "2012.2" "30" "5.5"
"Algebra Linear" "1102340" "2012.2" "50" "3.9"
"Algebra Linear" "1111406" "2011.2" "10" "7.4"
"Algebra Linear" "1111493" "2012.2" "0" "8.3"
"Algebra Linear" "1111234" "2011.1" "50" "5"
"Algebra Linear" "1112646" "2012.2" "90" "0.8"
"Algebra Linear" "1082146" "2011.1" "30" "5.6"
"Algebra Linear" "108217" "2011.2" "50" "4"
"Algebra Linear" "1091637" "2011.2" "30" "5.7"
"Algebra Linear" "1091561" "2011.1" "100" "0.2"
"Algebra Linear" "1091561" "2011.2" "60" "2.8"
"Algebra Linear" "1092254" "2011.2" "80" "1.3"
"Algebra Linear" "1092417" "2011.2" "40" "5.1"
"Algebra Linear" "1092640" "2011.1" "10" "7.2"
"Algebra Linear" "1092424" "2011.1" "30" "5.6"
"Algebra Linear" "1092425" "2011.2" "50" "4.1"
"Algebra Linear" "1092260" "2011.2" "70" "2.7"
"Algebra Linear" "1092260" "2012.1" "30" "5.6"
"Algebra Linear" "1092690" "2011.2" "0" "8.2"
"Algebra Linear" "1092153" "2011.1" "10" "7.4"
"Algebra Linear" "1092335" "2011.1" "40" "5.3"
"Algebra Linear" "1092352" "2011.1" "90" "1.4"
"Algebra Linear" "1092352" "2011.2" "20" "7.3"
"Algebra Linear" "1101783" "2011.1" "30" "6.5"
"Algebra Linear" "1101698" "2011.2" "40" "5"
"Algebra Linear" "1101667" "2011.2" "20" "7"
"Algebra Linear" "1101175" "2012.1" "10" "7.3"
"Algebra Linear" "1101749" "2011.1" "40" "5.2"
"Algebra Linear" "1101570" "2011.2" "70" "2.7"
"Algebra Linear" "1101657" "2011.1" "20" "7"
"Algebra Linear" "1101462" "2011.1" "80" "1.7"
"Algebra Linear" "1101462" "2011.2" "10" "7.5"
"Algebra Linear" "1101635" "2011.1" "80" "3"
"Algebra Linear" "1101452" "2011.2" "0" "8.2"
"Algebra Linear" "1101549" "2011.1" "50" "5"
"Algebra Linear" "1101793" "2011.1" "50" "4.3"
"Algebra Linear" "1101145" "2011.1" "30" "5.6"
"Algebra Linear" "1101263" "2011.1" "60" "3.6"
"Algebra Linear" "1101263" "2011.2" "40" "5.1"
"Algebra Linear" "1101399" "2011.1" "20" "7.1"
"Algebra Linear" "1101183" "2011.2" "0" "8.2"
"Algebra Linear" "110148" "2011.1" "30" "5.8"
"Algebra Linear" "1101243" "2012.1" "60" "3.6"
"Algebra Linear" "1101686" "2012.1" "0" "8.2"
"Algebra Linear" "110192" "2011.2" "70" "2.5"
"Algebra Linear" "1101320" "2011.1" "60" "4.2"
"Algebra Linear" "1101320" "2012.1" "40" "5.3"
"Algebra Linear" "1101151" "2011.1" "0" "8.2"
"Algebra Linear" "110158" "2011.1" "20" "7"
"Algebra Linear" "1101548" "2012.1" "40" "5"
"Algebra Linear" "1101329" "2011.1" "70" "3.2"
"Algebra Linear" "1101329" "2011.2" "30" "5.6"
"Algebra Linear" "1101794" "2011.1" "10" "7.6"
"Algebra Linear" "1101691" "2011.1" "30" "5.8"
"Algebra Linear" "1101703" "2011.2" "40" "5.1"
"Algebra Linear" "1101445" "2011.2" "50" "4.2"
"Algebra Linear" "1101216" "2011.2" "20" "7.2"
"Algebra Linear" "110167" "2011.1" "0" "9.3"
"Algebra Linear" "110177" "2011.1" "50" "5"
"Algebra Linear" "1101772" "2011.1" "40" "5.4"
"Algebra Linear" "110120" "2011.1" "30" "6.1"
"Algebra Linear" "1101720" "2012.1" "10" "7"
"Algebra Linear" "1101407" "2011.1" "0" "8.2"
"Algebra Linear" "1101457" "2012.2" "70" "2.9"
"Algebra Linear" "1101729" "2011.2" "0" "9"
"Algebra Linear" "1101223" "2011.1" "10" "7.5"
"Algebra Linear" "1101573" "2011.1" "50" "5.1"
"Algebra Linear" "110166" "2011.1" "20" "6.6"
"Algebra Linear" "1101192" "2011.1" "0" "8.9"
"Algebra Linear" "1101787" "2011.1" "20" "6.7"
"Algebra Linear" "1101168" "2011.1" "80" "2.3"
"Algebra Linear" "1101168" "2011.2" "20" "7"
"Algebra Linear" "1101515" "2011.1" "20" "7"
"Algebra Linear" "1101275" "2011.2" "20" "6.2"
"Algebra Linear" "1101454" "2011.1" "80" "2.3"
"Algebra Linear" "1101454" "2011.2" "30" "5.5"
"Algebra Linear" "1101770" "2011.1" "90" "1.2"
"Algebra Linear" "1101770" "2011.2" "40" "5.1"
"Algebra Linear" "1101308" "2011.1" "70" "3.4"
"Algebra Linear" "1101598" "2011.1" "70" "3.1"
"Algebra Linear" "1101598" "2012.2" "50" "4.3"
"Algebra Linear" "1101374" "2011.2" "90" "0.5"
"Algebra Linear" "1101374" "2012.1" "60" "3.4"
"Algebra Linear" "1101374" "2012.2" "40" "5.4"
"Algebra Linear" "1101482" "2011.2" "90" "0.7"
"Algebra Linear" "1102660" "2012.2" "90" "0.2"
"Algebra Linear" "1102221" "2011.2" "80" "1.8"
"Algebra Linear" "110298" "2011.2" "80" "2"
"Algebra Linear" "1102723" "2011.1" "30" "5.8"
"Algebra Linear" "1102643" "2012.1" "70" "3.1"
"Algebra Linear" "1102643" "2012.2" "50" "4.4"
"Algebra Linear" "1102316" "2011.2" "70" "2.4"
"Algebra Linear" "1102115" "2012.1" "70" "3.1"
"Algebra Linear" "1102115" "2012.2" "80" "2.2"
"Algebra Linear" "1102315" "2012.2" "60" "3.7"
"Algebra Linear" "1102266" "2011.1" "70" "3.3"
"Algebra Linear" "1102676" "2012.2" "80" "2.2"
"Algebra Linear" "1102776" "2011.2" "30" "5.5"
"Algebra Linear" "1102178" "2012.1" "20" "6.4"
"Algebra Linear" "1102219" "2011.2" "60" "3.4"
"Algebra Linear" "1102219" "2012.2" "30" "5.7"
"Algebra Linear" "1102467" "2011.1" "60" "3.5"
"Algebra Linear" "1102467" "2012.2" "20" "6.7"
"Algebra Linear" "1102144" "2011.2" "40" "5.3"
"Algebra Linear" "1102607" "2011.2" "90" "0.8"
"Algebra Linear" "1102607" "2012.2" "70" "3"
"Algebra Linear" "1102122" "2011.1" "50" "4.7"
"Algebra Linear" "1102122" "2011.2" "30" "5.7"
"Algebra Linear" "1102677" "2012.1" "30" "5.4"
"Algebra Linear" "1102377" "2012.1" "0" "8.3"
