"disciplina" "matricula" "periodo" "competencia" "media"
"Administracao" "105210141" "2012.1" "20" "7.9"
"Administracao" "107110017" "2011.2" "50" "8.2"
"Administracao" "107210004" "2012.2" "30" "8.5"
"Administracao" "107210007" "2012.2" "50" "8"
"Administracao" "107210030" "2012.1" "0" "8.7"
"Administracao" "107210037" "2011.1" "40" "7.3"
"Administracao" "108110013" "2012.2" "10" "9.7"
"Administracao" "108110019" "2011.1" "60" "6.3"
"Administracao" "108110025" "2012.2" "0" "10"
"Administracao" "108110501" "2011.2" "80" "7.5"
"Administracao" "108210019" "2011.1" "10" "8.5"
"Administracao" "108210282" "2012.1" "10" "8.2"
"Administracao" "108210353" "2011.1" "40" "7.3"
"Administracao" "109110032" "2011.1" "10" "8.3"
"Administracao" "109110056" "2011.1" "70" "5.4"
"Administracao" "109110057" "2011.1" "80" "5"
"Administracao" "109110080" "2011.1" "20" "8"
"Administracao" "109110116" "2011.1" "10" "8.5"
"Administracao" "109110119" "2011.1" "50" "6.4"
"Administracao" "109110806" "2011.1" "30" "7.8"
"Administracao" "109150028" "2011.1" "90" "4.3"
"Administracao" "109210019" "2011.1" "20" "8.1"
"Administracao" "109210030" "2011.1" "30" "7.8"
"Administracao" "109210051" "2011.1" "50" "7.2"
"Administracao" "109210060" "2011.1" "0" "9.7"
"Administracao" "109210284" "2011.1" "30" "7.8"
"Administracao" "109210285" "2011.1" "10" "8.5"
"Administracao" "109210293" "2011.1" "80" "5.1"
"Administracao" "110110050" "2011.1" "40" "7.5"
"Administracao" "110110118" "2012.2" "60" "7.7"
"Administracao" "110110852" "2011.1" "90" "3.8"
"Administracao" "110210102" "2011.2" "70" "8"
"Administracao" "110210128" "2011.2" "70" "8"
"Administracao" "110210386" "2011.2" "30" "8.3"
"Administracao" "110210394" "2012.1" "70" "5.3"
"Administracao" "110210615" "2012.1" "60" "6.2"
"Administracao" "111110074" "2012.1" "40" "7"
"Administracao" "111110089" "2012.2" "50" "8"
"Administracao" "111110096" "2012.1" "40" "7"
"Administracao" "111110133" "2012.1" "30" "7.3"
"Administracao" "111110916" "2011.1" "60" "5.5"
"Administracao" "111150289" "2011.2" "0" "9.3"
"Administracao" "111150427" "2012.1" "90" "2.4"
"Administracao" "111210057" "2011.2" "20" "9"
"Administracao" "111210079" "2012.2" "60" "7.9"
"Administracao" "111210390" "2012.1" "80" "2.7"
"Administracao" "111210392" "2012.1" "40" "7"
"Administracao" "111210397" "2012.2" "70" "7"
"Administracao" "111210401" "2012.2" "40" "8.1"
"Administracao" "111210430" "2012.2" "70" "7"
"Administracao" "111210660" "2012.2" "60" "7.7"
"Administracao" "111210787" "2012.2" "90" "4.4"
"Administracao" "112110043" "2012.2" "20" "9"
"Administracao" "112110105" "2012.2" "50" "8"
"Administracao" "112110919" "2012.2" "20" "9"
"Administracao" "112110934" "2012.2" "90" "5"
"Administracao" "112110953" "2012.2" "10" "9.3"
"Administracao" "112190042" "2012.2" "80" "5.7"
"Administracao" "112210460" "2012.2" "40" "8.3"
"Algebra Linear" "109150028" "2012.1" "80" "2.3"
"Algebra Linear" "109150028" "2012.2" "70" "3"
"Algebra Linear" "109210284" "2011.2" "80" "0.9"
"Algebra Linear" "109210284" "2012.1" "30" "5.5"
"Algebra Linear" "110210128" "2012.2" "30" "5.5"
"Algebra Linear" "110210386" "2012.2" "50" "3.9"
"Algebra Linear" "111110089" "2011.2" "10" "7.4"
"Algebra Linear" "111110133" "2012.2" "0" "8.3"
"Algebra Linear" "111150289" "2011.1" "50" "5"
"Algebra Linear" "111210397" "2012.2" "90" "0.8"
"Algebra Linear" "108210207" "2011.1" "30" "5.6"
"Algebra Linear" "108210348" "2011.2" "50" "4"
"Algebra Linear" "109110089" "2011.2" "30" "5.7"
"Algebra Linear" "109110801" "2011.1" "100" "0.2"
"Algebra Linear" "109110801" "2011.2" "60" "2.8"
"Algebra Linear" "109210014" "2011.2" "80" "1.3"
"Algebra Linear" "109210032" "2011.2" "40" "5.1"
"Algebra Linear" "109210034" "2011.1" "10" "7.2"
"Algebra Linear" "109210036" "2011.1" "30" "5.6"
"Algebra Linear" "109210046" "2011.2" "50" "4.1"
"Algebra Linear" "109210059" "2011.2" "70" "2.7"
"Algebra Linear" "109210059" "2012.1" "30" "5.6"
"Algebra Linear" "109210065" "2011.2" "0" "8.2"
"Algebra Linear" "109210286" "2011.1" "10" "7.4"
"Algebra Linear" "109210422" "2011.1" "40" "5.3"
"Algebra Linear" "109210493" "2011.1" "90" "1.4"
"Algebra Linear" "109210493" "2011.2" "20" "7.3"
"Algebra Linear" "110110043" "2011.1" "30" "6.5"
"Algebra Linear" "110110044" "2011.2" "40" "5"
"Algebra Linear" "110110047" "2011.2" "20" "7"
"Algebra Linear" "110110049" "2012.1" "10" "7.3"
"Algebra Linear" "110110052" "2011.1" "40" "5.2"
"Algebra Linear" "110110055" "2011.2" "70" "2.7"
"Algebra Linear" "110110058" "2011.1" "20" "7"
"Algebra Linear" "110110061" "2011.1" "80" "1.7"
"Algebra Linear" "110110061" "2011.2" "10" "7.5"
"Algebra Linear" "110110062" "2011.1" "80" "3"
"Algebra Linear" "110110065" "2011.2" "0" "8.2"
"Algebra Linear" "110110066" "2011.1" "50" "5"
"Algebra Linear" "110110067" "2011.1" "50" "4.3"
"Algebra Linear" "110110070" "2011.1" "30" "5.6"
"Algebra Linear" "110110072" "2011.1" "60" "3.6"
"Algebra Linear" "110110072" "2011.2" "40" "5.1"
"Algebra Linear" "110110073" "2011.1" "20" "7.1"
"Algebra Linear" "110110074" "2011.2" "0" "8.2"
"Algebra Linear" "110110076" "2011.1" "30" "5.8"
"Algebra Linear" "110110077" "2012.1" "60" "3.6"
"Algebra Linear" "110110078" "2012.1" "0" "8.2"
"Algebra Linear" "110110079" "2011.2" "70" "2.5"
"Algebra Linear" "110110080" "2011.1" "60" "4.2"
"Algebra Linear" "110110080" "2012.1" "40" "5.3"
"Algebra Linear" "110110081" "2011.1" "0" "8.2"
"Algebra Linear" "110110085" "2011.1" "20" "7"
"Algebra Linear" "110110090" "2012.1" "40" "5"
"Algebra Linear" "110110091" "2011.1" "70" "3.2"
"Algebra Linear" "110110091" "2011.2" "30" "5.6"
"Algebra Linear" "110110094" "2011.1" "10" "7.6"
"Algebra Linear" "110110095" "2011.1" "30" "5.8"
"Algebra Linear" "110110096" "2011.2" "40" "5.1"
"Algebra Linear" "110110104" "2011.2" "50" "4.2"
"Algebra Linear" "110110108" "2011.2" "20" "7.2"
"Algebra Linear" "110110110" "2011.1" "0" "9.3"
"Algebra Linear" "110110112" "2011.1" "50" "5"
"Algebra Linear" "110110114" "2011.1" "40" "5.4"
"Algebra Linear" "110110116" "2011.1" "30" "6.1"
"Algebra Linear" "110110117" "2012.1" "10" "7"
"Algebra Linear" "110110121" "2011.1" "0" "8.2"
"Algebra Linear" "110110122" "2012.2" "70" "2.9"
"Algebra Linear" "110110125" "2011.2" "0" "9"
"Algebra Linear" "110110127" "2011.1" "10" "7.5"
"Algebra Linear" "110110129" "2011.1" "50" "5.1"
"Algebra Linear" "110110130" "2011.1" "20" "6.6"
"Algebra Linear" "110110132" "2011.1" "0" "8.9"
"Algebra Linear" "110110848" "2011.1" "20" "6.7"
"Algebra Linear" "110110851" "2011.1" "80" "2.3"
"Algebra Linear" "110110851" "2011.2" "20" "7"
"Algebra Linear" "110110853" "2011.1" "20" "7"
"Algebra Linear" "110110973" "2011.2" "20" "6.2"
"Algebra Linear" "110110974" "2011.1" "80" "2.3"
"Algebra Linear" "110110974" "2011.2" "30" "5.5"
"Algebra Linear" "110110979" "2011.1" "90" "1.2"
"Algebra Linear" "110110979" "2011.2" "40" "5.1"
"Algebra Linear" "110150011" "2011.1" "70" "3.4"
"Algebra Linear" "110150167" "2011.1" "70" "3.1"
"Algebra Linear" "110150167" "2012.2" "50" "4.3"
"Algebra Linear" "110150169" "2011.2" "90" "0.5"
"Algebra Linear" "110150169" "2012.1" "60" "3.4"
"Algebra Linear" "110150169" "2012.2" "40" "5.4"
"Algebra Linear" "110150173" "2011.2" "90" "0.7"
"Algebra Linear" "110210041" "2012.2" "90" "0.2"
"Algebra Linear" "110210044" "2011.2" "80" "1.8"
"Algebra Linear" "110210046" "2011.2" "80" "2"
"Algebra Linear" "110210053" "2011.1" "30" "5.8"
"Algebra Linear" "110210058" "2012.1" "70" "3.1"
"Algebra Linear" "110210058" "2012.2" "50" "4.4"
"Algebra Linear" "110210059" "2011.2" "70" "2.4"
"Algebra Linear" "110210060" "2012.1" "70" "3.1"
"Algebra Linear" "110210060" "2012.2" "80" "2.2"
"Algebra Linear" "110210061" "2012.2" "60" "3.7"
"Algebra Linear" "110210065" "2011.1" "70" "3.3"
"Algebra Linear" "110210066" "2012.2" "80" "2.2"
"Algebra Linear" "110210068" "2011.2" "30" "5.5"
