nota1,nota2,nota3,final,media,periodo,coddisciplina,disciplina,matricula,situacao,departamento
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,081425,A,dsc
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,081298,A,dsc
8.5,9,9,-1,8.9,20121,1411186,Projeto em Computação II,081704,A,dsc
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,082322,A,dsc
8.5,8.5,8.5,-1,8.5,20121,1411186,Projeto em Computação II,081575,A,dsc
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,091783,A,dsc
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,082786,A,dsc
8.5,9,9,-1,8.9,20121,1411186,Projeto em Computação II,081565,A,dsc
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,112363,A,dsc
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,121319,A,dsc
9,9.5,9.5,-1,9.4,20121,1411186,Projeto em Computação II,081401,A,dsc
7,8,9,-1,8.4,20121,1411186,Projeto em Computação II,101356,A,dsc
6.2,10,6.2,-1,7,20121,1411186,Projeto em Computação II,071174,A,dsc
6,7,8.5,-1,7.7,20121,1411186,Projeto em Computação II,071581,A,dsc
9.5,10,8.5,-1,9,20121,1411186,Projeto em Computação II,072662,A,dsc
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,07293,A,dsc
8.5,8,8.5,-1,8.4,20121,1411186,Projeto em Computação II,072196,A,dsc
9,9.5,9.5,-1,9.4,20121,1411186,Projeto em Computação II,081698,A,dsc
8,9,8.5,-1,8.5,20121,1411186,Projeto em Computação II,081203,A,dsc
8.5,8.5,8.5,-1,8.5,20121,1411186,Projeto em Computação II,081589,A,dsc
8,8,8.5,-1,8.3,20121,1411186,Projeto em Computação II,081165,A,dsc
8.5,9,9,-1,8.9,20121,1411186,Projeto em Computação II,081161,A,dsc
8.5,8.5,8.5,-1,8.5,20121,1411186,Projeto em Computação II,081625,A,dsc
6.2,10,6.2,-1,7,20121,1411186,Projeto em Computação II,071498,A,dsc
8.5,9,8.5,-1,8.6,20121,1411186,Projeto em Computação II,101705,A,dsc
8.5,9,8.5,-1,8.6,20121,1411186,Projeto em Computação II,112657,A,dsc
8.5,8.5,8.5,-1,8.5,20121,1411186,Projeto em Computação II,112479,A,dsc
9.5,10,8.5,-1,9,20121,1411186,Projeto em Computação II,072727,A,dsc
8.5,8,8.5,-1,8.4,20121,1411186,Projeto em Computação II,06218,A,dsc
8,8.5,8,-1,8.2,20122,1411186,Projeto em Computação II,081506,A,dsc
9,8,8.5,-1,8.5,20122,1411186,Projeto em Computação II,081367,A,dsc
7.5,8.8,6,-1,7.4,20122,1411186,Projeto em Computação II,101611,A,dsc
7.5,8.8,6,-1,7.4,20122,1411186,Projeto em Computação II,111100,A,dsc
8.5,8.8,6,-1,7.8,20122,1411186,Projeto em Computação II,101559,A,dsc
8,8.5,8,-1,8.2,20122,1411186,Projeto em Computação II,082393,A,dsc
8,8.5,8,-1,8.2,20122,1411186,Projeto em Computação II,082563,A,dsc
8,8.5,8,-1,8.2,20122,1411186,Projeto em Computação II,082789,A,dsc
7,8.8,6,-1,7.3,20122,1411186,Projeto em Computação II,101703,A,dsc
8.5,8.8,6,-1,7.8,20122,1411186,Projeto em Computação II,072756,A,dsc
7.5,8.8,6,-1,7.4,20122,1411186,Projeto em Computação II,101591,A,dsc
8.5,8.05,8.45,-1,8.3,20112,1411186,Projeto em Computação II,081524,A,dsc
8,8.2,8.8,-1,8.3,20112,1411186,Projeto em Computação II,072745,A,dsc
9.5,8.5,8.7,-1,8.9,20112,1411186,Projeto em Computação II,09188,A,dsc
8.5,7.8,8.1,-1,8.1,20112,1411186,Projeto em Computação II,082545,A,dsc
5,6.15,6.7,5,5.6,20112,1411186,Projeto em Computação II,05275,A,dsc
1.5,0,3.4,-1,1.6,20112,1411186,Projeto em Computação II,111592,R,dsc
10,9.5,8.9,-1,9.5,20112,1411186,Projeto em Computação II,061471,A,dsc
7,7.75,8.6,-1,7.8,20112,1411186,Projeto em Computação II,112633,A,dsc
10,10,9.9,-1,10,20112,1411186,Projeto em Computação II,081205,A,dsc
7.5,7.5,8.6,-1,7.9,20112,1411186,Projeto em Computação II,102651,A,dsc
8.5,8.4,9.2,-1,8.7,20112,1411186,Projeto em Computação II,08196,A,dsc
10,10,9.9,-1,10,20112,1411186,Projeto em Computação II,081125,A,dsc
8.25,7.55,8.1,-1,8,20112,1411186,Projeto em Computação II,08149,A,dsc
9,8.3,8.45,-1,8.6,20112,1411186,Projeto em Computação II,081599,A,dsc
9.25,9.25,8.8,-1,9.1,20112,1411186,Projeto em Computação II,062523,A,dsc
9,7.65,6.6,-1,7.8,20112,1411186,Projeto em Computação II,071229,A,dsc
9.25,9,8.9,-1,9.1,20112,1411186,Projeto em Computação II,062210,A,dsc
8.25,8.1,8.7,-1,8.4,20112,1411186,Projeto em Computação II,062557,A,dsc
8.25,8.1,8.7,-1,8.4,20112,1411186,Projeto em Computação II,062541,A,dsc
7,7,8.6,-1,7.5,20112,1411186,Projeto em Computação II,111682,A,dsc
8.5,8.1,8.7,-1,8.4,20112,1411186,Projeto em Computação II,062496,A,dsc
4.5,3.5,0,-1,2.7,20112,1411186,Projeto em Computação II,101356,R,dsc
6.75,7.15,7.45,-1,7.1,20112,1411186,Projeto em Computação II,111737,A,dsc
9.75,9,8.9,-1,9.2,20112,1411186,Projeto em Computação II,071488,A,dsc
8,8.7,8.8,-1,8.5,20112,1411186,Projeto em Computação II,072405,A,dsc
8.75,8.05,8.1,-1,8.3,20112,1411186,Projeto em Computação II,08179,A,dsc
8.5,8.5,8.7,-1,8.6,20112,1411186,Projeto em Computação II,072158,A,dsc
8,8.7,8.8,-1,8.5,20112,1411186,Projeto em Computação II,072108,A,dsc
9.25,9.25,8.8,-1,9.1,20112,1411186,Projeto em Computação II,072247,A,dsc
9.25,9.25,8.8,-1,9.1,20112,1411186,Projeto em Computação II,07258,A,dsc
10,10,9.9,-1,10,20112,1411186,Projeto em Computação II,081375,A,dsc
9.5,8.5,8.7,-1,8.9,20112,1411186,Projeto em Computação II,092637,A,dsc
8.5,8.4,9.2,-1,8.7,20112,1411186,Projeto em Computação II,081503,A,dsc
5,6.15,6.7,5,5.6,20112,1411186,Projeto em Computação II,052307,A,dsc
9.2,9.2,9.7,-1,9.4,20112,1411186,Projeto em Computação II,092202,A,dsc
9.2,9.2,9.7,-1,9.4,20112,1411186,Projeto em Computação II,081618,A,dsc
8.5,8.4,9.2,-1,8.7,20112,1411186,Projeto em Computação II,081552,A,dsc
9.2,9.45,9.7,-1,9.5,20112,1411186,Projeto em Computação II,081217,A,dsc
7.75,7.9,7.45,-1,7.7,20112,1411186,Projeto em Computação II,111343,A,dsc
8,8.7,8.8,-1,8.5,20112,1411186,Projeto em Computação II,051188,A,dsc
8.25,8.1,8.7,-1,8.4,20112,1411186,Projeto em Computação II,062140,A,dsc
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,111716,A,dme
8,10,3,-1,7,20111,1108090,Fundamentos de Física Moderna,111138,A,dme
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,101522,A,dme
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,101731,A,dme
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,072724,A,dme
9,10,6.5,-1,8.5,20111,1108090,Fundamentos de Física Moderna,101559,A,dme
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,101546,A,dme
10,9,7.5,-1,8.8,20111,1108090,Fundamentos de Física Moderna,082339,A,dme
10,10,7.5,-1,9.2,20111,1108090,Fundamentos de Física Moderna,101280,A,dme
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,101644,A,dme
10,10,6.5,-1,8.8,20111,1108090,Fundamentos de Física Moderna,091710,A,dme
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,101615,A,dme
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,101492,A,dme
10,10,9,-1,9.7,20111,1108090,Fundamentos de Física Moderna,092715,A,dme
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,091120,A,dme
10,10,8,-1,9.3,20111,1108090,Fundamentos de Física Moderna,111597,A,dme
10,10,2.5,-1,7.5,20111,1108090,Fundamentos de Física Moderna,101166,A,dme
10,9,5,-1,8,20111,1108090,Fundamentos de Física Moderna,091445,A,dme
10,10,4,-1,8,20111,1108090,Fundamentos de Física Moderna,101499,A,dme
10,10,9.5,-1,9.8,20111,1108090,Fundamentos de Física Moderna,09289,A,dme
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,111117,A,dme
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,111404,A,dme
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,092466,A,dme
10,9,7.5,-1,8.8,20111,1108090,Fundamentos de Física Moderna,091184,A,dme
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,092209,A,dme
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,081622,A,dme
10,10,6.5,-1,8.8,20111,1108090,Fundamentos de Física Moderna,101641,A,dme
9,10,6,-1,8.3,20111,1108090,Fundamentos de Física Moderna,092252,A,dme
9,10,10,-1,9.7,20111,1108090,Fundamentos de Física Moderna,101142,A,dme
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,101453,A,dme
9,10,10,-1,9.7,20111,1108090,Fundamentos de Física Moderna,101602,A,dme
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1018,A,dme
10,9,5,-1,8,20111,1108090,Fundamentos de Física Moderna,091272,A,dme
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,101427,A,dme
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,101234,A,dme
9,10,6,-1,8.3,20111,1108090,Fundamentos de Física Moderna,101518,A,dme
10,9,5,-1,8,20111,1108090,Fundamentos de Física Moderna,082752,A,dme
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,101461,A,dme
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,101329,A,dme
10,10,7,-1,9,20111,1108090,Fundamentos de Física Moderna,101673,A,dme
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,101758,A,dme
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,101148,A,dme
9,10,8.5,-1,9.2,20111,1108090,Fundamentos de Física Moderna,1015,A,dme
10,10,7.5,-1,9.2,20111,1108090,Fundamentos de Física Moderna,092282,A,dme
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,092341,A,dme
10,10,7.5,-1,9.2,20111,1108090,Fundamentos de Física Moderna,0921,A,dme
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,101146,A,dme
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,111442,A,dme
9,10,9,-1,9.3,20111,1108090,Fundamentos de Física Moderna,10197,A,dme
10,10,9,-1,9.7,20111,1108090,Fundamentos de Física Moderna,091110,A,dme
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,101520,A,dme
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,092285,A,dme
9,10,9.5,-1,9.5,20111,1108090,Fundamentos de Física Moderna,0929,A,dme
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,092238,A,dme
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,111105,A,dme
9,10,6,-1,8.3,20111,1108090,Fundamentos de Física Moderna,091684,A,dme
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,07268,A,dme
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,101678,A,dme
10,10,4.5,-1,8.2,20111,1108090,Fundamentos de Física Moderna,101387,A,dme
9,10,5,-1,8,20111,1108090,Fundamentos de Física Moderna,101190,A,dme
5,5,6,0,3.2,20121,1108090,Fundamentos de Física Moderna,091623,R,dme
8.3,7.3,8.5,-1,8,20121,1108090,Fundamentos de Física Moderna,111241,A,dme
5,6.8,6,3.6,5,20121,1108090,Fundamentos de Física Moderna,121543,A,dme
10,8.5,9,-1,9.2,20121,1108090,Fundamentos de Física Moderna,111370,A,dme
7.5,8.5,9,-1,8.3,20121,1108090,Fundamentos de Física Moderna,111787,A,dme
6,6.2,9,-1,7.1,20121,1108090,Fundamentos de Física Moderna,111412,A,dme
10,7.5,9,-1,8.8,20121,1108090,Fundamentos de Física Moderna,111463,A,dme
8.8,7,8,-1,7.9,20121,1108090,Fundamentos de Física Moderna,11134,A,dme
10,9.5,8,-1,9.2,20121,1108090,Fundamentos de Física Moderna,111212,A,dme
9.3,8,8.5,-1,8.6,20121,1108090,Fundamentos de Física Moderna,111588,A,dme
8.5,8,9,-1,8.5,20121,1108090,Fundamentos de Física Moderna,111671,A,dme
9.5,8.3,9,-1,8.9,20121,1108090,Fundamentos de Física Moderna,101216,A,dme
5,5,9,5,5.8,20121,1108090,Fundamentos de Física Moderna,092436,A,dme
6,7.5,9,-1,7.5,20121,1108090,Fundamentos de Física Moderna,10144,A,dme
9,9.3,9,-1,9.1,20121,1108090,Fundamentos de Física Moderna,111542,A,dme
10,8,9,-1,9,20121,1108090,Fundamentos de Física Moderna,111735,A,dme
8.5,8.8,9,-1,8.8,20121,1108090,Fundamentos de Física Moderna,102493,A,dme
6,6,9,-1,7,20121,1108090,Fundamentos de Física Moderna,101514,A,dme
5.5,7,9,-1,7.2,20121,1108090,Fundamentos de Física Moderna,111233,A,dme
7.5,9.3,8,-1,8.3,20121,1108090,Fundamentos de Física Moderna,102429,A,dme
6.8,9,9,-1,8.3,20121,1108090,Fundamentos de Física Moderna,10212,A,dme
6.3,7.5,9,-1,7.6,20121,1108090,Fundamentos de Física Moderna,10190,A,dme
7.5,7.5,9,-1,8,20121,1108090,Fundamentos de Física Moderna,112690,A,dme
9,6.2,9,-1,8.1,20121,1108090,Fundamentos de Física Moderna,111770,A,dme
5,0,8,6,5,20121,1108090,Fundamentos de Física Moderna,10199,A,dme
10,10,10,-1,10,20121,1108090,Fundamentos de Física Moderna,121114,A,dme
5,7,9,-1,7,20121,1108090,Fundamentos de Física Moderna,121481,A,dme
0,0,4,-1,1.3,20121,1108090,Fundamentos de Física Moderna,121394,R,dme
6,5,8,3,5,20121,1108090,Fundamentos de Física Moderna,101432,A,dme
10,9.3,8,-1,9.1,20121,1108090,Fundamentos de Física Moderna,111334,A,dme
6.5,9,9,-1,8.2,20121,1108090,Fundamentos de Física Moderna,102157,A,dme
10,9.5,7,-1,8.8,20121,1108090,Fundamentos de Física Moderna,111243,A,dme
5,5,8,5,5.6,20121,1108090,Fundamentos de Física Moderna,121656,A,dme
10,8.8,4,-1,7.6,20121,1108090,Fundamentos de Física Moderna,111713,A,dme
10,9.5,9,-1,9.5,20121,1108090,Fundamentos de Física Moderna,111562,A,dme
5.5,5,9,7.5,6.9,20121,1108090,Fundamentos de Física Moderna,121538,A,dme
9.3,9.3,9,-1,9.2,20121,1108090,Fundamentos de Física Moderna,092474,A,dme
5,5,8,6,6,20121,1108090,Fundamentos de Física Moderna,121712,A,dme
5,8.8,8.5,-1,7.4,20121,1108090,Fundamentos de Física Moderna,112774,A,dme
8,8,9,-1,8.3,20121,1108090,Fundamentos de Física Moderna,111590,A,dme
7.5,5,9,-1,7.2,20121,1108090,Fundamentos de Física Moderna,101408,A,dme
7,8.3,8,-1,7.8,20121,1108090,Fundamentos de Física Moderna,102620,A,dme
9,10,10,-1,9.7,20122,1108090,Fundamentos de Física Moderna,091623,A,dme
9,10,9,-1,9.3,20122,1108090,Fundamentos de Física Moderna,102775,A,dme
8,9,9,-1,8.7,20122,1108090,Fundamentos de Física Moderna,111458,A,dme
8,9,9,-1,8.7,20122,1108090,Fundamentos de Física Moderna,11210,A,dme
9,10,9,-1,9.3,20122,1108090,Fundamentos de Física Moderna,102268,A,dme
9,9,9,-1,9,20122,1108090,Fundamentos de Física Moderna,111324,A,dme
9,10,9,-1,9.3,20122,1108090,Fundamentos de Física Moderna,10257,A,dme
9,9,9,-1,9,20122,1108090,Fundamentos de Física Moderna,092584,A,dme
9,10,10,-1,9.7,20122,1108090,Fundamentos de Física Moderna,121394,A,dme
8,9,9,-1,8.7,20122,1108090,Fundamentos de Física Moderna,112366,A,dme
10,10,9.5,-1,9.8,20122,1108090,Fundamentos de Física Moderna,121286,A,dme
10,10,9.5,-1,9.8,20122,1108090,Fundamentos de Física Moderna,111433,A,dme
9,9,9,-1,9,20122,1108090,Fundamentos de Física Moderna,111585,A,dme
9,9,9,-1,9,20122,1108090,Fundamentos de Física Moderna,111509,A,dme
9,10,10,-1,9.7,20122,1108090,Fundamentos de Física Moderna,112576,A,dme
7.5,8.5,9.5,-1,8.5,20112,1108090,Fundamentos de Física Moderna,102235,A,dme
6.3,9.5,9.2,-1,8.3,20112,1108090,Fundamentos de Física Moderna,102763,A,dme
6.3,9,9,-1,8.1,20112,1108090,Fundamentos de Física Moderna,091517,A,dme
7.5,6.9,9,-1,7.8,20112,1108090,Fundamentos de Física Moderna,102570,A,dme
6.5,5,9.4,-1,7,20112,1108090,Fundamentos de Física Moderna,112293,A,dme
10,8,6.5,-1,8.2,20112,1108090,Fundamentos de Física Moderna,091495,A,dme
6.3,6.7,8.4,-1,7.1,20112,1108090,Fundamentos de Física Moderna,111491,A,dme
6.2,9.5,9,-1,8.2,20112,1108090,Fundamentos de Física Moderna,092331,A,dme
6.2,9,8.5,-1,7.9,20112,1108090,Fundamentos de Física Moderna,102269,A,dme
7.5,9.6,10,-1,9,20112,1108090,Fundamentos de Física Moderna,101207,A,dme
5,8.5,8.7,-1,7.4,20112,1108090,Fundamentos de Física Moderna,101350,A,dme
6.3,8.2,9.5,-1,8,20112,1108090,Fundamentos de Física Moderna,102629,A,dme
8.1,9.1,8.8,-1,8.7,20112,1108090,Fundamentos de Física Moderna,102469,A,dme
6.3,9.7,8.8,-1,8.3,20112,1108090,Fundamentos de Física Moderna,102224,A,dme
6.5,9.7,8.5,-1,8.2,20112,1108090,Fundamentos de Física Moderna,10238,A,dme
6.2,8.5,8,-1,7.6,20112,1108090,Fundamentos de Física Moderna,101421,A,dme
7.5,10,7.5,-1,8.3,20112,1108090,Fundamentos de Física Moderna,101288,A,dme
6,8,9,-1,7.7,20112,1108090,Fundamentos de Física Moderna,101617,A,dme
7.5,9.1,9,-1,8.5,20112,1108090,Fundamentos de Física Moderna,102357,A,dme
7.5,8.3,9.2,-1,8.3,20112,1108090,Fundamentos de Física Moderna,102351,A,dme
10,5.5,8.5,-1,8,20112,1108090,Fundamentos de Física Moderna,102655,A,dme
6.3,6.2,9.2,-1,7.2,20112,1108090,Fundamentos de Física Moderna,10195,A,dme
6.3,9.7,8.6,-1,8.2,20112,1108090,Fundamentos de Física Moderna,102102,A,dme
9.5,9.5,9.5,-1,9.5,20121,1304025,BASQUETEBOL - FEM,101757,A,esportes
9.5,9.5,9.5,-1,9.5,20121,1304025,BASQUETEBOL - FEM,102651,A,esportes
9,9,9,-1,9,20121,1304025,BASQUETEBOL - FEM,111682,A,esportes
9,9,9,-1,9,20122,1304025,BASQUETEBOL - FEM,111532,A,esportes
8.5,8.5,8.5,-1,8.5,20122,1304025,BASQUETEBOL - FEM,112633,A,esportes
5.5,0,0.5,-1,2,20111,1109053,Cálculo Diferencial e Integral II,091623,R,dme
3.5,7,3,6,5.1,20111,1109053,Cálculo Diferencial e Integral II,102235,A,dme
0,6,2.5,-1,2.8,20111,1109053,Cálculo Diferencial e Integral II,102268,R,dme
1.5,2.5,0,-1,1.3,20111,1109053,Cálculo Diferencial e Integral II,102326,R,dme
3.5,7,2,7,5.3,20111,1109053,Cálculo Diferencial e Integral II,102763,A,dme
3,4.5,0.5,-1,2.7,20111,1109053,Cálculo Diferencial e Integral II,102320,R,dme
0,5.5,1.5,-1,2.3,20111,1109053,Cálculo Diferencial e Integral II,10257,R,dme
3,9.5,2,5.5,5.1,20111,1109053,Cálculo Diferencial e Integral II,091517,A,dme
4,3.5,0,-1,2.5,20111,1109053,Cálculo Diferencial e Integral II,101505,R,dme
7,8.5,5.5,-1,7,20111,1109053,Cálculo Diferencial e Integral II,102269,A,dme
4.5,3.5,4,7,5.2,20111,1109053,Cálculo Diferencial e Integral II,101304,A,dme
0,6,0,-1,2,20111,1109053,Cálculo Diferencial e Integral II,111233,R,dme
2.5,0,0,-1,0.8,20111,1109053,Cálculo Diferencial e Integral II,111458,R,dme
6,6.5,3.5,5.5,5.4,20111,1109053,Cálculo Diferencial e Integral II,102570,A,dme
2,0,1,-1,1,20111,1109053,Cálculo Diferencial e Integral II,101627,R,dme
0.5,6,2.5,-1,3,20111,1109053,Cálculo Diferencial e Integral II,102157,R,dme
0,3.5,0.5,-1,1.3,20111,1109053,Cálculo Diferencial e Integral II,10242,R,dme
6,8.5,3.5,6.5,6.2,20111,1109053,Cálculo Diferencial e Integral II,11167,A,dme
3.5,1.5,0,-1,1.7,20111,1109053,Cálculo Diferencial e Integral II,10199,R,dme
0.5,5.5,0,-1,2,20111,1109053,Cálculo Diferencial e Integral II,092436,R,dme
3.5,2,0,-1,1.8,20111,1109053,Cálculo Diferencial e Integral II,10144,R,dme
1,8.5,2.5,4.5,4.2,20111,1109053,Cálculo Diferencial e Integral II,101448,R,dme
0,1,0,-1,0.3,20111,1109053,Cálculo Diferencial e Integral II,102533,R,dme
3,6.5,0.5,-1,3.3,20111,1109053,Cálculo Diferencial e Integral II,092670,R,dme
2.5,6.5,3,5,4.4,20111,1109053,Cálculo Diferencial e Integral II,102493,R,dme
5.5,9,7,-1,7.2,20111,1109053,Cálculo Diferencial e Integral II,111770,A,dme
3,4.5,2,-1,3.2,20111,1109053,Cálculo Diferencial e Integral II,102429,R,dme
1.5,7,3.5,3,3.6,20111,1109053,Cálculo Diferencial e Integral II,10212,R,dme
1,7,2.5,-1,3.5,20111,1109053,Cálculo Diferencial e Integral II,10190,R,dme
1.5,0,0,-1,0.5,20111,1109053,Cálculo Diferencial e Integral II,102403,R,dme
3.5,9,4,5,5.3,20111,1109053,Cálculo Diferencial e Integral II,101207,A,dme
2.5,8,5,7,5.9,20111,1109053,Cálculo Diferencial e Integral II,101350,A,dme
2,4,0.5,-1,2.2,20111,1109053,Cálculo Diferencial e Integral II,101410,R,dme
0,0,0,-1,0,20111,1109053,Cálculo Diferencial e Integral II,102744,R,dme
2,3,0.5,-1,1.8,20111,1109053,Cálculo Diferencial e Integral II,102392,R,dme
2,4,1.5,-1,2.5,20111,1109053,Cálculo Diferencial e Integral II,102476,R,dme
5,6.5,1.5,7,5.4,20111,1109053,Cálculo Diferencial e Integral II,102629,A,dme
3,0,0,-1,1,20111,1109053,Cálculo Diferencial e Integral II,102308,R,dme
1.5,6,4.5,6.5,5,20111,1109053,Cálculo Diferencial e Integral II,102224,A,dme
1.5,5.5,0,-1,2.3,20111,1109053,Cálculo Diferencial e Integral II,101432,R,dme
3,1,0,-1,1.3,20111,1109053,Cálculo Diferencial e Integral II,101360,R,dme
4,9,5.5,8,6.9,20111,1109053,Cálculo Diferencial e Integral II,10238,A,dme
1,4,1.5,-1,2.2,20111,1109053,Cálculo Diferencial e Integral II,101164,R,dme
3.5,9,1,7,5.5,20111,1109053,Cálculo Diferencial e Integral II,111491,A,dme
1,6,1,-1,2.7,20111,1109053,Cálculo Diferencial e Integral II,092177,R,dme
1,0,1.5,-1,0.8,20111,1109053,Cálculo Diferencial e Integral II,092658,R,dme
0.5,0,0,-1,0.2,20111,1109053,Cálculo Diferencial e Integral II,092536,R,dme
1,3,3,-1,2.3,20111,1109053,Cálculo Diferencial e Integral II,101374,R,dme
1,0,0,-1,0.3,20111,1109053,Cálculo Diferencial e Integral II,092364,R,dme
1,0,0,-1,0.3,20111,1109053,Cálculo Diferencial e Integral II,092242,R,dme
7.5,3.5,3.5,8.5,6.3,20111,1109053,Cálculo Diferencial e Integral II,092569,A,dme
2.5,2.5,0,-1,1.7,20111,1109053,Cálculo Diferencial e Integral II,102726,R,dme
4,7,8,9,7.4,20111,1109053,Cálculo Diferencial e Integral II,102102,A,dme
0,0,0,-1,0,20111,1109053,Cálculo Diferencial e Integral II,092173,R,dme
4.5,6.5,3,7,5.6,20111,1109053,Cálculo Diferencial e Integral II,102357,A,dme
5.5,5,1.5,4.5,4.2,20111,1109053,Cálculo Diferencial e Integral II,091472,R,dme
4,4,0.5,-1,2.8,20111,1109053,Cálculo Diferencial e Integral II,091109,R,dme
2.5,9,7,7.5,6.7,20111,1109053,Cálculo Diferencial e Integral II,102351,A,dme
0,0.5,0,-1,0.2,20111,1109053,Cálculo Diferencial e Integral II,091372,R,dme
5.5,5.5,3.5,7,5.7,20111,1109053,Cálculo Diferencial e Integral II,102655,A,dme
4.5,7,3,6,5.3,20111,1109053,Cálculo Diferencial e Integral II,101709,A,dme
3,5.5,1.5,-1,3.3,20111,1109053,Cálculo Diferencial e Integral II,102620,R,dme
1.5,2,1.5,-1,1.7,20111,1109053,Cálculo Diferencial e Integral II,10115,R,dme
1.5,5,1,-1,2.5,20111,1109053,Cálculo Diferencial e Integral II,101408,R,dme
5.5,2,3.8,-1,3.8,20121,1109053,Cálculo Diferencial e Integral II,102483,R,dme
2,1,1,-1,1.3,20121,1109053,Cálculo Diferencial e Integral II,121149,R,dme
2,0,0,-1,0.7,20121,1109053,Cálculo Diferencial e Integral II,112485,R,dme
7.5,4.5,8,6,6.4,20121,1109053,Cálculo Diferencial e Integral II,102268,A,dme
2,0,0,-1,0.7,20121,1109053,Cálculo Diferencial e Integral II,111186,R,dme
