nota1,nota2,nota3,final,media,periodo,coddisciplina,disciplina,matricula,situacao,departamento
9,8.5,7.2,-1,8.2,20111,1411186,Projeto em Computação II,071154,A,dsc
9.5,9.5,7.8,-1,8.9,20111,1411186,Projeto em Computação II,07123,A,dsc
9,9,7.5,-1,8.5,20111,1411186,Projeto em Computação II,062239,A,dsc
9,5.5,9,-1,7.8,20111,1411186,Projeto em Computação II,062414,A,dsc
9,8.5,7,-1,8.2,20111,1411186,Projeto em Computação II,071418,A,dsc
0,0,0,-1,0,20111,1411186,Projeto em Computação II,111592,R,dsc
9,9,7.5,-1,8.5,20111,1411186,Projeto em Computação II,062778,A,dsc
0,0,0,-1,0,20111,1411186,Projeto em Computação II,061742,R,dsc
9.5,6.5,3,6.3,6.3,20111,1411186,Projeto em Computação II,071369,A,dsc
6,7,9.3,-1,7.4,20111,1411186,Projeto em Computação II,0616,A,dsc
9.5,8,8.3,-1,8.6,20111,1411186,Projeto em Computação II,071632,A,dsc
8,7.5,8.5,-1,8,20111,1411186,Projeto em Computação II,071521,A,dsc
8.3,7.5,8.2,-1,8,20111,1411186,Projeto em Computação II,071383,A,dsc
9,5.5,9,-1,7.8,20111,1411186,Projeto em Computação II,101333,A,dsc
9.5,9.5,7.7,-1,8.9,20111,1411186,Projeto em Computação II,071728,A,dsc
9,9,7.5,-1,8.5,20111,1411186,Projeto em Computação II,062211,A,dsc
9.5,8,8.3,-1,8.6,20111,1411186,Projeto em Computação II,071128,A,dsc
9,5.7,9,-1,7.9,20111,1411186,Projeto em Computação II,06283,A,dsc
9,7.5,7.5,-1,8,20111,1411186,Projeto em Computação II,071694,A,dsc
9.5,9.5,7.7,-1,8.9,20111,1411186,Projeto em Computação II,07180,A,dsc
8.5,9,8.5,-1,8.6,20121,1411186,Projeto em Computação II,07262,A,dsc
9.5,10,8.5,-1,9,20121,1411186,Projeto em Computação II,072681,A,dsc
8.5,9,8.5,-1,8.6,20121,1411186,Projeto em Computação II,042451,A,dsc
9,9.5,9.5,-1,9.4,20121,1411186,Projeto em Computação II,081507,A,dsc
