"nota1","nota2","nota3","final","media","periodo","coddisciplina","disciplina","matricula","situacao","vez","departamento"
0,3.5,0,-1,1.2,20121,1108089,Fundamentos de Física Clássica,1091169,R,1,dme
1,3.7,4.7,-1,3.1,20122,1108089,Fundamentos de Física Clássica,1091169,R,2,dme
0,0.2,0,-1,0.1,20121,1108089,Fundamentos de Física Clássica,1101243,R,2,dme
0,1,2,-1,1,20112,1108089,Fundamentos de Física Clássica,1101243,R,1,dme
5,5.4,4,4,4.5,20111,1108089,Fundamentos de Física Clássica,1101320,R,1,dme
3,6.5,6,7.5,6.1,20112,1108089,Fundamentos de Física Clássica,1101320,A,2,dme
3,8,1,4,4,20121,1108089,Fundamentos de Física Clássica,1101548,R,2,dme
10,5,9.1,-1,8,20122,1108089,Fundamentos de Física Clássica,1101548,A,3,dme
2.5,1,4.5,-1,2.7,20112,1108089,Fundamentos de Física Clássica,1101548,R,1,dme
0,2.5,0,-1,0.8,20121,1108089,Fundamentos de Física Clássica,1102660,R,2,dme
4.2,6.4,1.8,-1,2.5,20122,1108089,Fundamentos de Física Clássica,1102660,R,3,dme
5,3.5,4.5,4,4.2,20112,1108089,Fundamentos de Física Clássica,1102660,R,1,dme
0.2,6,0,-1,2.1,20121,1108089,Fundamentos de Física Clássica,1102400,R,2,dme
3,1.5,4.3,-1,2.9,20122,1108089,Fundamentos de Física Clássica,1102400,R,3,dme
3,3,3.5,-1,3.2,20112,1108089,Fundamentos de Física Clássica,1102400,R,1,dme
0,1.2,0,-1,0.4,20121,1108089,Fundamentos de Física Clássica,1102723,R,2,dme
5,5.5,4.5,4,4.6,20112,1108089,Fundamentos de Física Clássica,1102723,R,1,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1102643,R,1,dme
2,4,3.7,-1,3.2,20122,1108089,Fundamentos de Física Clássica,1102643,R,2,dme
0.2,2,0.3,-1,0.8,20121,1108089,Fundamentos de Física Clássica,1102316,R,2,dme
2,4.5,6,4,4.1,20112,1108089,Fundamentos de Física Clássica,1102316,R,1,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1102467,R,2,dme
9.5,5.9,6.6,-1,7.3,20122,1108089,Fundamentos de Física Clássica,1102467,A,3,dme
3,4.5,5,0,2.5,20112,1108089,Fundamentos de Física Clássica,1102467,R,1,dme
0.2,4,2.5,-1,2.2,20121,1108089,Fundamentos de Física Clássica,110273,R,2,dme
4.2,6.4,1.8,6.5,5.1,20122,1108089,Fundamentos de Física Clássica,110273,A,3,dme
5,5.5,4,2,3.7,20112,1108089,Fundamentos de Física Clássica,110273,R,1,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1102378,R,2,dme
5,1,3.5,-1,3.2,20112,1108089,Fundamentos de Física Clássica,1102378,R,1,dme
6,9,6,-1,7,20122,1108089,Fundamentos de Física Clássica,1102511,A,2,dme
4,4,4,2.5,3.4,20112,1108089,Fundamentos de Física Clássica,1102511,R,1,dme
4.5,3,4.5,1.5,3,20111,1108089,Fundamentos de Física Clássica,110222,R,1,dme
4,4,4,4,4,20121,1108089,Fundamentos de Física Clássica,110222,R,3,dme
8,6.8,8.6,-1,7.8,20122,1108089,Fundamentos de Física Clássica,110222,A,4,dme
3.5,3,6,1.5,3.1,20112,1108089,Fundamentos de Física Clássica,110222,R,2,dme
0,0.1,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1102470,R,2,dme
4.5,1,3,-1,2.8,20112,1108089,Fundamentos de Física Clássica,1102470,R,1,dme
0,0.1,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1102680,R,1,dme
3,4.3,1.5,-1,2.9,20122,1108089,Fundamentos de Física Clássica,1102680,R,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1102304,R,2,dme
6.5,0,4.5,-1,3.7,20112,1108089,Fundamentos de Física Clássica,1102304,R,1,dme
2.7,3,1,-1,2.2,20111,1108089,Fundamentos de Física Clássica,1102129,R,1,dme
2.5,1,4,-1,2.5,20112,1108089,Fundamentos de Física Clássica,1102129,R,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1102564,R,1,dme
4.5,4,3.5,-1,2.4,20122,1108089,Fundamentos de Física Clássica,1102564,R,2,dme
0,0.1,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1102159,R,2,dme
5.5,1,3.5,-1,3.3,20112,1108089,Fundamentos de Física Clássica,1102159,R,1,dme
4.5,3.5,4,4.5,4.2,20111,1108089,Fundamentos de Física Clássica,1102259,R,1,dme
6.5,4,4.5,5,5,20121,1108089,Fundamentos de Física Clássica,1102259,A,3,dme
4,5,5.5,3,4.1,20112,1108089,Fundamentos de Física Clássica,1102259,R,2,dme
3.5,0,0,-1,1.2,20111,1108089,Fundamentos de Física Clássica,1102118,R,1,dme
0,1,0,-1,0.3,20112,1108089,Fundamentos de Física Clássica,1102118,R,2,dme
7,4.5,0,-1,3.8,20111,1108089,Fundamentos de Física Clássica,1102290,R,1,dme
2.5,5,6.5,6,5.2,20112,1108089,Fundamentos de Física Clássica,1102290,A,2,dme
0,7,2,-1,3,20121,1108089,Fundamentos de Física Clássica,1111526,R,1,dme
6,9,6,-1,7,20122,1108089,Fundamentos de Física Clássica,1111526,A,2,dme
1,4,2.2,-1,2.4,20121,1108089,Fundamentos de Física Clássica,1111739,R,1,dme
7,5.9,6.3,6.3,6.4,20122,1108089,Fundamentos de Física Clássica,1111739,A,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1111406,R,1,dme
7.5,2.5,4,3,4,20122,1108089,Fundamentos de Física Clássica,1111406,R,2,dme
0,0,0.3,-1,0.1,20121,1108089,Fundamentos de Física Clássica,11113,R,1,dme
4,2,3,-1,3,20122,1108089,Fundamentos de Física Clássica,11113,R,2,dme
0,0.8,0,-1,0.3,20121,1108089,Fundamentos de Física Clássica,1111389,R,2,dme
9,8.8,5.9,-1,7.9,20122,1108089,Fundamentos de Física Clássica,1111389,A,3,dme
2.5,0,0,-1,0.8,20112,1108089,Fundamentos de Física Clássica,1111389,R,1,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1111447,R,1,dme
7.5,6.6,7.5,-1,7.2,20122,1108089,Fundamentos de Física Clássica,1111447,A,2,dme
1.5,0.1,0,-1,0.5,20121,1108089,Fundamentos de Física Clássica,1111587,R,2,dme
9,8.8,5.9,-1,7.9,20122,1108089,Fundamentos de Física Clássica,1111587,A,3,dme
3.5,3.5,5,3.5,3.8,20112,1108089,Fundamentos de Física Clássica,1111587,R,1,dme
4.5,4.5,4.5,4.5,4.5,20121,1108089,Fundamentos de Física Clássica,1111556,R,1,dme
8,6.8,8.6,-1,7.8,20122,1108089,Fundamentos de Física Clássica,1111556,A,2,dme
0.5,0.2,0,-1,0.2,20121,1108089,Fundamentos de Física Clássica,1111596,R,1,dme
9,8,5.9,-1,7.6,20122,1108089,Fundamentos de Física Clássica,1111596,A,2,dme
1,3.2,3.2,-1,2.5,20121,1108089,Fundamentos de Física Clássica,1111505,R,1,dme
6.5,6.5,3.9,7.9,6.5,20122,1108089,Fundamentos de Física Clássica,1111505,A,2,dme
0,2,0,-1,0.7,20111,1108089,Fundamentos de Física Clássica,1111410,R,1,dme
2.5,7,5,6.5,5.5,20112,1108089,Fundamentos de Física Clássica,1111410,A,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1111230,R,1,dme
7.5,2.5,4,2.1,3.7,20122,1108089,Fundamentos de Física Clássica,1111230,R,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,111153,R,1,dme
6.5,10,4.4,-1,7,20122,1108089,Fundamentos de Física Clássica,111153,A,2,dme
0,5,2.5,-1,2.5,20121,1108089,Fundamentos de Física Clássica,1111271,R,1,dme
6.5,6.5,3.9,8,6.6,20122,1108089,Fundamentos de Física Clássica,1111271,A,2,dme
7.2,6.1,3.5,5,5.4,20121,1108089,Fundamentos de Física Clássica,1111164,A,2,dme
3.5,1,5.5,-1,3.3,20112,1108089,Fundamentos de Física Clássica,1111164,R,1,dme
0,3.5,0,-1,1.2,20121,1108089,Fundamentos de Física Clássica,1111568,R,1,dme
6.5,6.5,3.9,4.8,5.3,20122,1108089,Fundamentos de Física Clássica,1111568,A,2,dme
1,0,0,-1,0.3,20121,1108089,Fundamentos de Física Clássica,1111111,R,2,dme
2.5,0,0,-1,0.8,20112,1108089,Fundamentos de Física Clássica,1111111,R,1,dme
6.2,5,3,3.5,4.2,20111,1108089,Fundamentos de Física Clássica,1111249,R,1,dme
6,5,6.5,4.5,5.3,20112,1108089,Fundamentos de Física Clássica,1111249,A,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1111491,R,1,dme
7,5.9,6.3,0,3.8,20122,1108089,Fundamentos de Física Clássica,1111491,R,2,dme
0.2,7,1.5,-1,2.9,20121,1108089,Fundamentos de Física Clássica,1111791,R,1,dme
8,6.8,8.6,-1,7.8,20122,1108089,Fundamentos de Física Clássica,1111791,A,2,dme
0.1,3.5,1.5,-1,1.7,20121,1108089,Fundamentos de Física Clássica,1112299,R,1,dme
9,5.9,7.5,-1,7.5,20122,1108089,Fundamentos de Física Clássica,1112299,A,2,dme
7.5,5.6,2.5,5,5.1,20121,1108089,Fundamentos de Física Clássica,1112761,A,2,dme
5.5,1.5,6,3.5,4,20112,1108089,Fundamentos de Física Clássica,1112761,R,1,dme
2.3,4.8,3,-1,3.4,20121,1108089,Fundamentos de Física Clássica,1112503,R,1,dme
3.5,4.3,7,3.6,4.4,20122,1108089,Fundamentos de Física Clássica,1112503,R,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1112708,R,1,dme
9.5,5.9,6.6,-1,7.3,20122,1108089,Fundamentos de Física Clássica,1112708,A,2,dme
0,0.1,0,-1,0,20121,1108089,Fundamentos de Física Clássica,111241,R,1,dme
3,4.5,6,4,4.3,20122,1108089,Fundamentos de Física Clássica,111241,R,2,dme
0,0.3,0,-1,0.1,20121,1108089,Fundamentos de Física Clássica,1112307,R,1,dme
9,5.9,7.5,-1,7.5,20122,1108089,Fundamentos de Física Clássica,1112307,A,2,dme
0,2.5,0,-1,0.8,20121,1108089,Fundamentos de Física Clássica,1112214,R,1,dme
7,10,6.8,-1,7.9,20122,1108089,Fundamentos de Física Clássica,1112214,A,2,dme
0,0,0,-1,0,20121,1108089,Fundamentos de Física Clássica,1112605,R,1,dme
10,8.5,9.1,-1,9.2,20122,1108089,Fundamentos de Física Clássica,1112605,A,2,dme
1.5,0.3,2,-1,1.3,20121,1108089,Fundamentos de Física Clássica,1112662,R,1,dme
10,8.5,9.1,-1,9.2,20122,1108089,Fundamentos de Física Clássica,1112662,A,2,dme
0,1.5,0,-1,0.5,20121,1108089,Fundamentos de Física Clássica,1112544,R,1,dme
5.1,3.3,3.5,5,4.4,20122,1108089,Fundamentos de Física Clássica,1112544,R,2,dme
0.2,0,0,-1,0.1,20121,1108089,Fundamentos de Física Clássica,1112358,R,1,dme
9.5,5.9,6.6,-1,7.3,20122,1108089,Fundamentos de Física Clássica,1112358,A,2,dme
0,1.6,0,-1,0.5,20121,1108089,Fundamentos de Física Clássica,1121616,R,1,dme
4.5,3.5,1,-1,3,20122,1108089,Fundamentos de Física Clássica,1121616,R,2,dme
