"nota1","nota2","nota3","final","media","periodo","coddisciplina","disciplina","matricula","situacao","vez","departamento"
0,2.5,2.5,-1,1.7,20121,1108089,Fundamentos de Física Clássica,112194,R,1,dme
4,2,3.5,-1,3.2,20122,1108089,Fundamentos de Física Clássica,112194,R,2,dme
5,5,6,0,3.2,20121,1108090,Fundamentos de Física Moderna,1091618,R,1,dme
9,10,10,-1,9.7,20122,1108090,Fundamentos de Física Moderna,1091618,A,2,dme
0,0,4,-1,1.3,20121,1108090,Fundamentos de Física Moderna,1121545,R,1,dme
9,10,10,-1,9.7,20122,1108090,Fundamentos de Física Moderna,1121545,A,2,dme
0.5,0.8,0,-1,0.4,20111,1109035,Álgebra Vetorial e Geometria Analítica,1101619,R,1,dme
5.8,7,9,-1,7.3,20112,1109035,Álgebra Vetorial e Geometria Analítica,1101619,A,2,dme
4,2,4,-1,3.3,20111,1109035,Álgebra Vetorial e Geometria Analítica,1102132,R,1,dme
8.9,3.5,0,-1,2.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,1102132,R,2,dme
5.5,3,8,7,6.1,20121,1109035,Álgebra Vetorial e Geometria Analítica,1102676,A,2,dme
6.5,2.5,0,-1,3,20112,1109035,Álgebra Vetorial e Geometria Analítica,1102676,R,1,dme
0,2.5,0,-1,0.8,20111,1109035,Álgebra Vetorial e Geometria Analítica,1102674,R,1,dme
1,9.7,7.6,6.5,6.3,20112,1109035,Álgebra Vetorial e Geometria Analítica,1102674,A,2,dme
5,3,0,-1,2.7,20111,1109035,Álgebra Vetorial e Geometria Analítica,1102790,R,1,dme
3,2,7,7,5.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,1102790,A,2,dme
6.5,4,2,1,2.9,20111,1109035,Álgebra Vetorial e Geometria Analítica,110265,R,1,dme
6,7.3,7,6.5,6.7,20112,1109035,Álgebra Vetorial e Geometria Analítica,110265,A,2,dme
3.5,1,4,-1,2.8,20111,1109035,Álgebra Vetorial e Geometria Analítica,1102396,R,1,dme
0,1,3,-1,1.3,20112,1109035,Álgebra Vetorial e Geometria Analítica,1102396,R,2,dme
0,3,0.5,-1,1.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,1102610,R,1,dme
3,6,0,-1,3,20121,1109035,Álgebra Vetorial e Geometria Analítica,1102610,R,2,dme
1,0.5,0,-1,0.5,20111,1109035,Álgebra Vetorial e Geometria Analítica,1102100,R,1,dme
5.3,8.7,5.8,6.5,6.6,20112,1109035,Álgebra Vetorial e Geometria Analítica,1102100,A,2,dme
2.5,2.5,0,-1,1.7,20111,1109035,Álgebra Vetorial e Geometria Analítica,1102564,R,1,dme
8.6,2.5,10,-1,7,20112,1109035,Álgebra Vetorial e Geometria Analítica,1102564,A,2,dme
5.5,2,2,-1,3.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,110261,R,1,dme
8,5,1,6,5.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,110261,A,2,dme
0,0,0,-1,0,20111,1109035,Álgebra Vetorial e Geometria Analítica,1102340,R,1,dme
8,7.5,4,3.5,5.3,20112,1109035,Álgebra Vetorial e Geometria Analítica,1102340,A,2,dme
2.3,2.7,1.5,-1,2.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,1102113,R,1,dme
2.5,5,9.5,6.5,6,20112,1109035,Álgebra Vetorial e Geometria Analítica,1102113,A,2,dme
0,0.5,0,-1,0.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,110214,R,1,dme
6.3,10,6,-1,7.4,20112,1109035,Álgebra Vetorial e Geometria Analítica,110214,A,2,dme
0.5,0,0,-1,0.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,1102227,R,1,dme
6.1,2,6,5.5,5,20112,1109035,Álgebra Vetorial e Geometria Analítica,1102227,A,2,dme
0.5,2.5,0,-1,1,20111,1109035,Álgebra Vetorial e Geometria Analítica,1102744,R,1,dme
6.3,9.5,7,-1,7.6,20112,1109035,Álgebra Vetorial e Geometria Analítica,1102744,A,2,dme
3.5,7.5,2,4,4.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,1102465,R,2,dme
3,5,0.5,-1,2.8,20112,1109035,Álgebra Vetorial e Geometria Analítica,1102465,R,1,dme
2,4.2,5.8,3.7,3.9,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111739,R,1,dme
9.5,8.2,3.5,-1,7.1,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111739,A,2,dme
5.5,2.3,2.5,-1,3.4,20111,1109035,Álgebra Vetorial e Geometria Analítica,111121,R,1,dme
3.6,8,3,3.7,4.4,20112,1109035,Álgebra Vetorial e Geometria Analítica,111121,R,2,dme
2.5,0.5,3.3,-1,2.1,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111364,R,1,dme
7.6,6.5,8,-1,7.4,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111364,A,2,dme
0.5,0.5,2,-1,1,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111478,R,1,dme
2.9,9.8,7,5.5,6.2,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111478,A,2,dme
0.5,0.5,0,-1,0.3,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111764,R,1,dme
5.1,4.5,0,-1,3.2,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111764,R,2,dme
5.2,9.5,5,-1,4,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111264,R,1,dme
6.1,9.8,9,-1,8.3,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111264,A,2,dme
2.5,4,5.5,2.8,3.5,20111,1109035,Álgebra Vetorial e Geometria Analítica,11113,R,1,dme
9.2,8.5,4.5,-1,7.4,20112,1109035,Álgebra Vetorial e Geometria Analítica,11113,A,2,dme
0.5,0,0,-1,0.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111202,R,1,dme
0,0,1.5,-1,0.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111202,R,2,dme
2.5,4,1,-1,2.5,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111225,R,1,dme
3.1,4.5,0,-1,2.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111225,R,2,dme
1.5,3.5,0.5,-1,1.8,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111556,R,1,dme
8.9,10,7,-1,8.6,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111556,A,2,dme
0.5,0.5,0,-1,0.3,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111786,R,1,dme
4.3,5,5.5,5.5,5.1,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111786,A,2,dme
6,5.1,0.9,-1,2.4,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111244,R,1,dme
5.9,4,0,-1,3.3,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111244,R,2,dme
2.5,4.5,0.7,-1,2.6,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111505,R,1,dme
5,5.5,6.5,6.5,6,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111505,A,2,dme
2,2.2,2.2,-1,2.1,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111789,R,1,dme
2.1,1,0,-1,1,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111789,R,2,dme
2.6,3,4,-1,3.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,111153,R,1,dme
7.2,5.5,5.5,5.4,5.8,20112,1109035,Álgebra Vetorial e Geometria Analítica,111153,A,2,dme
2.5,3,0,-1,1.8,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111415,R,1,dme
7.1,8.8,8,-1,8,20122,1109035,Álgebra Vetorial e Geometria Analítica,1111415,A,3,dme
3.7,2,0,-1,1.9,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111415,R,2,dme
2.5,4.3,3.5,-1,3.4,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111150,R,1,dme
3,9.7,6.5,3.3,5.2,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111150,A,2,dme
0.5,0,0,-1,0.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111590,R,1,dme
1.5,2.5,2,-1,2,20121,1109035,Álgebra Vetorial e Geometria Analítica,1111590,R,3,dme
0,1.5,0,-1,0.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111590,R,2,dme
1.5,2,2,-1,1.8,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111675,R,1,dme
4.4,2.5,0.5,-1,2.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111675,R,2,dme
8.5,2.5,1.5,2.5,3.5,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111568,R,1,dme
7.7,10,3.3,-1,7,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111568,A,2,dme
0.5,0.5,0,-1,0.3,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111775,R,1,dme
9.5,6,5.5,-1,7,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111775,A,2,dme
3,5,1,-1,3,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111779,R,1,dme
6.1,3.5,2.5,0.8,2.7,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111779,R,2,dme
2,3,4.5,-1,3.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111536,R,1,dme
7,4,10,-1,7,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111536,A,2,dme
3.5,2,1,-1,2.2,20111,1109035,Álgebra Vetorial e Geometria Analítica,1111576,R,1,dme
4.5,5,7.5,6.2,5.9,20122,1109035,Álgebra Vetorial e Geometria Analítica,1111576,A,3,dme
5.5,2,4.5,1.3,2.9,20112,1109035,Álgebra Vetorial e Geometria Analítica,1111576,R,2,dme
0.5,1,0,-1,0.5,20122,1109035,Álgebra Vetorial e Geometria Analítica,1112489,R,2,dme
0.8,0.5,0,-1,0.4,20112,1109035,Álgebra Vetorial e Geometria Analítica,1112489,R,1,dme
1,7.3,0,-1,2.8,20121,1109035,Álgebra Vetorial e Geometria Analítica,1112413,R,2,dme
8.3,7,0,3.5,4.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,1112413,R,1,dme
5.3,5.5,5.6,5,5.3,20121,1109035,Álgebra Vetorial e Geometria Analítica,1112250,A,2,dme
0.5,0.5,0.5,-1,0.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,1112250,R,1,dme
7,1,0.5,-1,2.8,20121,1109035,Álgebra Vetorial e Geometria Analítica,111254,R,2,dme
6,6,5,5,5.4,20122,1109035,Álgebra Vetorial e Geometria Analítica,111254,A,3,dme
0,4.5,2.9,-1,2.5,20112,1109035,Álgebra Vetorial e Geometria Analítica,111254,R,1,dme
0,1.5,0,-1,0.5,20121,1109035,Álgebra Vetorial e Geometria Analítica,111291,R,2,dme
7,3,5.7,2,3.9,20112,1109035,Álgebra Vetorial e Geometria Analítica,111291,R,1,dme
1,5.2,3.5,-1,3.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,1112200,R,2,dme
6.5,5,5,7.5,6.3,20122,1109035,Álgebra Vetorial e Geometria Analítica,1112200,A,3,dme
3.5,2.5,5.5,-1,3.8,20112,1109035,Álgebra Vetorial e Geometria Analítica,1112200,R,1,dme
6,1.7,4.3,5,4.4,20122,1109035,Álgebra Vetorial e Geometria Analítica,1112136,R,2,dme
3.5,2,0,-1,1.8,20112,1109035,Álgebra Vetorial e Geometria Analítica,1112136,R,1,dme
4,2.5,0,-1,2.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,1112365,R,2,dme
4.5,3.7,5.3,6.8,5.4,20122,1109035,Álgebra Vetorial e Geometria Analítica,1112365,A,3,dme
5.2,2.8,0.5,-1,2.8,20112,1109035,Álgebra Vetorial e Geometria Analítica,1112365,R,1,dme
3.7,0,0,-1,1.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,1112201,R,2,dme
2,3.5,0,-1,1.8,20112,1109035,Álgebra Vetorial e Geometria Analítica,1112201,R,1,dme
6.5,8.5,7,-1,7.3,20121,1109035,Álgebra Vetorial e Geometria Analítica,111270,A,2,dme
4.4,2.7,3,-1,3.4,20112,1109035,Álgebra Vetorial e Geometria Analítica,111270,R,1,dme
2,0,3.5,-1,1.8,20121,1109035,Álgebra Vetorial e Geometria Analítica,1112252,R,2,dme
4,2,1.8,-1,2.6,20112,1109035,Álgebra Vetorial e Geometria Analítica,1112252,R,1,dme
8,4.5,6.2,5.7,6,20121,1109035,Álgebra Vetorial e Geometria Analítica,111239,A,2,dme
1,1,0,-1,0.7,20112,1109035,Álgebra Vetorial e Geometria Analítica,111239,R,1,dme
3,1,1.5,-1,1.8,20121,1109035,Álgebra Vetorial e Geometria Analítica,1112207,R,2,dme
5,2.5,0.5,-1,2.7,20112,1109035,Álgebra Vetorial e Geometria Analítica,1112207,R,1,dme
7,4.6,1,1,2.9,20121,1109035,Álgebra Vetorial e Geometria Analítica,1112525,R,2,dme
6.5,7,4,5.9,5.8,20122,1109035,Álgebra Vetorial e Geometria Analítica,1112525,A,3,dme
2.5,5.5,4,1.5,3,20112,1109035,Álgebra Vetorial e Geometria Analítica,1112525,R,1,dme
5.5,0.5,1.5,-1,2.5,20121,1109035,Álgebra Vetorial e Geometria Analítica,111271,R,2,dme
2,0.5,0,-1,0.8,20112,1109035,Álgebra Vetorial e Geometria Analítica,111271,R,1,dme
3.5,4.8,4.8,4.5,4.4,20122,1109035,Álgebra Vetorial e Geometria Analítica,1112673,R,2,dme
1,2.5,0,-1,1.2,20112,1109035,Álgebra Vetorial e Geometria Analítica,1112673,R,1,dme
7.5,7,4.9,4.2,5.6,20121,1109035,Álgebra Vetorial e Geometria Analítica,1112449,A,2,dme
1,2.5,6.7,-1,3.4,20112,1109035,Álgebra Vetorial e Geometria Analítica,1112449,R,1,dme
2.5,7,2.8,-1,2.5,20121,1109035,Álgebra Vetorial e Geometria Analítica,1121513,R,1,dme
7.7,8.5,2,-1,3.7,20122,1109035,Álgebra Vetorial e Geometria Analítica,1121513,R,2,dme
7.5,3,4.5,2,3.8,20121,1109035,Álgebra Vetorial e Geometria Analítica,1121509,R,1,dme
8,5.7,7.3,-1,7,20122,1109035,Álgebra Vetorial e Geometria Analítica,1121509,A,2,dme
3.5,8.3,5.8,1,3.9,20121,1109035,Álgebra Vetorial e Geometria Analítica,1121599,R,1,dme
7.8,1.5,4.6,5.7,5,20122,1109035,Álgebra Vetorial e Geometria Analítica,1121599,A,2,dme
2.5,0,0,-1,0.8,20121,1109035,Álgebra Vetorial e Geometria Analítica,1121248,R,1,dme
6.1,1,1.5,-1,2.9,20122,1109035,Álgebra Vetorial e Geometria Analítica,1121248,R,2,dme
4.5,4.5,5.8,3.5,4.3,20121,1109035,Álgebra Vetorial e Geometria Analítica,1121237,R,1,dme
8.3,7.3,6.1,-1,7.2,20122,1109035,Álgebra Vetorial e Geometria Analítica,1121237,A,2,dme
0,0,2.5,-1,0.8,20121,1109035,Álgebra Vetorial e Geometria Analítica,1121384,R,1,dme
3.3,6.5,7,4.5,5.2,20122,1109035,Álgebra Vetorial e Geometria Analítica,1121384,A,2,dme
0,1,0,-1,0.3,20121,1109035,Álgebra Vetorial e Geometria Analítica,1121507,R,1,dme
1,4.5,3,-1,2.8,20122,1109035,Álgebra Vetorial e Geometria Analítica,1121507,R,2,dme
4.5,6.3,1.2,3,3.6,20121,1109035,Álgebra Vetorial e Geometria Analítica,1121661,R,1,dme
6.3,4.2,6,-1,3.3,20122,1109035,Álgebra Vetorial e Geometria Analítica,1121661,R,2,dme
0,5.5,1,-1,2.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,1121715,R,1,dme
3,7,2,5,4.4,20122,1109035,Álgebra Vetorial e Geometria Analítica,1121715,R,2,dme
3.5,0,0,-1,1.2,20121,1109035,Álgebra Vetorial e Geometria Analítica,1121305,R,1,dme
3.2,3.5,2.5,-1,3.1,20122,1109035,Álgebra Vetorial e Geometria Analítica,1121305,R,2,dme
4,4,5.3,3.5,4,20121,1109035,Álgebra Vetorial e Geometria Analítica,11217,R,1,dme
5.6,5.9,9.5,-1,7,20122,1109035,Álgebra Vetorial e Geometria Analítica,11217,A,2,dme
4.5,2,0.5,-1,2.3,20121,1109035,Álgebra Vetorial e Geometria Analítica,1121276,R,1,dme
5,2.3,3,-1,3.4,20122,1109035,Álgebra Vetorial e Geometria Analítica,1121276,R,2,dme
0,0.5,0,-1,0.2,20111,1109049,Álgebra Linear,1091561,R,1,dme
