nota1,nota2,nota3,final,media,periodo,coddisciplina,disciplina,matricula,situacao,departamento,grupo
9,8.5,7.2,-1,8.2,20111,1411186,Projeto em Computação II,1071171,A,dsc,1
9.5,9.5,7.8,-1,8.9,20111,1411186,Projeto em Computação II,1071321,A,dsc,1
9,9,7.5,-1,8.5,20111,1411186,Projeto em Computação II,1062337,A,dsc,1
9,5.5,9,-1,7.8,20111,1411186,Projeto em Computação II,1062231,A,dsc,1
9,8.5,7,-1,8.2,20111,1411186,Projeto em Computação II,1071436,A,dsc,1
0,0,0,-1,0,20111,1411186,Projeto em Computação II,1111285,R,dsc,2
9,9,7.5,-1,8.5,20111,1411186,Projeto em Computação II,1062138,A,dsc,1
0,0,0,-1,0,20111,1411186,Projeto em Computação II,106137,R,dsc,2
9.5,6.5,3,6.3,6.3,20111,1411186,Projeto em Computação II,107185,A,dsc,1
6,7,9.3,-1,7.4,20111,1411186,Projeto em Computação II,1061245,A,dsc,1
9.5,8,8.3,-1,8.6,20111,1411186,Projeto em Computação II,1071213,A,dsc,1
8,7.5,8.5,-1,8,20111,1411186,Projeto em Computação II,1071368,A,dsc,1
8.3,7.5,8.2,-1,8,20111,1411186,Projeto em Computação II,1071211,A,dsc,1
9,5.5,9,-1,7.8,20111,1411186,Projeto em Computação II,1101274,A,dsc,1
9.5,9.5,7.7,-1,8.9,20111,1411186,Projeto em Computação II,1071323,A,dsc,1
9,9,7.5,-1,8.5,20111,1411186,Projeto em Computação II,1062517,A,dsc,1
9.5,8,8.3,-1,8.6,20111,1411186,Projeto em Computação II,1071440,A,dsc,1
9,5.7,9,-1,7.9,20111,1411186,Projeto em Computação II,106259,A,dsc,1
9,7.5,7.5,-1,8,20111,1411186,Projeto em Computação II,1071773,A,dsc,1
9.5,9.5,7.7,-1,8.9,20111,1411186,Projeto em Computação II,1071196,A,dsc,1
8.5,9,8.5,-1,8.6,20121,1411186,Projeto em Computação II,1072745,A,dsc,1
9.5,10,8.5,-1,9,20121,1411186,Projeto em Computação II,1072552,A,dsc,1
8.5,9,8.5,-1,8.6,20121,1411186,Projeto em Computação II,1042443,A,dsc,1
9,9.5,9.5,-1,9.4,20121,1411186,Projeto em Computação II,10812,A,dsc,1
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,1081430,A,dsc,1
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,1081743,A,dsc,1
8.5,9,9,-1,8.9,20121,1411186,Projeto em Computação II,1081717,A,dsc,1
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,1082112,A,dsc,1
8.5,8.5,8.5,-1,8.5,20121,1411186,Projeto em Computação II,108129,A,dsc,1
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,109157,A,dsc,1
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,1082541,A,dsc,1
8.5,9,9,-1,8.9,20121,1411186,Projeto em Computação II,1081312,A,dsc,1
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,1112681,A,dsc,1
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,1121117,A,dsc,1
9,9.5,9.5,-1,9.4,20121,1411186,Projeto em Computação II,1081233,A,dsc,1
7,8,9,-1,8.4,20121,1411186,Projeto em Computação II,110152,A,dsc,1
6.2,10,6.2,-1,7,20121,1411186,Projeto em Computação II,1071355,A,dsc,1
6,7,8.5,-1,7.7,20121,1411186,Projeto em Computação II,1071583,A,dsc,1
9.5,10,8.5,-1,9,20121,1411186,Projeto em Computação II,1072422,A,dsc,1
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,1072702,A,dsc,1
8.5,8,8.5,-1,8.4,20121,1411186,Projeto em Computação II,1072102,A,dsc,1
9,9.5,9.5,-1,9.4,20121,1411186,Projeto em Computação II,108172,A,dsc,1
8,9,8.5,-1,8.5,20121,1411186,Projeto em Computação II,1081521,A,dsc,1
8.5,8.5,8.5,-1,8.5,20121,1411186,Projeto em Computação II,1081554,A,dsc,1
8,8,8.5,-1,8.3,20121,1411186,Projeto em Computação II,1081508,A,dsc,1
8.5,9,9,-1,8.9,20121,1411186,Projeto em Computação II,10815,A,dsc,1
8.5,8.5,8.5,-1,8.5,20121,1411186,Projeto em Computação II,1081371,A,dsc,1
6.2,10,6.2,-1,7,20121,1411186,Projeto em Computação II,107162,A,dsc,1
8.5,9,8.5,-1,8.6,20121,1411186,Projeto em Computação II,1101139,A,dsc,1
8.5,9,8.5,-1,8.6,20121,1411186,Projeto em Computação II,1112110,A,dsc,1
8.5,8.5,8.5,-1,8.5,20121,1411186,Projeto em Computação II,1112282,A,dsc,1
9.5,10,8.5,-1,9,20121,1411186,Projeto em Computação II,1072272,A,dsc,1
8.5,8,8.5,-1,8.4,20121,1411186,Projeto em Computação II,1062332,A,dsc,1
8,8.5,8,-1,8.2,20122,1411186,Projeto em Computação II,1081347,A,dsc,1
9,8,8.5,-1,8.5,20122,1411186,Projeto em Computação II,1081684,A,dsc,1
7.5,8.8,6,-1,7.4,20122,1411186,Projeto em Computação II,1101236,A,dsc,1
7.5,8.8,6,-1,7.4,20122,1411186,Projeto em Computação II,1111137,A,dsc,1
8.5,8.8,6,-1,7.8,20122,1411186,Projeto em Computação II,1101481,A,dsc,1
8,8.5,8,-1,8.2,20122,1411186,Projeto em Computação II,108278,A,dsc,1
8,8.5,8,-1,8.2,20122,1411186,Projeto em Computação II,1082444,A,dsc,1
8,8.5,8,-1,8.2,20122,1411186,Projeto em Computação II,1082314,A,dsc,1
7,8.8,6,-1,7.3,20122,1411186,Projeto em Computação II,1101771,A,dsc,1
8.5,8.8,6,-1,7.8,20122,1411186,Projeto em Computação II,1072562,A,dsc,1
7.5,8.8,6,-1,7.4,20122,1411186,Projeto em Computação II,1101658,A,dsc,1
8.5,8.05,8.45,-1,8.3,20112,1411186,Projeto em Computação II,1081501,A,dsc,1
8,8.2,8.8,-1,8.3,20112,1411186,Projeto em Computação II,1072506,A,dsc,1
9.5,8.5,8.7,-1,8.9,20112,1411186,Projeto em Computação II,1091431,A,dsc,1
8.5,7.8,8.1,-1,8.1,20112,1411186,Projeto em Computação II,1082278,A,dsc,1
5,6.15,6.7,5,5.6,20112,1411186,Projeto em Computação II,1052409,A,dsc,1
1.5,0,3.4,-1,1.6,20112,1411186,Projeto em Computação II,1111285,R,dsc,2
10,9.5,8.9,-1,9.5,20112,1411186,Projeto em Computação II,1061710,A,dsc,1
7,7.75,8.6,-1,7.8,20112,1411186,Projeto em Computação II,1112733,A,dsc,1
10,10,9.9,-1,10,20112,1411186,Projeto em Computação II,10818,A,dsc,1
7.5,7.5,8.6,-1,7.9,20112,1411186,Projeto em Computação II,110296,A,dsc,1
8.5,8.4,9.2,-1,8.7,20112,1411186,Projeto em Computação II,1081401,A,dsc,1
10,10,9.9,-1,10,20112,1411186,Projeto em Computação II,108180,A,dsc,1
8.25,7.55,8.1,-1,8,20112,1411186,Projeto em Computação II,1081634,A,dsc,1
9,8.3,8.45,-1,8.6,20112,1411186,Projeto em Computação II,1081232,A,dsc,1
9.25,9.25,8.8,-1,9.1,20112,1411186,Projeto em Computação II,1062280,A,dsc,1
9,7.65,6.6,-1,7.8,20112,1411186,Projeto em Computação II,1071193,A,dsc,1
9.25,9,8.9,-1,9.1,20112,1411186,Projeto em Computação II,1062649,A,dsc,1
8.25,8.1,8.7,-1,8.4,20112,1411186,Projeto em Computação II,1062205,A,dsc,1
8.25,8.1,8.7,-1,8.4,20112,1411186,Projeto em Computação II,1062716,A,dsc,1
7,7,8.6,-1,7.5,20112,1411186,Projeto em Computação II,111164,A,dsc,1
8.5,8.1,8.7,-1,8.4,20112,1411186,Projeto em Computação II,1062185,A,dsc,1
4.5,3.5,0,-1,2.7,20112,1411186,Projeto em Computação II,110152,R,dsc,2
6.75,7.15,7.45,-1,7.1,20112,1411186,Projeto em Computação II,1111258,A,dsc,1
9.75,9,8.9,-1,9.2,20112,1411186,Projeto em Computação II,1071149,A,dsc,1
8,8.7,8.8,-1,8.5,20112,1411186,Projeto em Computação II,1072623,A,dsc,1
8.75,8.05,8.1,-1,8.3,20112,1411186,Projeto em Computação II,1081362,A,dsc,1
8.5,8.5,8.7,-1,8.6,20112,1411186,Projeto em Computação II,107219,A,dsc,1
8,8.7,8.8,-1,8.5,20112,1411186,Projeto em Computação II,1072547,A,dsc,1
9.25,9.25,8.8,-1,9.1,20112,1411186,Projeto em Computação II,1072532,A,dsc,1
9.25,9.25,8.8,-1,9.1,20112,1411186,Projeto em Computação II,1072670,A,dsc,1
10,10,9.9,-1,10,20112,1411186,Projeto em Computação II,1081279,A,dsc,1
9.5,8.5,8.7,-1,8.9,20112,1411186,Projeto em Computação II,1092762,A,dsc,1
8.5,8.4,9.2,-1,8.7,20112,1411186,Projeto em Computação II,108181,A,dsc,1
5,6.15,6.7,5,5.6,20112,1411186,Projeto em Computação II,1052306,A,dsc,1
9.2,9.2,9.7,-1,9.4,20112,1411186,Projeto em Computação II,1092435,A,dsc,1
9.2,9.2,9.7,-1,9.4,20112,1411186,Projeto em Computação II,1081428,A,dsc,1
8.5,8.4,9.2,-1,8.7,20112,1411186,Projeto em Computação II,1081356,A,dsc,1
9.2,9.45,9.7,-1,9.5,20112,1411186,Projeto em Computação II,1081648,A,dsc,1
7.75,7.9,7.45,-1,7.7,20112,1411186,Projeto em Computação II,1111485,A,dsc,1
8,8.7,8.8,-1,8.5,20112,1411186,Projeto em Computação II,1051730,A,dsc,1
8.25,8.1,8.7,-1,8.4,20112,1411186,Projeto em Computação II,1062738,A,dsc,1
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,1111585,A,dme,3
8,10,3,-1,7,20111,1108090,Fundamentos de Física Moderna,1111645,A,dme,3
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,1101787,A,dme,3
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,1101216,A,dme,3
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,1072331,A,dme,3
9,10,6.5,-1,8.5,20111,1108090,Fundamentos de Física Moderna,1101481,A,dme,3
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,1101175,A,dme,3
10,9,7.5,-1,8.8,20111,1108090,Fundamentos de Física Moderna,1082146,A,dme,3
10,10,7.5,-1,9.2,20111,1108090,Fundamentos de Física Moderna,1101452,A,dme,3
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,1101698,A,dme,3
10,10,6.5,-1,8.8,20111,1108090,Fundamentos de Física Moderna,1091731,A,dme,3
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,1101667,A,dme,3
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,1101783,A,dme,3
10,10,9,-1,9.7,20111,1108090,Fundamentos de Física Moderna,1092405,A,dme,3
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1091166,A,dme,3
10,10,8,-1,9.3,20111,1108090,Fundamentos de Física Moderna,1111281,A,dme,3
10,10,2.5,-1,7.5,20111,1108090,Fundamentos de Física Moderna,1101223,A,dme,3
10,9,5,-1,8,20111,1108090,Fundamentos de Física Moderna,1091395,A,dme,3
10,10,4,-1,8,20111,1108090,Fundamentos de Física Moderna,1101537,A,dme,3
10,10,9.5,-1,9.8,20111,1108090,Fundamentos de Física Moderna,1092427,A,dme,3
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1111241,A,dme,3
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1111504,A,dme,3
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1092553,A,dme,3
10,9,7.5,-1,8.8,20111,1108090,Fundamentos de Física Moderna,1091699,A,dme,3
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1092711,A,dme,3
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,1081142,A,dme,3
10,10,6.5,-1,8.8,20111,1108090,Fundamentos de Física Moderna,1101151,A,dme,3
9,10,6,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1092107,A,dme,3
9,10,10,-1,9.7,20111,1108090,Fundamentos de Física Moderna,110158,A,dme,3
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1101334,A,dme,3
9,10,10,-1,9.7,20111,1108090,Fundamentos de Física Moderna,1101192,A,dme,3
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,110140,A,dme,3
10,9,5,-1,8,20111,1108090,Fundamentos de Física Moderna,10914,A,dme,3
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,1101183,A,dme,3
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,110148,A,dme,3
9,10,6,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1101772,A,dme,3
10,9,5,-1,8,20111,1108090,Fundamentos de Física Moderna,1082624,A,dme,3
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,1101657,A,dme,3
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,1101399,A,dme,3
10,10,7,-1,9,20111,1108090,Fundamentos de Física Moderna,1101686,A,dme,3
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,110192,A,dme,3
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1101720,A,dme,3
9,10,8.5,-1,9.2,20111,1108090,Fundamentos de Física Moderna,110120,A,dme,3
10,10,7.5,-1,9.2,20111,1108090,Fundamentos de Física Moderna,1092235,A,dme,3
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,1092119,A,dme,3
10,10,7.5,-1,9.2,20111,1108090,Fundamentos de Física Moderna,1092424,A,dme,3
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,110167,A,dme,3
10,10,6,-1,8.7,20111,1108090,Fundamentos de Física Moderna,1111124,A,dme,3
9,10,9,-1,9.3,20111,1108090,Fundamentos de Física Moderna,1101703,A,dme,3
10,10,9,-1,9.7,20111,1108090,Fundamentos de Física Moderna,1091381,A,dme,3
10,10,10,-1,10,20111,1108090,Fundamentos de Física Moderna,1101729,A,dme,3
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1092143,A,dme,3
9,10,9.5,-1,9.5,20111,1108090,Fundamentos de Física Moderna,109210,A,dme,3
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1092260,A,dme,3
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1111240,A,dme,3
9,10,6,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1091269,A,dme,3
10,10,3,-1,7.7,20111,1108090,Fundamentos de Física Moderna,1072597,A,dme,3
10,10,5,-1,8.3,20111,1108090,Fundamentos de Física Moderna,1101407,A,dme,3
10,10,4.5,-1,8.2,20111,1108090,Fundamentos de Física Moderna,1101794,A,dme,3
9,10,5,-1,8,20111,1108090,Fundamentos de Física Moderna,1101549,A,dme,3
5,5,6,0,3.2,20121,1108090,Fundamentos de Física Moderna,1091618,R,dme,4
8.3,7.3,8.5,-1,8,20121,1108090,Fundamentos de Física Moderna,1111592,A,dme,3
5,6.8,6,3.6,5,20121,1108090,Fundamentos de Física Moderna,1121500,A,dme,3
10,8.5,9,-1,9.2,20121,1108090,Fundamentos de Física Moderna,1111704,A,dme,3
7.5,8.5,9,-1,8.3,20121,1108090,Fundamentos de Física Moderna,1111421,A,dme,3
6,6.2,9,-1,7.1,20121,1108090,Fundamentos de Física Moderna,1111410,A,dme,3
10,7.5,9,-1,8.8,20121,1108090,Fundamentos de Física Moderna,1111495,A,dme,3
8.8,7,8,-1,7.9,20121,1108090,Fundamentos de Física Moderna,1111287,A,dme,3
10,9.5,8,-1,9.2,20121,1108090,Fundamentos de Física Moderna,1111350,A,dme,3
9.3,8,8.5,-1,8.6,20121,1108090,Fundamentos de Física Moderna,1111140,A,dme,3
8.5,8,9,-1,8.5,20121,1108090,Fundamentos de Física Moderna,1111390,A,dme,3
9.5,8.3,9,-1,8.9,20121,1108090,Fundamentos de Física Moderna,1101374,A,dme,3
5,5,9,5,5.8,20121,1108090,Fundamentos de Física Moderna,1092765,A,dme,3
6,7.5,9,-1,7.5,20121,1108090,Fundamentos de Física Moderna,1101573,A,dme,3
9,9.3,9,-1,9.1,20121,1108090,Fundamentos de Física Moderna,1111397,A,dme,3
10,8,9,-1,9,20121,1108090,Fundamentos de Física Moderna,1111571,A,dme,3
8.5,8.8,9,-1,8.8,20121,1108090,Fundamentos de Física Moderna,1102776,A,dme,3
6,6,9,-1,7,20121,1108090,Fundamentos de Física Moderna,1101320,A,dme,3
5.5,7,9,-1,7.2,20121,1108090,Fundamentos de Física Moderna,1111249,A,dme,3
7.5,9.3,8,-1,8.3,20121,1108090,Fundamentos de Física Moderna,1102115,A,dme,3
6.8,9,9,-1,8.3,20121,1108090,Fundamentos de Física Moderna,1102315,A,dme,3
6.3,7.5,9,-1,7.6,20121,1108090,Fundamentos de Física Moderna,1101454,A,dme,3
7.5,7.5,9,-1,8,20121,1108090,Fundamentos de Física Moderna,1112295,A,dme,3
9,6.2,9,-1,8.1,20121,1108090,Fundamentos de Física Moderna,1111242,A,dme,3
5,0,8,6,5,20121,1108090,Fundamentos de Física Moderna,1101168,A,dme,3
10,10,10,-1,10,20121,1108090,Fundamentos de Física Moderna,1121155,A,dme,3
5,7,9,-1,7,20121,1108090,Fundamentos de Física Moderna,1121767,A,dme,3
0,0,4,-1,1.3,20121,1108090,Fundamentos de Física Moderna,1121545,R,dme,4
6,5,8,3,5,20121,1108090,Fundamentos de Física Moderna,1101145,A,dme,3
10,9.3,8,-1,9.1,20121,1108090,Fundamentos de Física Moderna,1111493,A,dme,3
6.5,9,9,-1,8.2,20121,1108090,Fundamentos de Física Moderna,1102655,A,dme,3
10,9.5,7,-1,8.8,20121,1108090,Fundamentos de Física Moderna,1111479,A,dme,3
5,5,8,5,5.6,20121,1108090,Fundamentos de Física Moderna,1121757,A,dme,3
10,8.8,4,-1,7.6,20121,1108090,Fundamentos de Física Moderna,1111712,A,dme,3
10,9.5,9,-1,9.5,20121,1108090,Fundamentos de Física Moderna,1111594,A,dme,3
5.5,5,9,7.5,6.9,20121,1108090,Fundamentos de Física Moderna,1121682,A,dme,3
9.3,9.3,9,-1,9.2,20121,1108090,Fundamentos de Física Moderna,1092352,A,dme,3
5,5,8,6,6,20121,1108090,Fundamentos de Física Moderna,112176,A,dme,3
5,8.8,8.5,-1,7.4,20121,1108090,Fundamentos de Física Moderna,1112133,A,dme,3
8,8,9,-1,8.3,20121,1108090,Fundamentos de Física Moderna,1111167,A,dme,3
7.5,5,9,-1,7.2,20121,1108090,Fundamentos de Física Moderna,1101691,A,dme,3
7,8.3,8,-1,7.8,20121,1108090,Fundamentos de Física Moderna,1102178,A,dme,3
9,10,10,-1,9.7,20122,1108090,Fundamentos de Física Moderna,1091618,A,dme,3
9,10,9,-1,9.3,20122,1108090,Fundamentos de Física Moderna,1102580,A,dme,3
8,9,9,-1,8.7,20122,1108090,Fundamentos de Física Moderna,1111164,A,dme,3
8,9,9,-1,8.7,20122,1108090,Fundamentos de Física Moderna,1112261,A,dme,3
9,10,9,-1,9.3,20122,1108090,Fundamentos de Física Moderna,1102453,A,dme,3
9,9,9,-1,9,20122,1108090,Fundamentos de Física Moderna,1111264,A,dme,3
9,10,9,-1,9.3,20122,1108090,Fundamentos de Física Moderna,110245,A,dme,3
9,9,9,-1,9,20122,1108090,Fundamentos de Física Moderna,1092706,A,dme,3
9,10,10,-1,9.7,20122,1108090,Fundamentos de Física Moderna,1121545,A,dme,3
8,9,9,-1,8.7,20122,1108090,Fundamentos de Física Moderna,1112782,A,dme,3
10,10,9.5,-1,9.8,20122,1108090,Fundamentos de Física Moderna,1121728,A,dme,3
10,10,9.5,-1,9.8,20122,1108090,Fundamentos de Física Moderna,1111456,A,dme,3
9,9,9,-1,9,20122,1108090,Fundamentos de Física Moderna,1111116,A,dme,3
9,9,9,-1,9,20122,1108090,Fundamentos de Física Moderna,1111737,A,dme,3
9,10,10,-1,9.7,20122,1108090,Fundamentos de Física Moderna,1112761,A,dme,3
7.5,8.5,9.5,-1,8.5,20112,1108090,Fundamentos de Física Moderna,1102106,A,dme,3
6.3,9.5,9.2,-1,8.3,20112,1108090,Fundamentos de Física Moderna,1102664,A,dme,3
6.3,9,9,-1,8.1,20112,1108090,Fundamentos de Física Moderna,1091238,A,dme,3
7.5,6.9,9,-1,7.8,20112,1108090,Fundamentos de Física Moderna,1102490,A,dme,3
6.5,5,9.4,-1,7,20112,1108090,Fundamentos de Física Moderna,1112333,A,dme,3
10,8,6.5,-1,8.2,20112,1108090,Fundamentos de Física Moderna,109174,A,dme,3
6.3,6.7,8.4,-1,7.1,20112,1108090,Fundamentos de Física Moderna,1111600,A,dme,3
6.2,9.5,9,-1,8.2,20112,1108090,Fundamentos de Física Moderna,1092335,A,dme,3
6.2,9,8.5,-1,7.9,20112,1108090,Fundamentos de Física Moderna,110218,A,dme,3
7.5,9.6,10,-1,9,20112,1108090,Fundamentos de Física Moderna,1101515,A,dme,3
5,8.5,8.7,-1,7.4,20112,1108090,Fundamentos de Física Moderna,1101275,A,dme,3
6.3,8.2,9.5,-1,8,20112,1108090,Fundamentos de Física Moderna,1102705,A,dme,3
8.1,9.1,8.8,-1,8.7,20112,1108090,Fundamentos de Física Moderna,1102122,A,dme,3
6.3,9.7,8.8,-1,8.3,20112,1108090,Fundamentos de Física Moderna,1102677,A,dme,3
6.5,9.7,8.5,-1,8.2,20112,1108090,Fundamentos de Física Moderna,1102377,A,dme,3
6.2,8.5,8,-1,7.6,20112,1108090,Fundamentos de Física Moderna,110156,A,dme,3
7.5,10,7.5,-1,8.3,20112,1108090,Fundamentos de Física Moderna,1101749,A,dme,3
