"disciplina" "matricula" "periodo" "competencia" "media"
"Administracao" "1052181" "2012.1" "20" "7.9"
"Administracao" "1071209" "2011.2" "50" "8.2"
"Administracao" "107296" "2012.2" "30" "8.5"
"Administracao" "1072460" "2012.2" "50" "8"
"Administracao" "1072624" "2012.1" "0" "8.7"
"Administracao" "1072480" "2011.1" "40" "7.3"
"Administracao" "1081539" "2012.2" "10" "9.7"
"Administracao" "1081672" "2011.1" "60" "6.3"
"Administracao" "108138" "2012.2" "0" "10"
"Administracao" "1081467" "2011.2" "80" "7.5"
"Administracao" "1082497" "2011.1" "10" "8.5"
"Administracao" "1082751" "2012.1" "10" "8.2"
"Administracao" "108267" "2011.1" "40" "7.3"
"Administracao" "1091768" "2011.1" "10" "8.3"
"Administracao" "1091623" "2011.1" "70" "5.4"
"Administracao" "1091131" "2011.1" "80" "5"
"Administracao" "1091769" "2011.1" "20" "8"
"Administracao" "1091691" "2011.1" "10" "8.5"
"Administracao" "1091230" "2011.1" "50" "6.4"
"Administracao" "1091598" "2011.1" "30" "7.8"
"Administracao" "109170" "2011.1" "90" "4.3"
"Administracao" "1092380" "2011.1" "20" "8.1"
"Administracao" "1092212" "2011.1" "30" "7.8"
"Administracao" "1092258" "2011.1" "50" "7.2"
"Administracao" "1092352" "2011.1" "0" "9.7"
"Administracao" "1092794" "2011.1" "30" "7.8"
"Administracao" "1092355" "2011.1" "10" "8.5"
"Administracao" "1092675" "2011.1" "80" "5.1"
"Administracao" "11012" "2011.1" "40" "7.5"
"Administracao" "1101220" "2012.2" "60" "7.7"
"Administracao" "1101566" "2011.1" "90" "3.8"
"Administracao" "110251" "2011.2" "70" "8"
"Administracao" "1102454" "2011.2" "70" "8"
"Administracao" "1102538" "2011.2" "30" "8.3"
"Administracao" "1102147" "2012.1" "70" "5.3"
"Administracao" "1102677" "2012.1" "60" "6.2"
"Administracao" "1111234" "2012.1" "40" "7"
"Administracao" "1111225" "2012.2" "50" "8"
"Administracao" "1111654" "2012.1" "40" "7"
"Administracao" "1111519" "2012.1" "30" "7.3"
"Administracao" "111115" "2011.1" "60" "5.5"
"Administracao" "1111487" "2011.2" "0" "9.3"
"Administracao" "1111154" "2012.1" "90" "2.4"
"Administracao" "1112622" "2011.2" "20" "9"
"Administracao" "1112337" "2012.2" "60" "7.9"
"Administracao" "1112214" "2012.1" "80" "2.7"
"Administracao" "1112114" "2012.1" "40" "7"
"Administracao" "1112746" "2012.2" "70" "7"
"Administracao" "1112783" "2012.2" "40" "8.1"
"Administracao" "1112620" "2012.2" "70" "7"
"Administracao" "1112250" "2012.2" "60" "7.7"
"Administracao" "1112585" "2012.2" "90" "4.4"
"Administracao" "1121731" "2012.2" "20" "9"
"Administracao" "1121451" "2012.2" "50" "8"
"Administracao" "112175" "2012.2" "20" "9"
"Administracao" "1121224" "2012.2" "90" "5"
"Administracao" "1121740" "2012.2" "10" "9.3"
"Administracao" "1121474" "2012.2" "80" "5.7"
"Administracao" "1122482" "2012.2" "40" "8.3"
"Algebra Linear" "109170" "2012.1" "80" "2.3"
"Algebra Linear" "109170" "2012.2" "70" "3"
"Algebra Linear" "1092794" "2011.2" "80" "0.9"
"Algebra Linear" "1092794" "2012.1" "30" "5.5"
"Algebra Linear" "1102454" "2012.2" "30" "5.5"
"Algebra Linear" "1102538" "2012.2" "50" "3.9"
"Algebra Linear" "1111225" "2011.2" "10" "7.4"
"Algebra Linear" "1111519" "2012.2" "0" "8.3"
