matricula,Projeto em Computação II,Álgebra Linear,Álgebra Vetorial e Geometria Analítica,Análise e Técnicas de Algoritmos,Avaliação de Desempenho de Sistemas Discretos,Banco de Dados I,Banco de Dados II,Cálculo Diferencial e Integral I,Cálculo Diferencial e Integral II,Compiladores,Direito e Cidadania,Engenharia de Software I,Estruturas de Dados e Algoritmos,Fundamentos de Física Clássica,Fundamentos de Física Moderna,Gerência da Informação,Informática e Sociedade,Inteligência Artificial I,Interconexão de Redes de Computadores,Introdução à Computação,Lab. de Engenharia de Software,Lab. de Estruturas de Dados e Algoritmos,Lab. de Interconexão de Redes de Computadores,Lab. de Organização e Arquitetura de Computadores,Lab. de Programação I,Lab. de Programação II,Leitura e Produção de Textos,Lógica Matemática,Matemática Discreta,Metodologia Científica,Métodos e Software Numéricos,Métodos Estatísticos,Organização e Arquitetura de Computadores,Paradigmas de Linguagem de Programação,Probabilidade e Estatística,Programação I,Programação II,Projeto em Computação I,Redes de Computadores,Sistemas de Informação I,Sistemas de Informação II,Sistemas Operacionais,Teoria da Computação,Teoria dos Grafos,
107110610,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,
107110012,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
106210601,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
106210600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
107110031,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
111110902,1.6,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
106210596,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
106110120,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,
107110563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
106110125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
107110017,NA,NA,NA,NA,7.0,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
107110001,NA,NA,NA,NA,7.0,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
107110021,NA,NA,NA,NA,7.0,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
110110100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,5.0,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,5.0,NA,NA,
107110028,NA,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
106210157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
107110005,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
106210167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
107110014,NA,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
107110035,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
107210004,NA,NA,NA,NA,9.7,7.9,6.4,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,8.5,7.6,NA,8.4,NA,7.6,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,8.0,7.8,NA,NA,NA,NA,NA,
107210007,NA,NA,NA,NA,7.7,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,7.0,NA,9.8,NA,7.0,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,6.5,NA,NA,
104210032,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,7.0,7.0,NA,8.4,NA,7.0,NA,NA,NA,NA,NA,NA,NA,5.4,6.6,NA,NA,NA,NA,NA,8.0,7.0,NA,NA,5.7,NA,NA,
108110031,NA,NA,NA,NA,8.4,NA,7.1,NA,NA,7.5,9.8,NA,NA,NA,NA,NA,NA,8.4,7.6,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,9.2,8.7,NA,NA,9.0,NA,NA,
108110018,NA,NA,NA,NA,8.7,NA,7.7,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,8.3,8.9,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,
108110034,NA,NA,NA,NA,8.5,NA,6.7,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,8.2,7.5,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,
108110015,NA,NA,NA,NA,7.1,NA,7.0,NA,NA,6.5,9.8,NA,NA,NA,NA,NA,NA,8.2,7.4,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,8.2,7.0,NA,NA,7.8,NA,NA,
108210200,NA,NA,NA,NA,10.0,NA,8.6,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,9.3,8.1,NA,8.8,NA,8.1,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,8.5,8.9,NA,NA,8.9,NA,NA,
108110016,NA,NA,NA,NA,7.1,7.4,6.0,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,8.0,6.3,NA,9.8,NA,6.3,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,8.5,6.8,NA,NA,5.2,NA,NA,
