"matricula" "media" "periodo" "posicao"
"041211" "7.4" "041" "1"
"051442" "7.64" "051" "1"
"052368" "6.53" "052" "1"
"052763" "6.12" "052" "2"
"052609" "6.08" "052" "3"
"061528" "7.82" "061" "1"
"061761" "7.4" "061" "2"
"061782" "6.5" "061" "3"
"061740" "0" "061" "4"
"06231" "9.25" "062" "1"
"062537" "8.55" "062" "2"
"062275" "8.5" "062" "3"
"062437" "8.41" "062" "4"
"062611" "8.08" "062" "5"
"062131" "7.9" "062" "6"
"062120" "7.84" "062" "7"
"062450" "7.68" "062" "8"
"062234" "7.34" "062" "9"
"062347" "7.3" "062" "10"
"062789" "7.09" "062" "11"
"062221" "6.96" "062" "12"
"062674" "6.73" "062" "13"
"06219" "6.62" "062" "14"
"071794" "8.82" "071" "1"
"071122" "8.7" "071" "2"
"071389" "8.65" "071" "3"
"071566" "8.54" "071" "4"
"071779" "8.5" "071" "5"
"071627" "8.27" "071" "6"
"071176" "8.15" "071" "7"
"071191" "8.14" "071" "8"
"071500" "8.13" "071" "9"
"071619" "8.12" "071" "10"
"071543" "7.97" "071" "11"
"07135" "7.87" "071" "12"
"07195" "7.86" "071" "13"
"071222" "7.4" "071" "14"
"07144" "7.34" "071" "15"
"071677" "6.91" "071" "16"
"071573" "6.9" "071" "17"
"07173" "6.88" "071" "18"
"071476" "6.44" "071" "19"
"072133" "8.57" "072" "1"
"072626" "8.52" "072" "2"
"072632" "8.47" "072" "3"
"072326" "8.44" "072" "4"
"07281" "8.34" "072" "5"
"072703" "8.2" "072" "6"
"072540" "8.02" "072" "7"
"072382" "7.89" "072" "8"
"072239" "7.8" "072" "9"
"072584" "7.7" "072" "10"
"072654" "6.9" "072" "11"
"072501" "6.86" "072" "12"
"07243" "6.77" "072" "13"
"072624" "6.53" "072" "14"
"072282" "6.39" "072" "15"
"072201" "5.54" "072" "16"
"072582" "5.17" "072" "17"
"072182" "2.56" "072" "18"
"081228" "9.46" "081" "1"
"081119" "9.25" "081" "2"
"08182" "8.97" "081" "3"
"081493" "8.9" "081" "4"
"081183" "8.87" "081" "5"
"081706" "8.59" "081" "6"
"081432" "8.53" "081" "7"
"08141" "8.5" "081" "8"
"081352" "8.47" "081" "9"
"081691" "8.46" "081" "10"
"081279" "8.45" "081" "11"
"081666" "8.45" "081" "12"
"081484" "8.34" "081" "13"
"081766" "8.22" "081" "14"
"081281" "8.21" "081" "15"
"081513" "8.14" "081" "16"
"081617" "8.08" "081" "17"
"081143" "8.04" "081" "18"
"081349" "8.02" "081" "19"
"081700" "8.01" "081" "20"
"081499" "7.93" "081" "21"
"081252" "7.83" "081" "22"
"08169" "7.81" "081" "23"
"081331" "7.68" "081" "24"
"081554" "7.45" "081" "25"
"081607" "7.34" "081" "26"
"081348" "0" "081" "27"
"082385" "8.59" "082" "1"
"082597" "8.53" "082" "2"
"082524" "8.34" "082" "3"
"08290" "8.32" "082" "4"
"08210" "7.97" "082" "5"
"082194" "7.82" "082" "6"
"082350" "7.75" "082" "7"
"082670" "7.7" "082" "8"
"082157" "7.55" "082" "9"
"082327" "7.52" "082" "10"
"082196" "7.44" "082" "11"
"082744" "7.43" "082" "12"
"08250" "7.36" "082" "13"
"082207" "7.18" "082" "14"
"082606" "7.13" "082" "15"
"082710" "6.91" "082" "16"
"082288" "6.86" "082" "17"
"082614" "5.49" "082" "18"
"082775" "4.62" "082" "19"
"091286" "8.65" "091" "1"
"09128" "8.62" "091" "2"
"09152" "8.61" "091" "3"
"091593" "8.51" "091" "4"
"091328" "8.47" "091" "5"
"091293" "8.45" "091" "6"
"091792" "7.8" "091" "7"
"091620" "7.77" "091" "8"
"091141" "7.76" "091" "9"
"09139" "7.74" "091" "10"
"091185" "7.54" "091" "11"
"091615" "7.53" "091" "12"
"091669" "7.52" "091" "13"
"091149" "7.47" "091" "14"
"091733" "7.42" "091" "15"
"091715" "7.36" "091" "16"
"091562" "7.35" "091" "17"
"091112" "7.33" "091" "18"
