"disciplina" "matricula" "periodo" "competencia" "media"
"Administracao" "052135" "2012.1" "20" "7.9"
"Administracao" "071222" "2011.2" "50" "8.2"
"Administracao" "072703" "2012.2" "30" "8.5"
"Administracao" "072540" "2012.2" "50" "8"
"Administracao" "07243" "2012.1" "0" "8.7"
"Administracao" "072182" "2011.1" "40" "7.3"
"Administracao" "081513" "2012.2" "10" "9.7"
"Administracao" "081434" "2011.1" "60" "6.3"
"Administracao" "081700" "2012.2" "0" "10"
"Administracao" "081331" "2011.2" "80" "7.5"
"Administracao" "082181" "2011.1" "10" "8.5"
"Administracao" "082350" "2012.1" "10" "8.2"
"Administracao" "082710" "2011.1" "40" "7.3"
"Administracao" "091733" "2011.1" "10" "8.3"
"Administracao" "091417" "2011.1" "70" "5.4"
"Administracao" "09199" "2011.1" "80" "5"
"Administracao" "091486" "2011.1" "20" "8"
"Administracao" "091293" "2011.1" "10" "8.5"
"Administracao" "091141" "2011.1" "50" "6.4"
"Administracao" "091764" "2011.1" "30" "7.8"
"Administracao" "091692" "2011.1" "90" "4.3"
"Administracao" "092768" "2011.1" "20" "8.1"
"Administracao" "09215" "2011.1" "30" "7.8"
"Administracao" "092641" "2011.1" "50" "7.2"
"Administracao" "092377" "2011.1" "0" "9.7"
"Administracao" "092477" "2011.1" "30" "7.8"
"Administracao" "092571" "2011.1" "10" "8.5"
"Administracao" "092752" "2011.1" "80" "5.1"
"Administracao" "101255" "2011.1" "40" "7.5"
"Administracao" "101299" "2012.2" "60" "7.7"
"Administracao" "101264" "2011.1" "90" "3.8"
"Administracao" "102306" "2011.2" "70" "8"
"Administracao" "10245" "2011.2" "70" "8"
"Administracao" "102173" "2011.2" "30" "8.3"
"Administracao" "102342" "2012.1" "70" "5.3"
"Administracao" "102313" "2012.1" "60" "6.2"
"Administracao" "11137" "2012.1" "40" "7"
"Administracao" "111190" "2012.2" "50" "8"
"Administracao" "111588" "2012.1" "40" "7"
"Administracao" "111512" "2012.1" "30" "7.3"
"Administracao" "111638" "2011.1" "60" "5.5"
"Administracao" "111693" "2011.2" "0" "9.3"
"Administracao" "111307" "2012.1" "90" "2.4"
"Administracao" "1121" "2011.2" "20" "9"
"Administracao" "112137" "2012.2" "60" "7.9"
"Administracao" "112481" "2012.1" "80" "2.7"
"Administracao" "112356" "2012.1" "40" "7"
"Administracao" "112578" "2012.2" "70" "7"
"Administracao" "112406" "2012.2" "40" "8.1"
"Administracao" "11254" "2012.2" "70" "7"
"Administracao" "112742" "2012.2" "60" "7.7"
"Administracao" "112791" "2012.2" "90" "4.4"
"Administracao" "121746" "2012.2" "20" "9"
"Administracao" "121415" "2012.2" "50" "8"
"Administracao" "121421" "2012.2" "20" "9"
"Administracao" "121225" "2012.2" "90" "5"
"Administracao" "121266" "2012.2" "10" "9.3"
"Administracao" "121750" "2012.2" "80" "5.7"
"Administracao" "122124" "2012.2" "40" "8.3"
"Algebra Linear" "091692" "2012.1" "80" "2.3"
"Algebra Linear" "091692" "2012.2" "70" "3"
"Algebra Linear" "092477" "2011.2" "80" "0.9"
"Algebra Linear" "092477" "2012.1" "30" "5.5"
"Algebra Linear" "10245" "2012.2" "30" "5.5"
"Algebra Linear" "102173" "2012.2" "50" "3.9"
"Algebra Linear" "111190" "2011.2" "10" "7.4"
"Algebra Linear" "111512" "2012.2" "0" "8.3"
"Algebra Linear" "111693" "2011.1" "50" "5"
"Algebra Linear" "112578" "2012.2" "90" "0.8"
"Algebra Linear" "082614" "2011.1" "30" "5.6"
"Algebra Linear" "082775" "2011.2" "50" "4"
"Algebra Linear" "091562" "2011.2" "30" "5.7"
"Algebra Linear" "091659" "2011.1" "100" "0.2"
"Algebra Linear" "091659" "2011.2" "60" "2.8"
"Algebra Linear" "092786" "2011.2" "80" "1.3"
"Algebra Linear" "092552" "2011.2" "40" "5.1"
"Algebra Linear" "092117" "2011.1" "10" "7.2"
"Algebra Linear" "09211" "2011.1" "30" "5.6"
"Algebra Linear" "092335" "2011.2" "50" "4.1"
"Algebra Linear" "09275" "2011.2" "70" "2.7"
"Algebra Linear" "09275" "2012.1" "30" "5.6"
"Algebra Linear" "092533" "2011.2" "0" "8.2"
"Algebra Linear" "092153" "2011.1" "10" "7.4"
"Algebra Linear" "0923" "2011.1" "40" "5.3"
"Algebra Linear" "092665" "2011.1" "90" "1.4"
"Algebra Linear" "092665" "2011.2" "20" "7.3"
"Algebra Linear" "101144" "2011.1" "30" "6.5"
"Algebra Linear" "101523" "2011.2" "40" "5"
"Algebra Linear" "101339" "2011.2" "20" "7"
"Algebra Linear" "10130" "2012.1" "10" "7.3"
"Algebra Linear" "101132" "2011.1" "40" "5.2"
"Algebra Linear" "101461" "2011.2" "70" "2.7"
"Algebra Linear" "101329" "2011.1" "20" "7"
"Algebra Linear" "101241" "2011.1" "80" "1.7"
"Algebra Linear" "101241" "2011.2" "10" "7.5"
"Algebra Linear" "101701" "2011.1" "80" "3"
"Algebra Linear" "10194" "2011.2" "0" "8.2"
"Algebra Linear" "101431" "2011.1" "50" "5"
"Algebra Linear" "10121" "2011.1" "50" "4.3"
"Algebra Linear" "101192" "2011.1" "30" "5.6"
"Algebra Linear" "10188" "2011.1" "60" "3.6"
"Algebra Linear" "10188" "2011.2" "40" "5.1"
"Algebra Linear" "101483" "2011.1" "20" "7.1"
"Algebra Linear" "101496" "2011.2" "0" "8.2"
"Algebra Linear" "101136" "2011.1" "30" "5.8"
"Algebra Linear" "101240" "2012.1" "60" "3.6"
"Algebra Linear" "10117" "2012.1" "0" "8.2"
"Algebra Linear" "101324" "2011.2" "70" "2.5"
"Algebra Linear" "10161" "2011.1" "60" "4.2"
"Algebra Linear" "10161" "2012.1" "40" "5.3"
"Algebra Linear" "101724" "2011.1" "0" "8.2"
"Algebra Linear" "101316" "2011.1" "20" "7"
"Algebra Linear" "101508" "2012.1" "40" "5"
"Algebra Linear" "101781" "2011.1" "70" "3.2"
"Algebra Linear" "101781" "2011.2" "30" "5.6"
