"disciplina" "matricula" "competencia"
"Administracao" "105210141" "30"
"Administracao" "107110017" "20"
"Administracao" "107210004" "20"
"Administracao" "107210007" "30"
"Administracao" "107210030" "10"
"Administracao" "107210037" "50"
"Administracao" "108110013" "0"
"Administracao" "108110019" "60"
"Administracao" "108110025" "0"
"Administracao" "108110501" "40"
"Administracao" "108210019" "20"
"Administracao" "108210282" "20"
"Administracao" "108210353" "50"
"Administracao" "109110032" "20"
"Administracao" "109110056" "70"
"Administracao" "109110057" "80"
"Administracao" "109110080" "30"
"Administracao" "109110116" "20"
"Administracao" "109110119" "50"
"Administracao" "109110806" "40"
"Administracao" "109150028" "90"
"Administracao" "109210019" "30"
"Administracao" "109210030" "40"
"Administracao" "109210051" "50"
"Administracao" "109210060" "0"
"Administracao" "109210284" "40"
"Administracao" "109210285" "20"
"Administracao" "109210293" "80"
"Administracao" "110110050" "40"
"Administracao" "110110118" "40"
"Administracao" "110110852" "90"
"Administracao" "110210102" "30"
"Administracao" "110210128" "30"
"Administracao" "110210386" "20"
"Administracao" "110210394" "70"
"Administracao" "110210615" "60"
"Administracao" "111110074" "50"
"Administracao" "111110089" "30"
"Administracao" "111110096" "50"
"Administracao" "111110133" "50"
"Administracao" "111110916" "70"
"Administracao" "111150289" "10"
"Administracao" "111150427" "100"
"Administracao" "111210057" "10"
"Administracao" "111210079" "30"
"Administracao" "111210390" "90"
"Administracao" "111210392" "50"
"Administracao" "111210397" "50"
"Administracao" "111210401" "30"
"Administracao" "111210430" "50"
"Administracao" "111210660" "40"
"Administracao" "111210787" "80"
"Administracao" "112110043" "10"
"Administracao" "112110105" "30"
"Administracao" "112110919" "10"
"Administracao" "112110934" "80"
"Administracao" "112110953" "10"
"Administracao" "112190042" "60"
"Administracao" "112210460" "20"
"Algebra Linear" "109150028" "80"
"Algebra Linear" "109210284" "90"
"Algebra Linear" "110210128" "40"
"Algebra Linear" "110210386" "50"
"Algebra Linear" "111110089" "10"
"Algebra Linear" "111110133" "0"
"Algebra Linear" "111150289" "40"
"Algebra Linear" "111210397" "90"
"Algebra Linear" "108210207" "30"
"Algebra Linear" "108210348" "50"
"Algebra Linear" "109110089" "30"
"Algebra Linear" "109110801" "100"
"Algebra Linear" "109210014" "90"
"Algebra Linear" "109210032" "40"
"Algebra Linear" "109210034" "20"
"Algebra Linear" "109210036" "30"
"Algebra Linear" "109210046" "50"
"Algebra Linear" "109210059" "70"
"Algebra Linear" "109210065" "10"
"Algebra Linear" "109210286" "10"
"Algebra Linear" "109210422" "40"
"Algebra Linear" "109210493" "80"
"Algebra Linear" "110110043" "20"
"Algebra Linear" "110110044" "40"
"Algebra Linear" "110110047" "20"
"Algebra Linear" "110110049" "20"
"Algebra Linear" "110110052" "40"
"Algebra Linear" "110110055" "70"
"Algebra Linear" "110110058" "20"
"Algebra Linear" "110110061" "80"
"Algebra Linear" "110110062" "70"
"Algebra Linear" "110110065" "10"
"Algebra Linear" "110110066" "40"
"Algebra Linear" "110110067" "50"
"Algebra Linear" "110110070" "30"
"Algebra Linear" "110110072" "60"
"Algebra Linear" "110110073" "20"
"Algebra Linear" "110110074" "10"
"Algebra Linear" "110110076" "30"
"Algebra Linear" "110110077" "60"
"Algebra Linear" "110110078" "10"
"Algebra Linear" "110110079" "70"
"Algebra Linear" "110110080" "50"
"Algebra Linear" "110110081" "10"
"Algebra Linear" "110110085" "20"
"Algebra Linear" "110110090" "40"
"Algebra Linear" "110110091" "60"
"Algebra Linear" "110110094" "10"
"Algebra Linear" "110110095" "30"
"Algebra Linear" "110110096" "40"
"Algebra Linear" "110110104" "50"
"Algebra Linear" "110110108" "20"
"Algebra Linear" "110110110" "0"
"Algebra Linear" "110110112" "40"
"Algebra Linear" "110110114" "40"
"Algebra Linear" "110110116" "30"
"Algebra Linear" "110110117" "20"
"Algebra Linear" "110110121" "10"
"Algebra Linear" "110110122" "70"
"Algebra Linear" "110110125" "0"
"Algebra Linear" "110110127" "10"
"Algebra Linear" "110110129" "40"
"Algebra Linear" "110110130" "20"
"Algebra Linear" "110110132" "0"
"Algebra Linear" "110110848" "20"
"Algebra Linear" "110110851" "80"
"Algebra Linear" "110110853" "20"
"Algebra Linear" "110110973" "30"
"Algebra Linear" "110110974" "80"
"Algebra Linear" "110110979" "90"
