"disciplina" "matricula" "competencia"
"Algebra Linear" "110210560" "40"
"Algebra Linear" "111110060" "50"
"Algebra Linear" "111110064" "40"
"Algebra Linear" "111110069" "80"
"Algebra Linear" "111110071" "10"
"Algebra Linear" "111110076" "10"
"Algebra Linear" "111110080" "40"
"Algebra Linear" "111110083" "10"
"Algebra Linear" "111110090" "30"
"Algebra Linear" "111110091" "80"
"Algebra Linear" "111110092" "10"
"Algebra Linear" "111110103" "10"
"Algebra Linear" "111110114" "10"
"Algebra Linear" "111110118" "40"
"Algebra Linear" "111110121" "20"
"Algebra Linear" "111110126" "30"
"Algebra Linear" "111110127" "70"
"Algebra Linear" "111110128" "10"
"Algebra Linear" "111110134" "20"
"Algebra Linear" "111110135" "50"
"Algebra Linear" "111110139" "40"
"Algebra Linear" "111110898" "10"
"Algebra Linear" "111110900" "70"
"Algebra Linear" "111110905" "80"
"Algebra Linear" "111110907" "80"
"Algebra Linear" "111110908" "20"
"Algebra Linear" "111110911" "70"
"Algebra Linear" "111110912" "40"
"Algebra Linear" "111110922" "70"
"Algebra Linear" "111110928" "50"
"Algebra Linear" "111110929" "60"
"Algebra Linear" "111110931" "60"
"Algebra Linear" "111110939" "10"
"Algebra Linear" "111150283" "30"
"Algebra Linear" "111150292" "60"
"Algebra Linear" "111150493" "90"
"Algebra Linear" "111150551" "60"
"Algebra Linear" "111210081" "90"
"Algebra Linear" "111210393" "60"
"Algebra Linear" "111210396" "90"
"Algebra Linear" "111210416" "100"
"Algebra Linear" "111210417" "40"
"Algebra Linear" "111210429" "60"
"Algebra Linear" "111210655" "70"
"Algebra Linear" "111210658" "80"
"Algebra Linear" "111210659" "90"
"Algebra Linear" "111210748" "90"
"Algebra Linear" "111210953" "90"
"Algebra Linear" "112110036" "20"
"Algebra Linear" "112110050" "40"
"Algebra Linear" "112110082" "80"
"Algebra Linear" "112110085" "90"
"Algebra Linear" "112110096" "70"
"Algebra Linear" "112110100" "100"
"Algebra Linear" "112110912" "70"
"Algebra Linear" "112110920" "50"
"Algebra Linear" "112110924" "40"
"Algebra Linear" "112110952" "60"
"Algebra Linear" "112110955" "60"
"Algebra Linear" "112110958" "70"
"Algebra Linear" "112150437" "30"
"Algebra Linear" "112150443" "50"
"Algebra Linear" "112210433" "60"
"Algebra Vetorial e Geometria Analitica" "109210051" "60"
