nota1,nota2,nota3,final,media,disciplina,matricula
8.00,5.80,5.00,5.50,6.00,Álgebra Vetorial e Geometria Analítica,121283
8.65,9.00,9.70,-1.00,9.10,Introdução à Computação,121283
7.70,8.30,9.10,-1.00,8.40,Matemática Discreta,121283
7.00,7.00,7.50,-1.00,7.20,Leitura e Produção de Textos,121283
4.90,4.80,7.50,7.20,6.50,Programação II,121283
7.30,5.50,3.80,4.20,5.00,Álgebra Linear,121283
6.73,8.23,9.00,-1.00,7.60,Programação I,121283
5.50,2.00,1.40,-1.00,3.00,Cálculo Diferencial e Integral I,121283
8.00,8.70,4.80,-1.00,7.20,Cálculo Diferencial e Integral I,121283
6.73,8.23,9.00,-1.00,7.60,Lab. de Programação I,121283
5.50,6.80,5.10,3.50,5.10,Teoria dos Grafos,121283
6.65,7.70,7.15,-1.00,7.00,Lab. de Programação II,121283
9.50,5.20,4.00,8.30,7.00,Estruturas de Dados e Algoritmos,121514
2.00,1.00,1.00,-1.00,1.30,Cálculo Diferencial e Integral II,121514
7.10,6.30,3.90,5.90,5.80,Teoria da Computação,121514
8.30,8.30,2.90,4.30,5.40,Sistemas de Informação I,121514
5.00,4.50,5.50,6.00,5.40,Economia,112110920	
5.00,4.30,3.00,4.00,4.10,Álgebra Linear,121514
6.50,1.50,5.00,6.00,5.00,Álgebra Linear,121514
5.70,10.00,10.00,-1.00,7.00,Lógica Matemática,121514
7.30,10.00,10.00,-1.00,9.10,Sociologia Industrial I,121514
4.30,5.80,10.00,4.50,5.60,Lab. de Estruturas de Dados e Algoritmos,121514
0.00,0.00,8.00,-1.00,2.70,Banco de Dados I,121246
6.80,9.00,7.90,-1.00,7.90,Paradigmas de Linguagem de Programação,121246
6.30,1.70,3.20,-1.00,3.70,TECC (Algoritmos Avançados III),121246
4.50,0.00,0.00,-1.00,2.90,Sistemas de Informação II,121246
8.40,7.50,7.90,-1.00,7.90,TECC(Empreendedorismo em Software)   ,121246
0.00,2.10,1.90,-1.00,1.60,TEC (Princípios de Administração Financeira),121246
7.80,7.80,2.90,5.00,5.50,Sistemas de Informação I,121246
0.00,1.60,0.00,-1.00,0.50,Fundamentos de Física Clássica,121246
4.50,3.50,1.00,-1.00,3.00,Fundamentos de Física Clássica,121246
5.70,4.20,5.30,7.80,6.30,Lógica Matemática,121246
2.50,5.00,4.50,-1.00,2.40,Álgebra Vetorial e Geometria Analítica,121334
2.10,0.00,0.00,-1.00,0.70,Matemática Discreta,121334
7.00,7.00,7.50,-1.00,7.20,Leitura e Produção de Textos,121334
5.90,8.60,5.80,-1.00,7.10,Programação I,121334
0.00,3.70,0.00,-1.00,1.20,Cálculo Diferencial e Integral I,121334
5.90,8.60,5.80,-1.00,7.10,Lab. de Programação I,121334
7.65,7.50,7.00,-1.00,7.50,Introdução à Computação,121334
0.00,1.50,0.00,-1.00,0.40,Estruturas de Dados e Algoritmos,102342
9.00,9.00,9.00,-1.00,9.00,Informática e Sociedade,102342
3.30,4.90,8.30,2.50,4.30,Matemática Discreta,102342
4.30,4.40,7.50,5.20,5.30,Matemática Discreta,102342
3.70,6.50,7.00,2.00,4.20,Matemática Discreta,102342
1.50,2.50,0.00,-1.00,1.30,Cálculo Diferencial e Integral II,102342
0.10,2.30,0.00,-1.00,0.80,Cálculo Diferencial e Integral II,102342
4.70,4.70,6.70,6.00,5.50,Programação II,102342
1.40,1.40,1.40,-1.00,1.40,Programação II,102342
5.00,3.80,6.00,5.10,5.00,Gerência da Informação,102342
7.50,4.50,3.50,5.50,5.30,Administração,102342
2.90,6.40,5.20,5.70,5.20,Programação I,102342
4.50,3.50,4.00,4.50,4.20,Fundamentos de Física Clássica,102342
6.50,4.00,4.50,5.00,5.00,Fundamentos de Física Clássica,102342
4.00,5.00,5.50,3.00,4.10,Fundamentos de Física Clássica,102342
2.90,6.40,5.20,5.70,5.00,Lab. de Programação I,102342
6.10,7.80,7.00,-1.00,7.00,Teoria dos Grafos,102342
4.30,5.50,3.90,2.50,3.90,Teoria dos Grafos,102342
8.10,5.50,6.90,5.60,6.00,Lab. de Programação II,102342
7.00,9.00,8.00,-1.00,8.00,Sociologia Industrial I,102342
3.80,1.70,1.00,-1.00,2.10,Lab. de Estruturas de Dados e Algoritmos,102342
9.20,8.10,9.50,-1.00,8.90,Inglês,102506
3.50,3.50,7.50,3.50,4.30,Estruturas de Dados e Algoritmos,102506
6.25,9.25,8.55,-1.00,7.40,Estruturas de Dados e Algoritmos,102506
8.50,8.00,8.30,-1.00,8.30,Informática e Sociedade,102506
1.00,0.00,0.00,-1.00,0.30,Cálculo Diferencial e Integral II,102506
8.50,8.50,8.00,-1.00,8.30,Direito e Cidadania,102506
7.30,7.30,7.30,-1.00,7.30,Programação II,102506
2.60,7.50,6.30,1.40,3.90,Gerência da Informação,102506
3.40,3.30,4.20,-1.00,3.60,Matemática Discreta,102506
3.50,0.00,0.00,-1.00,1.20,Fundamentos de Física Clássica,102506
0.00,1.00,0.00,-1.00,0.30,Fundamentos de Física Clássica,102506
4.00,9.80,5.00,2.10,5.00,Teoria dos Grafos,102506
5.60,5.60,5.60,5.60,5.60,Lab. de Programação II,102506
4.40,5.20,0.00,3.50,4.00,Lab. de Estruturas de Dados e Algoritmos,102506
7.60,7.80,8.20,-1.00,7.90,Lab. de Estruturas de Dados e Algoritmos,102506
0.50,0.50,0.00,-1.00,0.30,Álgebra Vetorial e Geometria Analítica,102409
4.00,7.50,6.00,-1.00,3.50,Economia,102409
0.80,3.00,2.00,-1.00,2.00,Programação I,102409
3.90,3.80,2.70,-1.00,2.70,Programação I,102409
0.80,3.00,2.00,-1.00,1.80,Lab. de Programação I,102409
3.90,3.80,2.70,-1.00,2.70,Lab. de Programação I,102409
6.90,3.10,7.40,3.80,5.00,Introdução à Computação,102409
8.00,0.00,7.50,-1.00,3.10,Relações Humanas,102409
7.00,7.00,8.00,-1.00,7.30,Relações Humanas,102409
3.50,7.00,2.00,7.00,5.30,Cálculo Diferencial e Integral II,102118
5.50,5.60,5.00,4.00,5.00,Paradigmas de Linguagem de Programação,102118
6.10,7.30,10.00,-1.00,7.00,Lógica Matemática,102118
5.50,5.30,4.50,6.00,5.50,Fundamentos de Física Clássica,102118
7.65,8.90,8.55,-1.00,8.00,Lab. de Estruturas de Dados e Algoritmos,102118
6.30,5.90,8.80,-1.00,7.00,Banco de Dados I,102118
8.50,8.00,8.30,-1.00,8.30,Informática e Sociedade,102118
6.30,9.50,9.20,-1.00,8.30,Fundamentos de Física Moderna,102118
8.00,8.00,7.90,-1.00,8.00,Sistemas de Informação I,102118
8.40,8.40,8.40,-1.00,8.40,Programação II,102118
6.50,6.50,1.00,5.50,5.00,Álgebra Linear,102118
5.50,10.00,7.80,-1.00,7.80,Teoria dos Grafos,102118
7.55,8.15,8.40,-1.00,7.90,Lab. de Programação II,102118
6.50,8.40,8.05,-1.00,7.30,Estruturas de Dados e Algoritmos,102118
6.80,4.70,5.80,4.40,5.30,Organização e Arquitetura de Computadores,102118
10.00,10.00,8.50,-1.00,9.50,Lab. de Organização e Arquitetura de Computadores,102118
6.00,6.50,2.00,1.00,3.30,Probabilidade e Estatística,102118
7.00,4.00,7.50,6.50,6.10,Probabilidade e Estatística,102118
5.70,0.80,3.00,-1.00,3.20,Probabilidade e Estatística,102118
6.60,5.60,0.70,7.00,5.40,Teoria da Computação,102118
7.50,7.50,0.00,-1.00,7.50,BASQUETEBOL - MASC,102118
3.60,4.60,7.50,4.60,5.00,Gerência da Informação,102118
7.00,7.00,7.00,-1.00,7.00,Direito e Cidadania,102118
