nota1,nota2,nota3,final,media,disciplina,matricula
5.90,5.10,5.50,4.20,5.00,Matemática Discreta,102118
7.00,8.50,9.00,-1.00,8.20,Inglês,102678
5.50,4.50,3.60,6.00,5.00,Estruturas de Dados e Algoritmos,102678
8.50,8.00,8.30,-1.00,8.30,Informática e Sociedade,102678
3.00,4.50,0.50,-1.00,2.70,Cálculo Diferencial e Integral II,102678
2.90,6.50,8.20,5.10,5.60,Cálculo Diferencial e Integral II,102678
8.30,8.00,8.20,-1.00,8.20,Paradigmas de Linguagem de Programação,102678
6.75,5.65,7.25,-1.00,7.00,Lab. de Programação II,102678
6.40,6.80,9.10,-1.00,7.40,Teoria da Computação,102678
9.00,9.00,7.60,-1.00,8.40,Sistemas de Informação I,102678
9.00,9.00,10.00,-1.00,9.30,Economia,102678
7.80,7.80,7.80,-1.00,7.80,Programação II,102678
6.30,8.90,1.50,6.00,5.80,Álgebra Linear,102678
4.50,6.00,2.30,4.30,4.30,Álgebra Linear,102678
9.00,9.00,0.00,-1.00,9.00,BASQUETEBOL - MASC,102678
4.20,6.10,7.60,3.40,5.00,Gerência da Informação,102678
3.80,3.30,7.90,6.00,5.40,Matemática Discreta,102678
6.00,5.00,6.00,4.20,5.10,Fundamentos de Física Clássica,102678
7.50,8.50,8.00,-1.00,8.00,Teoria dos Grafos,102678
5.40,6.00,5.60,7.80,6.50,Lógica Matemática,102678
7.20,7.50,7.30,-1.00,7.30,Sociologia Industrial I,102678
5.50,3.70,10.00,4.50,5.00,Lab. de Estruturas de Dados e Algoritmos,102678
4.00,4.00,3.20,-1.00,3.70,Cálculo Diferencial e Integral II,102541
6.00,6.60,4.60,3.90,5.00,Cálculo Diferencial e Integral II,102541
1.50,4.50,0.00,-1.00,2.00,Cálculo Diferencial e Integral II,102541
6.70,6.50,6.40,6.00,6.40,Paradigmas de Linguagem de Programação,102541
4.50,10.00,5.90,5.50,5.70,Lógica Matemática,102541
4.50,4.00,5.00,5.80,5.00,Fundamentos de Física Clássica,102541
6.50,6.30,10.00,4.00,5.60,Lab. de Estruturas de Dados e Algoritmos,102541
9.00,9.00,9.00,-1.00,9.00,Seminários (Educação Ambiental),102541
8.30,9.30,9.00,-1.00,8.90,Inglês,102541
3.50,6.00,7.50,9.00,7.00,Banco de Dados I,102541
9.00,9.00,9.00,-1.00,9.00,Informática e Sociedade,102541
9.70,9.70,3.80,-1.00,7.30,Sistemas de Informação I,102541
7.00,7.00,7.00,-1.00,7.00,Programação II,102541
3.80,0.00,0.00,-1.00,1.30,Álgebra Linear,102541
9.00,5.50,6.50,-1.00,7.00,Álgebra Linear,102541
9.90,9.90,9.90,-1.00,9.90,Futsal,102541
8.00,7.00,7.50,-1.00,7.50,Teoria dos Grafos,102541
7.20,7.20,3.60,-1.00,7.20,Lab. de Programação II,102541
3.50,3.50,6.50,5.00,5.00,Estruturas de Dados e Algoritmos,102541
9.50,4.00,9.50,-1.00,8.10,TEC (Princípios de Administração Financeira),102541
3.60,4.70,3.70,6.50,5.00,Cálculo Diferencial e Integral I,102541
5.00,6.00,5.00,4.50,5.00,Teoria da Computação,102541
4.80,6.30,6.90,7.10,6.40,Gerência da Informação,102541
8.00,8.50,9.00,-1.00,8.50,Direito e Cidadania,102541
5.00,4.60,7.20,4.20,5.00,Matemática Discreta,102541
9.00,9.00,9.00,-1.00,9.00,Seminários (Educação Ambiental),102365
8.80,8.50,8.70,-1.00,8.70,Informática e Sociedade,102365
1.50,5.60,6.70,3.50,4.20,Matemática Discreta,102365
3.50,6.50,7.30,1.00,3.90,Matemática Discreta,102365
3.50,2.00,7.80,3.60,4.10,Cálculo Diferencial e Integral II,102365
6.00,7.00,4.00,4.00,5.00,Cálculo Diferencial e Integral II,102365
1.00,0.00,0.00,-1.00,0.30,Cálculo Diferencial e Integral II,102365
4.80,8.10,0.20,5.80,5.00,Cálculo Diferencial e Integral I,102365
6.60,6.00,2.00,2.00,3.70,Economia,102365
1.30,1.30,1.80,-1.00,1.40,Programação II,102365
1.00,0.00,0.00,-1.00,0.30,Álgebra Linear,102365
3.00,1.00,1.00,-1.00,1.70,Álgebra Linear,102365
1.90,6.20,6.80,3.20,4.30,Gerência da Informação,102365
1.80,3.70,6.50,0.90,2.80,Gerência da Informação,102365
6.30,1.60,6.30,0.60,3.10,Programação I,102365
7.00,8.00,8.00,3.80,5.00,Programação I,102365
5.50,1.00,3.50,-1.00,3.30,Fundamentos de Física Clássica,102365
1.60,6.30,6.30,0.60,2.80,Lab. de Programação I,102365
7.00,8.00,8.00,3.80,5.00,Lab. de Programação I,102365
5.50,5.00,5.80,6.50,5.80,Teoria dos Grafos,102365
5.20,2.80,0.00,-1.00,1.70,Lab. de Programação II,102365
0.00,0.50,0.00,-1.00,0.20,Álgebra Vetorial e Geometria Analítica,102536
6.30,10.00,6.00,-1.00,7.40,Álgebra Vetorial e Geometria Analítica,102536
8.40,5.20,7.50,-1.00,7.00,Introdução à Computação,102536
8.00,7.80,7.90,-1.00,7.90,Informática e Sociedade,102536
3.70,5.20,8.10,7.00,6.20,Matemática Discreta,102536
1.00,5.00,9.00,8.80,6.50,Cálculo Diferencial e Integral I,102536
8.40,8.30,7.90,-1.00,8.30,Programação II,102536
4.50,4.50,4.50,1.20,3.20,Programação II,102536
7.30,6.90,6.60,-1.00,7.00,Programação I,102536
7.30,6.90,6.60,-1.00,7.00,Lab. de Programação I,102536
4.50,5.00,6.30,8.50,6.30,Teoria dos Grafos,102536
7.65,8.30,7.95,-1.00,8.00,Lab. de Programação II,102536
4.60,4.60,4.60,3.80,4.30,Lab. de Programação II,102536
9.00,7.00,8.50,-1.00,8.20,Relações Humanas,102536
8.30,6.20,6.40,-1.00,7.00,Banco de Dados I,101169
0.00,0.00,0.00,-1.00,0.50,Engenharia de Software I,101169
9.40,6.30,6.20,-1.00,7.50,Organização e Arquitetura de Computadores,101169
8.70,8.80,6.50,-1.00,8.00,Lab. de Organização e Arquitetura de Computadores,101169
9.90,6.30,7.00,-1.00,7.70,Lab. de Estruturas de Dados e Algoritmos,101169
10.00,10.00,6.00,-1.00,8.70,Fundamentos de Física Moderna,101169
2.90,7.00,5.00,9.50,6.80,Probabilidade e Estatística,101169
9.50,10.00,5.80,-1.00,8.40,TECC(METODOS E P T G M DADOS HISTORICOS),101169
6.90,6.30,8.80,-1.00,7.30,Teoria da Computação,101169
9.00,9.00,9.00,-1.00,9.00,Sistemas de Informação I,101169
6.50,6.00,9.00,-1.00,7.20,Álgebra Linear,101169
8.80,6.50,8.30,-1.00,7.90,Gerência da Informação,101169
6.00,4.50,8.30,4.00,5.40,Métodos Estatísticos,101169
7.50,9.50,10.00,-1.00,8.60,TECC (Administração de Sistemas),101169
7.00,6.00,8.00,-1.00,7.00,Estruturas de Dados e Algoritmos,101169
4.00,3.50,0.00,-1.00,2.50,Cálculo Diferencial e Integral II,101701
6.40,2.70,0.00,-1.00,3.00,Álgebra Linear,101701
7.80,8.30,7.40,-1.00,7.80,Gerência da Informação,101701
7.80,7.40,7.10,-1.00,7.40,Matemática Discreta,101701
6.00,5.00,4.00,7.50,6.00,Fundamentos de Física Clássica,101701
8.50,9.20,8.90,-1.00,8.90,Teoria dos Grafos,101701
1.00,8.00,6.10,8.20,7.00,Estruturas de Dados e Algoritmos,101241
8.30,9.50,8.90,-1.00,8.90,Informática e Sociedade,101241
5.50,1.00,8.00,10.00,6.90,Cálculo Diferencial e Integral II,101241
9.50,10.00,10.00,-1.00,9.80,Direito e Cidadania,101241
7.00,1.30,3.80,7.00,5.20,Cálculo Diferencial e Integral I,101241
7.00,8.00,8.50,-1.00,7.80,Teoria da Computação,101241
5.20,0.00,0.00,-1.00,1.70,Álgebra Linear,101241
9.50,6.50,6.50,-1.00,7.50,Álgebra Linear,101241
10.00,10.00,0.00,-1.00,10.00,BASQUETEBOL - MASC,101241
5.50,4.10,5.00,2.40,3.90,Gerência da Informação,101241
4.50,3.00,7.60,4.90,5.00,Gerência da Informação,101241
3.00,1.00,5.50,-1.00,3.20,Fundamentos de Física Clássica,101241
8.70,9.30,9.00,-1.00,9.00,Teoria dos Grafos,101241
7.60,9.70,0.00,3.50,5.20,Lab. de Estruturas de Dados e Algoritmos,101241
4.50,3.50,4.00,7.00,5.20,Cálculo Diferencial e Integral II,10121
7.00,4.70,1.90,4.10,4.30,Álgebra Linear,10121
9.00,9.00,9.00,-1.00,9.00,Seminários (Educação Ambiental),101431
5.00,0.00,8.10,0.00,2.60,Banco de Dados I,101431
3.50,0.00,4.40,-1.00,2.60,Banco de Dados I,101431
8.50,6.50,7.50,-1.00,7.50,Informática e Sociedade,101431
9.00,10.00,5.00,-1.00,8.00,Fundamentos de Física Moderna,101431
0.00,0.50,0.00,-1.00,0.20,Probabilidade e Estatística,101431
0.00,0.50,0.00,-1.00,0.20,Probabilidade e Estatística,101431
4.50,7.00,7.50,4.50,5.60,Estruturas de Dados e Algoritmos,101431
6.00,5.50,6.60,6.10,6.00,Teoria da Computação,101431
6.00,5.00,2.40,5.80,5.00,Álgebra Linear,101431
3.50,8.70,9.00,-1.00,7.10,Estruturas de Dados e Algoritmos,10194
0.00,0.00,0.00,-1.00,0.50,Engenharia de Software I,10194
8.00,6.90,6.80,-1.00,7.30,Organização e Arquitetura de Computadores,10194
10.00,9.30,4.10,-1.00,7.80,Lab. de Organização e Arquitetura de Computadores,10194
7.00,4.80,2.00,0.00,2.80,Lab. de Organização e Arquitetura de Computadores,10194
6.60,7.90,7.60,-1.00,7.40,Lab. de Estruturas de Dados e Algoritmos,10194
10.00,10.00,7.50,-1.00,9.20,Fundamentos de Física Moderna,10194
6.50,2.80,3.20,3.60,4.00,Probabilidade e Estatística,10194
4.50,8.10,8.40,-1.00,7.00,Probabilidade e Estatística,10194
8.10,7.60,8.30,-1.00,8.00,Teoria da Computação,10194
8.80,8.80,8.80,-1.00,8.80,Sistemas de Informação I,10194
7.50,8.80,8.30,-1.00,8.20,Álgebra Linear,10194
9.10,6.10,7.30,-1.00,7.50,Gerência da Informação,10194
7.30,8.70,8.40,-1.00,8.10,Matemática Discreta,10194
2.30,2.80,2.50,-1.00,2.40,Lógica Matemática,10194
0.00,5.80,0.00,8.00,5.70,TECC (Economia de Tecnologia da Informação),101646
6.50,7.30,5.00,6.50,6.40,Inteligência Artificial I,101646
8.00,9.00,8.50,-1.00,8.50,TECC(Empreendedorismo em Software)   ,101646
1.50,5.70,8.50,4.60,5.00,Lab. de Interconexão de Redes de Computadores,101646
2.70,7.50,3.50,7.30,5.70,Redes de Computadores,101646
9.00,5.50,9.00,-1.00,7.80,Projeto em Computação II,101646
7.50,2.50,5.30,4.80,5.00,Sistemas Operacionais,101646
1.50,5.70,8.50,4.60,5.00,Interconexão de Redes de Computadores,101646
10.00,10.00,9.50,-1.00,9.40,Estágio Integrado,071779
9.10,9.20,8.80,-1.00,9.00,Inteligência Artificial I,071779
9.30,8.50,8.80,-1.00,8.90,Redes Neurais,071779
6.00,8.80,6.50,-1.00,7.10,Sistemas Operacionais,071779
8.00,8.50,8.00,-1.00,8.20,TECC (Redes Ad Hoc Sem Fio),071779
8.10,8.10,8.10,-1.00,8.10,Métodos e Software Numéricos,071779
7.30,7.30,7.30,-1.00,7.30,Engenharia de Software I,101696
6.20,4.70,4.20,6.90,5.90,Banco de Dados II,101696
4.30,8.60,3.40,7.30,6.20,Compiladores,101696
7.60,7.70,8.50,-1.00,7.90,Inteligência Artificial I,101696
6.00,8.20,7.10,-1.00,7.10,Paradigmas de Linguagem de Programação,101696
8.50,8.50,8.50,-1.00,8.50,TECC(Empreendedorismo em Software)   ,101696
5.00,4.60,8.70,3.30,5.00,Lab. de Interconexão de Redes de Computadores,101696
8.20,8.20,8.20,-1.00,8.20,Lab. de Engenharia de Software,101696
5.80,5.80,5.80,4.30,5.20,Análise e Técnicas de Algoritmos,101696
7.50,8.80,6.00,-1.00,7.40,Projeto em Computação II,101696
6.50,7.00,7.20,-1.00,7.00,Avaliação de Desempenho de Sistemas Discretos,101696
9.00,9.50,9.50,-1.00,9.30,Projeto em Computação I,101696
5.00,4.60,8.70,3.30,5.00,Interconexão de Redes de Computadores,101696
2.00,5.00,5.50,4.00,4.10,Métodos Estatísticos,101696
7.80,7.70,7.50,-1.00,7.70,Métodos Estatísticos,101696
9.80,9.10,9.30,-1.00,9.40,TEC (Princípios de Administração Financeira),101696
5.50,7.00,7.80,6.80,6.80,Métodos e Software Numéricos,101696
2.50,1.00,2.80,-1.00,2.30,Estruturas de Dados e Algoritmos,101116
2.00,0.00,1.00,-1.00,1.00,Cálculo Diferencial e Integral II,101116
4.50,5.00,2.50,3.50,3.80,Cálculo Diferencial e Integral II,101116
9.50,10.00,10.00,-1.00,9.80,Direito e Cidadania,101116
3.20,2.60,6.10,3.00,3.60,Teoria da Computação,101116
7.30,7.30,7.30,-1.00,7.30,Programação II,101116
6.00,3.00,3.00,4.50,4.20,Álgebra Linear,101116
6.00,6.40,4.20,5.30,5.40,Matemática Discreta,101116
6.50,6.00,9.00,-1.00,7.20,Fundamentos de Física Clássica,101116
6.00,8.50,7.30,-1.00,7.30,Teoria dos Grafos,101116
7.50,5.50,5.85,-1.00,7.00,Lab. de Programação II,101116
3.60,2.70,0.00,-1.00,2.10,Lab. de Estruturas de Dados e Algoritmos,101116
4.40,9.00,7.80,-1.00,7.10,Gerência da Informação,101557
9.50,10.00,10.00,-1.00,9.80,Direito e Cidadania,101557
8.50,8.00,8.30,-1.00,8.30,Teoria dos Grafos,101557
7.50,8.00,7.80,-1.00,7.80,Informática e Sociedade,101557
1.20,3.10,0.00,-1.00,1.40,Matemática Discreta,101557
9.00,8.00,8.50,-1.00,8.50,Informática e Sociedade,102203
7.00,5.00,10.00,-1.00,7.30,Direito e Cidadania,102203
4.00,3.30,2.50,-1.00,3.30,Álgebra Linear,102203
5.00,4.50,5.30,8.70,6.40,Programação I,102203
3.60,2.00,0.00,-1.00,1.90,Cálculo Diferencial e Integral I,102203
6.00,3.50,2.50,6.50,5.00,Cálculo Diferencial e Integral I,102203
4.50,5.00,5.30,8.70,6.40,Lab. de Programação I,102203
10.00,7.00,8.50,-1.00,8.50,Relações Humanas,102203
8.50,8.50,8.50,-1.00,8.50,Seminários (Educação Ambiental),091689
5.40,1.00,7.50,6.80,5.50,Banco de Dados I,091689
8.50,9.30,8.90,-1.00,8.90,Informática e Sociedade,091689
7.40,6.50,7.50,-1.00,7.10,Organização e Arquitetura de Computadores,091689
9.50,9.10,4.50,-1.00,7.70,Lab. de Organização e Arquitetura de Computadores,091689
5.60,3.60,4.00,3.00,3.70,Sistemas de Informação II,091689
9.50,10.00,10.00,-1.00,9.80,Direito e Cidadania,091689
10.00,10.00,5.00,-1.00,8.30,Fundamentos de Física Moderna,091689
6.00,8.00,7.00,-1.00,7.00,Paradigmas de Linguagem de Programação,091689
4.00,6.00,4.50,5.20,5.00,Teoria da Computação,091689
2.50,1.00,3.50,-1.00,2.30,Probabilidade e Estatística,091689
7.40,6.40,7.20,-1.00,7.00,Probabilidade e Estatística,091689
5.30,8.60,0.00,3.50,5.10,Lógica Matemática,091689
9.00,9.00,9.00,-1.00,9.00,Seminários (Educação Ambiental),102731
0.50,0.00,0.00,-1.00,0.20,Álgebra Vetorial e Geometria Analítica,102731
6.10,2.00,6.00,5.50,5.00,Álgebra Vetorial e Geometria Analítica,102731
8.50,7.00,7.80,-1.00,7.80,Informática e Sociedade,102731
3.00,5.80,7.20,2.00,4.00,Matemática Discreta,102731
0.00,1.00,0.00,-1.00,0.30,Cálculo Diferencial e Integral II,102731
0.20,1.00,0.20,-1.00,0.50,Cálculo Diferencial e Integral I,102731
5.90,4.00,3.50,6.50,5.30,Cálculo Diferencial e Integral I,102731
2.80,2.80,1.80,-1.00,2.60,Programação II,102731
6.30,3.10,5.70,1.70,3.70,Gerência da Informação,102731
1.80,4.40,7.30,1.00,2.90,Programação I,102731
5.90,9.30,7.20,5.10,5.80,Programação I,102731
0.00,2.50,0.00,-1.00,0.80,Fundamentos de Física Clássica,102731
1.80,4.40,7.30,-1.00,3.80,Lab. de Programação I,102731
5.90,9.30,7.20,5.10,5.90,Lab. de Programação I,102731
2.50,4.30,3.40,-1.00,3.40,Teoria dos Grafos,102731
5.10,3.00,0.00,-1.00,2.00,Lab. de Programação II,102731
7.50,8.50,0.00,-1.00,8.00,Sociologia Industrial I,102731
8.50,8.50,8.50,-1.00,8.50,BASQUETE   MASC/FEM,102294
8.00,7.80,7.90,-1.00,7.90,Informática e Sociedade,102294
3.00,0.00,2.00,-1.00,1.70,Cálculo Diferencial e Integral II,102294
8.50,7.50,0.20,4.50,5.00,Cálculo Diferencial e Integral I,102294
3.00,3.50,7.00,3.00,3.80,Estruturas de Dados e Algoritmos,102294
5.20,5.20,5.20,4.80,5.00,Programação II,102294
6.00,6.20,7.00,7.20,6.70,Gerência da Informação,102294
5.40,6.20,5.10,5.30,5.50,Matemática Discreta,102294
3.00,4.50,6.00,6.50,5.30,Fundamentos de Física Clássica,102294
10.00,10.00,10.00,-1.00,10.00,Futsal,102294
5.80,8.50,7.20,-1.00,7.20,Teoria dos Grafos,102294
5.60,5.60,5.60,5.60,5.60,Lab. de Programação II,102294
6.10,4.00,10.00,1.50,3.90,Lab. de Estruturas de Dados e Algoritmos,102294
7.50,4.60,8.80,-1.00,7.00,Lab. de Interconexão de Redes de Computadores,091715
7.30,7.30,7.30,-1.00,7.30,Lab. de Engenharia de Software,091715
5.50,0.00,5.90,6.50,5.40,Avaliação de Desempenho de Sistemas Discretos,091715
9.00,9.00,9.00,-1.00,9.00,Seminários (Educação Ambiental),091715
7.50,6.50,9.00,-1.00,7.70,Inglês,091715
6.30,8.00,9.00,-1.00,7.80,Banco de Dados I,091715
8.50,8.50,8.50,-1.00,8.50,Informática e Sociedade,091715
6.20,6.35,7.70,-1.00,7.00,Sistemas de Informação II,091715
8.00,8.50,9.00,-1.00,8.50,TECC(Empreendedorismo em Software)   ,091715
8.50,4.00,7.30,6.60,6.60,Sistemas Operacionais,091715
7.50,6.00,8.60,-1.00,7.40,Métodos e Software Numéricos,091715
8.00,7.50,0.00,-1.00,7.10,Projeto em Computação I,091715
7.55,5.60,6.60,-1.00,7.10,Banco de Dados II,091715
6.50,9.60,9.30,-1.00,8.00,Metodologia Científica,091715
7.50,4.60,8.80,-1.00,7.00,Interconexão de Redes de Computadores,091715
7.50,7.50,7.50,-1.00,7.50,Análise e Técnicas de Algoritmos,091715
7.00,7.00,7.00,-1.00,7.00,Engenharia de Software I,091715
10.00,8.50,7.00,-1.00,8.50,Direito e Cidadania,091715
7.30,7.30,9.80,-1.00,8.10,Inteligência Artificial I,091715
9.00,6.00,7.40,-1.00,7.50,Redes de Computadores,091715
10.00,3.00,8.00,-1.00,7.00,Métodos Estatísticos,091715
5.30,4.70,4.00,8.80,6.30,Compiladores,091715
5.00,5.50,6.20,4.80,5.30,Lab. de Interconexão de Redes de Computadores,091787
7.60,7.60,7.60,-1.00,7.60,Lab. de Engenharia de Software,091787
6.70,0.00,5.90,7.10,5.80,Avaliação de Desempenho de Sistemas Discretos,091787
9.00,9.00,9.00,-1.00,9.00,Seminários (Educação Ambiental),091787
4.50,7.40,9.00,-1.00,7.00,Banco de Dados I,091787
6.95,5.85,7.15,-1.00,7.10,Sistemas de Informação II,091787
8.00,8.50,9.00,-1.00,8.50,TECC(Empreendedorismo em Software)   ,091787
7.00,5.70,5.00,7.50,6.50,Sistemas Operacionais,091787
7.50,6.00,8.60,-1.00,7.40,Métodos e Software Numéricos,091787
8.00,7.50,0.00,-1.00,7.10,Projeto em Computação I,091787
9.00,9.00,9.00,-1.00,9.00,TECC(DIDATICA EM CIENCIA DA COMPUTACAO),091787
10.00,7.80,7.10,-1.00,8.50,Organização e Arquitetura de Computadores,091787
9.83,8.50,7.53,-1.00,8.80,Lab. de Organização e Arquitetura de Computadores,091787
6.25,6.80,7.75,-1.00,7.00,Banco de Dados II,091787
10.00,4.00,7.25,-1.00,7.10,TEC (Princípios de Administração Financeira),091787
4.40,3.10,9.30,5.00,5.00,Metodologia Científica,091787
5.00,5.50,6.20,4.80,5.30,Interconexão de Redes de Computadores,091787
