nota1,nota2,nota3:nota4,nota5,nota6,nota7,nota8,media,final,disciplina,departamento,matricula
9.0,5.0,7.5,9.5,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,tecc(economia de tecnologia da informaca,dme,105110107
7.0,8.5,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,tecc(fund e aplic. de realidade virtual,dme,105110107
7.7,7.3,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,tecc(visao computacional),dme,105110107
5.6,4.7,5.0,4.5,-1.0,-1.0,-1.0,-1.0,5.0,5.0,aval.de desempenho de sistemas discretos,dme,105210131
4.5,5.5,3.5,9.5,-1.0,-1.0,-1.0,-1.0,5.0,3.7,banco de dados ii,dme,105210131
6.4,7.3,7.6,-1.0,-1.0,-1.0,-1.0,-1.0,7.1,-1.0,inteligencia artificial i,dme,105210131
8.0,7.5,8.0,7.0,8.0,8.0,-1.0,-1.0,7.8,-1.0,projeto em computacao i,dme,105210131
5.3,1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.8,-1.0,redes de computadores,dme,105210131
6.9,9.0,7.6,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,redes neurais,dme,105210131
4.7,8.2,8.0,4.5,-1.0,-1.0,-1.0,-1.0,5.4,4.5,aval.de desempenho de sistemas discretos,dme,105210138
9.0,7.9,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.6,-1.0,laboratorio de engenharia de software,dme,105210138
10.0,5.0,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.2,-1.0,redes de computadores,dme,105210138
9.0,9.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,seminarios (educacao ambiental),dme,105210138
2.0,9.3,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.2,-1.0,sistemas de informacaes geograficas,dme,105210138
7.5,8.2,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.9,-1.0,administracao,dme,105210141
5.6,2.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.7,-1.0,compiladores,dme,105210141
7.3,5.3,8.3,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,compiladores,dme,105210141
8.4,8.4,6.2,-1.0,-1.0,-1.0,-1.0,-1.0,7.7,-1.0,inteligencia artificial i,dme,105210141
6.0,5.1,6.7,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,3.6,interconex?o de redes de computadores,dme,105210141
6.0,5.1,6.7,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,3.6,lab.de intercon.de redes de computadores,dme,105210141
8.0,7.0,7.0,8.0,8.0,8.0,-1.0,-1.0,7.9,-1.0,projeto em computacao i,dme,105210141
6.0,4.0,4.5,7.8,7.4,6.0,-1.0,-1.0,5.6,5.0,projeto em computacao ii,dme,105210141
7.8,6.2,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,redes neurais,dme,105210141
9.0,7.5,9.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.7,-1.0,relacoes humanas,dme,105210141
9.0,9.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,seminarios (educacao ambiental),dme,105210141
8.0,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,sociologia industrial i,dme,105210141
7.5,7.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,7.7,tecc(economia de tecnologia da informaca,dme,105210141
8.3,9.0,9.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.9,-1.0,tecc(modelagem de ambientes virtuais),dme,105210141
8.1,9.2,6.0,7.0,-1.0,-1.0,-1.0,-1.0,7.6,-1.0,aval.de desempenho de sistemas discretos,dme,105210160
4.1,6.6,6.6,7.7,-1.0,-1.0,-1.0,-1.0,5.3,3.9,banco de dados ii,dme,105210160
7.5,2.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.3,-1.0,compiladores,dme,105210160
7.2,7.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.7,7.0,compiladores,dme,105210160
7.0,8.5,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,economia,dme,105210160
8.4,8.2,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.2,-1.0,empreendedorismo,dme,105210160
7.1,4.6,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.7,4.3,inteligencia artificial i,dme,105210160
-1.0,5.2,7.3,-1.0,-1.0,-1.0,-1.0,-1.0,3.2,1.6,interconex?o de redes de computadores,dme,105210160
-1.0,8.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.3,4.2,interconex?o de redes de computadores,dme,105210160
-1.0,5.2,7.3,-1.0,-1.0,-1.0,-1.0,-1.0,3.2,1.6,lab.de intercon.de redes de computadores,dme,105210160
-1.0,8.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.3,4.2,lab.de intercon.de redes de computadores,dme,105210160
5.3,5.3,5.3,-1.0,-1.0,-1.0,-1.0,-1.0,5.3,5.3,metodos e software numericos,dme,105210160
7.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,-1.0,paradigmas de ling. de programacao,dme,105210160
