nota1,nota2,nota3:nota4,nota5,nota6,nota7,nota8,media,final,disciplina,departamento,matricula
6.8,7.1,9.8,-1.0,-1.0,-1.0,-1.0,-1.0,7.9,-1.0,redes de computadores,dme,109210060
8.7,7.7,8.5,7.4,-1.0,-1.0,-1.0,-1.0,8.4,-1.0,sistemas de informacao i,dme,109210060
7.9,8.7,6.2,7.8,-1.0,-1.0,-1.0,-1.0,7.7,-1.0,sistemas de informacao ii,dme,109210060
9.0,9.0,8.5,8.5,-1.0,-1.0,-1.0,-1.0,8.8,-1.0,tecc(empreendedorismo em software),dme,109210060
8.0,7.4,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.1,-1.0,teoria da computacao,dme,109210060
5.0,3.7,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,5.2,estrutura de dados e algoritmos,dme,109210063
10.0,10.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,fundamentos de fisica moderna,dme,109210063
4.5,7.1,2.7,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,1.5,ger?ncia da informacao,dme,109210063
8.5,1.5,7.1,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,4.0,lab.de estrutura de dados e algoritmos,dme,109210063
4.3,-1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0,1.7,-1.0,probabilidade e estatistica,dme,109210063
7.1,5.5,5.7,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,4.5,teoria da computacao,dme,109210063
6.2,10.0,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.2,-1.0,algebra linear i,dme,109210065
8.9,6.7,9.1,-1.0,-1.0,-1.0,-1.0,-1.0,8.2,-1.0,banco de dados i,dme,109210065
9.8,9.8,9.8,-1.0,-1.0,-1.0,-1.0,-1.0,9.8,-1.0,engenharia de software i,dme,109210065
9.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.5,-1.0,informatica e sociedade,dme,109210065
10.0,10.0,9.9,9.5,10.0,10.0,9.8,-1.0,9.9,-1.0,lab.de org.e arquitetura de computadores,dme,109210065
8.1,9.0,9.2,-1.0,-1.0,-1.0,-1.0,-1.0,8.8,-1.0,laboratorio de engenharia de software,dme,109210065
8.9,8.9,8.9,-1.0,-1.0,-1.0,-1.0,-1.0,8.9,-1.0,logica matematica,dme,109210065
5.6,5.1,9.3,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,metodologia cientifica,dme,109210065
5.9,8.6,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,metodos estatisticos,dme,109210065
9.4,7.4,7.9,-1.0,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,org.e arquitetura de computadores i,dme,109210065
9.0,9.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.3,-1.0,paradigmas de ling. de programacao,dme,109210065
5.8,9.0,6.2,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,probabilidade e estatistica,dme,109210065
9.3,7.2,5.3,-1.0,-1.0,-1.0,-1.0,-1.0,7.3,-1.0,redes de computadores,dme,109210065
9.0,9.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,seminarios (educacao ambiental),dme,109210065
9.5,7.7,8.5,7.4,-1.0,-1.0,-1.0,-1.0,8.9,-1.0,sistemas de informacao i,dme,109210065
8.0,5.0,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.2,-1.0,sistemas operacionais,dme,109210065
8.0,9.0,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,-1.0,tecc(empreendedorismo em software),dme,109210065
7.9,8.7,6.0,8.0,-1.0,-1.0,-1.0,-1.0,7.7,-1.0,aval.de desempenho de sistemas discretos,dme,109210282
9.0,9.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.3,-1.0,empreendedorismo,dme,109210282
8.9,6.2,8.2,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,inteligencia artificial i,dme,109210282
6.7,6.0,8.8,-1.0,-1.0,-1.0,-1.0,-1.0,7.2,-1.0,interconex?o de redes de computadores,dme,109210282
6.7,6.0,8.8,-1.0,-1.0,-1.0,-1.0,-1.0,7.2,-1.0,lab.de intercon.de redes de computadores,dme,109210282
8.5,8.5,9.0,8.0,7.5,8.0,-1.0,-1.0,8.2,-1.0,projeto em computacao i,dme,109210282
9.0,10.0,10.0,7.0,9.6,7.8,-1.0,-1.0,8.9,-1.0,projeto em computacao ii,dme,109210282
10.0,8.5,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.5,-1.0,relacoes humanas,dme,109210282
10.0,10.0,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,9.1,-1.0,tecc(estagio integrado ii),dme,109210282
8.5,7.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,administracao,dme,109210284
1.7,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9,-1.0,algebra linear i,dme,109210284
6.5,3.5,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,5.5,algebra linear i,dme,109210284
5.0,4.5,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.3,3.5,calculo dif e integral i,dme,109210284
7.8,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.9,-1.0,informatica e sociedade,dme,109210284
2.5,0.1,1.0,2.7,-1.0,-1.0,-1.0,-1.0,1.5,-1.0,laboratorio de programacao ii,dme,109210284
4.6,4.6,4.6,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,4.4,laboratorio de programacao ii,dme,109210284
5.2,4.0,0.0,0.0,5.3,-1.0,-1.0,-1.0,2.6,-1.0,laboratorio de programacao ii,dme,109210284
3.5,3.7,1.6,-1.0,-1.0,-1.0,-1.0,-1.0,2.9,-1.0,matematica discreta,dme,109210284
2.8,3.2,5.9,-1.0,-1.0,-1.0,-1.0,-1.0,6.1,9.3,matematica discreta,dme,109210284
2.4,2.4,2.4,-1.0,-1.0,-1.0,-1.0,-1.0,2.4,-1.0,programacao ii,dme,109210284
5.6,5.6,5.6,-1.0,-1.0,-1.0,-1.0,-1.0,5.3,4.9,programacao ii,dme,109210284
3.5,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,3.0,teoria dos grafos,dme,109210284
6.5,10.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,-1.0,administracao,dme,109210285
8.4,8.4,9.3,-1.0,-1.0,-1.0,-1.0,-1.0,8.7,-1.0,analise e tecnica de algoritmos,dme,109210285
5.5,5.5,8.3,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,2.8,banco de dados i,dme,109210285
8.2,7.4,6.2,-1.0,-1.0,-1.0,-1.0,-1.0,7.3,-1.0,compiladores,dme,109210285
7.0,8.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,economia,dme,109210285
8.7,8.7,8.7,-1.0,-1.0,-1.0,-1.0,-1.0,8.7,-1.0,engenharia de software i,dme,109210285
10.0,10.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.7,-1.0,fundamentos de fisica moderna,dme,109210285
9.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,informatica e sociedade,dme,109210285
5.0,9.3,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.4,-1.0,interconex?o de redes de computadores,dme,109210285
5.0,9.3,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.4,-1.0,lab.de intercon.de redes de computadores,dme,109210285
8.9,8.6,7.4,-1.0,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,lab.de org.e arquitetura de computadores,dme,109210285
8.4,8.4,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.4,-1.0,laboratorio de engenharia de software,dme,109210285
7.3,8.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,-1.0,logica matematica,dme,109210285
7.7,5.3,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,-1.0,metodologia cientifica,dme,109210285
7.0,7.0,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.2,-1.0,metodos estatisticos,dme,109210285
8.3,6.8,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,-1.0,org.e arquitetura de computadores i,dme,109210285
7.2,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.2,8.5,paradigmas de ling. de programacao,dme,109210285
7.2,7.0,0.9,-1.0,-1.0,-1.0,-1.0,-1.0,5.1,5.2,probabilidade e estatistica,dme,109210285
4.8,7.7,9.1,-1.0,-1.0,-1.0,-1.0,-1.0,7.2,-1.0,redes de computadores,dme,109210285
9.0,9.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,seminarios (educacao ambiental),dme,109210285
8.5,7.7,8.5,7.4,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,sistemas de informacao i,dme,109210285
7.1,7.0,7.3,7.8,-1.0,-1.0,-1.0,-1.0,7.3,-1.0,sistemas de informacao ii,dme,109210285
9.0,8.3,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,sistemas operacionais,dme,109210285
9.0,9.0,8.5,8.5,-1.0,-1.0,-1.0,-1.0,8.8,-1.0,tecc(empreendedorismo em software),dme,109210285
6.0,6.4,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,-1.0,teoria da computacao,dme,109210285
6.2,9.3,6.6,-1.0,-1.0,-1.0,-1.0,-1.0,7.4,-1.0,algebra linear i,dme,109210286
7.4,6.6,8.1,-1.0,-1.0,-1.0,-1.0,-1.0,7.4,-1.0,analise e tecnica de algoritmos,dme,109210286
7.7,6.5,9.1,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,banco de dados i,dme,109210286
7.1,6.9,7.0,8.7,-1.0,-1.0,-1.0,-1.0,7.4,-1.0,banco de dados ii,dme,109210286
7.9,8.6,7.7,-1.0,-1.0,-1.0,-1.0,-1.0,8.1,-1.0,compiladores,dme,109210286
10.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,direito e cidadania,dme,109210286
9.6,9.6,9.6,-1.0,-1.0,-1.0,-1.0,-1.0,9.6,-1.0,engenharia de software i,dme,109210286
10.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,estagio integrado,dme,109210286
9.0,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.8,-1.0,informatica e sociedade,dme,109210286
10.0,10.0,9.5,9.5,6.6,9.8,10.0,-1.0,9.2,-1.0,lab.de org.e arquitetura de computadores,dme,109210286
9.6,9.6,9.6,-1.0,-1.0,-1.0,-1.0,-1.0,9.6,-1.0,laboratorio de engenharia de software,dme,109210286
8.8,8.8,8.8,-1.0,-1.0,-1.0,-1.0,-1.0,8.8,-1.0,logica matematica,dme,109210286
10.0,10.0,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,9.2,-1.0,metodos estatisticos,dme,109210286
7.9,8.1,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.2,-1.0,org.e arquitetura de computadores i,dme,109210286
5.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,-1.0,paradigmas de ling. de programacao,dme,109210286
7.0,6.6,9.4,-1.0,-1.0,-1.0,-1.0,-1.0,7.7,-1.0,redes de computadores,dme,109210286
9.0,9.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,seminarios (educacao ambiental),dme,109210286
9.5,9.5,9.5,-1.0,-1.0,-1.0,-1.0,-1.0,9.5,-1.0,sistemas de informacaes geograficas,dme,109210286
9.1,7.7,8.5,7.4,-1.0,-1.0,-1.0,-1.0,8.6,-1.0,sistemas de informacao i,dme,109210286
4.5,8.5,7.5,8.0,-1.0,-1.0,-1.0,-1.0,7.1,-1.0,sistemas de informacao ii,dme,109210286
9.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.5,-1.0,tecc(didat em ciencia da computacao ii),dme,109210286
10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,tecc(didatica em ciencia da computacao),dme,109210286
8.5,10.0,9.2,-1.0,-1.0,-1.0,-1.0,-1.0,9.2,-1.0,tecc(empreendedorismo em software),dme,109210286
9.1,7.8,9.4,-1.0,-1.0,-1.0,-1.0,-1.0,8.8,-1.0,tecc(metodos e p t g m dados historicos),dme,109210286
0.3,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1,-1.0,fundamentos de fisica classica,dme,109210287
0.9,-1.0,-1.0,0.6,-1.0,-1.0,-1.0,-1.0,0.4,-1.0,laboratorio de programacao ii,dme,109210287
1.4,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.1,-1.0,matematica discreta,dme,109210287
0.5,0.5,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,programacao ii,dme,109210287
9.0,9.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,seminarios (educacao ambiental),dme,109210287
2.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.4,-1.0,teoria dos grafos,dme,109210287
7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,basquetebol - masc,dme,109210288
6.5,3.5,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,4.0,economia,dme,109210288
9.0,7.0,7.2,-1.0,-1.0,-1.0,-1.0,-1.0,7.7,-1.0,relacoes humanas,dme,109210288
7.5,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,sociologia industrial i,dme,109210288
10.0,5.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,direito e cidadania,dme,109210290
-1.0,4.0,2.1,-1.0,-1.0,-1.0,-1.0,-1.0,1.5,-1.0,estrutura de dados e algoritmos,dme,109210290
4.5,7.3,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.7,5.5,fundamentos de fisica classica,dme,109210290
1.8,1.0,-1.0,2.1,-1.0,-1.0,-1.0,-1.0,1.2,-1.0,lab.de estrutura de dados e algoritmos,dme,109210290
5.2,5.2,5.2,-1.0,-1.0,-1.0,-1.0,-1.0,5.2,5.2,laboratorio de programacao ii,dme,109210290
3.4,5.4,5.1,-1.0,-1.0,-1.0,-1.0,-1.0,4.2,3.5,matematica discreta,dme,109210290
7.4,7.4,7.4,-1.0,-1.0,-1.0,-1.0,-1.0,7.4,-1.0,programacao ii,dme,109210290
0.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2,-1.0,calculo diferencial e integral ii,dme,109210291
9.5,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.8,-1.0,direito e cidadania,dme,109210291
5.5,0.1,5.3,4.4,-1.0,-1.0,-1.0,-1.0,3.5,-1.0,laboratorio de programacao ii,dme,109210291
4.2,4.2,4.2,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,-1.0,programacao ii,dme,109210291
6.5,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.3,-1.0,teoria dos grafos,dme,109210291
3.6,5.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.1,4.0,administracao,dme,109210293
1.0,6.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.7,-1.0,calculo diferencial e integral ii,dme,109210293
4.5,8.5,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,calculo diferencial e integral ii,dme,109210293
5.0,6.2,8.1,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,3.0,estrutura de dados e algoritmos,dme,109210293
8.5,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,-1.0,futsal,dme,109210293
9.1,7.6,4.6,-1.0,-1.0,-1.0,-1.0,-1.0,7.1,-1.0,lab.de estrutura de dados e algoritmos,dme,109210293
4.7,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,4.2,logica matematica,dme,109210293
5.0,5.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,4.5,paradigmas de ling. de programacao,dme,109210293
9.0,9.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,seminarios (educacao ambiental),dme,109210293
6.0,6.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,3.5,sistemas de informacao i,dme,109210293
9.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,sociologia industrial i,dme,109210293
4.0,3.9,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,6.5,teoria da computacao,dme,109210293
1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3,-1.0,calculo diferencial e integral ii,dme,109210294
6.2,6.2,6.2,-1.0,-1.0,-1.0,-1.0,-1.0,6.2,6.2,laboratorio de programacao ii,dme,109210294
7.3,7.3,7.3,-1.0,-1.0,-1.0,-1.0,-1.0,7.3,-1.0,programacao ii,dme,109210294
5.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.1,5.5,teoria dos grafos,dme,109210294
0.8,3.1,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.3,-1.0,calculo dif e integral i,dme,109210295
1.0,3.0,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,-1.0,economia,dme,109210295
1.0,2.9,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.3,-1.0,estrutura de dados e algoritmos,dme,109210295
4.3,5.2,4.3,-1.0,-1.0,-1.0,-1.0,-1.0,3.6,2.0,ger?ncia da informacao,dme,109210295
9.3,3.0,6.3,-1.0,-1.0,-1.0,-1.0,-1.0,5.2,3.6,lab.de estrutura de dados e algoritmos,dme,109210295
3.6,4.0,7.0,5.4,-1.0,-1.0,-1.0,-1.0,5.0,5.5,laboratorio de programacao ii,dme,109210296
4.9,4.9,4.9,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,5.2,programacao ii,dme,109210296
7.5,3.5,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,6.3,8.5,calculo diferencial e integral ii,dme,109210299
8.0,4.2,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,7.0,estrutura de dados e algoritmos,dme,109210299
7.3,6.8,6.9,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,lab.de estrutura de dados e algoritmos,dme,109210299
7.3,5.5,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.3,8.0,matematica discreta,dme,109210299
8.2,8.0,9.1,-1.0,-1.0,-1.0,-1.0,-1.0,8.4,-1.0,analise e tecnica de algoritmos,dme,109210300
8.5,6.5,8.7,-1.0,-1.0,-1.0,-1.0,-1.0,7.9,-1.0,banco de dados i,dme,109210300
7.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,direito e cidadania,dme,109210300
9.3,9.3,9.3,-1.0,-1.0,-1.0,-1.0,-1.0,9.3,-1.0,engenharia de software i,dme,109210300
9.5,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.8,-1.0,informatica e sociedade,dme,109210300
6.3,8.5,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,interconex?o de redes de computadores,dme,109210300
6.3,8.5,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,lab.de intercon.de redes de computadores,dme,109210300
10.0,10.0,10.0,10.0,10.0,10.0,10.0,-1.0,10.0,-1.0,lab.de org.e arquitetura de computadores,dme,109210300
7.4,7.4,7.4,-1.0,-1.0,-1.0,-1.0,-1.0,7.4,-1.0,laboratorio de engenharia de software,dme,109210300
9.4,9.4,9.4,-1.0,-1.0,-1.0,-1.0,-1.0,9.4,-1.0,logica matematica,dme,109210300
7.1,8.0,8.8,-1.0,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,metodologia cientifica,dme,109210300
6.0,9.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,metodos e software numericos,dme,109210300
10.0,7.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,metodos estatisticos,dme,109210300
9.5,7.8,9.8,-1.0,-1.0,-1.0,-1.0,-1.0,8.9,-1.0,org.e arquitetura de computadores i,dme,109210300
10.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.5,-1.0,paradigmas de ling. de programacao,dme,109210300
9.0,8.5,9.8,-1.0,-1.0,-1.0,-1.0,-1.0,9.1,-1.0,redes de computadores,dme,109210300
9.0,9.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,seminarios (educacao ambiental),dme,109210300
10.0,7.3,9.7,9.4,-1.0,-1.0,-1.0,-1.0,9.5,-1.0,sistemas de informacao i,dme,109210300
7.7,7.7,7.9,7.9,-1.0,-1.0,-1.0,-1.0,7.8,-1.0,sistemas de informacao ii,dme,109210300
8.0,10.0,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.8,-1.0,sistemas operacionais,dme,109210300
9.0,9.0,9.0,9.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,tecc(empreendedorismo em software),dme,109210300
5.2,7.0,4.6,-1.0,-1.0,-1.0,-1.0,-1.0,5.3,4.8,algebra linear i,dme,109210422
2.7,6.0,5.7,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,5.3,analise e tecnica de algoritmos,dme,109210422
5.3,2.5,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.1,5.0,banco de dados i,dme,109210422
2.0,3.5,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.1,5.5,estrutura de dados e algoritmos,dme,109210422
2.0,4.5,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.2,6.5,fundamentos de fisica classica,dme,109210422
6.2,9.5,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.2,-1.0,fundamentos de fisica moderna,dme,109210422
9.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,informatica e sociedade,dme,109210422
9.2,7.9,4.6,-1.0,-1.0,-1.0,-1.0,-1.0,7.2,-1.0,lab.de estrutura de dados e algoritmos,dme,109210422
8.5,5.7,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.3,2.0,lab.de org.e arquitetura de computadores,dme,109210422
8.6,7.3,6.9,-1.0,-1.0,-1.0,-1.0,-1.0,7.6,-1.0,lab.de org.e arquitetura de computadores,dme,109210422
4.3,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.3,3.0,logica matematica,dme,109210422
4.7,6.8,5.2,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,6.0,logica matematica,dme,109210422
3.6,4.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,5.1,metodos estatisticos,dme,109210422
3.7,3.0,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,3.4,-1.0,org.e arquitetura de computadores i,dme,109210422
5.3,8.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.9,4.6,org.e arquitetura de computadores i,dme,109210422
5.0,5.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.2,7.5,paradigmas de ling. de programacao,dme,109210422
1.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6,-1.0,probabilidade e estatistica,dme,109210422
0.5,2.6,4.3,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,-1.0,probabilidade e estatistica,dme,109210422
6.5,6.0,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.8,5.5,probabilidade e estatistica,dme,109210422
7.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,sistemas de informacao i,dme,109210422
3.1,3.2,0.5,7.0,-1.0,-1.0,-1.0,-1.0,3.5,-1.0,sistemas de informacao ii,dme,109210422
7.2,3.1,4.0,6.8,-1.0,-1.0,-1.0,-1.0,5.3,5.4,sistemas de informacao ii,dme,109210422
6.0,2.4,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.1,6.5,teoria da computacao,dme,109210422
9.8,10.0,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.8,-1.0,algebra vetorial e geometria analitica,dme,109210474
7.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,calculo dif e integral i,dme,109210474
-1.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,economia,dme,109210474
6.5,6.8,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,fundamentos de fisica classica,dme,109210474
3.4,0.1,-1.0,3.2,-1.0,-1.0,-1.0,-1.0,1.8,-1.0,laboratorio de programacao ii,dme,109210474
6.6,6.6,6.6,-1.0,-1.0,-1.0,-1.0,-1.0,6.4,6.0,laboratorio de programacao ii,dme,109210474
1.5,6.0,2.5,-1.0,-1.0,-1.0,-1.0,-1.0,3.3,-1.0,matematica discreta,dme,109210474
2.9,2.9,2.9,-1.0,-1.0,-1.0,-1.0,-1.0,2.9,-1.0,programacao ii,dme,109210474
8.0,8.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,programacao ii,dme,109210474
7.5,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.3,-1.0,teoria dos grafos,dme,109210474
4.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.4,-1.0,algebra linear i,dme,109210493
6.0,10.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.3,-1.0,algebra linear i,dme,109210493
5.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.3,-1.0,estrutura de dados e algoritmos,dme,109210493
7.5,5.0,9.8,7.5,-1.0,-1.0,-1.0,-1.0,7.5,-1.0,estrutura de dados e algoritmos,dme,109210493
9.3,9.3,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.2,-1.0,fundamentos de fisica moderna,dme,109210493
7.3,5.3,8.4,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,ger?ncia da informacao,dme,109210493
8.2,3.6,9.2,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,lab.de estrutura de dados e algoritmos,dme,109210493
9.4,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.8,-1.0,lab.de org.e arquitetura de computadores,dme,109210493
6.8,9.6,9.6,-1.0,-1.0,-1.0,-1.0,-1.0,8.7,-1.0,metodos estatisticos,dme,109210493
8.1,9.3,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.6,-1.0,org.e arquitetura de computadores i,dme,109210493
8.5,8.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.6,-1.0,paradigmas de ling. de programacao,dme,109210493
2.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7,-1.0,probabilidade e estatistica,dme,109210493
8.5,5.7,6.8,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,probabilidade e estatistica,dme,109210493
9.0,9.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,seminarios (educacao ambiental),dme,109210493
9.0,9.0,6.4,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,sistemas de informacao i,dme,109210493
10.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.5,-1.0,sociologia industrial i,dme,109210493
7.5,8.0,9.1,-1.0,-1.0,-1.0,-1.0,-1.0,8.2,-1.0,teoria da computacao,dme,109210493
7.2,5.5,6.2,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,6.9,algebra linear i,dme,110110043
