nota1,nota2,nota3,final,media,periodo,coddisciplina,disciplina,matricula,situacao,erro
9.0,8.5,7.2,-1.0,8.2,20111,1411186,Projeto em Computação II,071543,A,0.0333333333333
9.5,9.5,7.8,-1.0,8.9,20111,1411186,Projeto em Computação II,071122,A,0.0333333333333
9.0,9.0,7.5,-1.0,8.5,20111,1411186,Projeto em Computação II,062450,A,0.0
9.0,5.5,9.0,-1.0,7.8,20111,1411186,Projeto em Computação II,062347,A,0.0333333333333
9.0,8.5,7.0,-1.0,8.2,20111,1411186,Projeto em Computação II,071566,A,0.0333333333333
0.0,0.0,0.0,-1.0,0.0,20111,1411186,Projeto em Computação II,111148,R,
9.0,9.0,7.5,-1.0,8.5,20111,1411186,Projeto em Computação II,062789,A,0.0
0.0,0.0,0.0,-1.0,0.0,20111,1411186,Projeto em Computação II,061740,R,
9.5,6.5,3.0,6.3,6.3,20111,1411186,Projeto em Computação II,07173,A,
6.0,7.0,9.3,-1.0,7.4,20111,1411186,Projeto em Computação II,061761,A,0.0333333333333
9.5,8.0,8.3,-1.0,8.6,20111,1411186,Projeto em Computação II,071222,A,0.0
8.0,7.5,8.5,-1.0,8.0,20111,1411186,Projeto em Computação II,07135,A,0.0
8.3,7.5,8.2,-1.0,8.0,20111,1411186,Projeto em Computação II,071619,A,0.0
9.0,5.5,9.0,-1.0,7.8,20111,1411186,Projeto em Computação II,101646,A,0.0333333333333
9.5,9.5,7.7,-1.0,8.9,20111,1411186,Projeto em Computação II,071794,A,0.0
9.0,9.0,7.5,-1.0,8.5,20111,1411186,Projeto em Computação II,062221,A,0.0
9.5,8.0,8.3,-1.0,8.6,20111,1411186,Projeto em Computação II,071500,A,0.0
9.0,5.7,9.0,-1.0,7.9,20111,1411186,Projeto em Computação II,062537,A,8.881784197e-16
9.0,7.5,7.5,-1.0,8.0,20111,1411186,Projeto em Computação II,071191,A,0.0
9.5,9.5,7.7,-1.0,8.9,20111,1411186,Projeto em Computação II,071627,A,0.0
8.5,9.0,8.5,-1.0,8.6,20121,1411186,Projeto em Computação II,072703,A,0.0666666666667
9.5,10.0,8.5,-1.0,9.0,20121,1411186,Projeto em Computação II,072540,A,0.333333333333
8.5,9.0,8.5,-1.0,8.6,20121,1411186,Projeto em Computação II,042522,A,0.0666666666667
9.0,9.5,9.5,-1.0,9.4,20121,1411186,Projeto em Computação II,081352,A,0.0666666666667
9.0,9.0,8.0,-1.0,8.4,20121,1411186,Projeto em Computação II,081691,A,0.266666666667
9.0,9.0,8.0,-1.0,8.4,20121,1411186,Projeto em Computação II,081617,A,0.266666666667
8.5,9.0,9.0,-1.0,8.9,20121,1411186,Projeto em Computação II,081252,A,0.0666666666667
9.0,9.0,8.0,-1.0,8.4,20121,1411186,Projeto em Computação II,082385,A,0.266666666667
8.5,8.5,8.5,-1.0,8.5,20121,1411186,Projeto em Computação II,081554,A,0.0
9.5,10.0,9.5,-1.0,9.6,20121,1411186,Projeto em Computação II,091741,A,0.0666666666667
9.0,9.0,8.0,-1.0,8.4,20121,1411186,Projeto em Computação II,082524,A,0.266666666667
8.5,9.0,9.0,-1.0,8.9,20121,1411186,Projeto em Computação II,081513,A,0.0666666666667
9.5,10.0,9.5,-1.0,9.6,20121,1411186,Projeto em Computação II,112212,A,0.0666666666667
9.5,10.0,9.5,-1.0,9.6,20121,1411186,Projeto em Computação II,121421,A,0.0666666666667
9.0,9.5,9.5,-1.0,9.4,20121,1411186,Projeto em Computação II,08141,A,0.0666666666667
7.0,8.0,9.0,-1.0,8.4,20121,1411186,Projeto em Computação II,101399,A,0.4
6.2,10.0,6.2,-1.0,7.0,20121,1411186,Projeto em Computação II,071677,A,0.466666666667
6.0,7.0,8.5,-1.0,7.7,20121,1411186,Projeto em Computação II,07144,A,0.533333333333
9.5,10.0,8.5,-1.0,9.0,20121,1411186,Projeto em Computação II,07281,A,0.333333333333
9.5,10.0,9.5,-1.0,9.6,20121,1411186,Projeto em Computação II,072654,A,0.0666666666667
8.5,8.0,8.5,-1.0,8.4,20121,1411186,Projeto em Computação II,072501,A,0.0666666666667
