"disciplina" "matricula" "competencia"
"" "" ""
"Administracao" "052135" "50"
"Administracao" "071222" "30"
"Administracao" "072703" "20"
"Administracao" "072540" "40"
"Administracao" "07243" "10"
"Administracao" "072182" "60"
"Administracao" "081513" "0"
"Administracao" "081434" "80"
"Administracao" "081700" "0"
"Administracao" "081331" "60"
"Administracao" "082181" "20"
"Administracao" "082350" "30"
"Administracao" "082710" "60"
"Administracao" "091733" "30"
"Administracao" "091417" "80"
"Administracao" "09199" "90"
"Administracao" "091486" "40"
"Administracao" "091293" "20"
"Administracao" "091141" "70"
"Administracao" "091764" "50"
"Administracao" "091692" "90"
"Administracao" "092768" "30"
"Administracao" "09215" "50"
"Administracao" "092641" "60"
"Administracao" "092377" "0"
"Administracao" "092477" "50"
"Administracao" "092571" "20"
"Administracao" "092752" "90"
"Administracao" "101255" "60"
"Administracao" "101299" "50"
"Administracao" "101264" "90"
"Administracao" "102306" "40"
"Administracao" "10245" "40"
"Administracao" "102173" "20"
"Administracao" "102342" "80"
"Administracao" "102313" "80"
"Administracao" "11137" "70"
"Administracao" "111190" "40"
"Administracao" "111588" "70"
"Administracao" "111512" "60"
"Administracao" "111638" "80"
"Administracao" "111693" "10"
"Administracao" "111307" "100"
"Administracao" "1121" "10"
"Administracao" "112137" "40"
"Administracao" "112481" "100"
"Administracao" "112356" "70"
"Administracao" "112578" "70"
"Administracao" "112406" "30"
"Administracao" "11254" "70"
"Administracao" "112742" "50"
"Administracao" "112791" "90"
"Administracao" "121746" "10"
"Administracao" "121415" "30"
"Administracao" "121421" "10"
"Administracao" "121225" "90"
"Administracao" "121266" "10"
"Administracao" "121750" "80"
"Administracao" "122124" "20"
"Algebra Linear" "091692" "80"
"Algebra Linear" "092477" "90"
"Algebra Linear" "10245" "30"
"Algebra Linear" "102173" "60"
"Algebra Linear" "111190" "10"
"Algebra Linear" "111512" "0"
"Algebra Linear" "111693" "40"
"Algebra Linear" "112578" "90"
"Algebra Linear" "082614" "30"
"Algebra Linear" "082775" "50"
"Algebra Linear" "091562" "30"
"Algebra Linear" "091659" "100"
"Algebra Linear" "092786" "90"
"Algebra Linear" "092552" "40"
"Algebra Linear" "092117" "20"
"Algebra Linear" "09211" "30"
"Algebra Linear" "092335" "50"
"Algebra Linear" "09275" "70"
"Algebra Linear" "092533" "10"
"Algebra Linear" "092153" "10"
"Algebra Linear" "0923" "40"
"Algebra Linear" "092665" "80"
"Algebra Linear" "101144" "20"
"Algebra Linear" "101523" "50"
"Algebra Linear" "101339" "20"
"Algebra Linear" "10130" "10"
"Algebra Linear" "101132" "40"
"Algebra Linear" "101461" "70"
"Algebra Linear" "101329" "20"
"Algebra Linear" "101241" "80"
"Algebra Linear" "101701" "70"
"Algebra Linear" "10194" "10"
"Algebra Linear" "101431" "50"
"Algebra Linear" "10121" "50"
"Algebra Linear" "101192" "30"
"Algebra Linear" "10188" "60"
"Algebra Linear" "101483" "20"
"Algebra Linear" "101496" "0"
"Algebra Linear" "101136" "30"
"Algebra Linear" "101240" "60"
"Algebra Linear" "10117" "0"
"Algebra Linear" "101324" "80"
"Algebra Linear" "10161" "50"
"Algebra Linear" "101724" "0"
"Algebra Linear" "101316" "20"
"Algebra Linear" "101508" "50"
"Algebra Linear" "101781" "70"
"Algebra Linear" "101545" "10"
"Algebra Linear" "101621" "30"
"Algebra Linear" "101739" "40"
"Algebra Linear" "101116" "50"
"Algebra Linear" "101169" "10"
"Algebra Linear" "101397" "0"
"Algebra Linear" "101601" "50"
"Algebra Linear" "101661" "30"
"Algebra Linear" "101393" "20"
"Algebra Linear" "101215" "20"
"Algebra Linear" "101673" "0"
"Algebra Linear" "101468" "70"
"Algebra Linear" "10174" "0"
"Algebra Linear" "101251" "10"
"Algebra Linear" "101797" "40"
"Algebra Linear" "101492" "20"
"Algebra Linear" "101392" "0"
"Algebra Linear" "101125" "20"
"Algebra Linear" "101351" "80"
"Algebra Linear" "101748" "20"
"Algebra Linear" "101616" "20"
"Algebra Linear" "101534" "80"
"Algebra Linear" "101253" "90"
"Algebra Linear" "101458" "60"
"Algebra Linear" "101290" "70"
"Algebra Linear" "101130" "100"
"Algebra Linear" "101166" "90"
"Algebra Linear" "102202" "100"
"Algebra Linear" "10277" "80"
"Algebra Linear" "102308" "80"
"Algebra Linear" "102639" "30"
"Algebra Linear" "102572" "70"
"Algebra Linear" "102168" "80"
"Algebra Linear" "102408" "70"
"Algebra Linear" "102209" "60"
"Algebra Linear" "102203" "70"
"Algebra Linear" "102608" "80"
"Algebra Linear" "102549" "30"
"Algebra Linear" "10279" "20"
"Algebra Linear" "102303" "60"
