"disciplina" "matricula" "competencia"
"Algebra Linear" "102773" "60"
"Algebra Linear" "102235" "40"
"Algebra Linear" "102160" "90"
"Algebra Linear" "102419" "50"
"Algebra Linear" "102361" "30"
"Algebra Linear" "102448" "0"
"Algebra Linear" "1022" "30"
"Algebra Linear" "102268" "60"
"Algebra Linear" "102586" "30"
"Algebra Linear" "102259" "100"
"Algebra Linear" "102107" "90"
"Algebra Linear" "102707" "100"
"Algebra Linear" "102186" "80"
"Algebra Linear" "102721" "90"
"Algebra Linear" "10238" "90"
"Algebra Linear" "102678" "50"
"Algebra Linear" "102541" "90"
"Algebra Linear" "102365" "100"
"Algebra Linear" "102118" "40"
"Algebra Linear" "102402" "40"
"Algebra Linear" "111732" "50"
"Algebra Linear" "111210" "40"
"Algebra Linear" "111555" "80"
"Algebra Linear" "111315" "10"
"Algebra Linear" "111129" "10"
"Algebra Linear" "111480" "40"
"Algebra Linear" "111662" "10"
"Algebra Linear" "11176" "30"
"Algebra Linear" "111558" "80"
"Algebra Linear" "111504" "10"
"Algebra Linear" "111163" "10"
"Algebra Linear" "111459" "10"
"Algebra Linear" "111301" "40"
"Algebra Linear" "111663" "20"
"Algebra Linear" "11156" "30"
"Algebra Linear" "111497" "70"
"Algebra Linear" "111243" "10"
"Algebra Linear" "111164" "20"
"Algebra Linear" "111755" "50"
"Algebra Linear" "111451" "40"
"Algebra Linear" "111106" "10"
"Algebra Linear" "111687" "70"
"Algebra Linear" "111111" "80"
"Algebra Linear" "111249" "80"
"Algebra Linear" "111660" "20"
"Algebra Linear" "111305" "70"
"Algebra Linear" "111336" "40"
"Algebra Linear" "111298" "70"
"Algebra Linear" "111103" "50"
"Algebra Linear" "111188" "60"
"Algebra Linear" "111369" "60"
"Algebra Linear" "111171" "10"
"Algebra Linear" "111647" "30"
"Algebra Linear" "111469" "60"
"Algebra Linear" "111161" "90"
"Algebra Linear" "111147" "60"
"Algebra Linear" "112503" "90"
"Algebra Linear" "112323" "60"
"Algebra Linear" "112645" "90"
"Algebra Linear" "112738" "100"
"Algebra Linear" "112167" "40"
"Algebra Linear" "112104" "60"
"Algebra Linear" "112736" "70"
"Algebra Linear" "112218" "80"
"Algebra Linear" "11233" "90"
"Algebra Linear" "112751" "90"
"Algebra Linear" "112712" "90"
"Algebra Linear" "12170" "20"
"Algebra Linear" "12112" "40"
"Algebra Linear" "12149" "80"
"Algebra Linear" "12125" "90"
"Algebra Linear" "121320" "70"
"Algebra Linear" "121384" "100"
"Algebra Linear" "121490" "70"
"Algebra Linear" "121514" "50"
"Algebra Linear" "121283" "40"
"Algebra Linear" "121204" "60"
"Algebra Linear" "121430" "60"
"Algebra Linear" "121785" "70"
"Algebra Linear" "121563" "30"
"Algebra Linear" "121502" "50"
"Algebra Linear" "122630" "60"
"Algebra Vetorial e Geometria Analitica" "092641" "60"
"Algebra Vetorial e Geometria Analitica" "101264" "60"
"Algebra Vetorial e Geometria Analitica" "102173" "100"
"Algebra Vetorial e Geometria Analitica" "102313" "70"
"Algebra Vetorial e Geometria Analitica" "111512" "10"
"Algebra Vetorial e Geometria Analitica" "111307" "60"
"Algebra Vetorial e Geometria Analitica" "112137" "40"
"Algebra Vetorial e Geometria Analitica" "112481" "50"
"Algebra Vetorial e Geometria Analitica" "112356" "90"
"Algebra Vetorial e Geometria Analitica" "112578" "90"
"Algebra Vetorial e Geometria Analitica" "112406" "30"
"Algebra Vetorial e Geometria Analitica" "11254" "80"
"Algebra Vetorial e Geometria Analitica" "112742" "70"
"Algebra Vetorial e Geometria Analitica" "112791" "40"
"Algebra Vetorial e Geometria Analitica" "121225" "60"
"Algebra Vetorial e Geometria Analitica" "121750" "70"
"Algebra Vetorial e Geometria Analitica" "092786" "30"
"Algebra Vetorial e Geometria Analitica" "101130" "30"
"Algebra Vetorial e Geometria Analitica" "102608" "70"
"Algebra Vetorial e Geometria Analitica" "102107" "50"
"Algebra Vetorial e Geometria Analitica" "111732" "0"
"Algebra Vetorial e Geometria Analitica" "111210" "60"
"Algebra Vetorial e Geometria Analitica" "111555" "60"
"Algebra Vetorial e Geometria Analitica" "111315" "0"
"Algebra Vetorial e Geometria Analitica" "111129" "0"
"Algebra Vetorial e Geometria Analitica" "111480" "90"
"Algebra Vetorial e Geometria Analitica" "111662" "0"
"Algebra Vetorial e Geometria Analitica" "11176" "60"
"Algebra Vetorial e Geometria Analitica" "111558" "60"
"Algebra Vetorial e Geometria Analitica" "111504" "10"
"Algebra Vetorial e Geometria Analitica" "111163" "20"
"Algebra Vetorial e Geometria Analitica" "111459" "0"
"Algebra Vetorial e Geometria Analitica" "111301" "30"
"Algebra Vetorial e Geometria Analitica" "111663" "20"
"Algebra Vetorial e Geometria Analitica" "11156" "10"
"Algebra Vetorial e Geometria Analitica" "111497" "30"
"Algebra Vetorial e Geometria Analitica" "111243" "10"
"Algebra Vetorial e Geometria Analitica" "111164" "0"
"Algebra Vetorial e Geometria Analitica" "111755" "80"
"Algebra Vetorial e Geometria Analitica" "111106" "40"
"Algebra Vetorial e Geometria Analitica" "111687" "50"
"Algebra Vetorial e Geometria Analitica" "111111" "70"
"Algebra Vetorial e Geometria Analitica" "111660" "30"
"Algebra Vetorial e Geometria Analitica" "111305" "30"
"Algebra Vetorial e Geometria Analitica" "111336" "20"
"Algebra Vetorial e Geometria Analitica" "111298" "60"
"Algebra Vetorial e Geometria Analitica" "111103" "50"
"Algebra Vetorial e Geometria Analitica" "111188" "30"
"Algebra Vetorial e Geometria Analitica" "111369" "40"
"Algebra Vetorial e Geometria Analitica" "111647" "40"
"Algebra Vetorial e Geometria Analitica" "111161" "30"
"Algebra Vetorial e Geometria Analitica" "111147" "10"
"Algebra Vetorial e Geometria Analitica" "112503" "10"
"Algebra Vetorial e Geometria Analitica" "112323" "20"
"Algebra Vetorial e Geometria Analitica" "112645" "30"
"Algebra Vetorial e Geometria Analitica" "112167" "40"
"Algebra Vetorial e Geometria Analitica" "112218" "30"
"Algebra Vetorial e Geometria Analitica" "11233" "90"
"Algebra Vetorial e Geometria Analitica" "12170" "0"
"Algebra Vetorial e Geometria Analitica" "12112" "50"
"Algebra Vetorial e Geometria Analitica" "12125" "40"
"Algebra Vetorial e Geometria Analitica" "121320" "50"
"Algebra Vetorial e Geometria Analitica" "121490" "40"
"Algebra Vetorial e Geometria Analitica" "121283" "40"
"Algebra Vetorial e Geometria Analitica" "121430" "50"
"Algebra Vetorial e Geometria Analitica" "121785" "40"
"Algebra Vetorial e Geometria Analitica" "092411" "80"
"Algebra Vetorial e Geometria Analitica" "092456" "70"
"Algebra Vetorial e Geometria Analitica" "092628" "80"
"Algebra Vetorial e Geometria Analitica" "092333" "10"
"Algebra Vetorial e Geometria Analitica" "101637" "90"
"Algebra Vetorial e Geometria Analitica" "101139" "40"
"Algebra Vetorial e Geometria Analitica" "101245" "40"
"Algebra Vetorial e Geometria Analitica" "101110" "50"
"Algebra Vetorial e Geometria Analitica" "102762" "60"
"Algebra Vetorial e Geometria Analitica" "10227" "100"
"Algebra Vetorial e Geometria Analitica" "10234" "90"
"Algebra Vetorial e Geometria Analitica" "102388" "70"
"Algebra Vetorial e Geometria Analitica" "102530" "80"
"Algebra Vetorial e Geometria Analitica" "102170" "70"
"Algebra Vetorial e Geometria Analitica" "102285" "80"
"Algebra Vetorial e Geometria Analitica" "102668" "70"
"Algebra Vetorial e Geometria Analitica" "102258" "70"
"Algebra Vetorial e Geometria Analitica" "102672" "70"
"Algebra Vetorial e Geometria Analitica" "102583" "50"
"Algebra Vetorial e Geometria Analitica" "102698" "40"
"Algebra Vetorial e Geometria Analitica" "102793" "90"
"Algebra Vetorial e Geometria Analitica" "102297" "80"
"Algebra Vetorial e Geometria Analitica" "102753" "40"
"Algebra Vetorial e Geometria Analitica" "102443" "90"
"Algebra Vetorial e Geometria Analitica" "102728" "80"
"Algebra Vetorial e Geometria Analitica" "102269" "60"
"Algebra Vetorial e Geometria Analitica" "10220" "80"
"Algebra Vetorial e Geometria Analitica" "102536" "100"
"Algebra Vetorial e Geometria Analitica" "102409" "100"
"Algebra Vetorial e Geometria Analitica" "102731" "100"
"Algebra Vetorial e Geometria Analitica" "102219" "90"
"Algebra Vetorial e Geometria Analitica" "102261" "80"
"Algebra Vetorial e Geometria Analitica" "102387" "40"
"Algebra Vetorial e Geometria Analitica" "102223" "50"
"Algebra Vetorial e Geometria Analitica" "102373" "20"
"Algebra Vetorial e Geometria Analitica" "102635" "50"
"Algebra Vetorial e Geometria Analitica" "111400" "50"
"Algebra Vetorial e Geometria Analitica" "111657" "90"
"Algebra Vetorial e Geometria Analitica" "111580" "80"
"Algebra Vetorial e Geometria Analitica" "111115" "100"
"Algebra Vetorial e Geometria Analitica" "111427" "20"
"Algebra Vetorial e Geometria Analitica" "111100" "100"
"Algebra Vetorial e Geometria Analitica" "111101" "70"
"Algebra Vetorial e Geometria Analitica" "111370" "50"
"Algebra Vetorial e Geometria Analitica" "11129" "100"
"Algebra Vetorial e Geometria Analitica" "111591" "20"
"Algebra Vetorial e Geometria Analitica" "111220" "20"
"Algebra Vetorial e Geometria Analitica" "111694" "100"
"Algebra Vetorial e Geometria Analitica" "111230" "70"
"Algebra Vetorial e Geometria Analitica" "111372" "80"
"Algebra Vetorial e Geometria Analitica" "111485" "50"
"Algebra Vetorial e Geometria Analitica" "11151" "20"
"Algebra Vetorial e Geometria Analitica" "111610" "0"
"Algebra Vetorial e Geometria Analitica" "111717" "80"
"Algebra Vetorial e Geometria Analitica" "11172" "60"
"Algebra Vetorial e Geometria Analitica" "111265" "100"
"Algebra Vetorial e Geometria Analitica" "111667" "20"
"Algebra Vetorial e Geometria Analitica" "111598" "80"
"Algebra Vetorial e Geometria Analitica" "111346" "60"
"Algebra Vetorial e Geometria Analitica" "111529" "100"
"Algebra Vetorial e Geometria Analitica" "111433" "80"
"Algebra Vetorial e Geometria Analitica" "111425" "30"
"Algebra Vetorial e Geometria Analitica" "111418" "70"
"Algebra Vetorial e Geometria Analitica" "111561" "70"
"Algebra Vetorial e Geometria Analitica" "112553" "70"
"Algebra Vetorial e Geometria Analitica" "112590" "20"
"Algebra Vetorial e Geometria Analitica" "112640" "70"
"Algebra Vetorial e Geometria Analitica" "112332" "20"
"Algebra Vetorial e Geometria Analitica" "112467" "20"
"Algebra Vetorial e Geometria Analitica" "112438" "60"
"Algebra Vetorial e Geometria Analitica" "112386" "90"
"Algebra Vetorial e Geometria Analitica" "112759" "90"
"Algebra Vetorial e Geometria Analitica" "112383" "90"
"Algebra Vetorial e Geometria Analitica" "112381" "60"
"Algebra Vetorial e Geometria Analitica" "112380" "80"
"Algebra Vetorial e Geometria Analitica" "112711" "30"
"Algebra Vetorial e Geometria Analitica" "112232" "70"
"Algebra Vetorial e Geometria Analitica" "112516" "10"
"Algebra Vetorial e Geometria Analitica" "112494" "90"
"Algebra Vetorial e Geometria Analitica" "112656" "60"
"Algebra Vetorial e Geometria Analitica" "112623" "40"
"Algebra Vetorial e Geometria Analitica" "112681" "40"
"Algebra Vetorial e Geometria Analitica" "112765" "10"
"Algebra Vetorial e Geometria Analitica" "112769" "60"
"Algebra Vetorial e Geometria Analitica" "112539" "80"
"Algebra Vetorial e Geometria Analitica" "112254" "30"
"Algebra Vetorial e Geometria Analitica" "112589" "100"
"Algebra Vetorial e Geometria Analitica" "112449" "50"
"Algebra Vetorial e Geometria Analitica" "112452" "10"
"Algebra Vetorial e Geometria Analitica" "112760" "30"
"Algebra Vetorial e Geometria Analitica" "112525" "50"
"Algebra Vetorial e Geometria Analitica" "112177" "70"
"Algebra Vetorial e Geometria Analitica" "112289" "20"
"Algebra Vetorial e Geometria Analitica" "112355" "70"
"Algebra Vetorial e Geometria Analitica" "112518" "60"
"Algebra Vetorial e Geometria Analitica" "112444" "90"
"Algebra Vetorial e Geometria Analitica" "112520" "10"
"Algebra Vetorial e Geometria Analitica" "112274" "10"
"Algebra Vetorial e Geometria Analitica" "112735" "90"
"Algebra Vetorial e Geometria Analitica" "11260" "40"
"Algebra Vetorial e Geometria Analitica" "112777" "40"
"Algebra Vetorial e Geometria Analitica" "112729" "30"
"Algebra Vetorial e Geometria Analitica" "11278" "40"
"Algebra Vetorial e Geometria Analitica" "112150" "70"
"Algebra Vetorial e Geometria Analitica" "112287" "20"
"Algebra Vetorial e Geometria Analitica" "112471" "70"
"Algebra Vetorial e Geometria Analitica" "112379" "70"
"Algebra Vetorial e Geometria Analitica" "112498" "90"
"Algebra Vetorial e Geometria Analitica" "112605" "90"
"Algebra Vetorial e Geometria Analitica" "11223" "50"
"Algebra Vetorial e Geometria Analitica" "112625" "80"
"Algebra Vetorial e Geometria Analitica" "112487" "80"
"Algebra Vetorial e Geometria Analitica" "112295" "30"
"Algebra Vetorial e Geometria Analitica" "112216" "60"
"Algebra Vetorial e Geometria Analitica" "112551" "20"
"Algebra Vetorial e Geometria Analitica" "112138" "60"
"Algebra Vetorial e Geometria Analitica" "112109" "80"
"Algebra Vetorial e Geometria Analitica" "112256" "90"
"Algebra Vetorial e Geometria Analitica" "112587" "90"
"Algebra Vetorial e Geometria Analitica" "11216" "30"
"Algebra Vetorial e Geometria Analitica" "112682" "60"
"Algebra Vetorial e Geometria Analitica" "112446" "20"
"Algebra Vetorial e Geometria Analitica" "112579" "10"
"Algebra Vetorial e Geometria Analitica" "112725" "60"
"Algebra Vetorial e Geometria Analitica" "121199" "10"
"Algebra Vetorial e Geometria Analitica" "121704" "10"
"Algebra Vetorial e Geometria Analitica" "121272" "40"
"Algebra Vetorial e Geometria Analitica" "121602" "10"
"Algebra Vetorial e Geometria Analitica" "121276" "30"
"Algebra Vetorial e Geometria Analitica" "12166" "20"
"Algebra Vetorial e Geometria Analitica" "121152" "10"
"Algebra Vetorial e Geometria Analitica" "121643" "10"
"Algebra Vetorial e Geometria Analitica" "12183" "30"
"Algebra Vetorial e Geometria Analitica" "121686" "0"
"Algebra Vetorial e Geometria Analitica" "121771" "20"
"Algebra Vetorial e Geometria Analitica" "121594" "10"
"Algebra Vetorial e Geometria Analitica" "121374" "90"
"Algebra Vetorial e Geometria Analitica" "121102" "10"
"Algebra Vetorial e Geometria Analitica" "121179" "0"
"Algebra Vetorial e Geometria Analitica" "121436" "10"
"Algebra Vetorial e Geometria Analitica" "121180" "20"
"Algebra Vetorial e Geometria Analitica" "121257" "0"
"Algebra Vetorial e Geometria Analitica" "121767" "50"
"Algebra Vetorial e Geometria Analitica" "121429" "20"
"Algebra Vetorial e Geometria Analitica" "12153" "70"
"Algebra Vetorial e Geometria Analitica" "121309" "40"
"Algebra Vetorial e Geometria Analitica" "121780" "40"
"Algebra Vetorial e Geometria Analitica" "121569" "60"
"Algebra Vetorial e Geometria Analitica" "121413" "60"
"Algebra Vetorial e Geometria Analitica" "1218" "80"
"Algebra Vetorial e Geometria Analitica" "121716" "40"
"Algebra Vetorial e Geometria Analitica" "121334" "70"
"Algebra Vetorial e Geometria Analitica" "121237" "0"
"Algebra Vetorial e Geometria Analitica" "121263" "10"
"Algebra Vetorial e Geometria Analitica" "12191" "20"
"Algebra Vetorial e Geometria Analitica" "121796" "0"
"Algebra Vetorial e Geometria Analitica" "121284" "10"
"Algebra Vetorial e Geometria Analitica" "121401" "40"
"Algebra Vetorial e Geometria Analitica" "121189" "10"
"Algebra Vetorial e Geometria Analitica" "121354" "80"
"Algebra Vetorial e Geometria Analitica" "121774" "10"
"Algebra Vetorial e Geometria Analitica" "121420" "20"
"Algebra Vetorial e Geometria Analitica" "121105" "30"
"Algebra Vetorial e Geometria Analitica" "121515" "20"
"Algebra Vetorial e Geometria Analitica" "121296" "60"
"Algebra Vetorial e Geometria Analitica" "121479" "40"
"Algebra Vetorial e Geometria Analitica" "121214" "90"
"Algebra Vetorial e Geometria Analitica" "121636" "50"
"Algebra Vetorial e Geometria Analitica" "121618" "50"
"Algebra Vetorial e Geometria Analitica" "121470" "50"
"Algebra Vetorial e Geometria Analitica" "121633" "70"
"Algebra Vetorial e Geometria Analitica" "121642" "0"
"Algebra Vetorial e Geometria Analitica" "121165" "90"
"Algebra Vetorial e Geometria Analitica" "121360" "70"
"Algebra Vetorial e Geometria Analitica" "121538" "50"
"Algebra Vetorial e Geometria Analitica" "121300" "50"
"Algebra Vetorial e Geometria Analitica" "121595" "10"
"Algebra Vetorial e Geometria Analitica" "121175" "90"
"Algebra Vetorial e Geometria Analitica" "121788" "60"
"Algebra Vetorial e Geometria Analitica" "121671" "40"
"Algebra Vetorial e Geometria Analitica" "121622" "80"
"Algebra Vetorial e Geometria Analitica" "121612" "60"
"Algebra Vetorial e Geometria Analitica" "121197" "70"
"Algebra Vetorial e Geometria Analitica" "122574" "20"
"Algebra Vetorial e Geometria Analitica" "122424" "50"
"Algebra Vetorial e Geometria Analitica" "122722" "30"
"Algebra Vetorial e Geometria Analitica" "122376" "50"
"Algebra Vetorial e Geometria Analitica" "122344" "90"
"Algebra Vetorial e Geometria Analitica" "12268" "40"
"Algebra Vetorial e Geometria Analitica" "122565" "30"
"Algebra Vetorial e Geometria Analitica" "122278" "20"
"Algebra Vetorial e Geometria Analitica" "122581" "100"
"Algebra Vetorial e Geometria Analitica" "122423" "20"
"Algebra Vetorial e Geometria Analitica" "122745" "80"
"Algebra Vetorial e Geometria Analitica" "12224" "0"
"Algebra Vetorial e Geometria Analitica" "122145" "20"
"Algebra Vetorial e Geometria Analitica" "122280" "10"
"Algebra Vetorial e Geometria Analitica" "122613" "90"
"Algebra Vetorial e Geometria Analitica" "122679" "20"
"Algebra Vetorial e Geometria Analitica" "122337" "50"
"Algebra Vetorial e Geometria Analitica" "122114" "90"
"Algebra Vetorial e Geometria Analitica" "122462" "30"
"Algebra Vetorial e Geometria Analitica" "122548" "50"
"Algebra Vetorial e Geometria Analitica" "122658" "60"
"Algebra Vetorial e Geometria Analitica" "1226" "70"
"Algebra Vetorial e Geometria Analitica" "122367" "30"
"Algebra Vetorial e Geometria Analitica" "12248" "0"
"Algebra Vetorial e Geometria Analitica" "122407" "50"
"Algebra Vetorial e Geometria Analitica" "12264" "80"
"Algebra Vetorial e Geometria Analitica" "122330" "10"
"Algebra Vetorial e Geometria Analitica" "122410" "50"
"Algebra Vetorial e Geometria Analitica" "122491" "30"
"Algebra Vetorial e Geometria Analitica" "122550" "30"
"Algebra Vetorial e Geometria Analitica" "122244" "80"
"Algebra Vetorial e Geometria Analitica" "1225" "100"
"Algebra Vetorial e Geometria Analitica" "122322" "90"
"Algebra Vetorial e Geometria Analitica" "122187" "30"
"Algebra Vetorial e Geometria Analitica" "122113" "60"
"Algebra Vetorial e Geometria Analitica" "122302" "70"
"Algebra Vetorial e Geometria Analitica" "122680" "50"
"Algebra Vetorial e Geometria Analitica" "122358" "60"
"Algebra Vetorial e Geometria Analitica" "12255" "90"
"Algebra Vetorial e Geometria Analitica" "122526" "40"
"Algebra Vetorial e Geometria Analitica" "122472" "60"
"Algebra Vetorial e Geometria Analitica" "122652" "80"
"Algebra Vetorial e Geometria Analitica" "122338" "10"
"Algebra Vetorial e Geometria Analitica" "122510" "30"
"Algebra Vetorial e Geometria Analitica" "122154" "70"
"Algebra Vetorial e Geometria Analitica" "12289" "20"
"Algebra Vetorial e Geometria Analitica" "122544" "10"
"Algebra Vetorial e Geometria Analitica" "122184" "40"
"Algebra Vetorial e Geometria Analitica" "122375" "10"
"Algebra Vetorial e Geometria Analitica" "12240" "20"
"Algebra Vetorial e Geometria Analitica" "122784" "80"
"Algebra Vetorial e Geometria Analitica" "122398" "60"
"Algebra Vetorial e Geometria Analitica" "12262" "80"
"Algebra Vetorial e Geometria Analitica" "122357" "40"
"Algebra Vetorial e Geometria Analitica" "122362" "90"
"Algebra Vetorial e Geometria Analitica" "12242" "90"
"Algebra Vetorial e Geometria Analitica" "122688" "30"
"Algebra Vetorial e Geometria Analitica" "122224" "80"
"Algebra Vetorial e Geometria Analitica" "122795" "20"
"Algebra Vetorial e Geometria Analitica" "122416" "30"
"Algebra Vetorial e Geometria Analitica" "122546" "30"
"Algebra Vetorial e Geometria Analitica" "122310" "100"
"Algebra Vetorial e Geometria Analitica" "122727" "40"
"Algebra Vetorial e Geometria Analitica" "12258" "90"
"Algebra Vetorial e Geometria Analitica" "122726" "10"
"Algebra Vetorial e Geometria Analitica" "122532" "80"
"Algebra Vetorial e Geometria Analitica" "122517" "70"
"Algebra Vetorial e Geometria Analitica" "122505" "50"
"Algebra Vetorial e Geometria Analitica" "122454" "80"
"AnAlise e Tecnicas de Algoritmos" "082710" "70"
"AnAlise e Tecnicas de Algoritmos" "091141" "30"
"AnAlise e Tecnicas de Algoritmos" "092768" "10"
"AnAlise e Tecnicas de Algoritmos" "09215" "20"
"AnAlise e Tecnicas de Algoritmos" "092377" "50"
"AnAlise e Tecnicas de Algoritmos" "092571" "10"
"AnAlise e Tecnicas de Algoritmos" "101299" "90"
"AnAlise e Tecnicas de Algoritmos" "11137" "90"
"AnAlise e Tecnicas de Algoritmos" "091562" "40"
"AnAlise e Tecnicas de Algoritmos" "092117" "10"
"AnAlise e Tecnicas de Algoritmos" "09211" "30"
"AnAlise e Tecnicas de Algoritmos" "092153" "40"
"AnAlise e Tecnicas de Algoritmos" "0923" "90"
"AnAlise e Tecnicas de Algoritmos" "101339" "0"
"AnAlise e Tecnicas de Algoritmos" "10130" "30"
"AnAlise e Tecnicas de Algoritmos" "101132" "10"
"AnAlise e Tecnicas de Algoritmos" "101136" "20"
"AnAlise e Tecnicas de Algoritmos" "10117" "40"
"AnAlise e Tecnicas de Algoritmos" "101316" "10"
"AnAlise e Tecnicas de Algoritmos" "101545" "20"
"AnAlise e Tecnicas de Algoritmos" "101661" "40"
"AnAlise e Tecnicas de Algoritmos" "101215" "60"
"AnAlise e Tecnicas de Algoritmos" "101673" "20"
"AnAlise e Tecnicas de Algoritmos" "101251" "50"
"AnAlise e Tecnicas de Algoritmos" "101797" "40"
"AnAlise e Tecnicas de Algoritmos" "101392" "0"
"AnAlise e Tecnicas de Algoritmos" "101125" "40"
"AnAlise e Tecnicas de Algoritmos" "101616" "70"
"AnAlise e Tecnicas de Algoritmos" "102549" "30"
"AnAlise e Tecnicas de Algoritmos" "111451" "70"
"AnAlise e Tecnicas de Algoritmos" "121563" "70"
"AnAlise e Tecnicas de Algoritmos" "111667" "50"
"AnAlise e Tecnicas de Algoritmos" "06219" "90"
"AnAlise e Tecnicas de Algoritmos" "071573" "50"
"AnAlise e Tecnicas de Algoritmos" "07144" "100"
"AnAlise e Tecnicas de Algoritmos" "072501" "30"
"AnAlise e Tecnicas de Algoritmos" "072582" "80"
"AnAlise e Tecnicas de Algoritmos" "072201" "100"
"AnAlise e Tecnicas de Algoritmos" "08182" "10"
"AnAlise e Tecnicas de Algoritmos" "081142" "100"
"AnAlise e Tecnicas de Algoritmos" "082157" "20"
"AnAlise e Tecnicas de Algoritmos" "082196" "30"
"AnAlise e Tecnicas de Algoritmos" "082288" "60"
"AnAlise e Tecnicas de Algoritmos" "082207" "60"
"AnAlise e Tecnicas de Algoritmos" "08210" "20"
"AnAlise e Tecnicas de Algoritmos" "082606" "60"
