CODIGO,DISCIPLINA,PERMAISFREQ1ST,FREQRELATIVA1ST,PERMAISFREQ2ND,FREQRELATIVA2ND,PERMAISFREQ3RD,FREQRELATIVA3RD,TOTALDEALUNOSPORDISCIPLINA,TIPODEDISCIPLINA
1411174,INTRODUÇÃO A COMPUTAÇÃO,1,0.910590277777778,2,0.0685763888888889,3,0.0121527777777778,1152,OBG
1411175,ORG.E ARQUITETURA DE COMPUTADORES I,4,0.349907918968692,5,0.244935543278085,6,0.12707182320442,543,OBG
1411176,GERÊNCIA DA INFORMAÇÃO,3,0.60381861575179,4,0.155131264916468,2,0.127684964200477,838,OBG
1411177,ENGENHARIA DE SOFTWARE I,5,0.357438016528926,4,0.223140495867769,6,0.163223140495868,484,OBG
1411178,SISTEMAS DE INFORMAÇÃO I,4,0.600340136054422,5,0.215986394557823,6,0.0612244897959184,588,OBG
1411179,LAB.DE ESTRUTURA DE DADOS E ALGORITMOS,3,0.587223587223587,4,0.19041769041769,5,0.0798525798525798,814,OBG
1411180,LABORATÓRIO DE PROGRAMAÇÃO I,1,0.75725406935598,2,0.178343949044586,3,0.043170559094126,1413,OBG
1411181,LABORATÓRIO DE PROGRAMAÇÃO II,2,0.649949849548646,3,0.194583751253761,4,0.086258776328987,997,OBG
1411182,LAB.DE ORG.E ARQUITETURA DE COMPUTADORES,4,0.336267605633803,5,0.242957746478873,6,0.133802816901408,568,OBG
1411183,LABORATÓRIO DE ENGENHARIA DE SOFTWARE,6,0.374468085106383,7,0.251063829787234,5,0.0957446808510638,470,OBG
1411184,LAB.DE INTERCON.DE REDES DE COMPUTADORES,7,0.271300448430493,8,0.226457399103139,6,0.134529147982063,446,OBG
1411185,PROJETO EM COMPUTAÇÃO I,8,0.456018518518519,7,0.173611111111111,9,0.125,432,OBG
1411186,PROJETO EM COMPUTAÇÃO II,9,0.410672853828306,8,0.194895591647332,10,0.129930394431555,431,OBG
1411187,ANÁLISE E TÉCNICA DE ALGORITMOS,6,0.3,5,0.168181818181818,7,0.140909090909091,660,OBG
1411188,MÉTODOS E SOFTWARE NUMÉRICOS,8,0.259958071278826,9,0.259958071278826,7,0.127882599580713,477,OBG
1411189,COMPILADORES,7,0.242718446601942,8,0.229126213592233,9,0.110679611650485,515,OBG
1411190,REDES DE COMPUTADORES,6,0.296,5,0.2,7,0.188,500,OBG
1411191,INTERCONEXÃO DE REDES DE COMPUTADORES,7,0.269058295964126,8,0.226457399103139,6,0.13677130044843,446,OBG
1411192,SISTEMAS OPERACIONAIS,7,0.285714285714286,6,0.228962818003914,8,0.158512720156556,511,OBG
1411193,BANCO DE DADOS I,5,0.435351882160393,6,0.227495908346972,7,0.114566284779051,611,OBG
1411194,BANCO DE DADOS II,7,0.295145631067961,6,0.219417475728155,8,0.170873786407767,515,OBG
1411195,SISTEMAS DE INFORMAÇÃO II,5,0.392055267702936,6,0.259067357512953,7,0.115716753022453,579,OBG
1411196,INTELIGENCIA ARTIFICIAL I,9,0.233490566037736,8,0.216981132075472,7,0.169811320754717,424,OBG
1411197,AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS,8,0.285106382978723,9,0.202127659574468,7,0.148936170212766,470,OBG
1411201,EMPREENDEDORISMO,7,0.194092827004219,9,0.194092827004219,8,0.177215189873418,237,OPT
1411203,ESTÁGIO INTEGRADO,9,0.337962962962963,8,0.203703703703704,10,0.138888888888889,216,OPT
1411204,GERENCIA DE REDES DE COMPUTADORES,8,0.355769230769231,9,0.221153846153846,10,0.153846153846154,104,OPT
1411210,MARKETING PARA INFORMÁTICA,9,0.191176470588235,6,0.169117647058824,8,0.154411764705882,136,OPT
1411217,PROJETO DE REDES DE COMPUTADORES,9,0.378378378378378,7,0.22972972972973,8,0.175675675675676,74,OPT
1411218,REDES DE PETRI,6,0.222222222222222,10,0.2,8,0.155555555555556,45,OPT
1411221,SISTEMAS DE INFORMAÇÕES GEOGRÁFICAS,7,0.233532934131737,6,0.209580838323353,9,0.191616766467066,167,OPT
1411226,REDES NEURAIS,8,0.306451612903226,9,0.274193548387097,10,0.129032258064516,62,OPT
1411236,TECC (SISTEMAS DE APOIO A DECISÃO),8,0.423076923076923,9,0.192307692307692,10,0.102564102564103,78,OPT
1411238,SEMINÁRIOS (EDUCAÇÃO AMBIENTAL),8,0.172351885098743,7,0.170556552962298,9,0.138240574506284,557,OPT
1411242,TECC(SEGURANCA EM REDES DE COMPUTADORES),9,0.283950617283951,8,0.197530864197531,10,0.197530864197531,81,OPT
1411244,TECC(ECONOMIA DE TECNOLOGIA DA INFORMAÇÃ,9,0.241176470588235,8,0.176470588235294,7,0.141176470588235,170,OPT
1411247,TECC(ALGORITMOS AVANÇADOS II),6,0.219512195121951,4,0.195121951219512,2,0.146341463414634,41,OPT
1411249,TECC (METODOS FORMAIS),8,0.379310344827586,4,0.137931034482759,1,0.103448275862069,29,OPT
1411250,TECC(ALGORITMOS  AVANÇADOS III ),5,0.276595744680851,6,0.212765957446809,7,0.127659574468085,47,OPT
1411256,TEC(PRINCIPIOS DE ADMIN FINANCEIRA),9,0.178137651821862,5,0.133603238866397,7,0.121457489878543,247,OPT
1411265,TECC(REDES AD HOC SEM FIO),9,0.379310344827586,7,0.293103448275862,8,0.0689655172413793,58,OPT
1411266,TECC(FUND E APLIC. DE REALIDADE VIRTUAL,7,0.2,5,0.18,9,0.146666666666667,150,OPT
1411268,TECC(MODELAGEM DE AMBIENTES VIRTUAIS),7,0.185567010309278,6,0.144329896907216,8,0.144329896907216,97,OPT
1411271,TECC(INT.AO DES.DE SOFT.P/DISP.MOVEIS),4,0.233333333333333,6,0.166666666666667,7,0.15,60,OPT
1411272,TECC(FLUXO DE TRABALHO INFORMATIZADO),7,0.173913043478261,9,0.173913043478261,8,0.108695652173913,46,OPT
1411273,TECC (ARQUITETURA DE SOFTWARE),6,0.292682926829268,8,0.219512195121951,7,0.121951219512195,41,OPT
1411281,TECC(EMPREENDEDORISMO EM SOFTWARE),7,0.327868852459016,6,0.147540983606557,2,0.0901639344262295,122,OPT
1411283,TECC(FUNDAMENTOS DE PROG CONCORRENTE),8,0.282608695652174,1,0.130434782608696,6,0.130434782608696,46,OPT
1411285,TECC (DIDÁTICA EM CIÊNCIA DA COMPUTAÇÃO),5,0.227848101265823,4,0.177215189873418,2,0.113924050632911,79,OPT
1411288,TECC (DIDÁT. CIÊNCIA DA COMPUTAÇÃO II),5,0.16,7,0.16,9,0.16,25,OPT
1411289,TECC (ANÁLISE DE DADOS I),7,0.233333333333333,9,0.2,3,0.1,30,OPT
1113002,DESENHO BASICO,2,0.333333333333333,3,0.333333333333333,4,0.333333333333333,3,OPT
1302123,COMPUTAÇÃO E MÚSICA,9,0.304347826086957,8,0.173913043478261,3,0.130434782608696,23,OPT
1304025,BASQUETEBOL - FEM,2,0.153846153846154,3,0.153846153846154,4,0.153846153846154,13,OPT
1304117,GINASTICA MASC/FEM,8,0.303030303030303,10,0.212121212121212,9,0.181818181818182,33,OPT
1304122,BASQUETE   MASC/FEM,2,0.363636363636364,3,0.318181818181818,8,0.136363636363636,22,OPT
1411202,ENGENHARIA DE SOFTWARE II,6,0.300884955752212,7,0.15929203539823,9,0.123893805309735,113,OPT
1411222,SISTEMAS DISTRIBUIDOS,9,0.30952380952381,7,0.214285714285714,8,0.214285714285714,42,OPT
1411235,TECC(DESENV.DE APLIC.CORPORAT.AVANÇADAS),7,0.295302013422819,8,0.194630872483221,9,0.194630872483221,149,OPT
1411243,TECC(ALGORITMOS AVANÇADOS I ),4,0.275862068965517,6,0.241379310344828,5,0.137931034482759,29,OPT
1411254,TECC(PROCESSAMENTO DIGITAL DE IMAGEM),6,0.276595744680851,8,0.212765957446809,7,0.170212765957447,47,OPT
1411258,TECC(ALGORITMOS AVANÇADOS V),5,0.321428571428571,7,0.214285714285714,8,0.178571428571429,28,OPT
1411259,TECC (GRADES COMPUTACIONAIS),4,0.25,6,0.225,2,0.175,40,OPT
1411263,TECC(ALGORITMOS AVANÇADOS VI),4,0.411764705882353,8,0.235294117647059,7,0.117647058823529,17,OPT
1411264,TECC(DESENVOLVIMENTO DIRIGIDO A MODELOS),7,0.36,9,0.2,5,0.12,50,OPT
1411279,TECC(ESTAGIO INTEGRADO II),4,0.285714285714286,2,0.142857142857143,3,0.142857142857143,7,OPT
