"coddisciplina","disciplina","departamento","TipoDeDisciplina","periodo","situacao","resultado.relativo$situacao"
1411226,"Redes Neurais","dsc","OPT",20111,0,0
1411226,"Redes Neurais","dsc","OPT",20122,0,0
1411238,"Seminários (Educação Ambiental)","humanas","OPT",20111,0,0
1411238,"Seminários (Educação Ambiental)","humanas","OPT",20112,0,0
1411238,"Seminários (Educação Ambiental)","humanas","OPT",20121,0,0
1411238,"Seminários (Educação Ambiental)","humanas","OPT",20122,0,0
1411242,"TECC (Segurança em Redes de Computadores)","dsc","OPT",20112,0,0
1411243,"TECC (Algoritmos Avançados I)","dsc","OPT",20112,1,0.111111111111111
1411244,"TECC (Economia de Tecnologia da Informação)","dsc","OPT",20111,0,0
1411244,"TECC (Economia de Tecnologia da Informação)","dsc","OPT",20112,1,0.05
1411244,"TECC (Economia de Tecnologia da Informação)","dsc","OPT",20121,0,0
1411244,"TECC (Economia de Tecnologia da Informação)","dsc","OPT",20122,0,0
1411247,"TECC (Algoritmos Avançados II)","dsc","OPT",20122,2,0.153846153846154
1411249,"TECC (Métodos Formais)","dsc","OPT",20122,2,0.181818181818182
1411250,"TECC (Algoritmos Avançados III)","dsc","OPT",20121,1,0.0714285714285714
1411256,"TEC (Princípios de Administração Financeira)","dsc","OPT",20121,2,0.0512820512820513
1411265,"TECC (Redes Ad Hoc Sem Fio)","dsc","OPT",20111,0,0
1411266,"TECC (Fundamentos e Aplicações de Realidade Virtual)","dsc","OPT",20111,0,0
1411266,"TECC (Fundamentos e Aplicações de Realidade Virtual)","dsc","OPT",20121,0,0
1411267,"TECC (Sistemas de Recuperação da Informação)","dsc","OPT",20111,0,0
1411268,"TECC (Modelagem de Ambientes Virtuais)","dsc","OPT",20112,0,0
1411268,"TECC (Modelagem de Ambientes Virtuais)","dsc","OPT",20122,0,0
1411276,"TECC (Visão Computacional)","dsc","OPT",20112,0,0
1411279,"TECC (Estágio Integrado II)","dsc","OPT",20111,0,0
1411279,"TECC (Estágio Integrado II)","dsc","OPT",20112,0,0
1411279,"TECC (Estágio Integrado II)","dsc","OPT",20121,0,0
1411281,"TECC(Empreendedorismo em Software)   ","dsc","OPT",20112,0,0
1411281,"TECC(Empreendedorismo em Software)   ","dsc","OPT",20121,0,0
1411281,"TECC(Empreendedorismo em Software)   ","dsc","OPT",20122,0,0
1411282,"TECC (Administração de Sistemas)","dsc","OPT",20112,0,0
1411283,"TECC(Fundamentos de Prog. Concorrente)","dsc","OPT",20112,1,0.0588235294117647
1411283,"TECC(Fundamentos de Prog. Concorrente)","dsc","OPT",20121,0,0
1411283,"TECC(Fundamentos de Prog. Concorrente)","dsc","OPT",20122,1,0.125
1411285,"TECC(DIDATICA EM CIENCIA DA COMPUTACAO)","dsc","OPT",20121,0,0
1411285,"TECC(DIDATICA EM CIENCIA DA COMPUTACAO)","dsc","OPT",20122,0,0
1411287,"TECC(METODOS E P T G M DADOS HISTORICOS)","dsc","OPT",20121,0,0
1411287,"TECC(METODOS E P T G M DADOS HISTORICOS)","dsc","OPT",20122,0,0
1411288,"TECC(DIDATICA EM CIENCIA DA COMPUTACAO II)","dsc","OPT",20122,0,0
