"coddisciplina","disciplina","departamento","TipoDeDisciplina","periodo","situacao","resultado.relativo$situacao"
1107232,"Química Geral","humanas","OPT",20112,0,0
1108089,"Fundamentos de Física Clássica","dme","OBG",20111,11,0.192982456140351
1108089,"Fundamentos de Física Clássica","dme","OBG",20112,23,0.425925925925926
1108089,"Fundamentos de Física Clássica","dme","OBG",20121,68,0.931506849315068
1108089,"Fundamentos de Física Clássica","dme","OBG",20122,26,0.285714285714286
1108090,"Fundamentos de Física Moderna","dme","OBG",20111,0,0
1108090,"Fundamentos de Física Moderna","dme","OBG",20112,0,0
1108090,"Fundamentos de Física Moderna","dme","OBG",20121,2,0.0476190476190476
1108090,"Fundamentos de Física Moderna","dme","OBG",20122,0,0
1109035,"Álgebra Vetorial e Geometria Analítica","dme","OBG",20111,55,0.55
1109035,"Álgebra Vetorial e Geometria Analítica","dme","OBG",20112,55,0.474137931034483
1109035,"Álgebra Vetorial e Geometria Analítica","dme","OBG",20121,31,0.35632183908046
1109035,"Álgebra Vetorial e Geometria Analítica","dme","OBG",20122,45,0.489130434782609
1109049,"Álgebra Linear","dme","OBG",20111,21,0.403846153846154
1109049,"Álgebra Linear","dme","OBG",20112,33,0.532258064516129
1109049,"Álgebra Linear","dme","OBG",20121,26,0.530612244897959
1109049,"Álgebra Linear","dme","OBG",20122,26,0.5
1109053,"Cálculo Diferencial e Integral II","dme","OBG",20111,44,0.6875
1109053,"Cálculo Diferencial e Integral II","dme","OBG",20112,35,0.443037974683544
1109053,"Cálculo Diferencial e Integral II","dme","OBG",20121,51,0.80952380952381
1109053,"Cálculo Diferencial e Integral II","dme","OBG",20122,57,0.575757575757576
1109103,"Cálculo Diferencial e Integral I","dme","OBG",20111,70,0.593220338983051
1109103,"Cálculo Diferencial e Integral I","dme","OBG",20112,77,0.647058823529412
1109103,"Cálculo Diferencial e Integral I","dme","OBG",20121,64,0.542372881355932
1109103,"Cálculo Diferencial e Integral I","dme","OBG",20122,64,0.673684210526316
1109105,"Cálculo Diferencial e Integral III","dme","OPT",20112,0,0
1109105,"Cálculo Diferencial e Integral III","dme","OPT",20122,0,0
1109106,"EQUACOES DIFERENCIAIS","dme","OPT",20122,0,0
1109113,"Matemática Discreta","dsc","OBG",20111,23,0.377049180327869
1109113,"Matemática Discreta","dsc","OBG",20112,25,0.294117647058824
1109113,"Matemática Discreta","dsc","OBG",20121,19,0.306451612903226
1109113,"Matemática Discreta","dsc","OBG",20122,46,0.455445544554455
1113019,"EXPRESSAO GRAFICA","dme","OPT",20112,0,0
1114107,"Probabilidade e Estatística","dme","OBG",20111,34,0.47887323943662
1114107,"Probabilidade e Estatística","dme","OBG",20112,17,0.326923076923077
1114107,"Probabilidade e Estatística","dme","OBG",20121,39,0.696428571428571
1114107,"Probabilidade e Estatística","dme","OBG",20122,30,0.6
1114114,"Métodos Estatísticos","dme","OBG",20111,18,0.4
1114114,"Métodos Estatísticos","dme","OBG",20112,3,0.0666666666666667
1114114,"Métodos Estatísticos","dme","OBG",20121,6,0.2
1114114,"Métodos Estatísticos","dme","OBG",20122,1,0.0344827586206897
1301014,"Administração","humanas","OPT",20111,2,0.0909090909090909
1301014,"Administração","humanas","OPT",20112,0,0
1301014,"Administração","humanas","OPT",20121,2,0.181818181818182
1301014,"Administração","humanas","OPT",20122,1,0.0526315789473684
1303021,"Economia","humanas","OPT",20111,4,0.173913043478261
1303021,"Economia","humanas","OPT",20112,3,0.142857142857143
1303021,"Economia","humanas","OPT",20121,6,0.352941176470588
1303021,"Economia","humanas","OPT",20122,9,0.375
1304013,"BASQUETEBOL - MASC","esportes","OPT",20111,0,0
1304013,"BASQUETEBOL - MASC","esportes","OPT",20112,0,0
1304013,"BASQUETEBOL - MASC","esportes","OPT",20121,0,0
1304013,"BASQUETEBOL - MASC","esportes","OPT",20122,0,0
1304025,"BASQUETEBOL - FEM","esportes","OPT",20121,0,0
1304025,"BASQUETEBOL - FEM","esportes","OPT",20122,0,0
1304055,"Futsal","esportes","OPT",20111,0,0
1304055,"Futsal","esportes","OPT",20112,0,0
1304055,"Futsal","esportes","OPT",20121,0,0
1304055,"Futsal","esportes","OPT",20122,0,0
1304122,"BASQUETE   MASC/FEM","esportes","OPT",20112,0,0
1305020,"Relações Humanas","humanas","OPT",20111,4,0.173913043478261
1305020,"Relações Humanas","humanas","OPT",20112,0,0
1305033,"Sociologia Industrial I","humanas","OPT",20111,0,0
1305033,"Sociologia Industrial I","humanas","OPT",20112,0,0
1305033,"Sociologia Industrial I","humanas","OPT",20121,0,0
1305033,"Sociologia Industrial I","humanas","OPT",20122,0,0
1305218,"Metodologia Científica","dsc","OBG",20112,0,0
1305218,"Metodologia Científica","dsc","OBG",20121,0,0
1305218,"Metodologia Científica","dsc","OBG",20122,0,0
1305219,"Direito e Cidadania","humanas","OBG",20111,1,0.0158730158730159
1305219,"Direito e Cidadania","humanas","OBG",20112,6,0.113207547169811
1305219,"Direito e Cidadania","humanas","OBG",20121,0,0
1305219,"Direito e Cidadania","humanas","OBG",20122,0,0
1305220,"Informática e Sociedade","humanas","OBG",20111,0,0
1305220,"Informática e Sociedade","humanas","OBG",20112,1,0.0277777777777778
1305220,"Informática e Sociedade","humanas","OBG",20121,0,0
1305220,"Informática e Sociedade","humanas","OBG",20122,0,0
1307150,"Inglês","humanas","OPT",20112,0,0
1307150,"Inglês","humanas","OPT",20121,0,0
1307150,"Inglês","humanas","OPT",20122,0,0
1307151,"Leitura e Produção de Textos","humanas","OBG",20112,2,0.0246913580246914
1307151,"Leitura e Produção de Textos","humanas","OBG",20121,2,0.025974025974026
1307151,"Leitura e Produção de Textos","humanas","OBG",20122,2,0.027027027027027
1411167,"Programação I","dsc","OBG",20111,26,0.247619047619048
1411167,"Programação I","dsc","OBG",20112,27,0.278350515463918
1411167,"Programação I","dsc","OBG",20121,20,0.229885057471264
1411167,"Programação I","dsc","OBG",20122,23,0.273809523809524
1411168,"Programação II","dsc","OBG",20111,14,0.197183098591549
1411168,"Programação II","dsc","OBG",20112,28,0.363636363636364
1411168,"Programação II","dsc","OBG",20121,24,0.30379746835443
1411168,"Programação II","dsc","OBG",20122,8,0.119402985074627
1411169,"Paradigmas de Linguagem de Programação","dsc","OBG",20111,0,0
1411169,"Paradigmas de Linguagem de Programação","dsc","OBG",20112,0,0
1411169,"Paradigmas de Linguagem de Programação","dsc","OBG",20121,2,0.0625
1411169,"Paradigmas de Linguagem de Programação","dsc","OBG",20122,1,0.04
1411170,"Teoria dos Grafos","dsc","OBG",20111,6,0.0731707317073171
1411170,"Teoria dos Grafos","dsc","OBG",20112,11,0.157142857142857
1411170,"Teoria dos Grafos","dsc","OBG",20121,16,0.207792207792208
1411170,"Teoria dos Grafos","dsc","OBG",20122,6,0.101694915254237
1411171,"Teoria da Computação","dsc","OBG",20111,6,0.111111111111111
1411171,"Teoria da Computação","dsc","OBG",20112,5,0.0892857142857143
1411171,"Teoria da Computação","dsc","OBG",20121,13,0.228070175438596
1411171,"Teoria da Computação","dsc","OBG",20122,9,0.409090909090909
1411172,"Estruturas de Dados e Algoritmos","dsc","OBG",20111,11,0.186440677966102
1411172,"Estruturas de Dados e Algoritmos","dsc","OBG",20112,14,0.21875
1411172,"Estruturas de Dados e Algoritmos","dsc","OBG",20121,14,0.264150943396226
1411172,"Estruturas de Dados e Algoritmos","dsc","OBG",20122,15,0.277777777777778
1411173,"Lógica Matemática","dsc","OBG",20111,2,0.111111111111111
1411173,"Lógica Matemática","dsc","OBG",20112,8,0.195121951219512
1411173,"Lógica Matemática","dsc","OBG",20121,4,0.0816326530612245
1411173,"Lógica Matemática","dsc","OBG",20122,3,0.0731707317073171
1411174,"Introdução à Computação","dsc","OBG",20111,9,0.113924050632911
1411174,"Introdução à Computação","dsc","OBG",20112,5,0.0694444444444444
1411174,"Introdução à Computação","dsc","OBG",20121,3,0.037037037037037
1411174,"Introdução à Computação","dsc","OBG",20122,15,0.185185185185185
1411175,"Organização e Arquitetura de Computadores","dsc","OBG",20111,0,0
1411175,"Organização e Arquitetura de Computadores","dsc","OBG",20112,4,0.0816326530612245
1411175,"Organização e Arquitetura de Computadores","dsc","OBG",20121,3,0.0967741935483871
1411175,"Organização e Arquitetura de Computadores","dsc","OBG",20122,1,0.0303030303030303
1411176,"Gerência da Informação","dsc","OBG",20111,21,0.313432835820896
1411176,"Gerência da Informação","dsc","OBG",20112,6,0.12
1411176,"Gerência da Informação","dsc","OBG",20121,9,0.166666666666667
1411176,"Gerência da Informação","dsc","OBG",20122,20,0.350877192982456
1411177,"Engenharia de Software I","dsc","OBG",20111,1,0.024390243902439
1411177,"Engenharia de Software I","dsc","OBG",20112,0,0
1411177,"Engenharia de Software I","dsc","OBG",20121,5,0.151515151515152
1411177,"Engenharia de Software I","dsc","OBG",20122,0,0
1411178,"Sistemas de Informação I","dsc","OBG",20111,0,0
1411178,"Sistemas de Informação I","dsc","OBG",20112,3,0.0588235294117647
1411178,"Sistemas de Informação I","dsc","OBG",20121,2,0.0526315789473684
1411178,"Sistemas de Informação I","dsc","OBG",20122,2,0.0769230769230769
1411179,"Lab. de Estruturas de Dados e Algoritmos","dsc","OBG",20111,5,0.0961538461538462
1411179,"Lab. de Estruturas de Dados e Algoritmos","dsc","OBG",20112,12,0.2
1411179,"Lab. de Estruturas de Dados e Algoritmos","dsc","OBG",20121,13,0.254901960784314
1411179,"Lab. de Estruturas de Dados e Algoritmos","dsc","OBG",20122,11,0.211538461538462
1411180,"Lab. de Programação I","dsc","OBG",20111,26,0.247619047619048
1411180,"Lab. de Programação I","dsc","OBG",20112,23,0.247311827956989
1411180,"Lab. de Programação I","dsc","OBG",20121,20,0.229885057471264
1411180,"Lab. de Programação I","dsc","OBG",20122,28,0.314606741573034
1411181,"Lab. de Programação II","dsc","OBG",20111,17,0.242857142857143
1411181,"Lab. de Programação II","dsc","OBG",20112,40,0.493827160493827
1411181,"Lab. de Programação II","dsc","OBG",20121,30,0.348837209302326
1411181,"Lab. de Programação II","dsc","OBG",20122,12,0.162162162162162
1411182,"Lab. de Organização e Arquitetura de Computadores","dsc","OBG",20111,1,0.04
1411182,"Lab. de Organização e Arquitetura de Computadores","dsc","OBG",20112,12,0.24
1411182,"Lab. de Organização e Arquitetura de Computadores","dsc","OBG",20121,3,0.075
1411182,"Lab. de Organização e Arquitetura de Computadores","dsc","OBG",20122,1,0.0294117647058824
1411183,"Lab. de Engenharia de Software","dsc","OBG",20111,0,0
1411183,"Lab. de Engenharia de Software","dsc","OBG",20112,0,0
1411183,"Lab. de Engenharia de Software","dsc","OBG",20121,0,0
1411183,"Lab. de Engenharia de Software","dsc","OBG",20122,2,0.0666666666666667
1411184,"Lab. de Interconexão de Redes de Computadores","dsc","OBG",20111,0,0
1411184,"Lab. de Interconexão de Redes de Computadores","dsc","OBG",20112,0,0
1411184,"Lab. de Interconexão de Redes de Computadores","dsc","OBG",20121,3,0.125
1411184,"Lab. de Interconexão de Redes de Computadores","dsc","OBG",20122,2,0.0606060606060606
1411185,"Projeto em Computação I","dsc","OBG",20111,0,0
1411185,"Projeto em Computação I","dsc","OBG",20112,0,0
1411185,"Projeto em Computação I","dsc","OBG",20121,1,0.0714285714285714
1411185,"Projeto em Computação I","dsc","OBG",20122,0,0
1411186,"Projeto em Computação II","dsc","OBG",20111,2,0.1
1411186,"Projeto em Computação II","dsc","OBG",20112,2,0.0487804878048781
1411186,"Projeto em Computação II","dsc","OBG",20121,0,0
1411186,"Projeto em Computação II","dsc","OBG",20122,0,0
1411187,"Análise e Técnicas de Algoritmos","dsc","OBG",20111,9,0.264705882352941
1411187,"Análise e Técnicas de Algoritmos","dsc","OBG",20112,0,0
1411187,"Análise e Técnicas de Algoritmos","dsc","OBG",20121,0,0
1411187,"Análise e Técnicas de Algoritmos","dsc","OBG",20122,0,0
1411188,"Métodos e Software Numéricos","dsc","OBG",20111,1,0.05
1411188,"Métodos e Software Numéricos","dsc","OBG",20112,0,0
1411188,"Métodos e Software Numéricos","dsc","OBG",20121,0,0
1411188,"Métodos e Software Numéricos","dsc","OBG",20122,0,0
1411189,"Compiladores","dsc","OBG",20111,5,0.138888888888889
1411189,"Compiladores","dsc","OBG",20112,5,0.217391304347826
1411189,"Compiladores","dsc","OBG",20121,4,0.137931034482759
1411189,"Compiladores","dsc","OBG",20122,1,0.0285714285714286
1411190,"Redes de Computadores","dsc","OBG",20111,4,0.105263157894737
1411190,"Redes de Computadores","dsc","OBG",20112,0,0
1411190,"Redes de Computadores","dsc","OBG",20121,2,0.0588235294117647
1411190,"Redes de Computadores","dsc","OBG",20122,4,0.181818181818182
1411191,"Interconexão de Redes de Computadores","dsc","OBG",20111,0,0
1411191,"Interconexão de Redes de Computadores","dsc","OBG",20112,0,0
1411191,"Interconexão de Redes de Computadores","dsc","OBG",20121,3,0.125
1411191,"Interconexão de Redes de Computadores","dsc","OBG",20122,2,0.0606060606060606
1411192,"Sistemas Operacionais","dsc","OBG",20111,0,0
1411192,"Sistemas Operacionais","dsc","OBG",20112,1,0.05
1411192,"Sistemas Operacionais","dsc","OBG",20121,0,0
1411192,"Sistemas Operacionais","dsc","OBG",20122,0,0
1411193,"Banco de Dados I","dsc","OBG",20111,1,0.025
1411193,"Banco de Dados I","dsc","OBG",20112,8,0.235294117647059
1411193,"Banco de Dados I","dsc","OBG",20121,9,0.204545454545455
1411193,"Banco de Dados I","dsc","OBG",20122,4,0.102564102564103
1411194,"Banco de Dados II","dsc","OBG",20111,0,0
1411194,"Banco de Dados II","dsc","OBG",20112,2,0.0769230769230769
1411194,"Banco de Dados II","dsc","OBG",20121,5,0.178571428571429
1411194,"Banco de Dados II","dsc","OBG",20122,5,0.15625
1411195,"Sistemas de Informação II","dsc","OBG",20111,10,0.227272727272727
1411195,"Sistemas de Informação II","dsc","OBG",20112,3,0.0909090909090909
1411195,"Sistemas de Informação II","dsc","OBG",20121,2,0.0512820512820513
1411195,"Sistemas de Informação II","dsc","OBG",20122,1,0.0303030303030303
1411196,"Inteligência Artificial I","dsc","OBG",20111,0,0
1411196,"Inteligência Artificial I","dsc","OBG",20112,0,0
1411196,"Inteligência Artificial I","dsc","OBG",20121,0,0
1411196,"Inteligência Artificial I","dsc","OBG",20122,0,0
1411197,"Avaliação de Desempenho de Sistemas Discretos","dsc","OBG",20111,1,0.032258064516129
1411197,"Avaliação de Desempenho de Sistemas Discretos","dsc","OBG",20112,0,0
1411197,"Avaliação de Desempenho de Sistemas Discretos","dsc","OBG",20121,0,0
1411197,"Avaliação de Desempenho de Sistemas Discretos","dsc","OBG",20122,0,0
1411201,"Empreendedorismo","dsc","OPT",20111,0,0
1411201,"Empreendedorismo","dsc","OPT",20121,0,0
1411203,"Estágio Integrado","dsc","OPT",20111,0,0
1411203,"Estágio Integrado","dsc","OPT",20112,0,0
1411203,"Estágio Integrado","dsc","OPT",20121,0,0
1411203,"Estágio Integrado","dsc","OPT",20122,0,0
1411204,"GERENCIA DE Redes de Computadores","dsc","OPT",20121,0,0
1411217,"Projeto de Redes de Computadores","dsc","OPT",20122,0,0
1411221,"Sistemas de Informações Geográficas","dsc","OPT",20111,2,0.0588235294117647
1411221,"Sistemas de Informações Geográficas","dsc","OPT",20121,1,0.0714285714285714
