"CODIGO","DISCIPLINA.y","size","Mode","media"
1109035,"Álgebra Vetorial e Geometria Analítica",356,1,1.4185393258427
1109103,"Cálculo Diferencial e Integral 1",455,1,1.67252747252747
1307151,"Leitura e Produção de Textos",237,1,1.0379746835443
1411167,"Programação 1",309,1,1.15210355987055
1411174,"Introdução a Computação",267,1,1.03370786516854
1411180,"Laboratório de Programação 1",315,1,1.18412698412698
1109113,"Matemática Discreta",341,2,2.71847507331378
1305218,"Metodologia Científica",60,2,2.36666666666667
1305220,"Informática e Sociedade",169,2,3.6508875739645
1411168,"Programação 2",312,2,2.38141025641026
1411170,"Teoria dos Grafos",283,2,2.3321554770318
1411181,"Laboratório de Programação 2",315,2,2.40634920634921
1108089,"Física Clássica",329,3,3.21276595744681
1109049,"Álgebra Linear",262,3,3.73664122137405
1109053,"Cálculo Diferencial e Integral 2",430,3,3.4
1411171,"Teoria da Computação",242,3,4.00826446280992
1411172,"Estrutura de Dados",334,3,3.90718562874252
1411176,"Gerência da Informação",277,3,3.36823104693141
1411179,"Laboratório de Estrutura de Dados",308,3,3.79545454545455
1108090,"Física Moderna",124,4,4.59677419354839
1114107,"Probabilidade e Estatística",192,4,4.78125
1305219,"Direito e Cidadania",136,4,3.68382352941176
1411173,"Lógica Matemática",81,4,5.06172839506173
1411178,"Sistemas de Informação 1",107,4,4.64485981308411
1411169,"Paradigmas de Linguagens de Programação",63,5,5.09523809523809
1411175,"Organização e Arquitetura de Computadores",37,5,5.94594594594595
1411193,"Banco de Dados 1",44,5,5.93181818181818
1411195,"Sistemas de Informação 2",32,5,5.90625
1411182,"Laboratório de Organização e Arquitetura de Computadores",38,6,5.94736842105263
