"CODIGO","DISCIPLINA","DEPARTAMENTO","TIPODEDISCIPLINA"
1109105,"CALCULO DIFERENCIAL E INTEGRAL III","UNID. ACAD. DE MATEMÁTICA","OPT"
1109106,"EQUACOES DIFERENCIAIS","UNID. ACAD. DE MATEMÁTICA","OPT"
1109113,"MATEMÁTICA DISCRETA","UNID. ACAD. DE MATEMÁTICA","OBG"
1113002,"DESENHO BASICO","UNID. ACAD. DE ENGENHARIA DE PRODUÇÃO","OPT"
1113019,"EXPRESSAO GRAFICA","UNID. ACAD. DE ENGENHARIA DE PRODUÇÃO","OPT"
1114107,"PROBABILIDADE E ESTATISTICA","UNID. ACAD. DE ESTATÍSTICA","OBG"
1114114,"METODOS ESTATISTICOS","UNID. ACAD. DE ESTATÍSTICA","OBG"
1301014,"ADMINISTRAÇÃO","UNID. ACAD. DE ADMINISTRAÇÃO E CONTABILIDADE","OPT"
1301061,"PROCESSO DECISORIO","UNID. ACAD. DE ADMINISTRAÇÃO E CONTABILIDADE","OPT"
1301078,"GESTAO DA QUALIDADE","UNID. ACAD. DE ADMINISTRAÇÃO E CONTABILIDADE","OPT"
1302123,"COMPUTAÇÃO E MÚSICA","UNID. ACAD. DE ARTES","OPT"
1303021,"ECONOMIA","UNID. ACAD. DE ECONOMIA E FINANCAS","OPT"
1304012,"VOLEIBOL - MASC/FEM","UNID. ACAD. DE EDUCAÇÃO","OPT"
1304013,"BASQUETEBOL - MASC","UNID. ACAD. DE EDUCAÇÃO","OPT"
1304025,"BASQUETEBOL - FEM","UNID. ACAD. DE EDUCAÇÃO","OPT"
1304055,"FUTSAL","UNID. ACAD. DE EDUCAÇÃO","OPT"
1304059,"FUTEBOL DE CAMPO","UNID. ACAD. DE EDUCAÇÃO","OPT"
1304117,"GINASTICA MASC/FEM","UNID. ACAD. DE EDUCAÇÃO","OPT"
1304122,"BASQUETE   MASC/FEM","UNID. ACAD. DE EDUCAÇÃO","OPT"
1304123,"FUTSAL - FEM","UNID. ACAD. DE EDUCAÇÃO","OPT"
1305020,"RELACOES HUMANAS","UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA","OPT"
1305033,"SOCIOLOGIA INDUSTRIAL I","UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA","OPT"
1305147,"INTRODUÇÃO À FILOSOFIA","UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA","OPT"
1305218,"METODOLOGIA CIENTÍFICA","UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA","OBG"
1305219,"DIREITO E CIDADANIA","UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA","OBG"
1305220,"INFORMÁTICA E SOCIEDADE","UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA","OBG"
1307045,"LINGUA PORTUGUESA","UNID. ACAD. DE LETRAS","OPT"
1307150,"INGLÊS","UNID. ACAD. DE LETRAS","OPT"
1307151,"LEITURA E PRODUCAO DE TEXTOS","UNID. ACAD. DE LETRAS","OBG"
1404132,"INTRODUCAO A ENGENHARIA ELETRICA","UNID. ACAD. DE ENGENHARIA ELÉTRICA","OPT"
1411167,"PROGRAMAÇÃO I","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411168,"PROGRAMAÇÃO II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411169,"PARADIGMAS DE LING. DE PROGRAMAÇÃO","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411170,"TEORIA DOS GRAFOS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411171,"TEORIA DA COMPUTAÇÃO","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411172,"ESTRUTURA DE DADOS E ALGORITMOS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411173,"LÓGICA MATEMÁTICA","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411174,"INTRODUÇÃO A COMPUTAÇÃO","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411175,"ORG.E ARQUITETURA DE COMPUTADORES I","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411176,"GERÊNCIA DA INFORMAÇÃO","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411177,"ENGENHARIA DE SOFTWARE I","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411178,"SISTEMAS DE INFORMAÇÃO I","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411179,"LAB.DE ESTRUTURA DE DADOS E ALGORITMOS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411180,"LABORATÓRIO DE PROGRAMAÇÃO I","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411181,"LABORATÓRIO DE PROGRAMAÇÃO II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411182,"LAB.DE ORG.E ARQUITETURA DE COMPUTADORES","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411183,"LABORATÓRIO DE ENGENHARIA DE SOFTWARE","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411184,"LAB.DE INTERCON.DE REDES DE COMPUTADORES","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411185,"PROJETO EM COMPUTAÇÃO I","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411186,"PROJETO EM COMPUTAÇÃO II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411187,"ANÁLISE E TÉCNICA DE ALGORITMOS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411188,"MÉTODOS E SOFTWARE NUMÉRICOS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411189,"COMPILADORES","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411190,"REDES DE COMPUTADORES","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411191,"INTERCONEXÃO DE REDES DE COMPUTADORES","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411192,"SISTEMAS OPERACIONAIS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411193,"BANCO DE DADOS I","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411194,"BANCO DE DADOS II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411195,"SISTEMAS DE INFORMAÇÃO II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411196,"INTELIGENCIA ARTIFICIAL I","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411197,"AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG"
1411198,"ADM.DE SIST.GERENC.DE BANCO DE DADOS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411201,"EMPREENDEDORISMO","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411202,"ENGENHARIA DE SOFTWARE II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411203,"ESTÁGIO INTEGRADO","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411204,"GERENCIA DE REDES DE COMPUTADORES","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411207,"INFORMÁTICA NA EDUCAÇÃO","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411208,"INTELIGÊNCIA ARTIFICIAL II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411209,"INTERFACE HOMEM-MÁQUINA","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411210,"MARKETING PARA INFORMÁTICA","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411212,"ORGAN. E ARQUITETURA DE COMPUTADORES II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411216,"PROGRAMAÇÃO FUNCIONAL","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411217,"PROJETO DE REDES DE COMPUTADORES","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411218,"REDES DE PETRI","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411220,"SISTEMAS BASEADOS EM CONHECIMENTO","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411221,"SISTEMAS DE INFORMAÇÕES GEOGRÁFICAS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411222,"SISTEMAS DISTRIBUIDOS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411224,"SISTEMAS MULTIMÍDIA","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411226,"REDES NEURAIS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411235,"TECC(DESENV.DE APLIC.CORPORAT.AVANÇADAS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411236,"TECC (SISTEMAS DE APOIO A DECISÃO)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411238,"SEMINÁRIOS (EDUCAÇÃO AMBIENTAL)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411242,"TECC(SEGURANCA EM REDES DE COMPUTADORES)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411243,"TECC(ALGORITMOS AVANÇADOS I )","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411244,"TECC(ECONOMIA DE TECNOLOGIA DA INFORMAÇÃ","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411247,"TECC(ALGORITMOS AVANÇADOS II)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411248,"TECC (SISTEMAS DE APOIO A DECISÃO II)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411249,"TECC (METODOS FORMAIS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411250,"TECC(ALGORITMOS  AVANÇADOS III )","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411251,"TECC(ALGORITMOS  AVANÇADOS IV)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411252,"TE (R. NEURAIS APL. À IND. DO PETRÓLEO)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411253,"TE(SIST INF GEOG APLIC SETOR PETR E GAS}","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411254,"TECC(PROCESSAMENTO DIGITAL DE IMAGEM)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411255,"TECC(LAB DE SISTEMAS OPERACIONAIS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411256,"TEC(PRINCIPIOS DE ADMIN FINANCEIRA)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411257,"TECC (INTRODUÇÃO À MECÂNICA QUÂNTICA)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411258,"TECC(ALGORITMOS AVANÇADOS V)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411259,"TECC (GRADES COMPUTACIONAIS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411260,"TECC (INTRODUÇÃO À COMPUTAÇÃO QUÂNTICA)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411261,"TECC (REDAÇÃO TÉCNICO-CIENTÍFICA)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411262,"TECC (ARQUITETURA DE SIST. EMBUTIDOS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411263,"TECC(ALGORITMOS AVANÇADOS VI)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411264,"TECC(DESENVOLVIMENTO DIRIGIDO A MODELOS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411265,"TECC(REDES AD HOC SEM FIO)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411266,"TECC(FUND E APLIC. DE REALIDADE VIRTUAL","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411267,"TECC(SISTEMAS DE RECUP DA INFORMAÇÃO)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411268,"TECC(MODELAGEM DE AMBIENTES VIRTUAIS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411269,"TECC(MINERAÇÃO DE DADOS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411270,"TECC (PROGRAMAÇÃO III)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411271,"TECC(INT.AO DES.DE SOFT.P/DISP.MOVEIS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411272,"TECC(FLUXO DE TRABALHO INFORMATIZADO)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411273,"TECC (ARQUITETURA DE SOFTWARE)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411274,"TECC(MET CIENT P/ PESQ EM C. DA COMPUT)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411275,"TECC(SISTEMAS COOPERATIVOS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411276,"TECC(VISAO COMPUTACIONAL)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411279,"TECC(ESTAGIO INTEGRADO II)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411281,"TECC(EMPREENDEDORISMO EM SOFTWARE)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411282,"TECC(ADMINISTRACAO DE SISTEMAS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411283,"TECC(FUNDAMENTOS DE PROG CONCORRENTE)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411285,"TECC (DIDÁTICA EM CIÊNCIA DA COMPUTAÇÃO)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411286,"TECC(METODOS E P T G M DADOS HISTORICOS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411287,"TECC(M E E DE P DE T EM G M DE D HIST II","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411288,"TECC (DIDÁT. CIÊNCIA DA COMPUTAÇÃO II)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1411289,"TECC (ANÁLISE DE DADOS I)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT"
1502046,"INT A ENGENHARIA AGRICOLA","UNID. ACAD. DE ENGENHARIA AGRÍCOLA","OPT"
1502178,"QUÍMICA ANALÍTICA","UNID. ACAD. DE ENGENHARIA AGRÍCOLA","OPT"
1502183,"METODOLOGIA E TÉCNICAS DE PESQUISA","UNID. ACAD. DE ENGENHARIA AGRÍCOLA","OPT"
1503121,"INTRODUCAO A ARQUITETURA","UNID. ACAD. DE ENGENHARIA CIVIL","OPT"
