"CODIGO","DISCIPLINA","DEPARTAMENTO","TIPODEDISCIPLINA"
1105365,"GEOLOGIA DO PETRÓLEO","UNID. ACAD. DE ENGENHARIA MECÂNICA","OPT"
1107131,"QUÍMICA","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT"
1107197,"TEEQ (ZEOLITAS)","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT"
1107224,"TE(INTRODUÇÃO A ENG DE RESERVATORIOS)","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT"
1107225,"TE (INTRODUÇÃO À ENGENHARIA DO PETRÓLEO)","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT"
1107227,"TE (ENGENHARIA DE POÇO)","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT"
1107232,"QUÍMICA GERAL","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT"
1107233,"TE (TECNOLOGIA DE GAS NATURAL)","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT"
1107252,"TE (INT. À COM. E EL. F. P. DE PETRÓLEO)","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT"
1108030,"FÍSICA GERAL I","UNID. ACAD. DE FÍSICA","OPT"
1108089,"FUNDAMENTOS DE FÍSICA CLÁSSICA","UNID. ACAD. DE FÍSICA","OBG"
1108090,"FUNDAMENTOS DE FÍSICA MODERNA","UNID. ACAD. DE FÍSICA","OBG"
1109010,"EQUACOES DIFERENCIAIS LINEARES","UNID. ACAD. DE MATEMÁTICA","OPT"
1109035,"ÁLGEBRA VETORIAL E GEOMETRIA ANALÍTICA","UNID. ACAD. DE MATEMÁTICA","OBG"
1109049,"ÁLGEBRA LINEAR","UNID. ACAD. DE MATEMÁTICA","OBG"
1109053,"CALCULO DIFERENCIAL E INTEGRAL II","UNID. ACAD. DE MATEMÁTICA","OBG"
1109103,"CALCULO DIFERENCIAL E INTEGRAL I","UNID. ACAD. DE MATEMÁTICA","OBG"
