"CODIGO","DISCIPLINA.y","size","Mode","media"
1109035,"Álgebra Vetorial e Geometria Analítica",527,1,1.74003795066414
1109103,"Cálculo Diferencial e Integral 1",572,1,1.79895104895105
1307151,"Leitura e Produção de Textos",294,1,1.12925170068027
1411167,"Programação 1",537,1,1.56983240223464
1411174,"Introdução a Computação",383,1,1.27676240208877
1411180,"Laboratório de Programação 1",542,1,1.59225092250923
1108089,"Física Clássica",123,2,3.15447154471545
1109049,"Álgebra Linear",95,2,3.29473684210526
1109053,"Cálculo Diferencial e Integral 2",145,2,3.37241379310345
1109113,"Matemática Discreta",273,2,3.03663003663004
1305218,"Metodologia Científica",67,2,3.58208955223881
1305220,"Informática e Sociedade",128,2,2.75
1411168,"Programação 2",284,2,3.07394366197183
1411170,"Teoria dos Grafos",250,2,2.932
1411176,"Gerência da Informação",135,2,3.02962962962963
1411181,"Laboratório de Programação 2",291,2,3.03092783505155
1305219,"Direito e Cidadania",93,3,3.41935483870968
1411171,"Teoria da Computação",32,4,6.09375
