"coddisciplina","disciplina","size","Mode","media"
1108089,"Física Clássica",40,2,2.225
1109035,"Álgebra Vetorial e Geometria Analítica",105,1,1.38095238095238
1109049,"Álgebra Linear",12,2,2.25
1109053,"Cálculo Diferencial e Integral 2",38,2,2.15789473684211
1109103,"Cálculo Diferencial e Integral 1",109,1,1.41284403669725
1109113,"Matemática Discreta",74,2,2.31081081081081
1305220,"Informática e Sociedade",28,2,2.28571428571429
1307151,"Leitura e Produção de Textos",71,1,1.14084507042254
1411167,"Programação 1",82,1,1.08536585365854
1411168,"Programação 2",94,2,2.32978723404255
1411170,"Teoria dos Grafos",79,2,2.20253164556962
1411174,"Introdução a Computação",78,1,1.06410256410256
1411176,"Gerência da Informação",14,3,3
1411180,"Laboratório de Programação 1",82,1,1.08536585365854
1411181,"Laboratório de Programação 2",92,2,2.35869565217391
