"CODIGO","DISCIPLINA.y","size","Mode","media"
1109035,"Álgebra Vetorial e Geometria Analítica",227,1,1.18502202643172
1109103,"Cálculo Diferencial e Integral 1",263,1,1.44866920152091
1307151,"Leitura e Produção de Textos",218,1,1.10550458715596
1411167,"Programação 1",256,1,1.2265625
1411174,"Introdução a Computação",223,1,1.07174887892377
1411180,"Laboratório de Programação 1",259,1,1.23938223938224
1108089,"Física Clássica",342,2,2.94736842105263
1109053,"Cálculo Diferencial e Integral 2",365,2,3.16986301369863
1109113,"Matemática Discreta",284,2,2.53521126760563
1305218,"Metodologia Científica",263,2,2.5171102661597
1411168,"Programação 2",264,2,2.33333333333333
1411170,"Teoria dos Grafos",247,2,2.29554655870445
1411181,"Laboratório de Programação 2",255,2,2.27450980392157
1108090,"Física Moderna",259,3,4.30888030888031
1114107,"Probabilidade e Estatística",355,3,4.67605633802817
1411171,"Teoria da Computação",314,3,3.94267515923567
1411172,"Estrutura de Dados",281,3,3.51245551601424
1411176,"Gerência da Informação",254,3,3.2007874015748
1411179,"Laboratório de Estrutura de Dados",264,3,3.38636363636364
1109049,"Álgebra Linear",293,4,4.2320819112628
1411169,"Paradigmas de Linguagens de Programação",276,4,5.38405797101449
1411173,"Lógica Matemática",264,4,4.99242424242424
1411175,"Organização e Arquitetura de Computadores",263,4,5.47908745247148
1411178,"Sistemas de Informação 1",262,4,4.5
1411182,"Laboratório de Organização e Arquitetura de Computadores",276,4,5.60144927536232
1114114,"Métodos Estatísticos",291,5,6.33676975945017
1411177,"Engenharia de Software 1",247,5,5.58704453441296
1411193,"Banco de Dados 1",289,5,6.07612456747405
1411195,"Sistemas de Informação 2",280,5,6.175
1305220,"Informática e Sociedade",253,6,5.61660079051383
1411183,"Laboratório de Engenharia de Software",249,6,6.99196787148594
1411187,"Análise e Técnica de Algorítimos",322,6,7.12422360248447
1411190,"Redes de Computadores",264,6,6.93560606060606
1305219,"Direito e Cidadania",259,7,6.37837837837838
1411189,"Compiladores",256,7,8.08984375
1411192,"Sistemas Operacionais",244,7,7.46311475409836
1411194,"Banco de Dados 2",260,7,7.61538461538461
1411184,"Laboratório de Interconexão de Redes de Computadores",229,8,8.25327510917031
1411185,"Projeto em Computação 1",225,8,8.38666666666667
1411191,"Interconexão de Redes de Computadores",229,8,8.25327510917031
1411196,"Inteligência Artificial",219,8,8.95890410958904
1411197,"Avaliação de Desempenho de Sistemas Discretos",244,8,8.6844262295082
1411186,"Projeto em Computação 2",218,9,9.39449541284404
1411188,"Métodos e Software Numéricos",227,9,9.12334801762115
